"","Kod","Nazwa","rok","Budownictwo_mieszkaniowe_wskazniki_przecietny_czas_trwania_budowy_nowych_budynkow_mieszkalnych_wielorodzinnych_mc"
"27601",1432000,"Powiat warszawski zachodni",2002,NA
"27602",1433000,"Powiat węgrowski",2002,NA
"27603",1434000,"Powiat wołomiński",2002,NA
"27604",1435000,"Powiat wyszkowski",2002,NA
"27605",1436000,"Powiat zwoleński",2002,NA
"27606",1437000,"Powiat żuromiński",2002,NA
"27607",1438000,"Powiat żyrardowski",2002,NA
"27608",1461000,"Powiat m.Ostrołęka",2002,NA
"27609",1462000,"Powiat m.Płock",2002,NA
"27610",1463000,"Powiat m.Radom",2002,NA
"27611",1464000,"Powiat m.Siedlce",2002,NA
"27612",1465000,"Powiat m. st. Warszawa",2002,NA
"27613",1601000,"Powiat brzeski",2002,NA
"27614",1602000,"Powiat głubczycki",2002,NA
"27615",1603000,"Powiat kędzierzyńsko-kozielski",2002,NA
"27616",1604000,"Powiat kluczborski",2002,NA
"27617",1605000,"Powiat krapkowicki",2002,NA
"27618",1606000,"Powiat namysłowski",2002,NA
"27619",1607000,"Powiat nyski",2002,NA
"27620",1608000,"Powiat oleski",2002,NA
"27621",1609000,"Powiat opolski",2002,NA
"27622",1610000,"Powiat prudnicki",2002,NA
"27623",1611000,"Powiat strzelecki",2002,NA
"27624",1661000,"Powiat m.Opole",2002,NA
"27625",1801000,"Powiat bieszczadzki",2002,NA
"27626",1802000,"Powiat brzozowski",2002,NA
"27627",1803000,"Powiat dębicki",2002,NA
"27628",1804000,"Powiat jarosławski",2002,NA
"27629",1805000,"Powiat jasielski",2002,NA
"27630",1806000,"Powiat kolbuszowski",2002,NA
"27631",1807000,"Powiat krośnieński",2002,NA
"27632",1808000,"Powiat leżajski",2002,NA
"27633",1809000,"Powiat lubaczowski",2002,NA
"27634",1810000,"Powiat łańcucki",2002,NA
"27635",1811000,"Powiat mielecki",2002,NA
"27636",1812000,"Powiat niżański",2002,NA
"27637",1813000,"Powiat przemyski",2002,NA
"27638",1814000,"Powiat przeworski",2002,NA
"27639",1815000,"Powiat ropczycko-sędziszowski",2002,NA
"27640",1816000,"Powiat rzeszowski",2002,NA
"27641",1817000,"Powiat sanocki",2002,NA
"27642",1818000,"Powiat stalowowolski",2002,NA
"27643",1819000,"Powiat strzyżowski",2002,NA
"27644",1820000,"Powiat tarnobrzeski",2002,NA
"27645",1821000,"Powiat leski",2002,NA
"27646",1861000,"Powiat m.Krosno",2002,NA
"27647",1862000,"Powiat m.Przemyśl",2002,NA
"27648",1863000,"Powiat m.Rzeszów",2002,NA
"27649",1864000,"Powiat m.Tarnobrzeg",2002,NA
"27650",2001000,"Powiat augustowski",2002,NA
"27651",2002000,"Powiat białostocki",2002,NA
"27652",2003000,"Powiat bielski",2002,NA
"27653",2004000,"Powiat grajewski",2002,NA
"27654",2005000,"Powiat hajnowski",2002,NA
"27655",2006000,"Powiat kolneński",2002,NA
"27656",2007000,"Powiat łomżyński",2002,NA
"27657",2008000,"Powiat moniecki",2002,NA
"27658",2009000,"Powiat sejneński",2002,NA
"27659",2010000,"Powiat siemiatycki",2002,NA
"27660",2011000,"Powiat sokólski",2002,NA
"27661",2012000,"Powiat suwalski",2002,NA
"27662",2013000,"Powiat wysokomazowiecki",2002,NA
"27663",2014000,"Powiat zambrowski",2002,NA
"27664",2061000,"Powiat m.Białystok",2002,NA
"27665",2062000,"Powiat m.Łomża",2002,NA
"27666",2063000,"Powiat m.Suwałki",2002,NA
"27667",2201000,"Powiat bytowski",2002,NA
"27668",2202000,"Powiat chojnicki",2002,NA
"27669",2203000,"Powiat człuchowski",2002,NA
"27670",2204000,"Powiat gdański",2002,NA
"27671",2205000,"Powiat kartuski",2002,NA
"27672",2206000,"Powiat kościerski",2002,NA
"27673",2207000,"Powiat kwidzyński",2002,NA
"27674",2208000,"Powiat lęborski",2002,NA
"27675",2209000,"Powiat malborski",2002,NA
"27676",2210000,"Powiat nowodworski",2002,NA
"27677",2211000,"Powiat pucki",2002,NA
"27678",2212000,"Powiat słupski",2002,NA
"27679",2213000,"Powiat starogardzki",2002,NA
"27680",2214000,"Powiat tczewski",2002,NA
"27681",2215000,"Powiat wejherowski",2002,NA
"27682",2216000,"Powiat sztumski",2002,NA
"27683",2261000,"Powiat m.Gdańsk",2002,NA
"27684",2262000,"Powiat m.Gdynia",2002,NA
"27685",2263000,"Powiat m.Słupsk",2002,NA
"27686",2264000,"Powiat m.Sopot",2002,NA
"27687",2401000,"Powiat będziński",2002,NA
"27688",2402000,"Powiat bielski",2002,NA
"27689",2403000,"Powiat cieszyński",2002,NA
"27690",2404000,"Powiat częstochowski",2002,NA
"27691",2405000,"Powiat gliwicki",2002,NA
"27692",2406000,"Powiat kłobucki",2002,NA
"27693",2407000,"Powiat lubliniecki",2002,NA
"27694",2408000,"Powiat mikołowski",2002,NA
"27695",2409000,"Powiat myszkowski",2002,NA
"27696",2410000,"Powiat pszczyński",2002,NA
