"","Kod","Nazwa","rok","Osoby_w_zamachach_samobojczych_liczba_samobojstw_zakonczonych_zgonem_na_100_tys_ludnosci_ogolem_osoba"
"2463",1604000,"Powiat kluczborski",2018,39
"2464",1605000,"Powiat krapkowicki",2018,11
"2465",1606000,"Powiat namysłowski",2018,52
"2466",1607000,"Powiat nyski",2018,26
"2467",1608000,"Powiat oleski",2018,37
"2468",1609000,"Powiat opolski",2018,30
"2469",1610000,"Powiat prudnicki",2018,14
"2470",1611000,"Powiat strzelecki",2018,11
"2471",1661000,"Powiat m.Opole",2018,29
"2472",1801000,"Powiat bieszczadzki",2018,18
"2473",1802000,"Powiat brzozowski",2018,21
"2474",1803000,"Powiat dębicki",2018,30
"2475",1804000,"Powiat jarosławski",2018,23
"2476",1805000,"Powiat jasielski",2018,28
"2477",1806000,"Powiat kolbuszowski",2018,24
"2478",1807000,"Powiat krośnieński",2018,44
"2479",1808000,"Powiat leżajski",2018,40
"2480",1809000,"Powiat lubaczowski",2018,13
"2481",1810000,"Powiat łańcucki",2018,48
"2482",1811000,"Powiat mielecki",2018,12
"2483",1812000,"Powiat niżański",2018,33
"2484",1813000,"Powiat przemyski",2018,62
"2485",1814000,"Powiat przeworski",2018,20
"2486",1815000,"Powiat ropczycko-sędziszowski",2018,19
"2487",1816000,"Powiat rzeszowski",2018,67
"2488",1817000,"Powiat sanocki",2018,23
"2489",1818000,"Powiat stalowowolski",2018,38
"2490",1819000,"Powiat strzyżowski",2018,16
"2491",1820000,"Powiat tarnobrzeski",2018,36
"2492",1821000,"Powiat leski",2018,56
"2493",1861000,"Powiat m.Krosno",2018,105
"2494",1862000,"Powiat m.Przemyśl",2018,75
"2495",1863000,"Powiat m.Rzeszów",2018,60
"2496",1864000,"Powiat m.Tarnobrzeg",2018,40
"2497",2001000,"Powiat augustowski",2018,19
"2498",2002000,"Powiat białostocki",2018,93
"2499",2003000,"Powiat bielski",2018,38
"2500",2004000,"Powiat grajewski",2018,36
"2501",2005000,"Powiat hajnowski",2018,12
"2502",2006000,"Powiat kolneński",2018,18
"2503",2007000,"Powiat łomżyński",2018,35
"2504",2008000,"Powiat moniecki",2018,32
"2505",2009000,"Powiat sejneński",2018,65
"2506",2010000,"Powiat siemiatycki",2018,25
"2507",2011000,"Powiat sokólski",2018,28
"2508",2012000,"Powiat suwalski",2018,126
"2509",2013000,"Powiat wysokomazowiecki",2018,24
"2510",2014000,"Powiat zambrowski",2018,32
"2511",2061000,"Powiat m.Białystok",2018,46
"2512",2062000,"Powiat m.Łomża",2018,29
"2513",2063000,"Powiat m.Suwałki",2018,64
"2514",2201000,"Powiat bytowski",2018,20
"2515",2202000,"Powiat chojnicki",2018,17
"2516",2203000,"Powiat człuchowski",2018,12
"2517",2204000,"Powiat gdański",2018,46
"2518",2205000,"Powiat kartuski",2018,29
"2519",2206000,"Powiat kościerski",2018,4
"2520",2207000,"Powiat kwidzyński",2018,35
"2521",2208000,"Powiat lęborski",2018,59
"2522",2209000,"Powiat malborski",2018,6
"2523",2210000,"Powiat nowodworski",2018,11
"2524",2211000,"Powiat pucki",2018,19
"2525",2212000,"Powiat słupski",2018,48
"2526",2213000,"Powiat starogardzki",2018,12
"2527",2214000,"Powiat tczewski",2018,52
"2528",2215000,"Powiat wejherowski",2018,32
"2529",2216000,"Powiat sztumski",2018,34
"2530",2261000,"Powiat m.Gdańsk",2018,22
"2531",2262000,"Powiat m.Gdynia",2018,11
"2532",2263000,"Powiat m.Słupsk",2018,52
"2533",2264000,"Powiat m.Sopot",2018,14
"2534",2401000,"Powiat będziński",2018,5
"2535",2402000,"Powiat bielski",2018,81
"2536",2403000,"Powiat cieszyński",2018,48
"2537",2404000,"Powiat częstochowski",2018,226
"2538",2405000,"Powiat gliwicki",2018,112
"2539",2406000,"Powiat kłobucki",2018,25
"2540",2407000,"Powiat lubliniecki",2018,59
"2541",2408000,"Powiat mikołowski",2018,16
"2542",2409000,"Powiat myszkowski",2018,62
"2543",2410000,"Powiat pszczyński",2018,53
"2544",2411000,"Powiat raciborski",2018,29
"2545",2412000,"Powiat rybnicki",2018,56
"2546",2413000,"Powiat tarnogórski",2018,40
"2547",2414000,"Powiat bieruńsko-lędziński",2018,44
"2548",2415000,"Powiat wodzisławski",2018,12
"2549",2416000,"Powiat zawierciański",2018,25
"2550",2417000,"Powiat żywiecki",2018,13
"2551",2461000,"Powiat m.Bielsko-Biała",2018,78
"2552",2462000,"Powiat m.Bytom",2018,25
"2553",2463000,"Powiat m.Chorzów",2018,10
"2554",2464000,"Powiat m.Częstochowa",2018,137
"2555",2465000,"Powiat m.Dąbrowa Górnicza",2018,23
"2556",2466000,"Powiat m.Gliwice",2018,72
"2557",2467000,"Powiat m.Jastrzębie-Zdrój",2018,28
"2558",2468000,"Powiat m.Jaworzno",2018,28
