"","Kod","Nazwa","rok","Lekarze_wskazniki_lekarze_personel_pracujacy_ogolem_na_10_tys_ludnosci_osoba"
"5683",3204000,"Powiat goleniowski",2012,NA
"5684",3205000,"Powiat gryficki",2012,NA
"5685",3206000,"Powiat gryfiński",2012,NA
"5686",3207000,"Powiat kamieński",2012,NA
"5687",3208000,"Powiat kołobrzeski",2012,NA
"5688",3209000,"Powiat koszaliński",2012,NA
"5689",3210000,"Powiat myśliborski",2012,NA
"5690",3211000,"Powiat policki",2012,NA
"5691",3212000,"Powiat pyrzycki",2012,NA
"5692",3213000,"Powiat sławieński",2012,NA
"5693",3214000,"Powiat stargardzki",2012,NA
"5694",3215000,"Powiat szczecinecki",2012,NA
"5695",3216000,"Powiat świdwiński",2012,NA
"5696",3217000,"Powiat wałecki",2012,NA
"5697",3218000,"Powiat łobeski",2012,NA
"5698",3261000,"Powiat m.Koszalin",2012,NA
"5699",3262000,"Powiat m.Szczecin",2012,NA
"5700",3263000,"Powiat m.Świnoujście",2012,NA
"5701",201000,"Powiat bolesławiecki",2013,28.5
"5702",202000,"Powiat dzierżoniowski",2013,32.4
"5703",203000,"Powiat głogowski",2013,28.1
"5704",204000,"Powiat górowski",2013,26.4
"5705",205000,"Powiat jaworski",2013,27.3
"5706",206000,"Powiat jeleniogórski",2013,24.2
"5707",207000,"Powiat kamiennogórski",2013,27.3
"5708",208000,"Powiat kłodzki",2013,40.4
"5709",209000,"Powiat legnicki",2013,18.6
"5710",210000,"Powiat lubański",2013,23.2
"5711",211000,"Powiat lubiński",2013,63
"5712",212000,"Powiat lwówecki",2013,15.2
"5713",213000,"Powiat milicki",2013,39.4
"5714",214000,"Powiat oleśnicki",2013,28
"5715",215000,"Powiat oławski",2013,26.8
"5716",216000,"Powiat polkowicki",2013,11.1
"5717",217000,"Powiat strzeliński",2013,27.3
"5718",218000,"Powiat średzki",2013,15.6
"5719",219000,"Powiat świdnicki",2013,39.8
"5720",220000,"Powiat trzebnicki",2013,26.7
"5721",221000,"Powiat wałbrzyski",2013,112.4
"5722",222000,"Powiat wołowski",2013,36.4
"5723",223000,"Powiat wrocławski",2013,19.4
"5724",224000,"Powiat ząbkowicki",2013,21.8
"5725",225000,"Powiat zgorzelecki",2013,25.3
"5726",226000,"Powiat złotoryjski",2013,33.1
"5727",261000,"Powiat m.Jelenia Góra",2013,59.5
