"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_wtorny_od_40_do_60_m2_zl"
"23233",464000,"Powiat m.Włocławek",2016,2469
"23234",601000,"Powiat bialski",2016,2653
"23235",602000,"Powiat biłgorajski",2016,2852
"23236",603000,"Powiat chełmski",2016,2116
"23237",604000,"Powiat hrubieszowski",2016,1902
"23238",605000,"Powiat janowski",2016,2344
"23239",606000,"Powiat krasnostawski",2016,2164
"23240",607000,"Powiat kraśnicki",2016,2462
"23241",608000,"Powiat lubartowski",2016,3445
"23242",609000,"Powiat lubelski",2016,3602
"23243",610000,"Powiat łęczyński",2016,3475
"23244",611000,"Powiat łukowski",2016,3040
"23245",612000,"Powiat opolski",2016,2323
"23246",613000,"Powiat parczewski",2016,2277
"23247",614000,"Powiat puławski",2016,3444
"23248",615000,"Powiat radzyński",2016,2795
"23249",616000,"Powiat rycki",2016,2737
"23250",617000,"Powiat świdnicki",2016,3711
"23251",618000,"Powiat tomaszowski",2016,2010
"23252",619000,"Powiat włodawski",2016,1864
"23253",620000,"Powiat zamojski",2016,2217
"23254",661000,"Powiat m.Biała Podlaska",2016,3026
"23255",662000,"Powiat m.Chełm",2016,2632
"23256",663000,"Powiat m.Lublin",2016,4688
"23257",664000,"Powiat m.Zamość",2016,2857
"23258",801000,"Powiat gorzowski",2016,2446
"23259",802000,"Powiat krośnieński",2016,2044
"23260",803000,"Powiat międzyrzecki",2016,2258
"23261",804000,"Powiat nowosolski",2016,2204
"23262",805000,"Powiat słubicki",2016,2759
"23263",806000,"Powiat strzelecko-drezdenecki",2016,2321
"23264",807000,"Powiat sulęciński",2016,2309
"23265",808000,"Powiat świebodziński",2016,2289
"23266",809000,"Powiat zielonogórski",2016,2302
"23267",810000,"Powiat żagański",2016,1927
"23268",811000,"Powiat żarski",2016,2178
"23269",812000,"Powiat wschowski",2016,2145
"23270",861000,"Powiat m.Gorzów Wielkopolski",2016,2862
"23271",862000,"Powiat m.Zielona Góra",2016,3472
"23272",1001000,"Powiat bełchatowski",2016,2534
"23273",1002000,"Powiat kutnowski",2016,2917
"23274",1003000,"Powiat łaski",2016,2192
"23275",1004000,"Powiat łęczycki",2016,2529
"23276",1005000,"Powiat łowicki",2016,2953
"23277",1006000,"Powiat łódzki wschodni",2016,2561
"23278",1007000,"Powiat opoczyński",2016,2604
"23279",1008000,"Powiat pabianicki",2016,2551
"23280",1009000,"Powiat pajęczański",2016,2561
"23281",1010000,"Powiat piotrkowski",2016,1939
"23282",1011000,"Powiat poddębicki",2016,2911
"23283",1012000,"Powiat radomszczański",2016,2469
"23284",1013000,"Powiat rawski",2016,2938
"23285",1014000,"Powiat sieradzki",2016,2354
"23286",1015000,"Powiat skierniewicki",2016,0
"23287",1016000,"Powiat tomaszowski",2016,2396
"23288",1017000,"Powiat wieluński",2016,2760
"23289",1018000,"Powiat wieruszowski",2016,2716
"23290",1019000,"Powiat zduńskowolski",2016,2445
"23291",1020000,"Powiat zgierski",2016,2664
"23292",1021000,"Powiat brzeziński",2016,3437
"23293",1061000,"Powiat m.Łódź",2016,3319
"23294",1062000,"Powiat m.Piotrków Trybunalski",2016,2851
"23295",1063000,"Powiat m.Skierniewice",2016,3257
"23296",1201000,"Powiat bocheński",2016,3341
"23297",1202000,"Powiat brzeski",2016,3340
"23298",1203000,"Powiat chrzanowski",2016,2637
"23299",1204000,"Powiat dąbrowski",2016,2008
"23300",1205000,"Powiat gorlicki",2016,2533
"23301",1206000,"Powiat krakowski",2016,4042
"23302",1207000,"Powiat limanowski",2016,3121
"23303",1208000,"Powiat miechowski",2016,3008
"23304",1209000,"Powiat myślenicki",2016,3778
"23305",1210000,"Powiat nowosądecki",2016,3429
"23306",1211000,"Powiat nowotarski",2016,3748
"23307",1212000,"Powiat olkuski",2016,2674
"23308",1213000,"Powiat oświęcimski",2016,2632
"23309",1214000,"Powiat proszowicki",2016,3537
"23310",1215000,"Powiat suski",2016,2916
"23311",1216000,"Powiat tarnowski",2016,0
"23312",1217000,"Powiat tatrzański",2016,8045
"23313",1218000,"Powiat wadowicki",2016,3100
"23314",1219000,"Powiat wielicki",2016,4621
"23315",1261000,"Powiat m.Kraków",2016,5847
"23316",1262000,"Powiat m.Nowy Sącz",2016,3158
"23317",1263000,"Powiat m.Tarnów",2016,3025
"23318",1401000,"Powiat białobrzeski",2016,2474
"23319",1402000,"Powiat ciechanowski",2016,2676
"23320",1403000,"Powiat garwoliński",2016,2222
"23321",1404000,"Powiat gostyniński",2016,2222
"23322",1405000,"Powiat grodziski",2016,4739
"23323",1406000,"Powiat grójecki",2016,3538
"23324",1407000,"Powiat kozienicki",2016,3026
"23325",1408000,"Powiat legionowski",2016,4487
"23326",1409000,"Powiat lipski",2016,0
"23327",1410000,"Powiat łosicki",2016,2860
"23328",1411000,"Powiat makowski",2016,0
"23329",1412000,"Powiat miński",2016,3576
"23330",1413000,"Powiat mławski",2016,2380
"23331",1414000,"Powiat nowodworski",2016,3644
"23332",1415000,"Powiat ostrołęcki",2016,0
"23333",1416000,"Powiat ostrowski",2016,2833
"23334",1417000,"Powiat otwocki",2016,4717
"23335",1418000,"Powiat piaseczyński",2016,5493
"23336",1419000,"Powiat płocki",2016,1624
"23337",1420000,"Powiat płoński",2016,2759
"23338",1421000,"Powiat pruszkowski",2016,4516
"23339",1422000,"Powiat przasnyski",2016,2748
"23340",1423000,"Powiat przysuski",2016,2103
"23341",1424000,"Powiat pułtuski",2016,2698
"23342",1425000,"Powiat radomski",2016,1743
"23343",1426000,"Powiat siedlecki",2016,2179
"23344",1427000,"Powiat sierpecki",2016,2813
"23345",1428000,"Powiat sochaczewski",2016,3078
"23346",1429000,"Powiat sokołowski",2016,3066
"23347",1430000,"Powiat szydłowiecki",2016,1983
"23348",1432000,"Powiat warszawski zachodni",2016,4399
"23349",1433000,"Powiat węgrowski",2016,2990
"23350",1434000,"Powiat wołomiński",2016,4839
"23351",1435000,"Powiat wyszkowski",2016,3739
"23352",1436000,"Powiat zwoleński",2016,0
