"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_pierwotny_do_40_m2_zl"
"11609",1818000,"Powiat stalowowolski",2015,0
"11610",1819000,"Powiat strzyżowski",2015,0
"11611",1820000,"Powiat tarnobrzeski",2015,0
"11612",1821000,"Powiat leski",2015,0
"11613",1861000,"Powiat m.Krosno",2015,4138
"11614",1862000,"Powiat m.Przemyśl",2015,0
"11615",1863000,"Powiat m.Rzeszów",2015,4891
"11616",1864000,"Powiat m.Tarnobrzeg",2015,0
"11617",2001000,"Powiat augustowski",2015,0
"11618",2002000,"Powiat białostocki",2015,3388
"11619",2003000,"Powiat bielski",2015,0
"11620",2004000,"Powiat grajewski",2015,2964
"11621",2005000,"Powiat hajnowski",2015,0
"11622",2006000,"Powiat kolneński",2015,0
"11623",2007000,"Powiat łomżyński",2015,0
"11624",2008000,"Powiat moniecki",2015,0
"11625",2009000,"Powiat sejneński",2015,0
"11626",2010000,"Powiat siemiatycki",2015,0
"11627",2011000,"Powiat sokólski",2015,3299
"11628",2012000,"Powiat suwalski",2015,0
"11629",2013000,"Powiat wysokomazowiecki",2015,0
"11630",2014000,"Powiat zambrowski",2015,3214
"11631",2061000,"Powiat m.Białystok",2015,4853
"11632",2062000,"Powiat m.Łomża",2015,3498
"11633",2063000,"Powiat m.Suwałki",2015,3499
"11634",2201000,"Powiat bytowski",2015,0
"11635",2202000,"Powiat chojnicki",2015,0
"11636",2203000,"Powiat człuchowski",2015,0
"11637",2204000,"Powiat gdański",2015,4236
"11638",2205000,"Powiat kartuski",2015,4215
"11639",2206000,"Powiat kościerski",2015,3564
"11640",2207000,"Powiat kwidzyński",2015,0
"11641",2208000,"Powiat lęborski",2015,2980
"11642",2209000,"Powiat malborski",2015,3497
"11643",2210000,"Powiat nowodworski",2015,6198
"11644",2211000,"Powiat pucki",2015,5359
"11645",2212000,"Powiat słupski",2015,3472
"11646",2213000,"Powiat starogardzki",2015,4155
"11647",2214000,"Powiat tczewski",2015,3734
"11648",2215000,"Powiat wejherowski",2015,4127
"11649",2216000,"Powiat sztumski",2015,0
"11650",2261000,"Powiat m.Gdańsk",2015,5189
"11651",2262000,"Powiat m.Gdynia",2015,6275
"11652",2263000,"Powiat m.Słupsk",2015,3471
"11653",2264000,"Powiat m.Sopot",2015,17695
"11654",2401000,"Powiat będziński",2015,3427
"11655",2402000,"Powiat bielski",2015,3100
"11656",2403000,"Powiat cieszyński",2015,4424
"11657",2404000,"Powiat częstochowski",2015,0
"11658",2405000,"Powiat gliwicki",2015,0
"11659",2406000,"Powiat kłobucki",2015,0
"11660",2407000,"Powiat lubliniecki",2015,0
"11661",2408000,"Powiat mikołowski",2015,0
"11662",2409000,"Powiat myszkowski",2015,0
"11663",2410000,"Powiat pszczyński",2015,0
"11664",2411000,"Powiat raciborski",2015,0
"11665",2412000,"Powiat rybnicki",2015,0
"11666",2413000,"Powiat tarnogórski",2015,0
"11667",2414000,"Powiat bieruńsko-lędziński",2015,2988
"11668",2415000,"Powiat wodzisławski",2015,0
"11669",2416000,"Powiat zawierciański",2015,0
"11670",2417000,"Powiat żywiecki",2015,0
"11671",2461000,"Powiat m.Bielsko-Biała",2015,4282
"11672",2462000,"Powiat m.Bytom",2015,0
"11673",2463000,"Powiat m.Chorzów",2015,3040
"11674",2464000,"Powiat m.Częstochowa",2015,4319
"11675",2465000,"Powiat m.Dąbrowa Górnicza",2015,2405
"11676",2466000,"Powiat m.Gliwice",2015,3097
"11677",2467000,"Powiat m.Jastrzębie-Zdrój",2015,0
"11678",2468000,"Powiat m.Jaworzno",2015,3152
"11679",2469000,"Powiat m.Katowice",2015,3548
"11680",2470000,"Powiat m.Mysłowice",2015,0
"11681",2471000,"Powiat m.Piekary Śląskie",2015,0
"11682",2472000,"Powiat m.Ruda Śląska",2015,3063
"11683",2473000,"Powiat m.Rybnik",2015,0
"11684",2474000,"Powiat m.Siemianowice Śląskie",2015,2223
"11685",2475000,"Powiat m.Sosnowiec",2015,2214
"11686",2476000,"Powiat m.Świętochłowice",2015,0
"11687",2477000,"Powiat m.Tychy",2015,4331
"11688",2478000,"Powiat m.Zabrze",2015,0
"11689",2479000,"Powiat m.Żory",2015,0
"11690",2601000,"Powiat buski",2015,0
"11691",2602000,"Powiat jędrzejowski",2015,0
"11692",2603000,"Powiat kazimierski",2015,0
"11693",2604000,"Powiat kielecki",2015,0
"11694",2605000,"Powiat konecki",2015,0
"11695",2606000,"Powiat opatowski",2015,0
"11696",2607000,"Powiat ostrowiecki",2015,0
"11697",2608000,"Powiat pińczowski",2015,0
"11698",2609000,"Powiat sandomierski",2015,0
"11699",2610000,"Powiat skarżyski",2015,0
"11700",2611000,"Powiat starachowicki",2015,0
"11701",2612000,"Powiat staszowski",2015,0
"11702",2613000,"Powiat włoszczowski",2015,0
"11703",2661000,"Powiat m.Kielce",2015,4613
"11704",2801000,"Powiat bartoszycki",2015,0
"11705",2802000,"Powiat braniewski",2015,0
"11706",2803000,"Powiat działdowski",2015,3236
"11707",2804000,"Powiat elbląski",2015,0
"11708",2805000,"Powiat ełcki",2015,3260
"11709",2806000,"Powiat giżycki",2015,3579
"11710",2807000,"Powiat iławski",2015,3176
"11711",2808000,"Powiat kętrzyński",2015,0
"11712",2809000,"Powiat lidzbarski",2015,0
"11713",2810000,"Powiat mrągowski",2015,3602
"11714",2811000,"Powiat nidzicki",2015,0
"11715",2812000,"Powiat nowomiejski",2015,0
"11716",2813000,"Powiat olecki",2015,0
"11717",2814000,"Powiat olsztyński",2015,3941
"11718",2815000,"Powiat ostródzki",2015,3140
"11719",2816000,"Powiat piski",2015,0
"11720",2817000,"Powiat szczycieński",2015,2829
