"","Kod","Nazwa","rok","WYPADKI_DROGOWE_CTAB_wypadki_drogowe_na_100_tys_ludnosci_osoba"
"265",2412000,"Powiat rybnicki",2002,NA
"266",2413000,"Powiat tarnogórski",2002,NA
"267",2414000,"Powiat bieruńsko-lędziński",2002,NA
"268",2415000,"Powiat wodzisławski",2002,NA
"269",2416000,"Powiat zawierciański",2002,NA
"270",2417000,"Powiat żywiecki",2002,NA
"271",2461000,"Powiat m.Bielsko-Biała",2002,NA
"272",2462000,"Powiat m.Bytom",2002,NA
"273",2463000,"Powiat m.Chorzów",2002,NA
"274",2464000,"Powiat m.Częstochowa",2002,NA
"275",2465000,"Powiat m.Dąbrowa Górnicza",2002,NA
"276",2466000,"Powiat m.Gliwice",2002,NA
"277",2467000,"Powiat m.Jastrzębie-Zdrój",2002,NA
"278",2468000,"Powiat m.Jaworzno",2002,NA
"279",2469000,"Powiat m.Katowice",2002,NA
"280",2470000,"Powiat m.Mysłowice",2002,NA
"281",2471000,"Powiat m.Piekary Śląskie",2002,NA
"282",2472000,"Powiat m.Ruda Śląska",2002,NA
"283",2473000,"Powiat m.Rybnik",2002,NA
"284",2474000,"Powiat m.Siemianowice Śląskie",2002,NA
"285",2475000,"Powiat m.Sosnowiec",2002,NA
"286",2476000,"Powiat m.Świętochłowice",2002,NA
"287",2477000,"Powiat m.Tychy",2002,NA
"288",2478000,"Powiat m.Zabrze",2002,NA
"289",2479000,"Powiat m.Żory",2002,NA
"290",2601000,"Powiat buski",2002,NA
"291",2602000,"Powiat jędrzejowski",2002,NA
"292",2603000,"Powiat kazimierski",2002,NA
"293",2604000,"Powiat kielecki",2002,NA
"294",2605000,"Powiat konecki",2002,NA
"295",2606000,"Powiat opatowski",2002,NA
"296",2607000,"Powiat ostrowiecki",2002,NA
"297",2608000,"Powiat pińczowski",2002,NA
"298",2609000,"Powiat sandomierski",2002,NA
"299",2610000,"Powiat skarżyski",2002,NA
"300",2611000,"Powiat starachowicki",2002,NA
"301",2612000,"Powiat staszowski",2002,NA
"302",2613000,"Powiat włoszczowski",2002,NA
"303",2661000,"Powiat m.Kielce",2002,NA
"304",2801000,"Powiat bartoszycki",2002,NA
"305",2802000,"Powiat braniewski",2002,NA
"306",2803000,"Powiat działdowski",2002,NA
"307",2804000,"Powiat elbląski",2002,NA
"308",2805000,"Powiat ełcki",2002,NA
"309",2806000,"Powiat giżycki",2002,NA
"310",2807000,"Powiat iławski",2002,NA
"311",2808000,"Powiat kętrzyński",2002,NA
"312",2809000,"Powiat lidzbarski",2002,NA
"313",2810000,"Powiat mrągowski",2002,NA
"314",2811000,"Powiat nidzicki",2002,NA
"315",2812000,"Powiat nowomiejski",2002,NA
"316",2813000,"Powiat olecki",2002,NA
"317",2814000,"Powiat olsztyński",2002,NA
"318",2815000,"Powiat ostródzki",2002,NA
"319",2816000,"Powiat piski",2002,NA
"320",2817000,"Powiat szczycieński",2002,NA
"321",2818000,"Powiat gołdapski",2002,NA
"322",2819000,"Powiat węgorzewski",2002,NA
"323",2861000,"Powiat m.Elbląg",2002,NA
"324",2862000,"Powiat m.Olsztyn",2002,NA
"325",3001000,"Powiat chodzieski",2002,NA
"326",3002000,"Powiat czarnkowsko-trzcianecki",2002,NA
"327",3003000,"Powiat gnieźnieński",2002,NA
"328",3004000,"Powiat gostyński",2002,NA
"329",3005000,"Powiat grodziski",2002,NA
"330",3006000,"Powiat jarociński",2002,NA
"331",3007000,"Powiat kaliski",2002,NA
"332",3008000,"Powiat kępiński",2002,NA
"333",3009000,"Powiat kolski",2002,NA
"334",3010000,"Powiat koniński",2002,NA
"335",3011000,"Powiat kościański",2002,NA
"336",3012000,"Powiat krotoszyński",2002,NA
"337",3013000,"Powiat leszczyński",2002,NA
"338",3014000,"Powiat międzychodzki",2002,NA
"339",3015000,"Powiat nowotomyski",2002,NA
"340",3016000,"Powiat obornicki",2002,NA
"341",3017000,"Powiat ostrowski",2002,NA
"342",3018000,"Powiat ostrzeszowski",2002,NA
"343",3019000,"Powiat pilski",2002,NA
"344",3020000,"Powiat pleszewski",2002,NA
"345",3021000,"Powiat poznański",2002,NA
"346",3022000,"Powiat rawicki",2002,NA
"347",3023000,"Powiat słupecki",2002,NA
"348",3024000,"Powiat szamotulski",2002,NA
"349",3025000,"Powiat średzki",2002,NA
"350",3026000,"Powiat śremski",2002,NA
"351",3027000,"Powiat turecki",2002,NA
"352",3028000,"Powiat wągrowiecki",2002,NA
"353",3029000,"Powiat wolsztyński",2002,NA
"354",3030000,"Powiat wrzesiński",2002,NA
"355",3031000,"Powiat złotowski",2002,NA
"356",3061000,"Powiat m.Kalisz",2002,NA
"357",3062000,"Powiat m.Konin",2002,NA
"358",3063000,"Powiat m.Leszno",2002,NA
"359",3064000,"Powiat m.Poznań",2002,NA
"360",3201000,"Powiat białogardzki",2002,NA
"361",3202000,"Powiat choszczeński",2002,NA
"362",3203000,"Powiat drawski",2002,NA
