"","Kod","Nazwa","rok","Dochody_powiatu_na_1_mieszkanca_ogolem_zl"
"185",1820000,"Powiat tarnobrzeski",2002,375
"186",1821000,"Powiat leski",2002,694
"187",2001000,"Powiat augustowski",2002,524
"188",2002000,"Powiat białostocki",2002,384
"189",2003000,"Powiat bielski",2002,564
"190",2004000,"Powiat grajewski",2002,555
"191",2005000,"Powiat hajnowski",2002,580
"192",2006000,"Powiat kolneński",2002,415
"193",2007000,"Powiat łomżyński",2002,320
"194",2008000,"Powiat moniecki",2002,475
"195",2009000,"Powiat sejneński",2002,690
"196",2010000,"Powiat siemiatycki",2002,515
"197",2011000,"Powiat sokólski",2002,487
"198",2012000,"Powiat suwalski",2002,384
"199",2013000,"Powiat wysokomazowiecki",2002,520
"200",2014000,"Powiat zambrowski",2002,529
"201",2201000,"Powiat bytowski",2002,591
"202",2202000,"Powiat chojnicki",2002,886
"203",2203000,"Powiat człuchowski",2002,682
"204",2204000,"Powiat gdański",2002,292
"205",2205000,"Powiat kartuski",2002,428
"206",2206000,"Powiat kościerski",2002,551
"207",2207000,"Powiat kwidzyński",2002,680
"208",2208000,"Powiat lęborski",2002,655
"209",2209000,"Powiat malborski",2002,690
"210",2210000,"Powiat nowodworski",2002,660
"211",2211000,"Powiat pucki",2002,535
"212",2212000,"Powiat słupski",2002,448
"213",2213000,"Powiat starogardzki",2002,494
"214",2214000,"Powiat tczewski",2002,581
"215",2215000,"Powiat wejherowski",2002,432
"216",2216000,"Powiat sztumski",2002,539
"217",2401000,"Powiat będziński",2002,415
"218",2402000,"Powiat bielski",2002,281
"219",2403000,"Powiat cieszyński",2002,509
"220",2404000,"Powiat częstochowski",2002,241
"221",2405000,"Powiat gliwicki",2002,246
"222",2406000,"Powiat kłobucki",2002,365
"223",2407000,"Powiat lubliniecki",2002,599
"224",2408000,"Powiat mikołowski",2002,412
"225",2409000,"Powiat myszkowski",2002,451
"226",2410000,"Powiat pszczyński",2002,393
"227",2411000,"Powiat raciborski",2002,695
"228",2412000,"Powiat rybnicki",2002,201
"229",2413000,"Powiat tarnogórski",2002,640
"230",2414000,"Powiat bieruńsko-lędziński",2002,249
"231",2415000,"Powiat wodzisławski",2002,445
"232",2416000,"Powiat zawierciański",2002,492
"233",2417000,"Powiat żywiecki",2002,446
"234",2601000,"Powiat buski",2002,629
"235",2602000,"Powiat jędrzejowski",2002,543
"236",2603000,"Powiat kazimierski",2002,618
"237",2604000,"Powiat kielecki",2002,256
"238",2605000,"Powiat konecki",2002,475
"239",2606000,"Powiat opatowski",2002,653
"240",2607000,"Powiat ostrowiecki",2002,567
"241",2608000,"Powiat pińczowski",2002,545
"242",2609000,"Powiat sandomierski",2002,560
"243",2610000,"Powiat skarżyski",2002,627
"244",2611000,"Powiat starachowicki",2002,648
"245",2612000,"Powiat staszowski",2002,468
"246",2613000,"Powiat włoszczowski",2002,469
"247",2801000,"Powiat bartoszycki",2002,608
"248",2802000,"Powiat braniewski",2002,621
"249",2803000,"Powiat działdowski",2002,467
"250",2804000,"Powiat elbląski",2002,531
"251",2805000,"Powiat ełcki",2002,674
"252",2806000,"Powiat giżycki",2002,640
"253",2807000,"Powiat iławski",2002,522
"254",2808000,"Powiat kętrzyński",2002,716
"255",2809000,"Powiat lidzbarski",2002,644
"256",2810000,"Powiat mrągowski",2002,598
"257",2811000,"Powiat nidzicki",2002,573
"258",2812000,"Powiat nowomiejski",2002,434
"259",2813000,"Powiat olecki",2002,776
"260",2814000,"Powiat olsztyński",2002,423
"261",2815000,"Powiat ostródzki",2002,558
"262",2816000,"Powiat piski",2002,531
"263",2817000,"Powiat szczycieński",2002,570
"264",2818000,"Powiat gołdapski",2002,570
"265",2819000,"Powiat węgorzewski",2002,891
"266",3001000,"Powiat chodzieski",2002,583
"267",3002000,"Powiat czarnkowsko-trzcianecki",2002,681
"268",3003000,"Powiat gnieźnieński",2002,560
"269",3004000,"Powiat gostyński",2002,605
"270",3005000,"Powiat grodziski",2002,413
"271",3006000,"Powiat jarociński",2002,531
"272",3007000,"Powiat kaliski",2002,209
"273",3008000,"Powiat kępiński",2002,461
"274",3009000,"Powiat kolski",2002,512
"275",3010000,"Powiat koniński",2002,235
"276",3011000,"Powiat kościański",2002,403
"277",3012000,"Powiat krotoszyński",2002,530
"278",3013000,"Powiat leszczyński",2002,260
"279",3014000,"Powiat międzychodzki",2002,707
"280",3015000,"Powiat nowotomyski",2002,433
"281",3016000,"Powiat obornicki",2002,476
"282",3017000,"Powiat ostrowski",2002,478
"283",3018000,"Powiat ostrzeszowski",2002,637
"284",3019000,"Powiat pilski",2002,639
"285",3020000,"Powiat pleszewski",2002,653
"286",3021000,"Powiat poznański",2002,253
"287",3022000,"Powiat rawicki",2002,514
"288",3023000,"Powiat słupecki",2002,614
"289",3024000,"Powiat szamotulski",2002,539
"290",3025000,"Powiat średzki",2002,485
"291",3026000,"Powiat śremski",2002,507
