"","Kod","Nazwa","rok","ludnosc_grupy_ekonomiczne_w_wieku_poprodukcyjnym_proc"
"13939",2006000,"Powiat kolneński",2002,15.6
"13940",2007000,"Powiat łomżyński",2002,18.1
"13941",2008000,"Powiat moniecki",2002,18.5
"13942",2009000,"Powiat sejneński",2002,18.1
"13943",2010000,"Powiat siemiatycki",2002,20.6
"13944",2011000,"Powiat sokólski",2002,19
"13945",2012000,"Powiat suwalski",2002,17
"13946",2013000,"Powiat wysokomazowiecki",2002,18.6
"13947",2014000,"Powiat zambrowski",2002,15.3
"13948",2061000,"Powiat m.Białystok",2002,13.9
"13949",2062000,"Powiat m.Łomża",2002,10.6
"13950",2063000,"Powiat m.Suwałki",2002,10.8
"13951",2201000,"Powiat bytowski",2002,11
"13952",2202000,"Powiat chojnicki",2002,12.7
"13953",2203000,"Powiat człuchowski",2002,11.8
"13954",2204000,"Powiat gdański",2002,10.7
"13955",2205000,"Powiat kartuski",2002,10.8
"13956",2206000,"Powiat kościerski",2002,11.9
"13957",2207000,"Powiat kwidzyński",2002,11.2
"13958",2208000,"Powiat lęborski",2002,11.8
"13959",2209000,"Powiat malborski",2002,13.5
"13960",2210000,"Powiat nowodworski",2002,12.9
"13961",2211000,"Powiat pucki",2002,11.2
"13962",2212000,"Powiat słupski",2002,11.5
"13963",2213000,"Powiat starogardzki",2002,12.3
"13964",2214000,"Powiat tczewski",2002,12.2
"13965",2215000,"Powiat wejherowski",2002,10.8
"13966",2216000,"Powiat sztumski",2002,11.3
"13967",2261000,"Powiat m.Gdańsk",2002,16.3
"13968",2262000,"Powiat m.Gdynia",2002,16.3
"13969",2263000,"Powiat m.Słupsk",2002,14.2
"13970",2264000,"Powiat m.Sopot",2002,21.9
"13971",2401000,"Powiat będziński",2002,17.4
"13972",2402000,"Powiat bielski",2002,14.6
"13973",2403000,"Powiat cieszyński",2002,14.5
"13974",2404000,"Powiat częstochowski",2002,17.4
"13975",2405000,"Powiat gliwicki",2002,14.2
