"","Kod","Nazwa","rok","TURYSTYCZNE_OBIEKTY_NOCLEGOWE_I_ICH_WYKORZYSTANIE_CTAB_noclegi_udzielone_turystom_krajowym_w_turystycznych_obiektach_noclegowych_ogolem_na_10_tys_mieszkancow_ogolem"
"62040",2814000,"Powiat olsztyński",2002,23489
"62041",2815000,"Powiat ostródzki",2002,11526
"62042",2816000,"Powiat piski",2002,10048
"62043",2817000,"Powiat szczycieński",2002,14695
"62044",2818000,"Powiat gołdapski",2002,11722
"62045",2819000,"Powiat węgorzewski",2002,9104
"62046",2861000,"Powiat m.Elbląg",2002,3959
"62047",2862000,"Powiat m.Olsztyn",2002,9244
"62048",3001000,"Powiat chodzieski",2002,5047
"62049",3002000,"Powiat czarnkowsko-trzcianecki",2002,4312
"62050",3003000,"Powiat gnieźnieński",2002,10936
"62051",3004000,"Powiat gostyński",2002,1155
"62052",3005000,"Powiat grodziski",2002,343
"62053",3006000,"Powiat jarociński",2002,1176
"62054",3007000,"Powiat kaliski",2002,1412
"62055",3008000,"Powiat kępiński",2002,5708
"62056",3009000,"Powiat kolski",2002,871
"62057",3010000,"Powiat koniński",2002,15153
"62058",3011000,"Powiat kościański",2002,4717
"62059",3012000,"Powiat krotoszyński",2002,672
"62060",3013000,"Powiat leszczyński",2002,28893
"62061",3014000,"Powiat międzychodzki",2002,39639
"62062",3015000,"Powiat nowotomyski",2002,4329
"62063",3016000,"Powiat obornicki",2002,2032
"62064",3017000,"Powiat ostrowski",2002,4273
"62065",3018000,"Powiat ostrzeszowski",2002,5504
"62066",3019000,"Powiat pilski",2002,4696
"62067",3020000,"Powiat pleszewski",2002,3373
"62068",3021000,"Powiat poznański",2002,5369
"62069",3022000,"Powiat rawicki",2002,1652
"62070",3023000,"Powiat słupecki",2002,5795
"62071",3024000,"Powiat szamotulski",2002,3601
"62072",3025000,"Powiat średzki",2002,4135
"62073",3026000,"Powiat śremski",2002,2611
"62074",3027000,"Powiat turecki",2002,2560
"62075",3028000,"Powiat wągrowiecki",2002,6827
"62076",3029000,"Powiat wolsztyński",2002,19991
"62077",3030000,"Powiat wrzesiński",2002,2081
"62078",3031000,"Powiat złotowski",2002,2485
"62079",3061000,"Powiat m.Kalisz",2002,4803
"62080",3062000,"Powiat m.Konin",2002,5246
"62081",3063000,"Powiat m.Leszno",2002,5592
"62082",3064000,"Powiat m.Poznań",2002,6774
"62083",3201000,"Powiat białogardzki",2002,3123
"62084",3202000,"Powiat choszczeński",2002,2535
"62085",3203000,"Powiat drawski",2002,16131
"62086",3204000,"Powiat goleniowski",2002,1582
"62087",3205000,"Powiat gryficki",2002,198894
"62088",3206000,"Powiat gryfiński",2002,10174
"62089",3207000,"Powiat kamieński",2002,265578
"62090",3208000,"Powiat kołobrzeski",2002,251661
"62091",3209000,"Powiat koszaliński",2002,121371
"62092",3210000,"Powiat myśliborski",2002,2894
"62093",3211000,"Powiat policki",2002,3235
"62094",3212000,"Powiat pyrzycki",2002,1216
"62095",3213000,"Powiat sławieński",2002,134190
"62096",3214000,"Powiat stargardzki",2002,7116
"62097",3215000,"Powiat szczecinecki",2002,3262
"62098",3216000,"Powiat świdwiński",2002,10463
"62099",3217000,"Powiat wałecki",2002,11981
"62100",3218000,"Powiat łobeski",2002,325
"62101",3261000,"Powiat m.Koszalin",2002,3920
"62102",3262000,"Powiat m.Szczecin",2002,5918
"62103",3263000,"Powiat m.Świnoujście",2002,194580
"62104",201000,"Powiat bolesławiecki",2003,4187
"62105",202000,"Powiat dzierżoniowski",2003,1416
"62106",203000,"Powiat głogowski",2003,1740
"62107",204000,"Powiat górowski",2003,196
"62108",205000,"Powiat jaworski",2003,3928
"62109",206000,"Powiat jeleniogórski",2003,193357
"62110",207000,"Powiat kamiennogórski",2003,9236
"62111",208000,"Powiat kłodzki",2003,56582
"62112",209000,"Powiat legnicki",2003,3530
"62113",210000,"Powiat lubański",2003,19454
"62114",211000,"Powiat lubiński",2003,3426
"62115",212000,"Powiat lwówecki",2003,5227
"62116",213000,"Powiat milicki",2003,11536
"62117",214000,"Powiat oleśnicki",2003,2480
"62118",215000,"Powiat oławski",2003,2005
"62119",216000,"Powiat polkowicki",2003,5186
"62120",217000,"Powiat strzeliński",2003,2131
"62121",218000,"Powiat średzki",2003,2361
"62122",219000,"Powiat świdnicki",2003,3006
"62123",220000,"Powiat trzebnicki",2003,3568
"62124",221000,"Powiat wałbrzyski",2003,11133
"62125",222000,"Powiat wołowski",2003,10326
"62126",223000,"Powiat wrocławski",2003,6131
"62127",224000,"Powiat ząbkowicki",2003,1916
"62128",225000,"Powiat zgorzelecki",2003,5717
"62129",226000,"Powiat złotoryjski",2003,1462
"62130",261000,"Powiat m.Jelenia Góra",2003,12163
"62131",262000,"Powiat m.Legnica",2003,2631
"62132",263000,"Powiat m.Wałbrzych do 2002",2003,NA
"62133",264000,"Powiat m.Wrocław",2003,8914
"62134",265000,"Powiat m.Wałbrzych od 2013",2003,NA
"62135",401000,"Powiat aleksandrowski",2003,58443
"62136",402000,"Powiat brodnicki",2003,11471
"62137",403000,"Powiat bydgoski",2003,12727
"62138",404000,"Powiat chełmiński",2003,773
"62139",405000,"Powiat golubsko-dobrzyński",2003,1394
"62140",406000,"Powiat grudziądzki",2003,2768
"62141",407000,"Powiat inowrocławski",2003,28733
"62142",408000,"Powiat lipnowski",2003,1400
"62143",409000,"Powiat mogileński",2003,19678
"62144",410000,"Powiat nakielski",2003,1110
"62145",411000,"Powiat radziejowski",2003,1825
"62146",412000,"Powiat rypiński",2003,5352
"62147",413000,"Powiat sępoleński",2003,5598
"62148",414000,"Powiat świecki",2003,6646
"62149",415000,"Powiat toruński",2003,3596
"62150",416000,"Powiat tucholski",2003,23235
"62151",417000,"Powiat wąbrzeski",2003,1793
"62152",418000,"Powiat włocławski",2003,7583
"62153",419000,"Powiat żniński",2003,9933
"62154",461000,"Powiat m.Bydgoszcz",2003,3614
"62155",462000,"Powiat m.Grudziądz",2003,3403
"62156",463000,"Powiat m.Toruń",2003,6050
"62157",464000,"Powiat m.Włocławek",2003,4397
"62158",601000,"Powiat bialski",2003,2254
"62159",602000,"Powiat biłgorajski",2003,809
"62160",603000,"Powiat chełmski",2003,1411
"62161",604000,"Powiat hrubieszowski",2003,553
"62162",605000,"Powiat janowski",2003,10134
"62163",606000,"Powiat krasnostawski",2003,645
"62164",607000,"Powiat kraśnicki",2003,502
"62165",608000,"Powiat lubartowski",2003,6454
"62166",609000,"Powiat lubelski",2003,230
"62167",610000,"Powiat łęczyński",2003,1354
"62168",611000,"Powiat łukowski",2003,527
"62169",612000,"Powiat opolski",2003,76
"62170",613000,"Powiat parczewski",2003,9090
"62171",614000,"Powiat puławski",2003,25719
"62172",615000,"Powiat radzyński",2003,730
"62173",616000,"Powiat rycki",2003,463
"62174",617000,"Powiat świdnicki",2003,331
"62175",618000,"Powiat tomaszowski",2003,6569
"62176",619000,"Powiat włodawski",2003,36611
"62177",620000,"Powiat zamojski",2003,8895
"62178",661000,"Powiat m.Biała Podlaska",2003,4748
"62179",662000,"Powiat m.Chełm",2003,2449
"62180",663000,"Powiat m.Lublin",2003,5230
"62181",664000,"Powiat m.Zamość",2003,7620
"62182",801000,"Powiat gorzowski",2003,4472
"62183",802000,"Powiat krośnieński",2003,7026
"62184",803000,"Powiat międzyrzecki",2003,15326
"62185",804000,"Powiat nowosolski",2003,3961
"62186",805000,"Powiat słubicki",2003,16365
"62187",806000,"Powiat strzelecko-drezdenecki",2003,17563
"62188",807000,"Powiat sulęciński",2003,21531
"62189",808000,"Powiat świebodziński",2003,23956
"62190",809000,"Powiat zielonogórski",2003,5817
"62191",810000,"Powiat żagański",2003,2284
"62192",811000,"Powiat żarski",2003,3258
"62193",812000,"Powiat wschowski",2003,29314
"62194",861000,"Powiat m.Gorzów Wielkopolski",2003,7007
"62195",862000,"Powiat m.Zielona Góra",2003,6940
"62196",1001000,"Powiat bełchatowski",2003,7591
"62197",1002000,"Powiat kutnowski",2003,968
"62198",1003000,"Powiat łaski",2003,1671
"62199",1004000,"Powiat łęczycki",2003,954
"62200",1005000,"Powiat łowicki",2003,1901
"62201",1006000,"Powiat łódzki wschodni",2003,6901
"62202",1007000,"Powiat opoczyński",2003,719
"62203",1008000,"Powiat pabianicki",2003,954
"62204",1009000,"Powiat pajęczański",2003,300
"62205",1010000,"Powiat piotrkowski",2003,7264
"62206",1011000,"Powiat poddębicki",2003,3264
"62207",1012000,"Powiat radomszczański",2003,2186
"62208",1013000,"Powiat rawski",2003,2889
"62209",1014000,"Powiat sieradzki",2003,1706
"62210",1015000,"Powiat skierniewicki",2003,3756
"62211",1016000,"Powiat tomaszowski",2003,24176
"62212",1017000,"Powiat wieluński",2003,8101
"62213",1018000,"Powiat wieruszowski",2003,3782
"62214",1019000,"Powiat zduńskowolski",2003,1918
"62215",1020000,"Powiat zgierski",2003,4170
"62216",1021000,"Powiat brzeziński",2003,3469
"62217",1061000,"Powiat m.Łódź",2003,3706
"62218",1062000,"Powiat m.Piotrków Trybunalski",2003,2407
"62219",1063000,"Powiat m.Skierniewice",2003,2484
"62220",1201000,"Powiat bocheński",2003,5489
"62221",1202000,"Powiat brzeski",2003,1855
"62222",1203000,"Powiat chrzanowski",2003,768
"62223",1204000,"Powiat dąbrowski",2003,65
"62224",1205000,"Powiat gorlicki",2003,19444
"62225",1206000,"Powiat krakowski",2003,2770
"62226",1207000,"Powiat limanowski",2003,8186
"62227",1208000,"Powiat miechowski",2003,247
"62228",1209000,"Powiat myślenicki",2003,3963
"62229",1210000,"Powiat nowosądecki",2003,79385
"62230",1211000,"Powiat nowotarski",2003,44152
"62231",1212000,"Powiat olkuski",2003,3268
"62232",1213000,"Powiat oświęcimski",2003,1851
"62233",1214000,"Powiat proszowicki",2003,595
"62234",1215000,"Powiat suski",2003,23475
"62235",1216000,"Powiat tarnowski",2003,1333
"62236",1217000,"Powiat tatrzański",2003,186898
"62237",1218000,"Powiat wadowicki",2003,6217
"62238",1219000,"Powiat wielicki",2003,2193
"62239",1261000,"Powiat m.Kraków",2003,9820
"62240",1262000,"Powiat m.Nowy Sącz",2003,2914
"62241",1263000,"Powiat m.Tarnów",2003,2882
"62242",1401000,"Powiat białobrzeski",2003,4297
"62243",1402000,"Powiat ciechanowski",2003,3556
"62244",1403000,"Powiat garwoliński",2003,6191
"62245",1404000,"Powiat gostyniński",2003,1092
"62246",1405000,"Powiat grodziski",2003,477
"62247",1406000,"Powiat grójecki",2003,1418
"62248",1407000,"Powiat kozienicki",2003,2800
"62249",1408000,"Powiat legionowski",2003,13571
"62250",1409000,"Powiat lipski",2003,156
"62251",1410000,"Powiat łosicki",2003,11459
"62252",1411000,"Powiat makowski",2003,782
"62253",1412000,"Powiat miński",2003,1982
"62254",1413000,"Powiat mławski",2003,1761
"62255",1414000,"Powiat nowodworski",2003,4044
"62256",1415000,"Powiat ostrołęcki",2003,0
"62257",1416000,"Powiat ostrowski",2003,2073
"62258",1417000,"Powiat otwocki",2003,5684
"62259",1418000,"Powiat piaseczyński",2003,6946
"62260",1419000,"Powiat płocki",2003,4054
"62261",1420000,"Powiat płoński",2003,1809
"62262",1421000,"Powiat pruszkowski",2003,3237
"62263",1422000,"Powiat przasnyski",2003,0
"62264",1423000,"Powiat przysuski",2003,935
"62265",1424000,"Powiat pułtuski",2003,3399
"62266",1425000,"Powiat radomski",2003,1213
"62267",1426000,"Powiat siedlecki",2003,606
"62268",1427000,"Powiat sierpecki",2003,2109
