"","Kod","Nazwa","rok","Liczba_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_ogolem_ogolem_szt"
"203",1812000,"Powiat niżański",2015,21
"204",1813000,"Powiat przemyski",2015,38
"205",1814000,"Powiat przeworski",2015,25
"206",1815000,"Powiat ropczycko-sędziszowski",2015,55
"207",1816000,"Powiat rzeszowski",2015,86
"208",1817000,"Powiat sanocki",2015,47
"209",1818000,"Powiat stalowowolski",2015,259
"210",1819000,"Powiat strzyżowski",2015,23
"211",1820000,"Powiat tarnobrzeski",2015,55
"212",1821000,"Powiat leski",2015,24
"213",1861000,"Powiat m.Krosno",2015,136
"214",1862000,"Powiat m.Przemyśl",2015,203
"215",1863000,"Powiat m.Rzeszów",2015,1915
"216",1864000,"Powiat m.Tarnobrzeg",2015,102
"217",2001000,"Powiat augustowski",2015,126
"218",2002000,"Powiat białostocki",2015,209
"219",2003000,"Powiat bielski",2015,0
"220",2004000,"Powiat grajewski",2015,60
"221",2005000,"Powiat hajnowski",2015,44
"222",2006000,"Powiat kolneński",2015,25
"223",2007000,"Powiat łomżyński",2015,0
"224",2008000,"Powiat moniecki",2015,12
"225",2009000,"Powiat sejneński",2015,11
"226",2010000,"Powiat siemiatycki",2015,5
"227",2011000,"Powiat sokólski",2015,60
"228",2012000,"Powiat suwalski",2015,22
"229",2013000,"Powiat wysokomazowiecki",2015,6
"230",2014000,"Powiat zambrowski",2015,120
"231",2061000,"Powiat m.Białystok",2015,2448
"232",2062000,"Powiat m.Łomża",2015,233
"233",2063000,"Powiat m.Suwałki",2015,222
"234",2201000,"Powiat bytowski",2015,152
"235",2202000,"Powiat chojnicki",2015,144
"236",2203000,"Powiat człuchowski",2015,152
"237",2204000,"Powiat gdański",2015,607
"238",2205000,"Powiat kartuski",2015,265
"239",2206000,"Powiat kościerski",2015,130
"240",2207000,"Powiat kwidzyński",2015,203
"241",2208000,"Powiat lęborski",2015,345
"242",2209000,"Powiat malborski",2015,263
"243",2210000,"Powiat nowodworski",2015,166
"244",2211000,"Powiat pucki",2015,568
"245",2212000,"Powiat słupski",2015,232
"246",2213000,"Powiat starogardzki",2015,216
"247",2214000,"Powiat tczewski",2015,527
"248",2215000,"Powiat wejherowski",2015,1212
"249",2216000,"Powiat sztumski",2015,85
"250",2261000,"Powiat m.Gdańsk",2015,6822
"251",2262000,"Powiat m.Gdynia",2015,2215
"252",2263000,"Powiat m.Słupsk",2015,684
"253",2264000,"Powiat m.Sopot",2015,383
"254",2401000,"Powiat będziński",2015,390
"255",2402000,"Powiat bielski",2015,219
"256",2403000,"Powiat cieszyński",2015,337
"257",2404000,"Powiat częstochowski",2015,50
"258",2405000,"Powiat gliwicki",2015,255
"259",2406000,"Powiat kłobucki",2015,32
"260",2407000,"Powiat lubliniecki",2015,45
"261",2408000,"Powiat mikołowski",2015,155
"262",2409000,"Powiat myszkowski",2015,48
"263",2410000,"Powiat pszczyński",2015,157
"264",2411000,"Powiat raciborski",2015,229
"265",2412000,"Powiat rybnicki",2015,27
"266",2413000,"Powiat tarnogórski",2015,251
"267",2414000,"Powiat bieruńsko-lędziński",2015,102
"268",2415000,"Powiat wodzisławski",2015,190
"269",2416000,"Powiat zawierciański",2015,17
"270",2417000,"Powiat żywiecki",2015,43
"271",2461000,"Powiat m.Bielsko-Biała",2015,822
"272",2462000,"Powiat m.Bytom",2015,831
"273",2463000,"Powiat m.Chorzów",2015,350
"274",2464000,"Powiat m.Częstochowa",2015,582
"275",2465000,"Powiat m.Dąbrowa Górnicza",2015,364
"276",2466000,"Powiat m.Gliwice",2015,1006
"277",2467000,"Powiat m.Jastrzębie-Zdrój",2015,133
"278",2468000,"Powiat m.Jaworzno",2015,418
"279",2469000,"Powiat m.Katowice",2015,1153
"280",2470000,"Powiat m.Mysłowice",2015,317
"281",2471000,"Powiat m.Piekary Śląskie",2015,169
"282",2472000,"Powiat m.Ruda Śląska",2015,437
"283",2473000,"Powiat m.Rybnik",2015,156
"284",2474000,"Powiat m.Siemianowice Śląskie",2015,396
"285",2475000,"Powiat m.Sosnowiec",2015,568
"286",2476000,"Powiat m.Świętochłowice",2015,279
"287",2477000,"Powiat m.Tychy",2015,840
"288",2478000,"Powiat m.Zabrze",2015,612
"289",2479000,"Powiat m.Żory",2015,168
"290",2601000,"Powiat buski",2015,39
"291",2602000,"Powiat jędrzejowski",2015,65
"292",2603000,"Powiat kazimierski",2015,9
"293",2604000,"Powiat kielecki",2015,4
"294",2605000,"Powiat konecki",2015,45
"295",2606000,"Powiat opatowski",2015,18
"296",2607000,"Powiat ostrowiecki",2015,87
"297",2608000,"Powiat pińczowski",2015,30
"298",2609000,"Powiat sandomierski",2015,54
"299",2610000,"Powiat skarżyski",2015,98
"300",2611000,"Powiat starachowicki",2015,148
"301",2612000,"Powiat staszowski",2015,40
"302",2613000,"Powiat włoszczowski",2015,33
"303",2661000,"Powiat m.Kielce",2015,1285
"304",2801000,"Powiat bartoszycki",2015,150
"305",2802000,"Powiat braniewski",2015,126
"306",2803000,"Powiat działdowski",2015,201
"307",2804000,"Powiat elbląski",2015,90
"308",2805000,"Powiat ełcki",2015,392
"309",2806000,"Powiat giżycki",2015,330
"310",2807000,"Powiat iławski",2015,340
"311",2808000,"Powiat kętrzyński",2015,212
"312",2809000,"Powiat lidzbarski",2015,117
"313",2810000,"Powiat mrągowski",2015,172
"314",2811000,"Powiat nidzicki",2015,81
"315",2812000,"Powiat nowomiejski",2015,46
"316",2813000,"Powiat olecki",2015,120
"317",2814000,"Powiat olsztyński",2015,490
"318",2815000,"Powiat ostródzki",2015,377
"319",2816000,"Powiat piski",2015,159
"320",2817000,"Powiat szczycieński",2015,167
"321",2818000,"Powiat gołdapski",2015,112
"322",2819000,"Powiat węgorzewski",2015,53
"323",2861000,"Powiat m.Elbląg",2015,610
"324",2862000,"Powiat m.Olsztyn",2015,1804
"325",3001000,"Powiat chodzieski",2015,65
"326",3002000,"Powiat czarnkowsko-trzcianecki",2015,173
"327",3003000,"Powiat gnieźnieński",2015,209
"328",3004000,"Powiat gostyński",2015,102
"329",3005000,"Powiat grodziski",2015,85
"330",3006000,"Powiat jarociński",2015,47
"331",3007000,"Powiat kaliski",2015,17
"332",3008000,"Powiat kępiński",2015,8
"333",3009000,"Powiat kolski",2015,69
"334",3010000,"Powiat koniński",2015,34
"335",3011000,"Powiat kościański",2015,138
"336",3012000,"Powiat krotoszyński",2015,160
"337",3013000,"Powiat leszczyński",2015,31
"338",3014000,"Powiat międzychodzki",2015,97
"339",3015000,"Powiat nowotomyski",2015,187
"340",3016000,"Powiat obornicki",2015,147
"341",3017000,"Powiat ostrowski",2015,181
"342",3018000,"Powiat ostrzeszowski",2015,56
"343",3019000,"Powiat pilski",2015,377
"344",3020000,"Powiat pleszewski",2015,94
"345",3021000,"Powiat poznański",2015,2066
"346",3022000,"Powiat rawicki",2015,86
"347",3023000,"Powiat słupecki",2015,59
"348",3024000,"Powiat szamotulski",2015,41
"349",3025000,"Powiat średzki",2015,73
"350",3026000,"Powiat śremski",2015,86
"351",3027000,"Powiat turecki",2015,100
"352",3028000,"Powiat wągrowiecki",2015,182
"353",3029000,"Powiat wolsztyński",2015,43
"354",3030000,"Powiat wrzesiński",2015,377
"355",3031000,"Powiat złotowski",2015,220
"356",3061000,"Powiat m.Kalisz",2015,318
"357",3062000,"Powiat m.Konin",2015,340
"358",3063000,"Powiat m.Leszno",2015,276
"359",3064000,"Powiat m.Poznań",2015,5857
"360",3201000,"Powiat białogardzki",2015,144
"361",3202000,"Powiat choszczeński",2015,129
"362",3203000,"Powiat drawski",2015,139
"363",3204000,"Powiat goleniowski",2015,273
"364",3205000,"Powiat gryficki",2015,163
"365",3206000,"Powiat gryfiński",2015,237
"366",3207000,"Powiat kamieński",2015,183
"367",3208000,"Powiat kołobrzeski",2015,508
"368",3209000,"Powiat koszaliński",2015,190
"369",3210000,"Powiat myśliborski",2015,185
"370",3211000,"Powiat policki",2015,281
"371",3212000,"Powiat pyrzycki",2015,102
"372",3213000,"Powiat sławieński",2015,226
"373",3214000,"Powiat stargardzki",2015,514
"374",3215000,"Powiat szczecinecki",2015,280
"375",3216000,"Powiat świdwiński",2015,118
"376",3217000,"Powiat wałecki",2015,175
"377",3218000,"Powiat łobeski",2015,111
"378",3261000,"Powiat m.Koszalin",2015,478
"379",3262000,"Powiat m.Szczecin",2015,2763
"380",3263000,"Powiat m.Świnoujście",2015,252
"381",201000,"Powiat bolesławiecki",2016,559
"382",202000,"Powiat dzierżoniowski",2016,315
"383",203000,"Powiat głogowski",2016,507
"384",204000,"Powiat górowski",2016,6
"385",205000,"Powiat jaworski",2016,119
"386",206000,"Powiat jeleniogórski",2016,181
"387",207000,"Powiat kamiennogórski",2016,116
"388",208000,"Powiat kłodzki",2016,464
"389",209000,"Powiat legnicki",2016,104
"390",210000,"Powiat lubański",2016,185
"391",211000,"Powiat lubiński",2016,592
"392",212000,"Powiat lwówecki",2016,74
"393",213000,"Powiat milicki",2016,114
"394",214000,"Powiat oleśnicki",2016,372
"395",215000,"Powiat oławski",2016,347
"396",216000,"Powiat polkowicki",2016,186
"397",217000,"Powiat strzeliński",2016,128
"398",218000,"Powiat średzki",2016,80
"399",219000,"Powiat świdnicki",2016,851
"400",220000,"Powiat trzebnicki",2016,289
"401",221000,"Powiat wałbrzyski",2016,243
"402",222000,"Powiat wołowski",2016,299
"403",223000,"Powiat wrocławski",2016,1104
"404",224000,"Powiat ząbkowicki",2016,157
"405",225000,"Powiat zgorzelecki",2016,102
"406",226000,"Powiat złotoryjski",2016,119
"407",261000,"Powiat m.Jelenia Góra",2016,829
"408",262000,"Powiat m.Legnica",2016,654
"409",264000,"Powiat m.Wrocław",2016,12143
"410",265000,"Powiat m.Wałbrzych od 2013",2016,589
"411",401000,"Powiat aleksandrowski",2016,172
"412",402000,"Powiat brodnicki",2016,284
"413",403000,"Powiat bydgoski",2016,142
"414",404000,"Powiat chełmiński",2016,120
"415",405000,"Powiat golubsko-dobrzyński",2016,54
"416",406000,"Powiat grudziądzki",2016,34
"417",407000,"Powiat inowrocławski",2016,542
"418",408000,"Powiat lipnowski",2016,60
"419",409000,"Powiat mogileński",2016,55
"420",410000,"Powiat nakielski",2016,163
"421",411000,"Powiat radziejowski",2016,36
"422",412000,"Powiat rypiński",2016,63
"423",413000,"Powiat sępoleński",2016,78
"424",414000,"Powiat świecki",2016,148
"425",415000,"Powiat toruński",2016,143
"426",416000,"Powiat tucholski",2016,41
"427",417000,"Powiat wąbrzeski",2016,50
"428",418000,"Powiat włocławski",2016,52
"429",419000,"Powiat żniński",2016,87
"430",461000,"Powiat m.Bydgoszcz",2016,2624
"431",462000,"Powiat m.Grudziądz",2016,425
"432",463000,"Powiat m.Toruń",2016,757
"433",464000,"Powiat m.Włocławek",2016,361
"434",601000,"Powiat bialski",2016,22
"435",602000,"Powiat biłgorajski",2016,50
"436",603000,"Powiat chełmski",2016,17
"437",604000,"Powiat hrubieszowski",2016,85
"438",605000,"Powiat janowski",2016,16
"439",606000,"Powiat krasnostawski",2016,26
"440",607000,"Powiat kraśnicki",2016,104
"441",608000,"Powiat lubartowski",2016,92
"442",609000,"Powiat lubelski",2016,94
"443",610000,"Powiat łęczyński",2016,90
"444",611000,"Powiat łukowski",2016,55
"445",612000,"Powiat opolski",2016,54
"446",613000,"Powiat parczewski",2016,23
"447",614000,"Powiat puławski",2016,293
"448",615000,"Powiat radzyński",2016,77
"449",616000,"Powiat rycki",2016,74
"450",617000,"Powiat świdnicki",2016,85
"451",618000,"Powiat tomaszowski",2016,57
"452",619000,"Powiat włodawski",2016,51
"453",620000,"Powiat zamojski",2016,17
"454",661000,"Powiat m.Biała Podlaska",2016,160
"455",662000,"Powiat m.Chełm",2016,221
"456",663000,"Powiat m.Lublin",2016,2987
"457",664000,"Powiat m.Zamość",2016,246
"458",801000,"Powiat gorzowski",2016,273
"459",802000,"Powiat krośnieński",2016,186
"460",803000,"Powiat międzyrzecki",2016,221
"461",804000,"Powiat nowosolski",2016,220
"462",805000,"Powiat słubicki",2016,283
"463",806000,"Powiat strzelecko-drezdenecki",2016,158
"464",807000,"Powiat sulęciński",2016,119
"465",808000,"Powiat świebodziński",2016,276
"466",809000,"Powiat zielonogórski",2016,179
"467",810000,"Powiat żagański",2016,265
"468",811000,"Powiat żarski",2016,399
"469",812000,"Powiat wschowski",2016,54
"470",861000,"Powiat m.Gorzów Wielkopolski",2016,1285
"471",862000,"Powiat m.Zielona Góra",2016,958
"472",1001000,"Powiat bełchatowski",2016,297
"473",1002000,"Powiat kutnowski",2016,64
"474",1003000,"Powiat łaski",2016,62
"475",1004000,"Powiat łęczycki",2016,47
"476",1005000,"Powiat łowicki",2016,83
"477",1006000,"Powiat łódzki wschodni",2016,21
"478",1007000,"Powiat opoczyński",2016,46
"479",1008000,"Powiat pabianicki",2016,265
"480",1009000,"Powiat pajęczański",2016,8
"481",1010000,"Powiat piotrkowski",2016,12
"482",1011000,"Powiat poddębicki",2016,34
"483",1012000,"Powiat radomszczański",2016,76
"484",1013000,"Powiat rawski",2016,70
"485",1014000,"Powiat sieradzki",2016,156
"486",1015000,"Powiat skierniewicki",2016,0
"487",1016000,"Powiat tomaszowski",2016,235
"488",1017000,"Powiat wieluński",2016,36
"489",1018000,"Powiat wieruszowski",2016,65
"490",1019000,"Powiat zduńskowolski",2016,74
"491",1020000,"Powiat zgierski",2016,333
"492",1021000,"Powiat brzeziński",2016,75
"493",1061000,"Powiat m.Łódź",2016,5427
"494",1062000,"Powiat m.Piotrków Trybunalski",2016,210
"495",1063000,"Powiat m.Skierniewice",2016,164
"496",1201000,"Powiat bocheński",2016,110
"497",1202000,"Powiat brzeski",2016,32
"498",1203000,"Powiat chrzanowski",2016,291
"499",1204000,"Powiat dąbrowski",2016,26
"500",1205000,"Powiat gorlicki",2016,66
"501",1206000,"Powiat krakowski",2016,313
"502",1207000,"Powiat limanowski",2016,45
"503",1208000,"Powiat miechowski",2016,20
"504",1209000,"Powiat myślenicki",2016,84
"505",1210000,"Powiat nowosądecki",2016,166
"506",1211000,"Powiat nowotarski",2016,102
"507",1212000,"Powiat olkuski",2016,161
"508",1213000,"Powiat oświęcimski",2016,326
"509",1214000,"Powiat proszowicki",2016,17
"510",1215000,"Powiat suski",2016,24
"511",1216000,"Powiat tarnowski",2016,0
"512",1217000,"Powiat tatrzański",2016,124
"513",1218000,"Powiat wadowicki",2016,151
