"","Kod","Nazwa","rok","Gestosc_zaludnienia_oraz_wskazniki_ludnosc_na_1_km2_osoba"
"217",1864000,"Powiat m.Tarnobrzeg",2002,587
"218",2001000,"Powiat augustowski",2002,36
"219",2002000,"Powiat białostocki",2002,46
"220",2003000,"Powiat bielski",2002,44
"221",2004000,"Powiat grajewski",2002,53
"222",2005000,"Powiat hajnowski",2002,31
"223",2006000,"Powiat kolneński",2002,43
"224",2007000,"Powiat łomżyński",2002,38
"225",2008000,"Powiat moniecki",2002,32
"226",2009000,"Powiat sejneński",2002,25
"227",2010000,"Powiat siemiatycki",2002,34
"228",2011000,"Powiat sokólski",2002,36
"229",2012000,"Powiat suwalski",2002,27
"230",2013000,"Powiat wysokomazowiecki",2002,47
"231",2014000,"Powiat zambrowski",2002,62
"232",2061000,"Powiat m.Białystok",2002,3104
"233",2062000,"Powiat m.Łomża",2002,1954
"234",2063000,"Powiat m.Suwałki",2002,1058
"235",2201000,"Powiat bytowski",2002,34
"236",2202000,"Powiat chojnicki",2002,66
"237",2203000,"Powiat człuchowski",2002,36
"238",2204000,"Powiat gdański",2002,101
"239",2205000,"Powiat kartuski",2002,93
"240",2206000,"Powiat kościerski",2002,56
"241",2207000,"Powiat kwidzyński",2002,96
"242",2208000,"Powiat lęborski",2002,90
"243",2209000,"Powiat malborski",2002,128
"244",2210000,"Powiat nowodworski",2002,55
"245",2211000,"Powiat pucki",2002,125
"246",2212000,"Powiat słupski",2002,40
"247",2213000,"Powiat starogardzki",2002,90
"248",2214000,"Powiat tczewski",2002,161
"249",2215000,"Powiat wejherowski",2002,136
"250",2216000,"Powiat sztumski",2002,58
"251",2261000,"Powiat m.Gdańsk",2002,1762
"252",2262000,"Powiat m.Gdynia",2002,1871
"253",2263000,"Powiat m.Słupsk",2002,2307
"254",2264000,"Powiat m.Sopot",2002,2392
"255",2401000,"Powiat będziński",2002,413
"256",2402000,"Powiat bielski",2002,322
"257",2403000,"Powiat cieszyński",2002,232
"258",2404000,"Powiat częstochowski",2002,88
"259",2405000,"Powiat gliwicki",2002,176
"260",2406000,"Powiat kłobucki",2002,95
"261",2407000,"Powiat lubliniecki",2002,94
"262",2408000,"Powiat mikołowski",2002,391
"263",2409000,"Powiat myszkowski",2002,151
"264",2410000,"Powiat pszczyński",2002,219
"265",2411000,"Powiat raciborski",2002,209
"266",2412000,"Powiat rybnicki",2002,325
"267",2413000,"Powiat tarnogórski",2002,217
"268",2414000,"Powiat bieruńsko-lędziński",2002,354
"269",2415000,"Powiat wodzisławski",2002,542
"270",2416000,"Powiat zawierciański",2002,125
"271",2417000,"Powiat żywiecki",2002,143
"272",2461000,"Powiat m.Bielsko-Biała",2002,1423
"273",2462000,"Powiat m.Bytom",2002,2778
"274",2463000,"Powiat m.Chorzów",2002,3468
"275",2464000,"Powiat m.Częstochowa",2002,1572
"276",2465000,"Powiat m.Dąbrowa Górnicza",2002,702
"277",2466000,"Powiat m.Gliwice",2002,1514
"278",2467000,"Powiat m.Jastrzębie-Zdrój",2002,1133
"279",2468000,"Powiat m.Jaworzno",2002,636
"280",2469000,"Powiat m.Katowice",2002,1975
"281",2470000,"Powiat m.Mysłowice",2002,1145
"282",2471000,"Powiat m.Piekary Śląskie",2002,1529
"283",2472000,"Powiat m.Ruda Śląska",2002,1929
"284",2473000,"Powiat m.Rybnik",2002,963
"285",2474000,"Powiat m.Siemianowice Śląskie",2002,2944
"286",2475000,"Powiat m.Sosnowiec",2002,2537
"287",2476000,"Powiat m.Świętochłowice",2002,4256
"288",2477000,"Powiat m.Tychy",2002,1624
"289",2478000,"Powiat m.Zabrze",2002,2419
"290",2479000,"Powiat m.Żory",2002,982
"291",2601000,"Powiat buski",2002,77
"292",2602000,"Powiat jędrzejowski",2002,72
"293",2603000,"Powiat kazimierski",2002,87
"294",2604000,"Powiat kielecki",2002,87
"295",2605000,"Powiat konecki",2002,75
"296",2606000,"Powiat opatowski",2002,64
"297",2607000,"Powiat ostrowiecki",2002,191
"298",2608000,"Powiat pińczowski",2002,70
"299",2609000,"Powiat sandomierski",2002,123
"300",2610000,"Powiat skarżyski",2002,214
"301",2611000,"Powiat starachowicki",2002,184
"302",2612000,"Powiat staszowski",2002,81
"303",2613000,"Powiat włoszczowski",2002,53
"304",2661000,"Powiat m.Kielce",2002,1935
"305",2801000,"Powiat bartoszycki",2002,48
"306",2802000,"Powiat braniewski",2002,37
"307",2803000,"Powiat działdowski",2002,68
"308",2804000,"Powiat elbląski",2002,39
"309",2805000,"Powiat ełcki",2002,75
"310",2806000,"Powiat giżycki",2002,51
"311",2807000,"Powiat iławski",2002,65
"312",2808000,"Powiat kętrzyński",2002,56
"313",2809000,"Powiat lidzbarski",2002,47
"314",2810000,"Powiat mrągowski",2002,47
"315",2811000,"Powiat nidzicki",2002,36
"316",2812000,"Powiat nowomiejski",2002,62
"317",2813000,"Powiat olecki",2002,39
"318",2814000,"Powiat olsztyński",2002,39
"319",2815000,"Powiat ostródzki",2002,60
"320",2816000,"Powiat piski",2002,32
"321",2817000,"Powiat szczycieński",2002,36
"322",2818000,"Powiat gołdapski",2002,35
"323",2819000,"Powiat węgorzewski",2002,35
"324",2861000,"Powiat m.Elbląg",2002,1610
"325",2862000,"Powiat m.Olsztyn",2002,1962
"326",3001000,"Powiat chodzieski",2002,69
"327",3002000,"Powiat czarnkowsko-trzcianecki",2002,48
"328",3003000,"Powiat gnieźnieński",2002,111
"329",3004000,"Powiat gostyński",2002,93
"330",3005000,"Powiat grodziski",2002,76
"331",3006000,"Powiat jarociński",2002,120
"332",3007000,"Powiat kaliski",2002,69
"333",3008000,"Powiat kępiński",2002,91
