"","Kod","Nazwa","rok","DZIALALNOSC_TRANSPORTOWA_CTAB_liczba_taksowek_ogolem_szt"
"1411",2801000,"Powiat bartoszycki",2017,84
"1412",2802000,"Powiat braniewski",2017,3
"1413",2803000,"Powiat działdowski",2017,33
"1414",2804000,"Powiat elbląski",2017,6
"1415",2805000,"Powiat ełcki",2017,167
"1416",2806000,"Powiat giżycki",2017,114
"1417",2807000,"Powiat iławski",2017,110
"1418",2808000,"Powiat kętrzyński",2017,57
"1419",2809000,"Powiat lidzbarski",2017,34
"1420",2810000,"Powiat mrągowski",2017,89
"1421",2811000,"Powiat nidzicki",2017,2
"1422",2812000,"Powiat nowomiejski",2017,31
"1423",2813000,"Powiat olecki",2017,48
"1424",2814000,"Powiat olsztyński",2017,32
"1425",2815000,"Powiat ostródzki",2017,103
"1426",2816000,"Powiat piski",2017,56
"1427",2817000,"Powiat szczycieński",2017,76
"1428",2818000,"Powiat gołdapski",2017,30
"1429",2819000,"Powiat węgorzewski",2017,27
"1430",2861000,"Powiat m.Elbląg",2017,361
"1431",2862000,"Powiat m.Olsztyn",2017,526
"1432",3001000,"Powiat chodzieski",2017,15
"1433",3002000,"Powiat czarnkowsko-trzcianecki",2017,34
"1434",3003000,"Powiat gnieźnieński",2017,153
"1435",3004000,"Powiat gostyński",2017,10
"1436",3006000,"Powiat jarociński",2017,21
"1437",3008000,"Powiat kępiński",2017,5
"1438",3009000,"Powiat kolski",2017,23
"1439",3011000,"Powiat kościański",2017,5
"1440",3012000,"Powiat krotoszyński",2017,10
"1441",3013000,"Powiat leszczyński",2017,1
"1442",3014000,"Powiat międzychodzki",2017,3
"1443",3015000,"Powiat nowotomyski",2017,14
"1444",3016000,"Powiat obornicki",2017,4
"1445",3017000,"Powiat ostrowski",2017,195
"1446",3018000,"Powiat ostrzeszowski",2017,14
"1447",3019000,"Powiat pilski",2017,309
"1448",3020000,"Powiat pleszewski",2017,25
"1449",3021000,"Powiat poznański",2017,30
"1450",3022000,"Powiat rawicki",2017,11
"1451",3023000,"Powiat słupecki",2017,11
"1452",3024000,"Powiat szamotulski",2017,13
"1453",3025000,"Powiat średzki",2017,14
"1454",3026000,"Powiat śremski",2017,40
"1455",3027000,"Powiat turecki",2017,60
"1456",3028000,"Powiat wągrowiecki",2017,6
"1457",3029000,"Powiat wolsztyński",2017,4
"1458",3030000,"Powiat wrzesiński",2017,70
"1459",3031000,"Powiat złotowski",2017,7
"1460",3061000,"Powiat m.Kalisz",2017,359
"1461",3062000,"Powiat m.Konin",2017,97
"1462",3063000,"Powiat m.Leszno",2017,123
"1463",3064000,"Powiat m.Poznań",2017,2725
"1464",3201000,"Powiat białogardzki",2017,21
"1465",3202000,"Powiat choszczeński",2017,13
"1466",3203000,"Powiat drawski",2017,20
"1467",3204000,"Powiat goleniowski",2017,67
"1468",3205000,"Powiat gryficki",2017,42
"1469",3206000,"Powiat gryfiński",2017,49
"1470",3207000,"Powiat kamieński",2017,74
"1471",3208000,"Powiat kołobrzeski",2017,332
"1472",3209000,"Powiat koszaliński",2017,40
"1473",3210000,"Powiat myśliborski",2017,20
"1474",3211000,"Powiat policki",2017,114
"1475",3212000,"Powiat pyrzycki",2017,2
"1476",3213000,"Powiat sławieński",2017,32
"1477",3214000,"Powiat stargardzki",2017,255
"1478",3215000,"Powiat szczecinecki",2017,85
"1479",3216000,"Powiat świdwiński",2017,11
"1480",3217000,"Powiat wałecki",2017,25
"1481",3218000,"Powiat łobeski",2017,5
"1482",3261000,"Powiat m.Koszalin",2017,480
"1483",3262000,"Powiat m.Szczecin",2017,2402
"1484",3263000,"Powiat m.Świnoujście",2017,253
"1485",201000,"Powiat bolesławiecki",2018,73
"1486",202000,"Powiat dzierżoniowski",2018,166
"1487",203000,"Powiat głogowski",2018,157
"1488",204000,"Powiat górowski",2018,4
"1489",205000,"Powiat jaworski",2018,8
"1490",206000,"Powiat jeleniogórski",2018,145
"1491",207000,"Powiat kamiennogórski",2018,19
"1492",208000,"Powiat kłodzki",2018,187
"1493",209000,"Powiat legnicki",2018,3
"1494",210000,"Powiat lubański",2018,44
"1495",211000,"Powiat lubiński",2018,137
"1496",212000,"Powiat lwówecki",2018,31
"1497",213000,"Powiat milicki",2018,15
"1498",214000,"Powiat oleśnicki",2018,54
"1499",215000,"Powiat oławski",2018,72
"1500",216000,"Powiat polkowicki",2018,16
"1501",217000,"Powiat strzeliński",2018,4
"1502",218000,"Powiat średzki",2018,7
"1503",219000,"Powiat świdnicki",2018,263
"1504",220000,"Powiat trzebnicki",2018,17
"1505",221000,"Powiat wałbrzyski",2018,10
"1506",222000,"Powiat wołowski",2018,12
"1507",223000,"Powiat wrocławski",2018,10
"1508",224000,"Powiat ząbkowicki",2018,44
"1509",225000,"Powiat zgorzelecki",2018,144
"1510",226000,"Powiat złotoryjski",2018,10
"1511",261000,"Powiat m.Jelenia Góra",2018,295
"1512",262000,"Powiat m.Legnica",2018,218
"1513",264000,"Powiat m.Wrocław",2018,3216
"1514",265000,"Powiat m.Wałbrzych od 2013",2018,299
"1515",401000,"Powiat aleksandrowski",2018,66
"1516",402000,"Powiat brodnicki",2018,27
"1517",403000,"Powiat bydgoski",2018,7
"1518",404000,"Powiat chełmiński",2018,4
"1519",405000,"Powiat golubsko-dobrzyński",2018,20
"1520",406000,"Powiat grudziądzki",2018,1
"1521",407000,"Powiat inowrocławski",2018,225
"1522",408000,"Powiat lipnowski",2018,14
"1523",409000,"Powiat mogileński",2018,2
"1524",410000,"Powiat nakielski",2018,38
"1525",411000,"Powiat radziejowski",2018,18
"1526",412000,"Powiat rypiński",2018,20
"1527",413000,"Powiat sępoleński",2018,4
"1528",414000,"Powiat świecki",2018,68
"1529",415000,"Powiat toruński",2018,20
"1530",416000,"Powiat tucholski",2018,6
"1531",417000,"Powiat wąbrzeski",2018,10
"1532",418000,"Powiat włocławski",2018,13
"1533",419000,"Powiat żniński",2018,5
"1534",461000,"Powiat m.Bydgoszcz",2018,1290
"1535",462000,"Powiat m.Grudziądz",2018,283
"1536",463000,"Powiat m.Toruń",2018,710
"1537",464000,"Powiat m.Włocławek",2018,258
"1538",601000,"Powiat bialski",2018,33
"1539",602000,"Powiat biłgorajski",2018,22
"1540",603000,"Powiat chełmski",2018,1
"1541",604000,"Powiat hrubieszowski",2018,66
"1542",605000,"Powiat janowski",2018,3
"1543",606000,"Powiat krasnostawski",2018,11
"1544",607000,"Powiat kraśnicki",2018,16
"1545",608000,"Powiat lubartowski",2018,9
"1546",609000,"Powiat lubelski",2018,4
"1547",610000,"Powiat łęczyński",2018,10
"1548",611000,"Powiat łukowski",2018,26
"1549",612000,"Powiat opolski",2018,4
"1550",613000,"Powiat parczewski",2018,3
"1551",614000,"Powiat puławski",2018,156
"1552",615000,"Powiat radzyński",2018,7
"1553",616000,"Powiat rycki",2018,16
"1554",617000,"Powiat świdnicki",2018,11
"1555",618000,"Powiat tomaszowski",2018,34
"1556",619000,"Powiat włodawski",2018,15
"1557",620000,"Powiat zamojski",2018,2
"1558",661000,"Powiat m.Biała Podlaska",2018,275
"1559",662000,"Powiat m.Chełm",2018,233
"1560",663000,"Powiat m.Lublin",2018,1420
"1561",664000,"Powiat m.Zamość",2018,201
"1562",801000,"Powiat gorzowski",2018,42
"1563",802000,"Powiat krośnieński",2018,37
"1564",803000,"Powiat międzyrzecki",2018,16
"1565",804000,"Powiat nowosolski",2018,25
"1566",805000,"Powiat słubicki",2018,76
"1567",806000,"Powiat strzelecko-drezdenecki",2018,8
"1568",807000,"Powiat sulęciński",2018,12
"1569",808000,"Powiat świebodziński",2018,39
"1570",809000,"Powiat zielonogórski",2018,8
"1571",810000,"Powiat żagański",2018,71
"1572",811000,"Powiat żarski",2018,79
