"","Kod","Nazwa","rok","Mieszkania_oddane_do_uzytkowania_ogolem_mieszkania"
"194",1801000,"Powiat bieszczadzki",1995,72
"195",1802000,"Powiat brzozowski",1995,257
"196",1803000,"Powiat dębicki",1995,238
"197",1804000,"Powiat jarosławski",1995,73
"198",1805000,"Powiat jasielski",1995,133
"199",1806000,"Powiat kolbuszowski",1995,137
"200",1807000,"Powiat krośnieński",1995,148
"201",1808000,"Powiat leżajski",1995,92
"202",1809000,"Powiat lubaczowski",1995,57
"203",1810000,"Powiat łańcucki",1995,174
"204",1811000,"Powiat mielecki",1995,251
"205",1812000,"Powiat niżański",1995,246
"206",1813000,"Powiat przemyski",1995,17
"207",1814000,"Powiat przeworski",1995,78
"208",1815000,"Powiat ropczycko-sędziszowski",1995,89
"209",1816000,"Powiat rzeszowski",1995,241
"210",1817000,"Powiat sanocki",1995,61
"211",1818000,"Powiat stalowowolski",1995,211
"212",1819000,"Powiat strzyżowski",1995,58
"213",1820000,"Powiat tarnobrzeski",1995,48
"214",1821000,"Powiat leski",1995,NA
"215",1861000,"Powiat m.Krosno",1995,43
"216",1862000,"Powiat m.Przemyśl",1995,108
"217",1863000,"Powiat m.Rzeszów",1995,282
"218",1864000,"Powiat m.Tarnobrzeg",1995,121
"219",2001000,"Powiat augustowski",1995,78
"220",2002000,"Powiat białostocki",1995,405
"221",2003000,"Powiat bielski",1995,170
"222",2004000,"Powiat grajewski",1995,125
"223",2005000,"Powiat hajnowski",1995,48
"224",2006000,"Powiat kolneński",1995,83
"225",2007000,"Powiat łomżyński",1995,166
"226",2008000,"Powiat moniecki",1995,93
"227",2009000,"Powiat sejneński",1995,36
"228",2010000,"Powiat siemiatycki",1995,135
"229",2011000,"Powiat sokólski",1995,114
"230",2012000,"Powiat suwalski",1995,76
"231",2013000,"Powiat wysokomazowiecki",1995,102
"232",2014000,"Powiat zambrowski",1995,107
"233",2061000,"Powiat m.Białystok",1995,2199
"234",2062000,"Powiat m.Łomża",1995,286
"235",2063000,"Powiat m.Suwałki",1995,314
"236",2201000,"Powiat bytowski",1995,67
"237",2202000,"Powiat chojnicki",1995,83
"238",2203000,"Powiat człuchowski",1995,29
"239",2204000,"Powiat gdański",1995,180
"240",2205000,"Powiat kartuski",1995,149
"241",2206000,"Powiat kościerski",1995,70
"242",2207000,"Powiat kwidzyński",1995,181
"243",2208000,"Powiat lęborski",1995,87
"244",2209000,"Powiat malborski",1995,178
"245",2210000,"Powiat nowodworski",1995,17
"246",2211000,"Powiat pucki",1995,82
"247",2212000,"Powiat słupski",1995,103
"248",2213000,"Powiat starogardzki",1995,125
"249",2214000,"Powiat tczewski",1995,221
"250",2215000,"Powiat wejherowski",1995,321
"251",2216000,"Powiat sztumski",1995,NA
"252",2261000,"Powiat m.Gdańsk",1995,1604
"253",2262000,"Powiat m.Gdynia",1995,955
"254",2263000,"Powiat m.Słupsk",1995,264
"255",2264000,"Powiat m.Sopot",1995,89
"256",2401000,"Powiat będziński",1995,62
"257",2402000,"Powiat bielski",1995,220
"258",2403000,"Powiat cieszyński",1995,356
"259",2404000,"Powiat częstochowski",1995,144
"260",2405000,"Powiat gliwicki",1995,24
"261",2406000,"Powiat kłobucki",1995,136
"262",2407000,"Powiat lubliniecki",1995,89
"263",2408000,"Powiat mikołowski",1995,59
"264",2409000,"Powiat myszkowski",1995,116
"265",2410000,"Powiat pszczyński",1995,178
"266",2411000,"Powiat raciborski",1995,45
"267",2412000,"Powiat rybnicki",1995,91
"268",2413000,"Powiat tarnogórski",1995,138
"269",2414000,"Powiat bieruńsko-lędziński",1995,46
"270",2415000,"Powiat wodzisławski",1995,149
"271",2416000,"Powiat zawierciański",1995,118
"272",2417000,"Powiat żywiecki",1995,160
"273",2461000,"Powiat m.Bielsko-Biała",1995,282
"274",2462000,"Powiat m.Bytom",1995,31
"275",2463000,"Powiat m.Chorzów",1995,0
"276",2464000,"Powiat m.Częstochowa",1995,459
"277",2465000,"Powiat m.Dąbrowa Górnicza",1995,87
"278",2466000,"Powiat m.Gliwice",1995,56
"279",2467000,"Powiat m.Jastrzębie-Zdrój",1995,48
"280",2468000,"Powiat m.Jaworzno",1995,56
"281",2469000,"Powiat m.Katowice",1995,213
"282",2470000,"Powiat m.Mysłowice",1995,29
"283",2471000,"Powiat m.Piekary Śląskie",1995,51
"284",2472000,"Powiat m.Ruda Śląska",1995,14
"285",2473000,"Powiat m.Rybnik",1995,199
"286",2474000,"Powiat m.Siemianowice Śląskie",1995,97
"287",2475000,"Powiat m.Sosnowiec",1995,142
"288",2476000,"Powiat m.Świętochłowice",1995,1
