"","Kod","Nazwa","rok","URODZENIA_ZGONY_przyrost_naturalny_na_ludnosci"
"13124",1813000,"Powiat przemyski",2003,1.71
"13125",1814000,"Powiat przeworski",2003,0.55
"13126",1815000,"Powiat ropczycko-sędziszowski",2003,3.66
"13127",1816000,"Powiat rzeszowski",2003,1.23
"13128",1817000,"Powiat sanocki",2003,0.8
"13129",1818000,"Powiat stalowowolski",2003,0.26
"13130",1819000,"Powiat strzyżowski",2003,0.75
"13131",1820000,"Powiat tarnobrzeski",2003,1.47
"13132",1821000,"Powiat leski",2003,3.14
"13133",1861000,"Powiat m.Krosno",2003,0.51
"13134",1862000,"Powiat m.Przemyśl",2003,-0.66
"13135",1863000,"Powiat m.Rzeszów",2003,1.15
"13136",1864000,"Powiat m.Tarnobrzeg",2003,1.62
"13137",2001000,"Powiat augustowski",2003,-0.39
"13138",2002000,"Powiat białostocki",2003,-2.57
"13139",2003000,"Powiat bielski",2003,-3.07
"13140",2004000,"Powiat grajewski",2003,0.99
"13141",2005000,"Powiat hajnowski",2003,-6.08
"13142",2006000,"Powiat kolneński",2003,2.17
"13143",2007000,"Powiat łomżyński",2003,-1.65
"13144",2008000,"Powiat moniecki",2003,-3.34
"13145",2009000,"Powiat sejneński",2003,-1.55
"13146",2010000,"Powiat siemiatycki",2003,-5.03
"13147",2011000,"Powiat sokólski",2003,-2.82
"13148",2012000,"Powiat suwalski",2003,2.28
"13149",2013000,"Powiat wysokomazowiecki",2003,-1.95
"13150",2014000,"Powiat zambrowski",2003,1.1
"13151",2061000,"Powiat m.Białystok",2003,0.79
"13152",2062000,"Powiat m.Łomża",2003,2.15
"13153",2063000,"Powiat m.Suwałki",2003,2.08
"13154",2201000,"Powiat bytowski",2003,4.51
"13155",2202000,"Powiat chojnicki",2003,3.93
"13156",2203000,"Powiat człuchowski",2003,3.2
"13157",2204000,"Powiat gdański",2003,3.76
"13158",2205000,"Powiat kartuski",2003,7.52
"13159",2206000,"Powiat kościerski",2003,5.01
"13160",2207000,"Powiat kwidzyński",2003,3.79
"13161",2208000,"Powiat lęborski",2003,2.86
"13162",2209000,"Powiat malborski",2003,0.11
"13163",2210000,"Powiat nowodworski",2003,2.29
"13164",2211000,"Powiat pucki",2003,4.57
"13165",2212000,"Powiat słupski",2003,2.73
"13166",2213000,"Powiat starogardzki",2003,2.74
"13167",2214000,"Powiat tczewski",2003,2.58
"13168",2215000,"Powiat wejherowski",2003,4.34
"13169",2216000,"Powiat sztumski",2003,2.22
"13170",2261000,"Powiat m.Gdańsk",2003,-0.77
"13171",2262000,"Powiat m.Gdynia",2003,0.06
"13172",2263000,"Powiat m.Słupsk",2003,-0.39
"13173",2264000,"Powiat m.Sopot",2003,-5.93
"13174",2401000,"Powiat będziński",2003,-5.22
"13175",2402000,"Powiat bielski",2003,0.05
"13176",2403000,"Powiat cieszyński",2003,0.56
"13177",2404000,"Powiat częstochowski",2003,-2.61
"13178",2405000,"Powiat gliwicki",2003,-0.29
"13179",2406000,"Powiat kłobucki",2003,-1.32
"13180",2407000,"Powiat lubliniecki",2003,-0.85
"13181",2408000,"Powiat mikołowski",2003,-1.24
