"","Kod","Nazwa","rok","BEZROBOCIE_ogolem_w_proc_bezrobotnych_ogolem_proc"
"6626",1429000,"Powiat sokołowski",2003,49.5
"6627",1430000,"Powiat szydłowiecki",2003,56
"6628",1432000,"Powiat warszawski zachodni",2003,44.8
"6629",1433000,"Powiat węgrowski",2003,57.3
"6630",1434000,"Powiat wołomiński",2003,50.9
"6631",1435000,"Powiat wyszkowski",2003,59.9
"6632",1436000,"Powiat zwoleński",2003,59.1
"6633",1437000,"Powiat żuromiński",2003,62.9
"6634",1438000,"Powiat żyrardowski",2003,48.1
"6635",1461000,"Powiat m.Ostrołęka",2003,57.8
"6636",1462000,"Powiat m.Płock",2003,57.2
"6637",1463000,"Powiat m.Radom",2003,60
"6638",1464000,"Powiat m.Siedlce",2003,55
"6639",1465000,"Powiat m. st. Warszawa",2003,46.3
"6640",1601000,"Powiat brzeski",2003,50.4
"6641",1602000,"Powiat głubczycki",2003,57
"6642",1603000,"Powiat kędzierzyńsko-kozielski",2003,51.8
"6643",1604000,"Powiat kluczborski",2003,50.3
"6644",1605000,"Powiat krapkowicki",2003,36.7
"6645",1606000,"Powiat namysłowski",2003,49.9
"6646",1607000,"Powiat nyski",2003,53.4
"6647",1608000,"Powiat oleski",2003,48.4
"6648",1609000,"Powiat opolski",2003,53.2
"6649",1610000,"Powiat prudnicki",2003,45.3
"6650",1611000,"Powiat strzelecki",2003,44.7
"6651",1661000,"Powiat m.Opole",2003,50.2
"6652",1801000,"Powiat bieszczadzki",2003,49.9
"6653",1802000,"Powiat brzozowski",2003,55.5
"6654",1803000,"Powiat dębicki",2003,55.2
"6655",1804000,"Powiat jarosławski",2003,56.2
"6656",1805000,"Powiat jasielski",2003,54.8
"6657",1806000,"Powiat kolbuszowski",2003,57.2
"6658",1807000,"Powiat krośnieński",2003,58.8
"6659",1808000,"Powiat leżajski",2003,53.8
"6660",1809000,"Powiat lubaczowski",2003,49.1
"6661",1810000,"Powiat łańcucki",2003,57.9
"6662",1811000,"Powiat mielecki",2003,54.9
"6663",1812000,"Powiat niżański",2003,55.1
"6664",1813000,"Powiat przemyski",2003,58.7
"6665",1814000,"Powiat przeworski",2003,50.9
"6666",1815000,"Powiat ropczycko-sędziszowski",2003,53.7
"6667",1816000,"Powiat rzeszowski",2003,58.6
"6668",1817000,"Powiat sanocki",2003,57.3
