"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_wtorny_ogolem_zl"
"19177",1463000,"Powiat m.Radom",2015,2695
"19178",1464000,"Powiat m.Siedlce",2015,3802
"19179",1465000,"Powiat m. st. Warszawa",2015,7248
"19180",1601000,"Powiat brzeski",2015,2464
"19181",1602000,"Powiat głubczycki",2015,1511
"19182",1603000,"Powiat kędzierzyńsko-kozielski",2015,2124
"19183",1604000,"Powiat kluczborski",2015,1907
"19184",1605000,"Powiat krapkowicki",2015,2333
"19185",1606000,"Powiat namysłowski",2015,2798
"19186",1607000,"Powiat nyski",2015,2085
"19187",1608000,"Powiat oleski",2015,2231
"19188",1609000,"Powiat opolski",2015,2216
"19189",1610000,"Powiat prudnicki",2015,1531
"19190",1611000,"Powiat strzelecki",2015,2086
"19191",1661000,"Powiat m.Opole",2015,3880
"19192",1801000,"Powiat bieszczadzki",2015,1883
"19193",1802000,"Powiat brzozowski",2015,2513
"19194",1803000,"Powiat dębicki",2015,2627
"19195",1804000,"Powiat jarosławski",2015,2875
"19196",1805000,"Powiat jasielski",2015,2124
"19197",1806000,"Powiat kolbuszowski",2015,2047
"19198",1807000,"Powiat krośnieński",2015,1590
"19199",1808000,"Powiat leżajski",2015,1890
"19200",1809000,"Powiat lubaczowski",2015,1941
"19201",1810000,"Powiat łańcucki",2015,3011
"19202",1811000,"Powiat mielecki",2015,2843
"19203",1812000,"Powiat niżański",2015,2333
"19204",1813000,"Powiat przemyski",2015,2608
"19205",1814000,"Powiat przeworski",2015,2577
"19206",1815000,"Powiat ropczycko-sędziszowski",2015,2864
"19207",1816000,"Powiat rzeszowski",2015,3278
"19208",1817000,"Powiat sanocki",2015,2667
"19209",1818000,"Powiat stalowowolski",2015,2537
"19210",1819000,"Powiat strzyżowski",2015,2456
"19211",1820000,"Powiat tarnobrzeski",2015,1974
"19212",1821000,"Powiat leski",2015,2607
"19213",1861000,"Powiat m.Krosno",2015,2841
"19214",1862000,"Powiat m.Przemyśl",2015,2589
"19215",1863000,"Powiat m.Rzeszów",2015,4380
"19216",1864000,"Powiat m.Tarnobrzeg",2015,2423
"19217",2001000,"Powiat augustowski",2015,3870
"19218",2002000,"Powiat białostocki",2015,2516
"19219",2003000,"Powiat bielski",2015,0
"19220",2004000,"Powiat grajewski",2015,2218
"19221",2005000,"Powiat hajnowski",2015,1887
"19222",2006000,"Powiat kolneński",2015,2359
"19223",2007000,"Powiat łomżyński",2015,0
"19224",2008000,"Powiat moniecki",2015,2391
"19225",2009000,"Powiat sejneński",2015,2000
"19226",2010000,"Powiat siemiatycki",2015,2169
"19227",2011000,"Powiat sokólski",2015,2844
"19228",2012000,"Powiat suwalski",2015,1285
"19229",2013000,"Powiat wysokomazowiecki",2015,1266
"19230",2014000,"Powiat zambrowski",2015,2634
"19231",2061000,"Powiat m.Białystok",2015,3974
"19232",2062000,"Powiat m.Łomża",2015,2965
"19233",2063000,"Powiat m.Suwałki",2015,2790
"19234",2201000,"Powiat bytowski",2015,2785
"19235",2202000,"Powiat chojnicki",2015,2700
"19236",2203000,"Powiat człuchowski",2015,1938
"19237",2204000,"Powiat gdański",2015,3953
"19238",2205000,"Powiat kartuski",2015,3252
"19239",2206000,"Powiat kościerski",2015,2908
"19240",2207000,"Powiat kwidzyński",2015,2114
"19241",2208000,"Powiat lęborski",2015,2526
"19242",2209000,"Powiat malborski",2015,2567
"19243",2210000,"Powiat nowodworski",2015,3727
"19244",2211000,"Powiat pucki",2015,4318
"19245",2212000,"Powiat słupski",2015,3323
"19246",2213000,"Powiat starogardzki",2015,2755
"19247",2214000,"Powiat tczewski",2015,3217
"19248",2215000,"Powiat wejherowski",2015,3813
"19249",2216000,"Powiat sztumski",2015,1779
"19250",2261000,"Powiat m.Gdańsk",2015,4984
"19251",2262000,"Powiat m.Gdynia",2015,4843
"19252",2263000,"Powiat m.Słupsk",2015,3011
"19253",2264000,"Powiat m.Sopot",2015,7131
"19254",2401000,"Powiat będziński",2015,2234
"19255",2402000,"Powiat bielski",2015,2638
"19256",2403000,"Powiat cieszyński",2015,2758
"19257",2404000,"Powiat częstochowski",2015,1727
"19258",2405000,"Powiat gliwicki",2015,2416
"19259",2406000,"Powiat kłobucki",2015,2629
"19260",2407000,"Powiat lubliniecki",2015,2433
"19261",2408000,"Powiat mikołowski",2015,2376
"19262",2409000,"Powiat myszkowski",2015,1780
"19263",2410000,"Powiat pszczyński",2015,2300
"19264",2411000,"Powiat raciborski",2015,1838
"19265",2412000,"Powiat rybnicki",2015,1995
"19266",2413000,"Powiat tarnogórski",2015,2372
"19267",2414000,"Powiat bieruńsko-lędziński",2015,2472
"19268",2415000,"Powiat wodzisławski",2015,1818
"19269",2416000,"Powiat zawierciański",2015,1782
"19270",2417000,"Powiat żywiecki",2015,2969
"19271",2461000,"Powiat m.Bielsko-Biała",2015,2926
"19272",2462000,"Powiat m.Bytom",2015,1800
"19273",2463000,"Powiat m.Chorzów",2015,2500
"19274",2464000,"Powiat m.Częstochowa",2015,2524
"19275",2465000,"Powiat m.Dąbrowa Górnicza",2015,2506
"19276",2466000,"Powiat m.Gliwice",2015,2959
"19277",2467000,"Powiat m.Jastrzębie-Zdrój",2015,2129
"19278",2468000,"Powiat m.Jaworzno",2015,2832
"19279",2469000,"Powiat m.Katowice",2015,3193
"19280",2470000,"Powiat m.Mysłowice",2015,2426
"19281",2471000,"Powiat m.Piekary Śląskie",2015,2109
"19282",2472000,"Powiat m.Ruda Śląska",2015,2118
"19283",2473000,"Powiat m.Rybnik",2015,2267
"19284",2474000,"Powiat m.Siemianowice Śląskie",2015,2562
"19285",2475000,"Powiat m.Sosnowiec",2015,2453
"19286",2476000,"Powiat m.Świętochłowice",2015,2289
"19287",2477000,"Powiat m.Tychy",2015,3178
"19288",2478000,"Powiat m.Zabrze",2015,2354
"19289",2479000,"Powiat m.Żory",2015,2334
"19290",2601000,"Powiat buski",2015,2747
"19291",2602000,"Powiat jędrzejowski",2015,2477
"19292",2603000,"Powiat kazimierski",2015,1708
"19293",2604000,"Powiat kielecki",2015,2283
"19294",2605000,"Powiat konecki",2015,2260
"19295",2606000,"Powiat opatowski",2015,2199
"19296",2607000,"Powiat ostrowiecki",2015,1920
"19297",2608000,"Powiat pińczowski",2015,2001
"19298",2609000,"Powiat sandomierski",2015,2567
"19299",2610000,"Powiat skarżyski",2015,2091
