"","Kod","Nazwa","rok","DROGI_PUBLICZNE_POWIATOWE_CTAB_drogi_gminne_i_powiatowe_o_twardej_nawierzchni_na_10_tys_ludnosci_km"
"5970",2417000,"Powiat żywiecki",2005,77.5
"5971",2461000,"Powiat m.Bielsko-Biała",2005,28.5
"5972",2462000,"Powiat m.Bytom",2005,9.1
"5973",2463000,"Powiat m.Chorzów",2005,11.3
"5974",2464000,"Powiat m.Częstochowa",2005,16
"5975",2465000,"Powiat m.Dąbrowa Górnicza",2005,24.9
"5976",2466000,"Powiat m.Gliwice",2005,15.3
"5977",2467000,"Powiat m.Jastrzębie-Zdrój",2005,29.9
"5978",2468000,"Powiat m.Jaworzno",2005,25
"5979",2469000,"Powiat m.Katowice",2005,15.3
"5980",2470000,"Powiat m.Mysłowice",2005,15.9
"5981",2471000,"Powiat m.Piekary Śląskie",2005,21.2
"5982",2472000,"Powiat m.Ruda Śląska",2005,15.2
"5983",2473000,"Powiat m.Rybnik",2005,24
"5984",2474000,"Powiat m.Siemianowice Śląskie",2005,12
"5985",2475000,"Powiat m.Sosnowiec",2005,13.6
"5986",2476000,"Powiat m.Świętochłowice",2005,12.9
"5987",2477000,"Powiat m.Tychy",2005,18.5
"5988",2478000,"Powiat m.Zabrze",2005,13.6
"5989",2479000,"Powiat m.Żory",2005,16.3
"5990",2601000,"Powiat buski",2005,156.1
"5991",2602000,"Powiat jędrzejowski",2005,106
"5992",2603000,"Powiat kazimierski",2005,127.6
"5993",2604000,"Powiat kielecki",2005,78.4
"5994",2605000,"Powiat konecki",2005,87
"5995",2606000,"Powiat opatowski",2005,154
"5996",2607000,"Powiat ostrowiecki",2005,47.7
"5997",2608000,"Powiat pińczowski",2005,120.5
"5998",2609000,"Powiat sandomierski",2005,84.4
"5999",2610000,"Powiat skarżyski",2005,35.5
"6000",2611000,"Powiat starachowicki",2005,45.6
"6001",2612000,"Powiat staszowski",2005,168.8
"6002",2613000,"Powiat włoszczowski",2005,119.7
"6003",2661000,"Powiat m.Kielce",2005,10.8
"6004",2801000,"Powiat bartoszycki",2005,78.8
"6005",2802000,"Powiat braniewski",2005,85.7
"6006",2803000,"Powiat działdowski",2005,70.5
"6007",2804000,"Powiat elbląski",2005,134.1
"6008",2805000,"Powiat ełcki",2005,45.3
"6009",2806000,"Powiat giżycki",2005,62
"6010",2807000,"Powiat iławski",2005,75.6
"6011",2808000,"Powiat kętrzyński",2005,68.4
"6012",2809000,"Powiat lidzbarski",2005,62.7
"6013",2810000,"Powiat mrągowski",2005,83
"6014",2811000,"Powiat nidzicki",2005,107.8
"6015",2812000,"Powiat nowomiejski",2005,116.2
"6016",2813000,"Powiat olecki",2005,91.7
"6017",2814000,"Powiat olsztyński",2005,72.5
"6018",2815000,"Powiat ostródzki",2005,63.3
"6019",2816000,"Powiat piski",2005,77.1
"6020",2817000,"Powiat szczycieński",2005,81.6
"6021",2818000,"Powiat gołdapski",2005,79.4
"6022",2819000,"Powiat węgorzewski",2005,96.4
"6023",2861000,"Powiat m.Elbląg",2005,13.1
"6024",2862000,"Powiat m.Olsztyn",2005,10.5
"6025",3001000,"Powiat chodzieski",2005,72.2
"6026",3002000,"Powiat czarnkowsko-trzcianecki",2005,50.6
"6027",3003000,"Powiat gnieźnieński",2005,75.3
"6028",3004000,"Powiat gostyński",2005,162.7
"6029",3005000,"Powiat grodziski",2005,69.6
"6030",3006000,"Powiat jarociński",2005,68.6
"6031",3007000,"Powiat kaliski",2005,103.3
"6032",3008000,"Powiat kępiński",2005,70.3
"6033",3009000,"Powiat kolski",2005,101.1
"6034",3010000,"Powiat koniński",2005,113.7
"6035",3011000,"Powiat kościański",2005,58
"6036",3012000,"Powiat krotoszyński",2005,96.9
"6037",3013000,"Powiat leszczyński",2005,93.5
"6038",3014000,"Powiat międzychodzki",2005,54.4
"6039",3015000,"Powiat nowotomyski",2005,55.2
"6040",3016000,"Powiat obornicki",2005,62.6
"6041",3017000,"Powiat ostrowski",2005,58.8
"6042",3018000,"Powiat ostrzeszowski",2005,114.6
"6043",3019000,"Powiat pilski",2005,51.1
"6044",3020000,"Powiat pleszewski",2005,109.6
"6045",3021000,"Powiat poznański",2005,47.8
"6046",3022000,"Powiat rawicki",2005,74.4
"6047",3023000,"Powiat słupecki",2005,112
"6048",3024000,"Powiat szamotulski",2005,75.4
"6049",3025000,"Powiat średzki",2005,86
"6050",3026000,"Powiat śremski",2005,62.2
"6051",3027000,"Powiat turecki",2005,77.9
"6052",3028000,"Powiat wągrowiecki",2005,98.9
"6053",3029000,"Powiat wolsztyński",2005,57.3
"6054",3030000,"Powiat wrzesiński",2005,73.2
"6055",3031000,"Powiat złotowski",2005,85.3
"6056",3061000,"Powiat m.Kalisz",2005,12.7
"6057",3062000,"Powiat m.Konin",2005,13.3
"6058",3063000,"Powiat m.Leszno",2005,12.7
"6059",3064000,"Powiat m.Poznań",2005,13.5
"6060",3201000,"Powiat białogardzki",2005,73.7
"6061",3202000,"Powiat choszczeński",2005,95.2
"6062",3203000,"Powiat drawski",2005,84.1
"6063",3204000,"Powiat goleniowski",2005,83.8
"6064",3205000,"Powiat gryficki",2005,72.2
"6065",3206000,"Powiat gryfiński",2005,86.5
"6066",3207000,"Powiat kamieński",2005,74.9
"6067",3208000,"Powiat kołobrzeski",2005,55.1
"6068",3209000,"Powiat koszaliński",2005,92.1
"6069",3210000,"Powiat myśliborski",2005,78.5
"6070",3211000,"Powiat policki",2005,43.8
"6071",3212000,"Powiat pyrzycki",2005,89
"6072",3213000,"Powiat sławieński",2005,106.7
"6073",3214000,"Powiat stargardzki",2005,64.4
"6074",3215000,"Powiat szczecinecki",2005,81.1
"6075",3216000,"Powiat świdwiński",2005,79.7
"6076",3217000,"Powiat wałecki",2005,58.8
"6077",3218000,"Powiat łobeski",2005,106.5
"6078",3261000,"Powiat m.Koszalin",2005,9.6
"6079",3262000,"Powiat m.Szczecin",2005,12.7
"6080",3263000,"Powiat m.Świnoujście",2005,23.5
"6081",201000,"Powiat bolesławiecki",2006,60.1
"6082",202000,"Powiat dzierżoniowski",2006,42.8
"6083",203000,"Powiat głogowski",2006,33.7
"6084",204000,"Powiat górowski",2006,114.4
"6085",205000,"Powiat jaworski",2006,103.1
"6086",206000,"Powiat jeleniogórski",2006,98.8
"6087",207000,"Powiat kamiennogórski",2006,73.7
"6088",208000,"Powiat kłodzki",2006,78.9
"6089",209000,"Powiat legnicki",2006,87.7
"6090",210000,"Powiat lubański",2006,72.2
"6091",211000,"Powiat lubiński",2006,33.1
"6092",212000,"Powiat lwówecki",2006,115.4
"6093",213000,"Powiat milicki",2006,95.8
"6094",214000,"Powiat oleśnicki",2006,70.7
"6095",215000,"Powiat oławski",2006,43.2
"6096",216000,"Powiat polkowicki",2006,62.4
"6097",217000,"Powiat strzeliński",2006,105
"6098",218000,"Powiat średzki",2006,85.2
"6099",219000,"Powiat świdnicki",2006,43.3
"6100",220000,"Powiat trzebnicki",2006,71.2
"6101",221000,"Powiat wałbrzyski",2006,28.9
"6102",222000,"Powiat wołowski",2006,65.1
"6103",223000,"Powiat wrocławski",2006,88.7
"6104",224000,"Powiat ząbkowicki",2006,78.5
"6105",225000,"Powiat zgorzelecki",2006,51.7
"6106",226000,"Powiat złotoryjski",2006,82.4
"6107",261000,"Powiat m.Jelenia Góra",2006,21
"6108",262000,"Powiat m.Legnica",2006,18
"6109",264000,"Powiat m.Wrocław",2006,11.8
"6110",265000,"Powiat m.Wałbrzych od 2013",2006,NA
"6111",401000,"Powiat aleksandrowski",2006,73.8
"6112",402000,"Powiat brodnicki",2006,76.3
"6113",403000,"Powiat bydgoski",2006,56.5
"6114",404000,"Powiat chełmiński",2006,79.2
"6115",405000,"Powiat golubsko-dobrzyński",2006,75.7
"6116",406000,"Powiat grudziądzki",2006,150.3
