"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_ogolem_do_40_m2_zl"
"2183",2473000,"Powiat m.Rybnik",2015,2153
"2184",2474000,"Powiat m.Siemianowice Śląskie",2015,2479
"2185",2475000,"Powiat m.Sosnowiec",2015,2324
"2186",2476000,"Powiat m.Świętochłowice",2015,2073
"2187",2477000,"Powiat m.Tychy",2015,3592
"2188",2478000,"Powiat m.Zabrze",2015,2368
"2189",2479000,"Powiat m.Żory",2015,2784
"2190",2601000,"Powiat buski",2015,2925
"2191",2602000,"Powiat jędrzejowski",2015,2513
"2192",2603000,"Powiat kazimierski",2015,0
"2193",2604000,"Powiat kielecki",2015,0
"2194",2605000,"Powiat konecki",2015,2174
"2195",2606000,"Powiat opatowski",2015,2304
"2196",2607000,"Powiat ostrowiecki",2015,1917
"2197",2608000,"Powiat pińczowski",2015,2147
"2198",2609000,"Powiat sandomierski",2015,2516
"2199",2610000,"Powiat skarżyski",2015,2212
"2200",2611000,"Powiat starachowicki",2015,2069
"2201",2612000,"Powiat staszowski",2015,2060
"2202",2613000,"Powiat włoszczowski",2015,2560
"2203",2661000,"Powiat m.Kielce",2015,4000
"2204",2801000,"Powiat bartoszycki",2015,1782
"2205",2802000,"Powiat braniewski",2015,1956
"2206",2803000,"Powiat działdowski",2015,3000
"2207",2804000,"Powiat elbląski",2015,1826
"2208",2805000,"Powiat ełcki",2015,2761
"2209",2806000,"Powiat giżycki",2015,3310
"2210",2807000,"Powiat iławski",2015,3170
"2211",2808000,"Powiat kętrzyński",2015,1601
"2212",2809000,"Powiat lidzbarski",2015,2025
"2213",2810000,"Powiat mrągowski",2015,2532
"2214",2811000,"Powiat nidzicki",2015,1849
"2215",2812000,"Powiat nowomiejski",2015,2339
"2216",2813000,"Powiat olecki",2015,2879
"2217",2814000,"Powiat olsztyński",2015,2821
"2218",2815000,"Powiat ostródzki",2015,2514
"2219",2816000,"Powiat piski",2015,2128
"2220",2817000,"Powiat szczycieński",2015,2844
"2221",2818000,"Powiat gołdapski",2015,2036
"2222",2819000,"Powiat węgorzewski",2015,2154
"2223",2861000,"Powiat m.Elbląg",2015,2807
"2224",2862000,"Powiat m.Olsztyn",2015,4385
"2225",3001000,"Powiat chodzieski",2015,2639
"2226",3002000,"Powiat czarnkowsko-trzcianecki",2015,2101
"2227",3003000,"Powiat gnieźnieński",2015,3344
"2228",3004000,"Powiat gostyński",2015,2718
"2229",3005000,"Powiat grodziski",2015,2933
"2230",3006000,"Powiat jarociński",2015,2862
"2231",3007000,"Powiat kaliski",2015,1697
"2232",3008000,"Powiat kępiński",2015,0
"2233",3009000,"Powiat kolski",2015,2800
"2234",3010000,"Powiat koniński",2015,2147
"2235",3011000,"Powiat kościański",2015,2957
"2236",3012000,"Powiat krotoszyński",2015,1995
"2237",3013000,"Powiat leszczyński",2015,3268
"2238",3014000,"Powiat międzychodzki",2015,2625
"2239",3015000,"Powiat nowotomyski",2015,2611
"2240",3016000,"Powiat obornicki",2015,2997
"2241",3017000,"Powiat ostrowski",2015,2447
"2242",3018000,"Powiat ostrzeszowski",2015,2625
"2243",3019000,"Powiat pilski",2015,2949
"2244",3020000,"Powiat pleszewski",2015,1898
"2245",3021000,"Powiat poznański",2015,4212
"2246",3022000,"Powiat rawicki",2015,3045
"2247",3023000,"Powiat słupecki",2015,2500
"2248",3024000,"Powiat szamotulski",2015,2317
"2249",3025000,"Powiat średzki",2015,3035
"2250",3026000,"Powiat śremski",2015,2544
"2251",3027000,"Powiat turecki",2015,2228
"2252",3028000,"Powiat wągrowiecki",2015,3083
"2253",3029000,"Powiat wolsztyński",2015,2130
"2254",3030000,"Powiat wrzesiński",2015,3395
"2255",3031000,"Powiat złotowski",2015,2483
"2256",3061000,"Powiat m.Kalisz",2015,2645
"2257",3062000,"Powiat m.Konin",2015,3141
"2258",3063000,"Powiat m.Leszno",2015,3208
"2259",3064000,"Powiat m.Poznań",2015,5660
"2260",3201000,"Powiat białogardzki",2015,1735
"2261",3202000,"Powiat choszczeński",2015,1957
"2262",3203000,"Powiat drawski",2015,2115
"2263",3204000,"Powiat goleniowski",2015,2613
"2264",3205000,"Powiat gryficki",2015,2350
"2265",3206000,"Powiat gryfiński",2015,2004
"2266",3207000,"Powiat kamieński",2015,3977
"2267",3208000,"Powiat kołobrzeski",2015,4748
"2268",3209000,"Powiat koszaliński",2015,3708
"2269",3210000,"Powiat myśliborski",2015,2113
"2270",3211000,"Powiat policki",2015,4417
"2271",3212000,"Powiat pyrzycki",2015,2487
"2272",3213000,"Powiat sławieński",2015,3311
"2273",3214000,"Powiat stargardzki",2015,3378
"2274",3215000,"Powiat szczecinecki",2015,2367
"2275",3216000,"Powiat świdwiński",2015,2055
"2276",3217000,"Powiat wałecki",2015,1987
"2277",3218000,"Powiat łobeski",2015,1657
"2278",3261000,"Powiat m.Koszalin",2015,3338
"2279",3262000,"Powiat m.Szczecin",2015,4434
"2280",3263000,"Powiat m.Świnoujście",2015,4474
"2281",201000,"Powiat bolesławiecki",2016,2157
"2282",202000,"Powiat dzierżoniowski",2016,1872
"2283",203000,"Powiat głogowski",2016,3094
"2284",204000,"Powiat górowski",2016,0
"2285",205000,"Powiat jaworski",2016,2161
"2286",206000,"Powiat jeleniogórski",2016,3020
"2287",207000,"Powiat kamiennogórski",2016,1387
"2288",208000,"Powiat kłodzki",2016,1932
"2289",209000,"Powiat legnicki",2016,2412
"2290",210000,"Powiat lubański",2016,2032
"2291",211000,"Powiat lubiński",2016,2912
"2292",212000,"Powiat lwówecki",2016,1434
"2293",213000,"Powiat milicki",2016,2541
"2294",214000,"Powiat oleśnicki",2016,3226
"2295",215000,"Powiat oławski",2016,3493
"2296",216000,"Powiat polkowicki",2016,2665
"2297",217000,"Powiat strzeliński",2016,3033
"2298",218000,"Powiat średzki",2016,2069
"2299",219000,"Powiat świdnicki",2016,2365
"2300",220000,"Powiat trzebnicki",2016,3277
"2301",221000,"Powiat wałbrzyski",2016,1283
"2302",222000,"Powiat wołowski",2016,2563
"2303",223000,"Powiat wrocławski",2016,4500
"2304",224000,"Powiat ząbkowicki",2016,1390
"2305",225000,"Powiat zgorzelecki",2016,2060
"2306",226000,"Powiat złotoryjski",2016,2175
"2307",261000,"Powiat m.Jelenia Góra",2016,2513
"2308",262000,"Powiat m.Legnica",2016,2840
"2309",264000,"Powiat m.Wrocław",2016,5904
"2310",265000,"Powiat m.Wałbrzych od 2013",2016,1831
"2311",401000,"Powiat aleksandrowski",2016,2980
"2312",402000,"Powiat brodnicki",2016,2763
"2313",403000,"Powiat bydgoski",2016,3177
"2314",404000,"Powiat chełmiński",2016,2500
"2315",405000,"Powiat golubsko-dobrzyński",2016,1993
"2316",406000,"Powiat grudziądzki",2016,2217
"2317",407000,"Powiat inowrocławski",2016,2765
"2318",408000,"Powiat lipnowski",2016,1396
"2319",409000,"Powiat mogileński",2016,2210
"2320",410000,"Powiat nakielski",2016,2601
"2321",411000,"Powiat radziejowski",2016,1768
"2322",412000,"Powiat rypiński",2016,1415
"2323",413000,"Powiat sępoleński",2016,1772
"2324",414000,"Powiat świecki",2016,2556
"2325",415000,"Powiat toruński",2016,2508
"2326",416000,"Powiat tucholski",2016,2678
"2327",417000,"Powiat wąbrzeski",2016,2058
"2328",418000,"Powiat włocławski",2016,1602
"2329",419000,"Powiat żniński",2016,2537
"2330",461000,"Powiat m.Bydgoszcz",2016,4014
"2331",462000,"Powiat m.Grudziądz",2016,2631
"2332",463000,"Powiat m.Toruń",2016,4224
"2333",464000,"Powiat m.Włocławek",2016,2435
"2334",601000,"Powiat bialski",2016,2639
"2335",602000,"Powiat biłgorajski",2016,3297
"2336",603000,"Powiat chełmski",2016,1690
"2337",604000,"Powiat hrubieszowski",2016,2089
"2338",605000,"Powiat janowski",2016,2538
"2339",606000,"Powiat krasnostawski",2016,2543
"2340",607000,"Powiat kraśnicki",2016,2151
"2341",608000,"Powiat lubartowski",2016,3668
"2342",609000,"Powiat lubelski",2016,3207
"2343",610000,"Powiat łęczyński",2016,3707
"2344",611000,"Powiat łukowski",2016,3030
"2345",612000,"Powiat opolski",2016,2613
"2346",613000,"Powiat parczewski",2016,2413
"2347",614000,"Powiat puławski",2016,3455
"2348",615000,"Powiat radzyński",2016,2553
"2349",616000,"Powiat rycki",2016,2568
"2350",617000,"Powiat świdnicki",2016,3706
"2351",618000,"Powiat tomaszowski",2016,2247
"2352",619000,"Powiat włodawski",2016,2338
"2353",620000,"Powiat zamojski",2016,0
"2354",661000,"Powiat m.Biała Podlaska",2016,2987
