"","Kod","Nazwa","rok","Budynki_mieszkalne_w_gminie_ogolem"
"332",3008000,"Powiat kępiński",2008,10818
"333",3009000,"Powiat kolski",2008,18590
"334",3010000,"Powiat koniński",2008,30364
"335",3011000,"Powiat kościański",2008,13107
"336",3012000,"Powiat krotoszyński",2008,13472
"337",3013000,"Powiat leszczyński",2008,10341
"338",3014000,"Powiat międzychodzki",2008,5660
"339",3015000,"Powiat nowotomyski",2008,12976
"340",3016000,"Powiat obornicki",2008,8213
"341",3017000,"Powiat ostrowski",2008,28532
"342",3018000,"Powiat ostrzeszowski",2008,12395
"343",3019000,"Powiat pilski",2008,15742
"344",3020000,"Powiat pleszewski",2008,11546
"345",3021000,"Powiat poznański",2008,57918
"346",3022000,"Powiat rawicki",2008,9943
"347",3023000,"Powiat słupecki",2008,12368
"348",3024000,"Powiat szamotulski",2008,14748
"349",3025000,"Powiat średzki",2008,8548
"350",3026000,"Powiat śremski",2008,7019
"351",3027000,"Powiat turecki",2008,16872
"352",3028000,"Powiat wągrowiecki",2008,10646
"353",3029000,"Powiat wolsztyński",2008,10472
"354",3030000,"Powiat wrzesiński",2008,12899
"355",3031000,"Powiat złotowski",2008,10098
"356",3061000,"Powiat m.Kalisz",2008,8940
"357",3062000,"Powiat m.Konin",2008,6635
"358",3063000,"Powiat m.Leszno",2008,6738
"359",3064000,"Powiat m.Poznań",2008,38268
"360",3201000,"Powiat białogardzki",2008,5231
"361",3202000,"Powiat choszczeński",2008,6235
"362",3203000,"Powiat drawski",2008,7623
"363",3204000,"Powiat goleniowski",2008,10348
"364",3205000,"Powiat gryficki",2008,7953
"365",3206000,"Powiat gryfiński",2008,10337
"366",3207000,"Powiat kamieński",2008,7344
"367",3208000,"Powiat kołobrzeski",2008,8081
"368",3209000,"Powiat koszaliński",2008,10060
"369",3210000,"Powiat myśliborski",2008,8110
"370",3211000,"Powiat policki",2008,7333
"371",3212000,"Powiat pyrzycki",2008,5220
"372",3213000,"Powiat sławieński",2008,8740
"373",3214000,"Powiat stargardzki",2008,11478
"374",3215000,"Powiat szczecinecki",2008,8214
"375",3216000,"Powiat świdwiński",2008,5684
"376",3217000,"Powiat wałecki",2008,6313
"377",3218000,"Powiat łobeski",2008,5127
"378",3261000,"Powiat m.Koszalin",2008,6651
"379",3262000,"Powiat m.Szczecin",2008,23893
"380",3263000,"Powiat m.Świnoujście",2008,2630
"381",201000,"Powiat bolesławiecki",2009,12919
"382",202000,"Powiat dzierżoniowski",2009,10889
"383",203000,"Powiat głogowski",2009,7253
"384",204000,"Powiat górowski",2009,6460
"385",205000,"Powiat jaworski",2009,6886
"386",206000,"Powiat jeleniogórski",2009,10574
"387",207000,"Powiat kamiennogórski",2009,5281
"388",208000,"Powiat kłodzki",2009,22856
"389",209000,"Powiat legnicki",2009,9057
