"","Kod","Nazwa","rok","Liczba_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_wtorny_od_40_do_60_m2_szt"
"23037",2204000,"Powiat gdański",2015,100
"23038",2205000,"Powiat kartuski",2015,29
"23039",2206000,"Powiat kościerski",2015,27
"23040",2207000,"Powiat kwidzyński",2015,88
"23041",2208000,"Powiat lęborski",2015,127
"23042",2209000,"Powiat malborski",2015,88
"23043",2210000,"Powiat nowodworski",2015,49
"23044",2211000,"Powiat pucki",2015,71
"23045",2212000,"Powiat słupski",2015,72
"23046",2213000,"Powiat starogardzki",2015,99
"23047",2214000,"Powiat tczewski",2015,141
"23048",2215000,"Powiat wejherowski",2015,232
"23049",2216000,"Powiat sztumski",2015,28
"23050",2261000,"Powiat m.Gdańsk",2015,1324
"23051",2262000,"Powiat m.Gdynia",2015,625
"23052",2263000,"Powiat m.Słupsk",2015,275
"23053",2264000,"Powiat m.Sopot",2015,112
"23054",2401000,"Powiat będziński",2015,166
"23055",2402000,"Powiat bielski",2015,87
"23056",2403000,"Powiat cieszyński",2015,115
"23057",2404000,"Powiat częstochowski",2015,27
"23058",2405000,"Powiat gliwicki",2015,136
"23059",2406000,"Powiat kłobucki",2015,16
"23060",2407000,"Powiat lubliniecki",2015,15
"23061",2408000,"Powiat mikołowski",2015,43
"23062",2409000,"Powiat myszkowski",2015,15
"23063",2410000,"Powiat pszczyński",2015,73
"23064",2411000,"Powiat raciborski",2015,105
"23065",2412000,"Powiat rybnicki",2015,11
"23066",2413000,"Powiat tarnogórski",2015,108
"23067",2414000,"Powiat bieruńsko-lędziński",2015,37
"23068",2415000,"Powiat wodzisławski",2015,95
"23069",2416000,"Powiat zawierciański",2015,10
"23070",2417000,"Powiat żywiecki",2015,21
"23071",2461000,"Powiat m.Bielsko-Biała",2015,254
"23072",2462000,"Powiat m.Bytom",2015,341
"23073",2463000,"Powiat m.Chorzów",2015,159
"23074",2464000,"Powiat m.Częstochowa",2015,218
"23075",2465000,"Powiat m.Dąbrowa Górnicza",2015,147
"23076",2466000,"Powiat m.Gliwice",2015,369
"23077",2467000,"Powiat m.Jastrzębie-Zdrój",2015,57
"23078",2468000,"Powiat m.Jaworzno",2015,181
"23079",2469000,"Powiat m.Katowice",2015,481
"23080",2470000,"Powiat m.Mysłowice",2015,141
"23081",2471000,"Powiat m.Piekary Śląskie",2015,84
"23082",2472000,"Powiat m.Ruda Śląska",2015,135
"23083",2473000,"Powiat m.Rybnik",2015,66
"23084",2474000,"Powiat m.Siemianowice Śląskie",2015,119
"23085",2475000,"Powiat m.Sosnowiec",2015,230
"23086",2476000,"Powiat m.Świętochłowice",2015,84
"23087",2477000,"Powiat m.Tychy",2015,272
"23088",2478000,"Powiat m.Zabrze",2015,273
"23089",2479000,"Powiat m.Żory",2015,83
"23090",2601000,"Powiat buski",2015,20
"23091",2602000,"Powiat jędrzejowski",2015,27
"23092",2603000,"Powiat kazimierski",2015,4
"23093",2604000,"Powiat kielecki",2015,0
"23094",2605000,"Powiat konecki",2015,25
"23095",2606000,"Powiat opatowski",2015,8
"23096",2607000,"Powiat ostrowiecki",2015,44
"23097",2608000,"Powiat pińczowski",2015,14
"23098",2609000,"Powiat sandomierski",2015,26
"23099",2610000,"Powiat skarżyski",2015,42
"23100",2611000,"Powiat starachowicki",2015,68
"23101",2612000,"Powiat staszowski",2015,14
"23102",2613000,"Powiat włoszczowski",2015,15
"23103",2661000,"Powiat m.Kielce",2015,301
"23104",2801000,"Powiat bartoszycki",2015,67
"23105",2802000,"Powiat braniewski",2015,74
"23106",2803000,"Powiat działdowski",2015,48
"23107",2804000,"Powiat elbląski",2015,37
"23108",2805000,"Powiat ełcki",2015,125
"23109",2806000,"Powiat giżycki",2015,97
"23110",2807000,"Powiat iławski",2015,132
"23111",2808000,"Powiat kętrzyński",2015,93
"23112",2809000,"Powiat lidzbarski",2015,56
"23113",2810000,"Powiat mrągowski",2015,60
"23114",2811000,"Powiat nidzicki",2015,30
"23115",2812000,"Powiat nowomiejski",2015,21
"23116",2813000,"Powiat olecki",2015,62
"23117",2814000,"Powiat olsztyński",2015,98
"23118",2815000,"Powiat ostródzki",2015,113
"23119",2816000,"Powiat piski",2015,60
"23120",2817000,"Powiat szczycieński",2015,48
"23121",2818000,"Powiat gołdapski",2015,47
"23122",2819000,"Powiat węgorzewski",2015,19
"23123",2861000,"Powiat m.Elbląg",2015,251
"23124",2862000,"Powiat m.Olsztyn",2015,474
"23125",3001000,"Powiat chodzieski",2015,40
"23126",3002000,"Powiat czarnkowsko-trzcianecki",2015,60
"23127",3003000,"Powiat gnieźnieński",2015,91
"23128",3004000,"Powiat gostyński",2015,21
"23129",3005000,"Powiat grodziski",2015,34
"23130",3006000,"Powiat jarociński",2015,14
"23131",3007000,"Powiat kaliski",2015,6
"23132",3008000,"Powiat kępiński",2015,0
"23133",3009000,"Powiat kolski",2015,48
"23134",3010000,"Powiat koniński",2015,10
"23135",3011000,"Powiat kościański",2015,33
"23136",3012000,"Powiat krotoszyński",2015,70
"23137",3013000,"Powiat leszczyński",2015,16
"23138",3014000,"Powiat międzychodzki",2015,34
"23139",3015000,"Powiat nowotomyski",2015,115
"23140",3016000,"Powiat obornicki",2015,47
"23141",3017000,"Powiat ostrowski",2015,39
"23142",3018000,"Powiat ostrzeszowski",2015,15
"23143",3019000,"Powiat pilski",2015,120
"23144",3020000,"Powiat pleszewski",2015,53
"23145",3021000,"Powiat poznański",2015,394
"23146",3022000,"Powiat rawicki",2015,23
"23147",3023000,"Powiat słupecki",2015,35
"23148",3024000,"Powiat szamotulski",2015,18
"23149",3025000,"Powiat średzki",2015,19
"23150",3026000,"Powiat śremski",2015,50
"23151",3027000,"Powiat turecki",2015,51
"23152",3028000,"Powiat wągrowiecki",2015,86
"23153",3029000,"Powiat wolsztyński",2015,19
"23154",3030000,"Powiat wrzesiński",2015,118
"23155",3031000,"Powiat złotowski",2015,68
"23156",3061000,"Powiat m.Kalisz",2015,122
"23157",3062000,"Powiat m.Konin",2015,131
"23158",3063000,"Powiat m.Leszno",2015,75
"23159",3064000,"Powiat m.Poznań",2015,1187
"23160",3201000,"Powiat białogardzki",2015,58
"23161",3202000,"Powiat choszczeński",2015,56
