"","Kod","Nazwa","rok","Rodziny_ktorym_na_podstawie_decyzji_przyznano_pomoc_wg_przyczyn_niepelnosprawnosc"
"9752",2263000,"Powiat m.Słupsk",2014,2238
"9753",2264000,"Powiat m.Sopot",2014,630
"9754",2401000,"Powiat będziński",2014,1356
"9755",2402000,"Powiat bielski",2014,1097
"9756",2403000,"Powiat cieszyński",2014,1548
"9757",2404000,"Powiat częstochowski",2014,1022
"9758",2405000,"Powiat gliwicki",2014,615
"9759",2406000,"Powiat kłobucki",2014,667
"9760",2407000,"Powiat lubliniecki",2014,555
"9761",2408000,"Powiat mikołowski",2014,515
"9762",2409000,"Powiat myszkowski",2014,774
"9763",2410000,"Powiat pszczyński",2014,541
"9764",2411000,"Powiat raciborski",2014,680
"9765",2412000,"Powiat rybnicki",2014,286
"9766",2413000,"Powiat tarnogórski",2014,964
"9767",2414000,"Powiat bieruńsko-lędziński",2014,331
"9768",2415000,"Powiat wodzisławski",2014,767
"9769",2416000,"Powiat zawierciański",2014,1274
"9770",2417000,"Powiat żywiecki",2014,1123
"9771",2461000,"Powiat m.Bielsko-Biała",2014,1344
"9772",2462000,"Powiat m.Bytom",2014,2133
"9773",2463000,"Powiat m.Chorzów",2014,1341
"9774",2464000,"Powiat m.Częstochowa",2014,2900
"9775",2465000,"Powiat m.Dąbrowa Górnicza",2014,700
"9776",2466000,"Powiat m.Gliwice",2014,1478
"9777",2467000,"Powiat m.Jastrzębie-Zdrój",2014,429
"9778",2468000,"Powiat m.Jaworzno",2014,650
"9779",2469000,"Powiat m.Katowice",2014,2620
"9780",2470000,"Powiat m.Mysłowice",2014,631
"9781",2471000,"Powiat m.Piekary Śląskie",2014,389
"9782",2472000,"Powiat m.Ruda Śląska",2014,1477
"9783",2473000,"Powiat m.Rybnik",2014,1052
"9784",2474000,"Powiat m.Siemianowice Śląskie",2014,970
"9785",2475000,"Powiat m.Sosnowiec",2014,2075
"9786",2476000,"Powiat m.Świętochłowice",2014,526
"9787",2477000,"Powiat m.Tychy",2014,978
"9788",2478000,"Powiat m.Zabrze",2014,1503
