"","Kod","Nazwa","rok","SCIEZKI_ROWEROWE_CTAB_scieZki_rowerowe_na_10_tys_ludnosci_km"
"6870",1464000,"Powiat m.Siedlce",2011,3.28
"6871",1465000,"Powiat m. st. Warszawa",2011,1.71
"6872",1601000,"Powiat brzeski",2011,0.02
"6873",1602000,"Powiat głubczycki",2011,0
"6874",1603000,"Powiat kędzierzyńsko-kozielski",2011,1.81
"6875",1604000,"Powiat kluczborski",2011,0.12
"6876",1605000,"Powiat krapkowicki",2011,7.61
"6877",1606000,"Powiat namysłowski",2011,0.74
"6878",1607000,"Powiat nyski",2011,3.24
"6879",1608000,"Powiat oleski",2011,0.56
"6880",1609000,"Powiat opolski",2011,2.88
"6881",1610000,"Powiat prudnicki",2011,0.63
"6882",1611000,"Powiat strzelecki",2011,7.78
"6883",1661000,"Powiat m.Opole",2011,2.3
"6884",1802000,"Powiat brzozowski",2011,0
"6885",1803000,"Powiat dębicki",2011,0.71
"6886",1804000,"Powiat jarosławski",2011,0
"6887",1805000,"Powiat jasielski",2011,0
"6888",1806000,"Powiat kolbuszowski",2011,0
"6889",1807000,"Powiat krośnieński",2011,0
"6890",1808000,"Powiat leżajski",2011,0.17
"6891",1809000,"Powiat lubaczowski",2011,0
"6892",1810000,"Powiat łańcucki",2011,0
"6893",1811000,"Powiat mielecki",2011,1.74
"6894",1812000,"Powiat niżański",2011,0.03
"6895",1813000,"Powiat przemyski",2011,0.19
"6896",1815000,"Powiat ropczycko-sędziszowski",2011,0.12
"6897",1816000,"Powiat rzeszowski",2011,0.28
"6898",1818000,"Powiat stalowowolski",2011,2.12
"6899",1819000,"Powiat strzyżowski",2011,0
"6900",1820000,"Powiat tarnobrzeski",2011,0
"6901",1821000,"Powiat leski",2011,9.28
"6902",1861000,"Powiat m.Krosno",2011,2.85
"6903",1862000,"Powiat m.Przemyśl",2011,1.13
"6904",1863000,"Powiat m.Rzeszów",2011,3.66
"6905",1864000,"Powiat m.Tarnobrzeg",2011,2.06
"6906",2001000,"Powiat augustowski",2011,3
"6907",2002000,"Powiat białostocki",2011,1.35
"6908",2003000,"Powiat bielski",2011,1.5
"6909",2004000,"Powiat grajewski",2011,0.87
"6910",2005000,"Powiat hajnowski",2011,0.97
"6911",2006000,"Powiat kolneński",2011,0.45
"6912",2007000,"Powiat łomżyński",2011,0
"6913",2008000,"Powiat moniecki",2011,0
"6914",2009000,"Powiat sejneński",2011,0
"6915",2010000,"Powiat siemiatycki",2011,0.27
"6916",2011000,"Powiat sokólski",2011,0.04
"6917",2012000,"Powiat suwalski",2011,0.19
"6918",2013000,"Powiat wysokomazowiecki",2011,0
"6919",2014000,"Powiat zambrowski",2011,0.58
"6920",2061000,"Powiat m.Białystok",2011,2.25
"6921",2062000,"Powiat m.Łomża",2011,1.92
"6922",2063000,"Powiat m.Suwałki",2011,5.77
"6923",2201000,"Powiat bytowski",2011,3.07
"6924",2202000,"Powiat chojnicki",2011,1.95
"6925",2203000,"Powiat człuchowski",2011,5.24
"6926",2204000,"Powiat gdański",2011,2.53
"6927",2205000,"Powiat kartuski",2011,0
"6928",2206000,"Powiat kościerski",2011,3.1
"6929",2207000,"Powiat kwidzyński",2011,3.64
"6930",2208000,"Powiat lęborski",2011,2.37
"6931",2209000,"Powiat malborski",2011,1.74
"6932",2210000,"Powiat nowodworski",2011,0.6
"6933",2211000,"Powiat pucki",2011,5.14
"6934",2212000,"Powiat słupski",2011,3.38
"6935",2213000,"Powiat starogardzki",2011,1.78
"6936",2214000,"Powiat tczewski",2011,1.09
"6937",2215000,"Powiat wejherowski",2011,1.24
"6938",2216000,"Powiat sztumski",2011,2.69
"6939",2261000,"Powiat m.Gdańsk",2011,1.95
"6940",2262000,"Powiat m.Gdynia",2011,1.53
"6941",2263000,"Powiat m.Słupsk",2011,2.85
"6942",2264000,"Powiat m.Sopot",2011,3.6
"6943",2401000,"Powiat będziński",2011,2.04
"6944",2402000,"Powiat bielski",2011,0.76
"6945",2403000,"Powiat cieszyński",2011,1.64
"6946",2404000,"Powiat częstochowski",2011,1.11
"6947",2405000,"Powiat gliwicki",2011,0.07
"6948",2406000,"Powiat kłobucki",2011,0.34
"6949",2407000,"Powiat lubliniecki",2011,3.34
"6950",2408000,"Powiat mikołowski",2011,0
"6951",2409000,"Powiat myszkowski",2011,0.25
"6952",2410000,"Powiat pszczyński",2011,0.28
"6953",2411000,"Powiat raciborski",2011,0.75
"6954",2412000,"Powiat rybnicki",2011,0.2
"6955",2413000,"Powiat tarnogórski",2011,0.74
"6956",2414000,"Powiat bieruńsko-lędziński",2011,2.5
"6957",2415000,"Powiat wodzisławski",2011,0.82
"6958",2416000,"Powiat zawierciański",2011,1.74
"6959",2417000,"Powiat żywiecki",2011,0.09
"6960",2461000,"Powiat m.Bielsko-Biała",2011,0.98
"6961",2462000,"Powiat m.Bytom",2011,0.3
"6962",2463000,"Powiat m.Chorzów",2011,1.27
"6963",2464000,"Powiat m.Częstochowa",2011,1.51
"6964",2465000,"Powiat m.Dąbrowa Górnicza",2011,0.25
"6965",2466000,"Powiat m.Gliwice",2011,5.01
"6966",2467000,"Powiat m.Jastrzębie-Zdrój",2011,1.63
"6967",2468000,"Powiat m.Jaworzno",2011,0.89
"6968",2469000,"Powiat m.Katowice",2011,1.63
"6969",2470000,"Powiat m.Mysłowice",2011,0.12
"6970",2471000,"Powiat m.Piekary Śląskie",2011,0
"6971",2472000,"Powiat m.Ruda Śląska",2011,0.33
"6972",2473000,"Powiat m.Rybnik",2011,4.98
"6973",2474000,"Powiat m.Siemianowice Śląskie",2011,0
"6974",2475000,"Powiat m.Sosnowiec",2011,0.52
"6975",2476000,"Powiat m.Świętochłowice",2011,0
"6976",2477000,"Powiat m.Tychy",2011,2.17
"6977",2478000,"Powiat m.Zabrze",2011,0.53
"6978",2479000,"Powiat m.Żory",2011,0.16
"6979",2601000,"Powiat buski",2011,0.4
"6980",2602000,"Powiat jędrzejowski",2011,0.47
"6981",2603000,"Powiat kazimierski",2011,0
"6982",2604000,"Powiat kielecki",2011,1.15
"6983",2605000,"Powiat konecki",2011,0.37
"6984",2606000,"Powiat opatowski",2011,0
"6985",2607000,"Powiat ostrowiecki",2011,2.56
"6986",2609000,"Powiat sandomierski",2011,0
"6987",2610000,"Powiat skarżyski",2011,0.44
"6988",2611000,"Powiat starachowicki",2011,0.5
"6989",2612000,"Powiat staszowski",2011,1.13
"6990",2613000,"Powiat włoszczowski",2011,0.11
"6991",2661000,"Powiat m.Kielce",2011,0.83
"6992",2801000,"Powiat bartoszycki",2011,0.15
"6993",2802000,"Powiat braniewski",2011,0
"6994",2803000,"Powiat działdowski",2011,0.18
"6995",2804000,"Powiat elbląski",2011,0.56
"6996",2805000,"Powiat ełcki",2011,1.14
"6997",2806000,"Powiat giżycki",2011,1.39
"6998",2807000,"Powiat iławski",2011,2.85
"6999",2808000,"Powiat kętrzyński",2011,0.54
"7000",2809000,"Powiat lidzbarski",2011,1.16
"7001",2810000,"Powiat mrągowski",2011,1.46
"7002",2811000,"Powiat nidzicki",2011,3.5
"7003",2812000,"Powiat nowomiejski",2011,0.34
"7004",2813000,"Powiat olecki",2011,0.8
"7005",2814000,"Powiat olsztyński",2011,0.7
"7006",2815000,"Powiat ostródzki",2011,0.14
"7007",2816000,"Powiat piski",2011,7.2
"7008",2817000,"Powiat szczycieński",2011,1.29
"7009",2818000,"Powiat gołdapski",2011,0.91
"7010",2819000,"Powiat węgorzewski",2011,0
"7011",2861000,"Powiat m.Elbląg",2011,2.84
"7012",2862000,"Powiat m.Olsztyn",2011,1.77
"7013",3001000,"Powiat chodzieski",2011,1.23
"7014",3002000,"Powiat czarnkowsko-trzcianecki",2011,2.44
"7015",3003000,"Powiat gnieźnieński",2011,1.83
"7016",3004000,"Powiat gostyński",2011,2.52
"7017",3005000,"Powiat grodziski",2011,2.9
"7018",3006000,"Powiat jarociński",2011,0.82
"7019",3007000,"Powiat kaliski",2011,0
"7020",3008000,"Powiat kępiński",2011,1.59
"7021",3009000,"Powiat kolski",2011,0.09
"7022",3010000,"Powiat koniński",2011,0.98
"7023",3011000,"Powiat kościański",2011,1.03
"7024",3012000,"Powiat krotoszyński",2011,0.63
"7025",3013000,"Powiat leszczyński",2011,5.41
"7026",3014000,"Powiat międzychodzki",2011,0.46
"7027",3015000,"Powiat nowotomyski",2011,3.4
"7028",3016000,"Powiat obornicki",2011,1.31
"7029",3017000,"Powiat ostrowski",2011,1.73
"7030",3018000,"Powiat ostrzeszowski",2011,1.15
"7031",3019000,"Powiat pilski",2011,3.15
"7032",3020000,"Powiat pleszewski",2011,2.83
"7033",3021000,"Powiat poznański",2011,3.11
"7034",3022000,"Powiat rawicki",2011,0.71
"7035",3023000,"Powiat słupecki",2011,0.74
"7036",3024000,"Powiat szamotulski",2011,3.16
"7037",3025000,"Powiat średzki",2011,1.06
"7038",3026000,"Powiat śremski",2011,1.7
"7039",3027000,"Powiat turecki",2011,1.6
"7040",3028000,"Powiat wągrowiecki",2011,1.84
"7041",3029000,"Powiat wolsztyński",2011,4.21
"7042",3030000,"Powiat wrzesiński",2011,0.54
"7043",3031000,"Powiat złotowski",2011,2.13
"7044",3061000,"Powiat m.Kalisz",2011,2.3
"7045",3062000,"Powiat m.Konin",2011,2.52
"7046",3063000,"Powiat m.Leszno",2011,4.64
"7047",3064000,"Powiat m.Poznań",2011,1.9
"7048",3201000,"Powiat białogardzki",2011,0
"7049",3202000,"Powiat choszczeński",2011,0.72
"7050",3203000,"Powiat drawski",2011,0.12
"7051",3204000,"Powiat goleniowski",2011,0.55
"7052",3205000,"Powiat gryficki",2011,0.92
"7053",3206000,"Powiat gryfiński",2011,0.24
"7054",3207000,"Powiat kamieński",2011,9.98
