"","Kod","Nazwa","rok","Rodziny_ktorym_na_podstawie_decyzji_przyznano_pomoc_wg_przyczyn_sieroctwo"
"2213",2810000,"Powiat mrągowski",2014,0
"2214",2811000,"Powiat nidzicki",2014,1
"2215",2812000,"Powiat nowomiejski",2014,0
"2216",2813000,"Powiat olecki",2014,2
"2217",2814000,"Powiat olsztyński",2014,1
"2218",2815000,"Powiat ostródzki",2014,3
"2219",2816000,"Powiat piski",2014,1
"2220",2817000,"Powiat szczycieński",2014,0
"2221",2818000,"Powiat gołdapski",2014,0
"2222",2819000,"Powiat węgorzewski",2014,3
"2223",2861000,"Powiat m.Elbląg",2014,5
"2224",2862000,"Powiat m.Olsztyn",2014,11
"2225",3001000,"Powiat chodzieski",2014,3
"2226",3002000,"Powiat czarnkowsko-trzcianecki",2014,4
"2227",3003000,"Powiat gnieźnieński",2014,1
"2228",3004000,"Powiat gostyński",2014,1
"2229",3005000,"Powiat grodziski",2014,5
"2230",3006000,"Powiat jarociński",2014,0
"2231",3007000,"Powiat kaliski",2014,0
"2232",3008000,"Powiat kępiński",2014,1
"2233",3009000,"Powiat kolski",2014,1
"2234",3010000,"Powiat koniński",2014,7
"2235",3011000,"Powiat kościański",2014,0
"2236",3012000,"Powiat krotoszyński",2014,0
"2237",3013000,"Powiat leszczyński",2014,1
"2238",3014000,"Powiat międzychodzki",2014,1
"2239",3015000,"Powiat nowotomyski",2014,0
"2240",3016000,"Powiat obornicki",2014,1
"2241",3017000,"Powiat ostrowski",2014,12
"2242",3018000,"Powiat ostrzeszowski",2014,4
"2243",3019000,"Powiat pilski",2014,5
"2244",3020000,"Powiat pleszewski",2014,3
"2245",3021000,"Powiat poznański",2014,11
"2246",3022000,"Powiat rawicki",2014,0
"2247",3023000,"Powiat słupecki",2014,0
"2248",3024000,"Powiat szamotulski",2014,1
"2249",3025000,"Powiat średzki",2014,2
"2250",3026000,"Powiat śremski",2014,1
"2251",3027000,"Powiat turecki",2014,4
"2252",3028000,"Powiat wągrowiecki",2014,0
"2253",3029000,"Powiat wolsztyński",2014,1
"2254",3030000,"Powiat wrzesiński",2014,1
"2255",3031000,"Powiat złotowski",2014,2
"2256",3061000,"Powiat m.Kalisz",2014,2
"2257",3062000,"Powiat m.Konin",2014,4
"2258",3063000,"Powiat m.Leszno",2014,3
"2259",3064000,"Powiat m.Poznań",2014,46
"2260",3201000,"Powiat białogardzki",2014,3
"2261",3202000,"Powiat choszczeński",2014,0
"2262",3203000,"Powiat drawski",2014,3
"2263",3204000,"Powiat goleniowski",2014,3
"2264",3205000,"Powiat gryficki",2014,0
"2265",3206000,"Powiat gryfiński",2014,8
"2266",3207000,"Powiat kamieński",2014,0
"2267",3208000,"Powiat kołobrzeski",2014,2
"2268",3209000,"Powiat koszaliński",2014,0
"2269",3210000,"Powiat myśliborski",2014,5
"2270",3211000,"Powiat policki",2014,1
"2271",3212000,"Powiat pyrzycki",2014,5
"2272",3213000,"Powiat sławieński",2014,1
"2273",3214000,"Powiat stargardzki",2014,21
"2274",3215000,"Powiat szczecinecki",2014,7
"2275",3216000,"Powiat świdwiński",2014,3
"2276",3217000,"Powiat wałecki",2014,8
"2277",3218000,"Powiat łobeski",2014,4
"2278",3261000,"Powiat m.Koszalin",2014,2
"2279",3262000,"Powiat m.Szczecin",2014,15
"2280",3263000,"Powiat m.Świnoujście",2014,3
"2281",201000,"Powiat bolesławiecki",2015,2
"2282",202000,"Powiat dzierżoniowski",2015,1
"2283",203000,"Powiat głogowski",2015,2
"2284",204000,"Powiat górowski",2015,0
"2285",205000,"Powiat jaworski",2015,3
"2286",206000,"Powiat jeleniogórski",2015,2
"2287",207000,"Powiat kamiennogórski",2015,1
"2288",208000,"Powiat kłodzki",2015,10
"2289",209000,"Powiat legnicki",2015,0
"2290",210000,"Powiat lubański",2015,1
"2291",211000,"Powiat lubiński",2015,1
"2292",212000,"Powiat lwówecki",2015,2
"2293",213000,"Powiat milicki",2015,0
"2294",214000,"Powiat oleśnicki",2015,4
"2295",215000,"Powiat oławski",2015,2
"2296",216000,"Powiat polkowicki",2015,2
"2297",217000,"Powiat strzeliński",2015,2
"2298",218000,"Powiat średzki",2015,3
"2299",219000,"Powiat świdnicki",2015,5
"2300",220000,"Powiat trzebnicki",2015,1
"2301",221000,"Powiat wałbrzyski",2015,4
"2302",222000,"Powiat wołowski",2015,4
"2303",223000,"Powiat wrocławski",2015,3
"2304",224000,"Powiat ząbkowicki",2015,0
"2305",225000,"Powiat zgorzelecki",2015,3
"2306",226000,"Powiat złotoryjski",2015,15
"2307",261000,"Powiat m.Jelenia Góra",2015,0
"2308",262000,"Powiat m.Legnica",2015,1
"2309",264000,"Powiat m.Wrocław",2015,9
"2310",265000,"Powiat m.Wałbrzych od 2013",2015,4
"2311",401000,"Powiat aleksandrowski",2015,0
"2312",402000,"Powiat brodnicki",2015,0
"2313",403000,"Powiat bydgoski",2015,11
