"","Kod","Nazwa","rok","Rodziny_ktorym_na_podstawie_decyzji_przyznano_pomoc_wg_przyczyn_przemoc_w_rodzinie"
"15393",1802000,"Powiat brzozowski",2014,17
"15394",1803000,"Powiat dębicki",2014,39
"15395",1804000,"Powiat jarosławski",2014,31
"15396",1805000,"Powiat jasielski",2014,60
"15397",1806000,"Powiat kolbuszowski",2014,64
"15398",1807000,"Powiat krośnieński",2014,53
"15399",1808000,"Powiat leżajski",2014,35
"15400",1809000,"Powiat lubaczowski",2014,12
"15401",1810000,"Powiat łańcucki",2014,12
"15402",1811000,"Powiat mielecki",2014,40
"15403",1812000,"Powiat niżański",2014,127
"15404",1813000,"Powiat przemyski",2014,68
"15405",1814000,"Powiat przeworski",2014,90
"15406",1815000,"Powiat ropczycko-sędziszowski",2014,35
"15407",1816000,"Powiat rzeszowski",2014,55
"15408",1817000,"Powiat sanocki",2014,50
"15409",1818000,"Powiat stalowowolski",2014,75
"15410",1819000,"Powiat strzyżowski",2014,28
"15411",1820000,"Powiat tarnobrzeski",2014,56
"15412",1821000,"Powiat leski",2014,11
"15413",1861000,"Powiat m.Krosno",2014,11
"15414",1862000,"Powiat m.Przemyśl",2014,27
"15415",1863000,"Powiat m.Rzeszów",2014,105
"15416",1864000,"Powiat m.Tarnobrzeg",2014,94
"15417",2001000,"Powiat augustowski",2014,17
"15418",2002000,"Powiat białostocki",2014,79
"15419",2003000,"Powiat bielski",2014,21
"15420",2004000,"Powiat grajewski",2014,15
"15421",2005000,"Powiat hajnowski",2014,16
"15422",2006000,"Powiat kolneński",2014,12
"15423",2007000,"Powiat łomżyński",2014,11
"15424",2008000,"Powiat moniecki",2014,22
"15425",2009000,"Powiat sejneński",2014,5
"15426",2010000,"Powiat siemiatycki",2014,8
"15427",2011000,"Powiat sokólski",2014,51
"15428",2012000,"Powiat suwalski",2014,22
"15429",2013000,"Powiat wysokomazowiecki",2014,7
"15430",2014000,"Powiat zambrowski",2014,13
"15431",2061000,"Powiat m.Białystok",2014,71
"15432",2062000,"Powiat m.Łomża",2014,18
"15433",2063000,"Powiat m.Suwałki",2014,57
"15434",2201000,"Powiat bytowski",2014,40
"15435",2202000,"Powiat chojnicki",2014,100
"15436",2203000,"Powiat człuchowski",2014,58
"15437",2204000,"Powiat gdański",2014,41
"15438",2205000,"Powiat kartuski",2014,119
"15439",2206000,"Powiat kościerski",2014,106
"15440",2207000,"Powiat kwidzyński",2014,96
"15441",2208000,"Powiat lęborski",2014,55
"15442",2209000,"Powiat malborski",2014,115
"15443",2210000,"Powiat nowodworski",2014,52
"15444",2211000,"Powiat pucki",2014,121
"15445",2212000,"Powiat słupski",2014,71
"15446",2213000,"Powiat starogardzki",2014,120
"15447",2214000,"Powiat tczewski",2014,119
"15448",2215000,"Powiat wejherowski",2014,115
"15449",2216000,"Powiat sztumski",2014,25
"15450",2261000,"Powiat m.Gdańsk",2014,55
"15451",2262000,"Powiat m.Gdynia",2014,34
"15452",2263000,"Powiat m.Słupsk",2014,20
"15453",2264000,"Powiat m.Sopot",2014,15
"15454",2401000,"Powiat będziński",2014,85
"15455",2402000,"Powiat bielski",2014,85
"15456",2403000,"Powiat cieszyński",2014,151
"15457",2404000,"Powiat częstochowski",2014,42
"15458",2405000,"Powiat gliwicki",2014,20
"15459",2406000,"Powiat kłobucki",2014,38
"15460",2407000,"Powiat lubliniecki",2014,10
"15461",2408000,"Powiat mikołowski",2014,23
"15462",2409000,"Powiat myszkowski",2014,130
"15463",2410000,"Powiat pszczyński",2014,59
"15464",2411000,"Powiat raciborski",2014,18
"15465",2412000,"Powiat rybnicki",2014,32
"15466",2413000,"Powiat tarnogórski",2014,61
"15467",2414000,"Powiat bieruńsko-lędziński",2014,23
"15468",2415000,"Powiat wodzisławski",2014,101
"15469",2416000,"Powiat zawierciański",2014,52
"15470",2417000,"Powiat żywiecki",2014,63
"15471",2461000,"Powiat m.Bielsko-Biała",2014,83
"15472",2462000,"Powiat m.Bytom",2014,84
"15473",2463000,"Powiat m.Chorzów",2014,34
"15474",2464000,"Powiat m.Częstochowa",2014,23
"15475",2465000,"Powiat m.Dąbrowa Górnicza",2014,361
"15476",2466000,"Powiat m.Gliwice",2014,66
"15477",2467000,"Powiat m.Jastrzębie-Zdrój",2014,13
"15478",2468000,"Powiat m.Jaworzno",2014,43
"15479",2469000,"Powiat m.Katowice",2014,56
"15480",2470000,"Powiat m.Mysłowice",2014,25
"15481",2471000,"Powiat m.Piekary Śląskie",2014,114
"15482",2472000,"Powiat m.Ruda Śląska",2014,87
"15483",2473000,"Powiat m.Rybnik",2014,38
"15484",2474000,"Powiat m.Siemianowice Śląskie",2014,37
"15485",2475000,"Powiat m.Sosnowiec",2014,30
"15486",2476000,"Powiat m.Świętochłowice",2014,11
"15487",2477000,"Powiat m.Tychy",2014,23
"15488",2478000,"Powiat m.Zabrze",2014,48
"15489",2479000,"Powiat m.Żory",2014,24
"15490",2601000,"Powiat buski",2014,14
"15491",2602000,"Powiat jędrzejowski",2014,50
"15492",2603000,"Powiat kazimierski",2014,32
"15493",2604000,"Powiat kielecki",2014,130
"15494",2605000,"Powiat konecki",2014,94
"15495",2606000,"Powiat opatowski",2014,35
"15496",2607000,"Powiat ostrowiecki",2014,144
"15497",2608000,"Powiat pińczowski",2014,11
"15498",2609000,"Powiat sandomierski",2014,25
"15499",2610000,"Powiat skarżyski",2014,53
"15500",2611000,"Powiat starachowicki",2014,50
"15501",2612000,"Powiat staszowski",2014,31
"15502",2613000,"Powiat włoszczowski",2014,15
"15503",2661000,"Powiat m.Kielce",2014,662
"15504",2801000,"Powiat bartoszycki",2014,12
"15505",2802000,"Powiat braniewski",2014,10
"15506",2803000,"Powiat działdowski",2014,34
"15507",2804000,"Powiat elbląski",2014,97
"15508",2805000,"Powiat ełcki",2014,28
"15509",2806000,"Powiat giżycki",2014,58
"15510",2807000,"Powiat iławski",2014,58
"15511",2808000,"Powiat kętrzyński",2014,147
"15512",2809000,"Powiat lidzbarski",2014,127
"15513",2810000,"Powiat mrągowski",2014,20
"15514",2811000,"Powiat nidzicki",2014,67
"15515",2812000,"Powiat nowomiejski",2014,154
"15516",2813000,"Powiat olecki",2014,28
"15517",2814000,"Powiat olsztyński",2014,70
"15518",2815000,"Powiat ostródzki",2014,28
"15519",2816000,"Powiat piski",2014,10
"15520",2817000,"Powiat szczycieński",2014,189
"15521",2818000,"Powiat gołdapski",2014,8
"15522",2819000,"Powiat węgorzewski",2014,8
"15523",2861000,"Powiat m.Elbląg",2014,28
"15524",2862000,"Powiat m.Olsztyn",2014,42
"15525",3001000,"Powiat chodzieski",2014,13
"15526",3002000,"Powiat czarnkowsko-trzcianecki",2014,32
"15527",3003000,"Powiat gnieźnieński",2014,24
"15528",3004000,"Powiat gostyński",2014,15
"15529",3005000,"Powiat grodziski",2014,10
"15530",3006000,"Powiat jarociński",2014,78
"15531",3007000,"Powiat kaliski",2014,18
"15532",3008000,"Powiat kępiński",2014,9
"15533",3009000,"Powiat kolski",2014,16
"15534",3010000,"Powiat koniński",2014,29
"15535",3011000,"Powiat kościański",2014,59
"15536",3012000,"Powiat krotoszyński",2014,27
"15537",3013000,"Powiat leszczyński",2014,14
"15538",3014000,"Powiat międzychodzki",2014,26
