"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_pierwotny_od_80_m2_zl"
"17425",3001000,"Powiat chodzieski",2015,0
"17426",3002000,"Powiat czarnkowsko-trzcianecki",2015,0
"17427",3003000,"Powiat gnieźnieński",2015,0
"17428",3004000,"Powiat gostyński",2015,2664
"17429",3005000,"Powiat grodziski",2015,0
"17430",3006000,"Powiat jarociński",2015,0
"17431",3007000,"Powiat kaliski",2015,0
"17432",3008000,"Powiat kępiński",2015,0
"17433",3009000,"Powiat kolski",2015,0
"17434",3010000,"Powiat koniński",2015,0
"17435",3011000,"Powiat kościański",2015,0
"17436",3012000,"Powiat krotoszyński",2015,0
"17437",3013000,"Powiat leszczyński",2015,0
"17438",3014000,"Powiat międzychodzki",2015,0
"17439",3015000,"Powiat nowotomyski",2015,0
"17440",3016000,"Powiat obornicki",2015,0
"17441",3017000,"Powiat ostrowski",2015,0
"17442",3018000,"Powiat ostrzeszowski",2015,0
"17443",3019000,"Powiat pilski",2015,3741
"17444",3020000,"Powiat pleszewski",2015,0
"17445",3021000,"Powiat poznański",2015,3799
"17446",3022000,"Powiat rawicki",2015,0
"17447",3023000,"Powiat słupecki",2015,0
"17448",3024000,"Powiat szamotulski",2015,0
"17449",3025000,"Powiat średzki",2015,2738
"17450",3026000,"Powiat śremski",2015,0
"17451",3027000,"Powiat turecki",2015,0
"17452",3028000,"Powiat wągrowiecki",2015,0
"17453",3029000,"Powiat wolsztyński",2015,0
"17454",3030000,"Powiat wrzesiński",2015,2596
"17455",3031000,"Powiat złotowski",2015,0
"17456",3061000,"Powiat m.Kalisz",2015,0
"17457",3062000,"Powiat m.Konin",2015,5203
"17458",3063000,"Powiat m.Leszno",2015,3418
"17459",3064000,"Powiat m.Poznań",2015,5560
"17460",3201000,"Powiat białogardzki",2015,0
"17461",3202000,"Powiat choszczeński",2015,0
"17462",3203000,"Powiat drawski",2015,0
"17463",3204000,"Powiat goleniowski",2015,0
"17464",3205000,"Powiat gryficki",2015,0
"17465",3206000,"Powiat gryfiński",2015,0
"17466",3207000,"Powiat kamieński",2015,0
"17467",3208000,"Powiat kołobrzeski",2015,4134
"17468",3209000,"Powiat koszaliński",2015,0
"17469",3210000,"Powiat myśliborski",2015,0
"17470",3211000,"Powiat policki",2015,4695
"17471",3212000,"Powiat pyrzycki",2015,0
"17472",3213000,"Powiat sławieński",2015,0
"17473",3214000,"Powiat stargardzki",2015,0
"17474",3215000,"Powiat szczecinecki",2015,0
"17475",3216000,"Powiat świdwiński",2015,0
"17476",3217000,"Powiat wałecki",2015,0
"17477",3218000,"Powiat łobeski",2015,0
"17478",3261000,"Powiat m.Koszalin",2015,0
"17479",3262000,"Powiat m.Szczecin",2015,4581
"17480",3263000,"Powiat m.Świnoujście",2015,0
"17481",201000,"Powiat bolesławiecki",2016,0
"17482",202000,"Powiat dzierżoniowski",2016,0
"17483",203000,"Powiat głogowski",2016,0
"17484",204000,"Powiat górowski",2016,0
"17485",205000,"Powiat jaworski",2016,0
"17486",206000,"Powiat jeleniogórski",2016,0
"17487",207000,"Powiat kamiennogórski",2016,0
"17488",208000,"Powiat kłodzki",2016,0
"17489",209000,"Powiat legnicki",2016,0
"17490",210000,"Powiat lubański",2016,0
"17491",211000,"Powiat lubiński",2016,3786
"17492",212000,"Powiat lwówecki",2016,0
"17493",213000,"Powiat milicki",2016,2637
"17494",214000,"Powiat oleśnicki",2016,3233
"17495",215000,"Powiat oławski",2016,3245
"17496",216000,"Powiat polkowicki",2016,0
"17497",217000,"Powiat strzeliński",2016,0
"17498",218000,"Powiat średzki",2016,3093
"17499",219000,"Powiat świdnicki",2016,3235
"17500",220000,"Powiat trzebnicki",2016,3841
"17501",221000,"Powiat wałbrzyski",2016,2957
"17502",222000,"Powiat wołowski",2016,2992
"17503",223000,"Powiat wrocławski",2016,3871
"17504",224000,"Powiat ząbkowicki",2016,0
"17505",225000,"Powiat zgorzelecki",2016,0
"17506",226000,"Powiat złotoryjski",2016,0
"17507",261000,"Powiat m.Jelenia Góra",2016,3026
"17508",262000,"Powiat m.Legnica",2016,3526
"17509",264000,"Powiat m.Wrocław",2016,5389
"17510",265000,"Powiat m.Wałbrzych od 2013",2016,0
"17511",401000,"Powiat aleksandrowski",2016,0
"17512",402000,"Powiat brodnicki",2016,2526
"17513",403000,"Powiat bydgoski",2016,4423
"17514",404000,"Powiat chełmiński",2016,0
"17515",405000,"Powiat golubsko-dobrzyński",2016,0
"17516",406000,"Powiat grudziądzki",2016,0
"17517",407000,"Powiat inowrocławski",2016,4802
