"","Kod","Nazwa","rok","Rodziny_ktorym_na_podstawie_decyzji_przyznano_pomoc_wg_przyczyn_bezdomnosc"
"3977",1463000,"Powiat m.Radom",2014,205
"3978",1464000,"Powiat m.Siedlce",2014,86
"3979",1465000,"Powiat m. st. Warszawa",2014,1344
"3980",1601000,"Powiat brzeski",2014,124
"3981",1602000,"Powiat głubczycki",2014,55
"3982",1603000,"Powiat kędzierzyńsko-kozielski",2014,93
"3983",1604000,"Powiat kluczborski",2014,57
"3984",1605000,"Powiat krapkowicki",2014,76
"3985",1606000,"Powiat namysłowski",2014,37
"3986",1607000,"Powiat nyski",2014,203
"3987",1608000,"Powiat oleski",2014,10
"3988",1609000,"Powiat opolski",2014,86
"3989",1610000,"Powiat prudnicki",2014,28
"3990",1611000,"Powiat strzelecki",2014,68
"3991",1661000,"Powiat m.Opole",2014,327
"3992",1801000,"Powiat bieszczadzki",2014,19
"3993",1802000,"Powiat brzozowski",2014,4
"3994",1803000,"Powiat dębicki",2014,74
"3995",1804000,"Powiat jarosławski",2014,48
"3996",1805000,"Powiat jasielski",2014,93
"3997",1806000,"Powiat kolbuszowski",2014,8
"3998",1807000,"Powiat krośnieński",2014,23
"3999",1808000,"Powiat leżajski",2014,29
"4000",1809000,"Powiat lubaczowski",2014,16
"4001",1810000,"Powiat łańcucki",2014,21
"4002",1811000,"Powiat mielecki",2014,39
"4003",1812000,"Powiat niżański",2014,30
"4004",1813000,"Powiat przemyski",2014,25
"4005",1814000,"Powiat przeworski",2014,19
"4006",1815000,"Powiat ropczycko-sędziszowski",2014,6
"4007",1816000,"Powiat rzeszowski",2014,28
"4008",1817000,"Powiat sanocki",2014,64
"4009",1818000,"Powiat stalowowolski",2014,90
"4010",1819000,"Powiat strzyżowski",2014,12
"4011",1820000,"Powiat tarnobrzeski",2014,23
"4012",1821000,"Powiat leski",2014,17
"4013",1861000,"Powiat m.Krosno",2014,41
"4014",1862000,"Powiat m.Przemyśl",2014,66
"4015",1863000,"Powiat m.Rzeszów",2014,82
"4016",1864000,"Powiat m.Tarnobrzeg",2014,65
"4017",2001000,"Powiat augustowski",2014,73
"4018",2002000,"Powiat białostocki",2014,89
"4019",2003000,"Powiat bielski",2014,31
"4020",2004000,"Powiat grajewski",2014,11
"4021",2005000,"Powiat hajnowski",2014,23
"4022",2006000,"Powiat kolneński",2014,17
"4023",2007000,"Powiat łomżyński",2014,9
"4024",2008000,"Powiat moniecki",2014,9
"4025",2009000,"Powiat sejneński",2014,4
"4026",2010000,"Powiat siemiatycki",2014,22
"4027",2011000,"Powiat sokólski",2014,34
"4028",2012000,"Powiat suwalski",2014,25
"4029",2013000,"Powiat wysokomazowiecki",2014,11
"4030",2014000,"Powiat zambrowski",2014,19
"4031",2061000,"Powiat m.Białystok",2014,335
"4032",2062000,"Powiat m.Łomża",2014,31
"4033",2063000,"Powiat m.Suwałki",2014,159
"4034",2201000,"Powiat bytowski",2014,132
"4035",2202000,"Powiat chojnicki",2014,71
"4036",2203000,"Powiat człuchowski",2014,59
"4037",2204000,"Powiat gdański",2014,99
"4038",2205000,"Powiat kartuski",2014,86
"4039",2206000,"Powiat kościerski",2014,87
"4040",2207000,"Powiat kwidzyński",2014,181
"4041",2208000,"Powiat lęborski",2014,99
"4042",2209000,"Powiat malborski",2014,162
"4043",2210000,"Powiat nowodworski",2014,52
"4044",2211000,"Powiat pucki",2014,78
"4045",2212000,"Powiat słupski",2014,138
"4046",2213000,"Powiat starogardzki",2014,201
"4047",2214000,"Powiat tczewski",2014,156
"4048",2215000,"Powiat wejherowski",2014,294
"4049",2216000,"Powiat sztumski",2014,48
"4050",2261000,"Powiat m.Gdańsk",2014,646
"4051",2262000,"Powiat m.Gdynia",2014,668
"4052",2263000,"Powiat m.Słupsk",2014,214
"4053",2264000,"Powiat m.Sopot",2014,164
"4054",2401000,"Powiat będziński",2014,211
"4055",2402000,"Powiat bielski",2014,72
"4056",2403000,"Powiat cieszyński",2014,101
"4057",2404000,"Powiat częstochowski",2014,49
"4058",2405000,"Powiat gliwicki",2014,111
"4059",2406000,"Powiat kłobucki",2014,45
"4060",2407000,"Powiat lubliniecki",2014,32
"4061",2408000,"Powiat mikołowski",2014,63
"4062",2409000,"Powiat myszkowski",2014,55
"4063",2410000,"Powiat pszczyński",2014,93
"4064",2411000,"Powiat raciborski",2014,103
"4065",2412000,"Powiat rybnicki",2014,72
"4066",2413000,"Powiat tarnogórski",2014,119
"4067",2414000,"Powiat bieruńsko-lędziński",2014,74
"4068",2415000,"Powiat wodzisławski",2014,98
"4069",2416000,"Powiat zawierciański",2014,120
"4070",2417000,"Powiat żywiecki",2014,30
"4071",2461000,"Powiat m.Bielsko-Biała",2014,301
"4072",2462000,"Powiat m.Bytom",2014,311
"4073",2463000,"Powiat m.Chorzów",2014,153
"4074",2464000,"Powiat m.Częstochowa",2014,507
"4075",2465000,"Powiat m.Dąbrowa Górnicza",2014,217
"4076",2466000,"Powiat m.Gliwice",2014,333
"4077",2467000,"Powiat m.Jastrzębie-Zdrój",2014,174
"4078",2468000,"Powiat m.Jaworzno",2014,239
"4079",2469000,"Powiat m.Katowice",2014,588
"4080",2470000,"Powiat m.Mysłowice",2014,130
"4081",2471000,"Powiat m.Piekary Śląskie",2014,67
"4082",2472000,"Powiat m.Ruda Śląska",2014,218
"4083",2473000,"Powiat m.Rybnik",2014,296
"4084",2474000,"Powiat m.Siemianowice Śląskie",2014,87
"4085",2475000,"Powiat m.Sosnowiec",2014,397
"4086",2476000,"Powiat m.Świętochłowice",2014,66
"4087",2477000,"Powiat m.Tychy",2014,202
"4088",2478000,"Powiat m.Zabrze",2014,322
"4089",2479000,"Powiat m.Żory",2014,101
"4090",2601000,"Powiat buski",2014,26
"4091",2602000,"Powiat jędrzejowski",2014,43
"4092",2603000,"Powiat kazimierski",2014,14
"4093",2604000,"Powiat kielecki",2014,109
"4094",2605000,"Powiat konecki",2014,68
"4095",2606000,"Powiat opatowski",2014,24
"4096",2607000,"Powiat ostrowiecki",2014,121
"4097",2608000,"Powiat pińczowski",2014,12
"4098",2609000,"Powiat sandomierski",2014,56
"4099",2610000,"Powiat skarżyski",2014,68
"4100",2611000,"Powiat starachowicki",2014,86
"4101",2612000,"Powiat staszowski",2014,16
"4102",2613000,"Powiat włoszczowski",2014,18
"4103",2661000,"Powiat m.Kielce",2014,582
"4104",2801000,"Powiat bartoszycki",2014,81
"4105",2802000,"Powiat braniewski",2014,58
"4106",2803000,"Powiat działdowski",2014,57
"4107",2804000,"Powiat elbląski",2014,67
"4108",2805000,"Powiat ełcki",2014,118
"4109",2806000,"Powiat giżycki",2014,70
"4110",2807000,"Powiat iławski",2014,106
"4111",2808000,"Powiat kętrzyński",2014,91
"4112",2809000,"Powiat lidzbarski",2014,37
"4113",2810000,"Powiat mrągowski",2014,61
"4114",2811000,"Powiat nidzicki",2014,32
"4115",2812000,"Powiat nowomiejski",2014,17
"4116",2813000,"Powiat olecki",2014,30
"4117",2814000,"Powiat olsztyński",2014,133
"4118",2815000,"Powiat ostródzki",2014,132
"4119",2816000,"Powiat piski",2014,47
"4120",2817000,"Powiat szczycieński",2014,65
"4121",2818000,"Powiat gołdapski",2014,36
"4122",2819000,"Powiat węgorzewski",2014,20
"4123",2861000,"Powiat m.Elbląg",2014,288
"4124",2862000,"Powiat m.Olsztyn",2014,202
"4125",3001000,"Powiat chodzieski",2014,30
"4126",3002000,"Powiat czarnkowsko-trzcianecki",2014,73
"4127",3003000,"Powiat gnieźnieński",2014,190
"4128",3004000,"Powiat gostyński",2014,43
"4129",3005000,"Powiat grodziski",2014,44
"4130",3006000,"Powiat jarociński",2014,47
"4131",3007000,"Powiat kaliski",2014,21
"4132",3008000,"Powiat kępiński",2014,39
"4133",3009000,"Powiat kolski",2014,48
"4134",3010000,"Powiat koniński",2014,35
"4135",3011000,"Powiat kościański",2014,78
"4136",3012000,"Powiat krotoszyński",2014,43
"4137",3013000,"Powiat leszczyński",2014,16
"4138",3014000,"Powiat międzychodzki",2014,39
"4139",3015000,"Powiat nowotomyski",2014,44
"4140",3016000,"Powiat obornicki",2014,105
"4141",3017000,"Powiat ostrowski",2014,79
"4142",3018000,"Powiat ostrzeszowski",2014,19
"4143",3019000,"Powiat pilski",2014,239
"4144",3020000,"Powiat pleszewski",2014,52
"4145",3021000,"Powiat poznański",2014,216
"4146",3022000,"Powiat rawicki",2014,20
"4147",3023000,"Powiat słupecki",2014,14
"4148",3024000,"Powiat szamotulski",2014,92
"4149",3025000,"Powiat średzki",2014,60
"4150",3026000,"Powiat śremski",2014,83
"4151",3027000,"Powiat turecki",2014,35
"4152",3028000,"Powiat wągrowiecki",2014,60
"4153",3029000,"Powiat wolsztyński",2014,48
