"","Kod","Nazwa","rok","WYNAGRODZENIA_CTAB_przecietne_miesieczne_wynagrodzenia_brutto_w_relacji_do_sredniej_krajowej_Polska_100_proc"
"7303",610000,"Powiat łęczyński",2003,134.3
"7304",611000,"Powiat łukowski",2003,72.2
"7305",612000,"Powiat opolski",2003,79.5
"7306",613000,"Powiat parczewski",2003,75.2
"7307",614000,"Powiat puławski",2003,91.2
"7308",615000,"Powiat radzyński",2003,81.6
"7309",616000,"Powiat rycki",2003,77.3
"7310",617000,"Powiat świdnicki",2003,80.6
"7311",618000,"Powiat tomaszowski",2003,74.4
"7312",619000,"Powiat włodawski",2003,79.4
"7313",620000,"Powiat zamojski",2003,68.7
"7314",661000,"Powiat m.Biała Podlaska",2003,79.2
"7315",662000,"Powiat m.Chełm",2003,84.3
"7316",663000,"Powiat m.Lublin",2003,95.4
"7317",664000,"Powiat m.Zamość",2003,86.2
"7318",801000,"Powiat gorzowski",2003,90.6
"7319",802000,"Powiat krośnieński",2003,80.7
"7320",803000,"Powiat międzyrzecki",2003,79.6
"7321",804000,"Powiat nowosolski",2003,75.8
"7322",805000,"Powiat słubicki",2003,90.2
"7323",806000,"Powiat strzelecko-drezdenecki",2003,81.3
"7324",807000,"Powiat sulęciński",2003,71.3
"7325",808000,"Powiat świebodziński",2003,75
"7326",809000,"Powiat zielonogórski",2003,84.1
"7327",810000,"Powiat żagański",2003,75.7
"7328",811000,"Powiat żarski",2003,85.8
"7329",812000,"Powiat wschowski",2003,72.1
"7330",861000,"Powiat m.Gorzów Wielkopolski",2003,88.5
"7331",862000,"Powiat m.Zielona Góra",2003,98.8
"7332",1001000,"Powiat bełchatowski",2003,130.4
"7333",1002000,"Powiat kutnowski",2003,83.1
"7334",1003000,"Powiat łaski",2003,73.6
"7335",1004000,"Powiat łęczycki",2003,82.9
"7336",1005000,"Powiat łowicki",2003,79.9
"7337",1006000,"Powiat łódzki wschodni",2003,76.1
"7338",1007000,"Powiat opoczyński",2003,83.6
"7339",1008000,"Powiat pabianicki",2003,80.2
"7340",1009000,"Powiat pajęczański",2003,81.1
"7341",1010000,"Powiat piotrkowski",2003,70.6
"7342",1011000,"Powiat poddębicki",2003,74.7
"7343",1012000,"Powiat radomszczański",2003,71.2
"7344",1013000,"Powiat rawski",2003,73.6
"7345",1014000,"Powiat sieradzki",2003,79.5
"7346",1015000,"Powiat skierniewicki",2003,84
"7347",1016000,"Powiat tomaszowski",2003,76.4
"7348",1017000,"Powiat wieluński",2003,71.1
"7349",1018000,"Powiat wieruszowski",2003,73.4
"7350",1019000,"Powiat zduńskowolski",2003,76.1
"7351",1020000,"Powiat zgierski",2003,79
"7352",1021000,"Powiat brzeziński",2003,69
"7353",1061000,"Powiat m.Łódź",2003,93.5
"7354",1062000,"Powiat m.Piotrków Trybunalski",2003,71.6
