"","Kod","Nazwa","rok","POJAZDY_CTAB_ciagniki_rolnicze_szt"
"40525",1401000,"Powiat białobrzeski",2000,NA
"40526",1402000,"Powiat ciechanowski",2000,NA
"40527",1403000,"Powiat garwoliński",2000,NA
"40528",1404000,"Powiat gostyniński",2000,NA
"40529",1405000,"Powiat grodziski",2000,NA
"40530",1406000,"Powiat grójecki",2000,NA
"40531",1407000,"Powiat kozienicki",2000,NA
"40532",1408000,"Powiat legionowski",2000,NA
"40533",1409000,"Powiat lipski",2000,NA
"40534",1410000,"Powiat łosicki",2000,NA
"40535",1411000,"Powiat makowski",2000,NA
"40536",1412000,"Powiat miński",2000,NA
"40537",1413000,"Powiat mławski",2000,NA
"40538",1414000,"Powiat nowodworski",2000,NA
"40539",1415000,"Powiat ostrołęcki",2000,NA
"40540",1416000,"Powiat ostrowski",2000,NA
"40541",1417000,"Powiat otwocki",2000,NA
"40542",1418000,"Powiat piaseczyński",2000,NA
"40543",1419000,"Powiat płocki",2000,NA
"40544",1420000,"Powiat płoński",2000,NA
"40545",1421000,"Powiat pruszkowski",2000,NA
"40546",1422000,"Powiat przasnyski",2000,NA
"40547",1423000,"Powiat przysuski",2000,NA
"40548",1424000,"Powiat pułtuski",2000,NA
"40549",1425000,"Powiat radomski",2000,NA
"40550",1426000,"Powiat siedlecki",2000,NA
"40551",1427000,"Powiat sierpecki",2000,NA
"40552",1428000,"Powiat sochaczewski",2000,NA
"40553",1429000,"Powiat sokołowski",2000,NA
"40554",1430000,"Powiat szydłowiecki",2000,NA
"40555",1432000,"Powiat warszawski zachodni",2000,NA
"40556",1433000,"Powiat węgrowski",2000,NA
"40557",1434000,"Powiat wołomiński",2000,NA
"40558",1435000,"Powiat wyszkowski",2000,NA
