"","Kod","Nazwa","rok","POJAZDY_CTAB_samochody_osobowe_szt"
"8182",1601000,"Powiat brzeski",1999,NA
"8183",1602000,"Powiat głubczycki",1999,NA
"8184",1603000,"Powiat kędzierzyńsko-kozielski",1999,NA
"8185",1604000,"Powiat kluczborski",1999,NA
"8186",1605000,"Powiat krapkowicki",1999,NA
"8187",1606000,"Powiat namysłowski",1999,NA
"8188",1607000,"Powiat nyski",1999,NA
"8189",1608000,"Powiat oleski",1999,NA
"8190",1609000,"Powiat opolski",1999,NA
"8191",1610000,"Powiat prudnicki",1999,NA
"8192",1611000,"Powiat strzelecki",1999,NA
"8193",1661000,"Powiat m.Opole",1999,NA
"8194",1801000,"Powiat bieszczadzki",1999,NA
"8195",1802000,"Powiat brzozowski",1999,NA
"8196",1803000,"Powiat dębicki",1999,NA
"8197",1804000,"Powiat jarosławski",1999,NA
"8198",1805000,"Powiat jasielski",1999,NA
"8199",1806000,"Powiat kolbuszowski",1999,NA
"8200",1807000,"Powiat krośnieński",1999,NA
"8201",1808000,"Powiat leżajski",1999,NA
"8202",1809000,"Powiat lubaczowski",1999,NA
"8203",1810000,"Powiat łańcucki",1999,NA
"8204",1811000,"Powiat mielecki",1999,NA
"8205",1812000,"Powiat niżański",1999,NA
"8206",1813000,"Powiat przemyski",1999,NA
"8207",1814000,"Powiat przeworski",1999,NA
"8208",1815000,"Powiat ropczycko-sędziszowski",1999,NA
"8209",1816000,"Powiat rzeszowski",1999,NA
"8210",1817000,"Powiat sanocki",1999,NA
"8211",1818000,"Powiat stalowowolski",1999,NA
"8212",1819000,"Powiat strzyżowski",1999,NA
"8213",1820000,"Powiat tarnobrzeski",1999,NA
"8214",1821000,"Powiat leski",1999,NA
"8215",1861000,"Powiat m.Krosno",1999,NA
"8216",1862000,"Powiat m.Przemyśl",1999,NA
"8217",1863000,"Powiat m.Rzeszów",1999,NA
"8218",1864000,"Powiat m.Tarnobrzeg",1999,NA
"8219",2001000,"Powiat augustowski",1999,NA
"8220",2002000,"Powiat białostocki",1999,NA
"8221",2003000,"Powiat bielski",1999,NA
"8222",2004000,"Powiat grajewski",1999,NA
"8223",2005000,"Powiat hajnowski",1999,NA
