"","Kod","Nazwa","rok","Budownictwo_mieszkaniowe_wskazniki_przecietna_powierzchnia_uZytkowa_1_mieszkania_m2"
"13905",1609000,"Powiat opolski",2002,155.8
"13906",1610000,"Powiat prudnicki",2002,151.4
"13907",1611000,"Powiat strzelecki",2002,131.4
"13908",1661000,"Powiat m.Opole",2002,95.3
"13909",1801000,"Powiat bieszczadzki",2002,185
"13910",1802000,"Powiat brzozowski",2002,127
"13911",1803000,"Powiat dębicki",2002,129.6
"13912",1804000,"Powiat jarosławski",2002,109.1
"13913",1805000,"Powiat jasielski",2002,128.1
"13914",1806000,"Powiat kolbuszowski",2002,119.4
"13915",1807000,"Powiat krośnieński",2002,124.1
"13916",1808000,"Powiat leżajski",2002,119.7
"13917",1809000,"Powiat lubaczowski",2002,116.8
"13918",1810000,"Powiat łańcucki",2002,129.6
"13919",1811000,"Powiat mielecki",2002,112
"13920",1812000,"Powiat niżański",2002,137.6
"13921",1813000,"Powiat przemyski",2002,135.6
"13922",1814000,"Powiat przeworski",2002,132.6
"13923",1815000,"Powiat ropczycko-sędziszowski",2002,103.1
"13924",1816000,"Powiat rzeszowski",2002,133.1
"13925",1817000,"Powiat sanocki",2002,142.5
"13926",1818000,"Powiat stalowowolski",2002,126.1
"13927",1819000,"Powiat strzyżowski",2002,125.5
"13928",1820000,"Powiat tarnobrzeski",2002,133.7
"13929",1821000,"Powiat leski",2002,139.3
"13930",1861000,"Powiat m.Krosno",2002,127.3
"13931",1862000,"Powiat m.Przemyśl",2002,107.7
"13932",1863000,"Powiat m.Rzeszów",2002,92.7
"13933",1864000,"Powiat m.Tarnobrzeg",2002,102.8
"13934",2001000,"Powiat augustowski",2002,124.3
"13935",2002000,"Powiat białostocki",2002,159.3
"13936",2003000,"Powiat bielski",2002,160
"13937",2004000,"Powiat grajewski",2002,140.6
"13938",2005000,"Powiat hajnowski",2002,105.2
"13939",2006000,"Powiat kolneński",2002,88.9
"13940",2007000,"Powiat łomżyński",2002,153.4
"13941",2008000,"Powiat moniecki",2002,152.3
"13942",2009000,"Powiat sejneński",2002,149.7
"13943",2010000,"Powiat siemiatycki",2002,126.7
"13944",2011000,"Powiat sokólski",2002,139.4
"13945",2012000,"Powiat suwalski",2002,146.1
"13946",2013000,"Powiat wysokomazowiecki",2002,107.9
"13947",2014000,"Powiat zambrowski",2002,168.3
"13948",2061000,"Powiat m.Białystok",2002,75
"13949",2062000,"Powiat m.Łomża",2002,113.5
"13950",2063000,"Powiat m.Suwałki",2002,128.2
"13951",2201000,"Powiat bytowski",2002,107.1
"13952",2202000,"Powiat chojnicki",2002,122
"13953",2203000,"Powiat człuchowski",2002,136.8
"13954",2204000,"Powiat gdański",2002,100.8
"13955",2205000,"Powiat kartuski",2002,146.1
"13956",2206000,"Powiat kościerski",2002,127.1
"13957",2207000,"Powiat kwidzyński",2002,80.3
"13958",2208000,"Powiat lęborski",2002,141.2
"13959",2209000,"Powiat malborski",2002,77.2
"13960",2210000,"Powiat nowodworski",2002,144.3
"13961",2211000,"Powiat pucki",2002,128.2
"13962",2212000,"Powiat słupski",2002,138.8
"13963",2213000,"Powiat starogardzki",2002,102.4
"13964",2214000,"Powiat tczewski",2002,124.4
"13965",2215000,"Powiat wejherowski",2002,108.2
