"","Kod","Nazwa","rok","Liczba_kwoty_wyplaconych_dodatkow_mieszkaniowych_ogolem_kwota_zl"
"5881",1602000,"Powiat głubczycki",2004,1340502
"5882",1603000,"Powiat kędzierzyńsko-kozielski",2004,4199193
"5883",1604000,"Powiat kluczborski",2004,3120199
"5884",1605000,"Powiat krapkowicki",2004,1559644
"5885",1606000,"Powiat namysłowski",2004,1399039
"5886",1607000,"Powiat nyski",2004,6334721
"5887",1608000,"Powiat oleski",2004,1005607
"5888",1609000,"Powiat opolski",2004,2039718
"5889",1610000,"Powiat prudnicki",2004,2048580
"5890",1611000,"Powiat strzelecki",2004,1912802
"5891",1661000,"Powiat m.Opole",2004,4628606
"5892",1801000,"Powiat bieszczadzki",2004,1257165
"5893",1802000,"Powiat brzozowski",2004,486224
"5894",1803000,"Powiat dębicki",2004,3209811
"5895",1804000,"Powiat jarosławski",2004,2858530
"5896",1805000,"Powiat jasielski",2004,3672055
"5897",1806000,"Powiat kolbuszowski",2004,593194
"5898",1807000,"Powiat krośnieński",2004,617261
"5899",1808000,"Powiat leżajski",2004,1005830
"5900",1809000,"Powiat lubaczowski",2004,1416046
"5901",1810000,"Powiat łańcucki",2004,510356
"5902",1811000,"Powiat mielecki",2004,2716246
"5903",1812000,"Powiat niżański",2004,1009185
"5904",1813000,"Powiat przemyski",2004,457543
"5905",1814000,"Powiat przeworski",2004,1079774
"5906",1815000,"Powiat ropczycko-sędziszowski",2004,405645
"5907",1816000,"Powiat rzeszowski",2004,728724
"5908",1817000,"Powiat sanocki",2004,2518358
"5909",1818000,"Powiat stalowowolski",2004,2372944
"5910",1819000,"Powiat strzyżowski",2004,450161
"5911",1820000,"Powiat tarnobrzeski",2004,1647636
"5912",1821000,"Powiat leski",2004,595224
"5913",1861000,"Powiat m.Krosno",2004,1712077
"5914",1862000,"Powiat m.Przemyśl",2004,5062260
"5915",1863000,"Powiat m.Rzeszów",2004,10964926
"5916",1864000,"Powiat m.Tarnobrzeg",2004,3829217
"5917",2001000,"Powiat augustowski",2004,1586004
"5918",2002000,"Powiat białostocki",2004,2671730
"5919",2003000,"Powiat bielski",2004,2216960
"5920",2004000,"Powiat grajewski",2004,1911987
"5921",2005000,"Powiat hajnowski",2004,1809577
"5922",2006000,"Powiat kolneński",2004,1525377
"5923",2007000,"Powiat łomżyński",2004,452204
"5924",2008000,"Powiat moniecki",2004,1397154
"5925",2009000,"Powiat sejneński",2004,819149
"5926",2010000,"Powiat siemiatycki",2004,692889
"5927",2011000,"Powiat sokólski",2004,2930200
"5928",2012000,"Powiat suwalski",2004,715997
"5929",2013000,"Powiat wysokomazowiecki",2004,904574
"5930",2014000,"Powiat zambrowski",2004,2073242
"5931",2061000,"Powiat m.Białystok",2004,19909873
"5932",2062000,"Powiat m.Łomża",2004,5467755
"5933",2063000,"Powiat m.Suwałki",2004,7148977
"5934",2201000,"Powiat bytowski",2004,2376635
"5935",2202000,"Powiat chojnicki",2004,4266973
"5936",2203000,"Powiat człuchowski",2004,2849428
"5937",2204000,"Powiat gdański",2004,1717188
"5938",2205000,"Powiat kartuski",2004,1470423
"5939",2206000,"Powiat kościerski",2004,2466205
"5940",2207000,"Powiat kwidzyński",2004,4600040
"5941",2208000,"Powiat lęborski",2004,4153922
"5942",2209000,"Powiat malborski",2004,3612509
"5943",2210000,"Powiat nowodworski",2004,2005099
"5944",2211000,"Powiat pucki",2004,1440423
"5945",2212000,"Powiat słupski",2004,3295746
"5946",2213000,"Powiat starogardzki",2004,5271045
"5947",2214000,"Powiat tczewski",2004,5592104
"5948",2215000,"Powiat wejherowski",2004,5255105
"5949",2216000,"Powiat sztumski",2004,3530228
"5950",2261000,"Powiat m.Gdańsk",2004,19516673
"5951",2262000,"Powiat m.Gdynia",2004,8515884
"5952",2263000,"Powiat m.Słupsk",2004,5235227
"5953",2264000,"Powiat m.Sopot",2004,994062
"5954",2401000,"Powiat będziński",2004,6966180
"5955",2402000,"Powiat bielski",2004,1810443
"5956",2403000,"Powiat cieszyński",2004,3583402
"5957",2404000,"Powiat częstochowski",2004,1068422
"5958",2405000,"Powiat gliwicki",2004,3917253
"5959",2406000,"Powiat kłobucki",2004,391292
"5960",2407000,"Powiat lubliniecki",2004,1474677
"5961",2408000,"Powiat mikołowski",2004,2786366
"5962",2409000,"Powiat myszkowski",2004,3335775
"5963",2410000,"Powiat pszczyński",2004,1331448
"5964",2411000,"Powiat raciborski",2004,4005102
"5965",2412000,"Powiat rybnicki",2004,1402387
"5966",2413000,"Powiat tarnogórski",2004,5963362
"5967",2414000,"Powiat bieruńsko-lędziński",2004,649092
"5968",2415000,"Powiat wodzisławski",2004,3988155
"5969",2416000,"Powiat zawierciański",2004,5115593
"5970",2417000,"Powiat żywiecki",2004,1300918
"5971",2461000,"Powiat m.Bielsko-Biała",2004,7615534
"5972",2462000,"Powiat m.Bytom",2004,16032063
"5973",2463000,"Powiat m.Chorzów",2004,13408070
"5974",2464000,"Powiat m.Częstochowa",2004,16553084
"5975",2465000,"Powiat m.Dąbrowa Górnicza",2004,7709009
"5976",2466000,"Powiat m.Gliwice",2004,13309373
"5977",2467000,"Powiat m.Jastrzębie-Zdrój",2004,3186812
"5978",2468000,"Powiat m.Jaworzno",2004,3360567
"5979",2469000,"Powiat m.Katowice",2004,20262697
"5980",2470000,"Powiat m.Mysłowice",2004,5628768
"5981",2471000,"Powiat m.Piekary Śląskie",2004,3509262
"5982",2472000,"Powiat m.Ruda Śląska",2004,10411958
"5983",2473000,"Powiat m.Rybnik",2004,5690839
"5984",2474000,"Powiat m.Siemianowice Śląskie",2004,7092600
"5985",2475000,"Powiat m.Sosnowiec",2004,14728378
"5986",2476000,"Powiat m.Świętochłowice",2004,5909970
"5987",2477000,"Powiat m.Tychy",2004,9421200
"5988",2478000,"Powiat m.Zabrze",2004,17569596
"5989",2479000,"Powiat m.Żory",2004,2116556
"5990",2601000,"Powiat buski",2004,1258216
"5991",2602000,"Powiat jędrzejowski",2004,1298557
"5992",2603000,"Powiat kazimierski",2004,225344
"5993",2604000,"Powiat kielecki",2004,829541
"5994",2605000,"Powiat konecki",2004,1574845
"5995",2606000,"Powiat opatowski",2004,782021
"5996",2607000,"Powiat ostrowiecki",2004,4202408
"5997",2608000,"Powiat pińczowski",2004,1343401
"5998",2609000,"Powiat sandomierski",2004,1571041
"5999",2610000,"Powiat skarżyski",2004,2966945
"6000",2611000,"Powiat starachowicki",2004,3199463
"6001",2612000,"Powiat staszowski",2004,920919
"6002",2613000,"Powiat włoszczowski",2004,566315
"6003",2661000,"Powiat m.Kielce",2004,6860245
"6004",2801000,"Powiat bartoszycki",2004,5019535
"6005",2802000,"Powiat braniewski",2004,2592755
"6006",2803000,"Powiat działdowski",2004,2913952
"6007",2804000,"Powiat elbląski",2004,2550449
"6008",2805000,"Powiat ełcki",2004,5179415
"6009",2806000,"Powiat giżycki",2004,4318196
"6010",2807000,"Powiat iławski",2004,2864082
"6011",2808000,"Powiat kętrzyński",2004,4548414
"6012",2809000,"Powiat lidzbarski",2004,2101962
"6013",2810000,"Powiat mrągowski",2004,3066472
"6014",2811000,"Powiat nidzicki",2004,342023
"6015",2812000,"Powiat nowomiejski",2004,845582
"6016",2813000,"Powiat olecki",2004,3094052
"6017",2814000,"Powiat olsztyński",2004,3496870
"6018",2815000,"Powiat ostródzki",2004,4426799
"6019",2816000,"Powiat piski",2004,5508545
"6020",2817000,"Powiat szczycieński",2004,2364692
"6021",2818000,"Powiat gołdapski",2004,3298014
"6022",2819000,"Powiat węgorzewski",2004,1494510
"6023",2861000,"Powiat m.Elbląg",2004,10101354
"6024",2862000,"Powiat m.Olsztyn",2004,10799673
"6025",3001000,"Powiat chodzieski",2004,1456228
"6026",3002000,"Powiat czarnkowsko-trzcianecki",2004,3738300
"6027",3003000,"Powiat gnieźnieński",2004,8208900
"6028",3004000,"Powiat gostyński",2004,2069147
"6029",3005000,"Powiat grodziski",2004,1002514
"6030",3006000,"Powiat jarociński",2004,2257307
"6031",3007000,"Powiat kaliski",2004,633522
"6032",3008000,"Powiat kępiński",2004,955677
"6033",3009000,"Powiat kolski",2004,2975040
"6034",3010000,"Powiat koniński",2004,1363871
"6035",3011000,"Powiat kościański",2004,2218776
"6036",3012000,"Powiat krotoszyński",2004,2936086
"6037",3013000,"Powiat leszczyński",2004,657078
"6038",3014000,"Powiat międzychodzki",2004,1437088
"6039",3015000,"Powiat nowotomyski",2004,1423288
"6040",3016000,"Powiat obornicki",2004,2033244
"6041",3017000,"Powiat ostrowski",2004,5058874
"6042",3018000,"Powiat ostrzeszowski",2004,1049862
"6043",3019000,"Powiat pilski",2004,6811009
"6044",3020000,"Powiat pleszewski",2004,2093130
"6045",3021000,"Powiat poznański",2004,4422846
"6046",3022000,"Powiat rawicki",2004,1208816
"6047",3023000,"Powiat słupecki",2004,1577348
"6048",3024000,"Powiat szamotulski",2004,2721921
"6049",3025000,"Powiat średzki",2004,1719235
"6050",3026000,"Powiat śremski",2004,2678295
"6051",3027000,"Powiat turecki",2004,2008450
"6052",3028000,"Powiat wągrowiecki",2004,3316375
"6053",3029000,"Powiat wolsztyński",2004,882750
"6054",3030000,"Powiat wrzesiński",2004,3043478
"6055",3031000,"Powiat złotowski",2004,3547523
"6056",3061000,"Powiat m.Kalisz",2004,10092943
"6057",3062000,"Powiat m.Konin",2004,5177031
"6058",3063000,"Powiat m.Leszno",2004,4249627
"6059",3064000,"Powiat m.Poznań",2004,16383041
"6060",3201000,"Powiat białogardzki",2004,3101937
"6061",3202000,"Powiat choszczeński",2004,3842639
"6062",3203000,"Powiat drawski",2004,5074051
"6063",3204000,"Powiat goleniowski",2004,3371715
"6064",3205000,"Powiat gryficki",2004,3500023
"6065",3206000,"Powiat gryfiński",2004,3399520
"6066",3207000,"Powiat kamieński",2004,2428870
"6067",3208000,"Powiat kołobrzeski",2004,3068029
"6068",3209000,"Powiat koszaliński",2004,2329803
"6069",3210000,"Powiat myśliborski",2004,3910151
"6070",3211000,"Powiat policki",2004,1880010
"6071",3212000,"Powiat pyrzycki",2004,2001626
"6072",3213000,"Powiat sławieński",2004,2501713
"6073",3214000,"Powiat stargardzki",2004,7279422
"6074",3215000,"Powiat szczecinecki",2004,5221916
"6075",3216000,"Powiat świdwiński",2004,2397728
"6076",3217000,"Powiat wałecki",2004,3534667
"6077",3218000,"Powiat łobeski",2004,2413334
"6078",3261000,"Powiat m.Koszalin",2004,5673906
"6079",3262000,"Powiat m.Szczecin",2004,26192567
"6080",3263000,"Powiat m.Świnoujście",2004,1058782
"6081",201000,"Powiat bolesławiecki",2005,2323809
"6082",202000,"Powiat dzierżoniowski",2005,5565287
"6083",203000,"Powiat głogowski",2005,4832657
"6084",204000,"Powiat górowski",2005,1404530
"6085",205000,"Powiat jaworski",2005,2178977
"6086",206000,"Powiat jeleniogórski",2005,1489518
"6087",207000,"Powiat kamiennogórski",2005,1397236
"6088",208000,"Powiat kłodzki",2005,7786722
"6089",209000,"Powiat legnicki",2005,1875698
"6090",210000,"Powiat lubański",2005,2195608
"6091",211000,"Powiat lubiński",2005,3194417
"6092",212000,"Powiat lwówecki",2005,1230236
"6093",213000,"Powiat milicki",2005,755510
"6094",214000,"Powiat oleśnicki",2005,3228481
"6095",215000,"Powiat oławski",2005,2605693
"6096",216000,"Powiat polkowicki",2005,1939777
"6097",217000,"Powiat strzeliński",2005,1231342
"6098",218000,"Powiat średzki",2005,526995
"6099",219000,"Powiat świdnicki",2005,4538698
"6100",220000,"Powiat trzebnicki",2005,1730858
"6101",221000,"Powiat wałbrzyski",2005,12170435
"6102",222000,"Powiat wołowski",2005,1379190
"6103",223000,"Powiat wrocławski",2005,728317
"6104",224000,"Powiat ząbkowicki",2005,2157749
"6105",225000,"Powiat zgorzelecki",2005,3126542
"6106",226000,"Powiat złotoryjski",2005,1781820
"6107",261000,"Powiat m.Jelenia Góra",2005,2245733
"6108",262000,"Powiat m.Legnica",2005,6326485
"6109",264000,"Powiat m.Wrocław",2005,20200299
"6110",265000,"Powiat m.Wałbrzych od 2013",2005,NA
"6111",401000,"Powiat aleksandrowski",2005,1164272
"6112",402000,"Powiat brodnicki",2005,3020616
"6113",403000,"Powiat bydgoski",2005,3513321
"6114",404000,"Powiat chełmiński",2005,1965331
"6115",405000,"Powiat golubsko-dobrzyński",2005,1537997
"6116",406000,"Powiat grudziądzki",2005,1733999
"6117",407000,"Powiat inowrocławski",2005,8791897
"6118",408000,"Powiat lipnowski",2005,1518539
"6119",409000,"Powiat mogileński",2005,1727402
"6120",410000,"Powiat nakielski",2005,3925493
"6121",411000,"Powiat radziejowski",2005,943483
"6122",412000,"Powiat rypiński",2005,1707769
"6123",413000,"Powiat sępoleński",2005,2606409
"6124",414000,"Powiat świecki",2005,3039297
"6125",415000,"Powiat toruński",2005,2870132
"6126",416000,"Powiat tucholski",2005,1897027
"6127",417000,"Powiat wąbrzeski",2005,1642264
"6128",418000,"Powiat włocławski",2005,1283055
"6129",419000,"Powiat żniński",2005,3542089
"6130",461000,"Powiat m.Bydgoszcz",2005,22017221
"6131",462000,"Powiat m.Grudziądz",2005,10890617
"6132",463000,"Powiat m.Toruń",2005,13156285
"6133",464000,"Powiat m.Włocławek",2005,8151006
"6134",601000,"Powiat bialski",2005,2272834
"6135",602000,"Powiat biłgorajski",2005,1202631
"6136",603000,"Powiat chełmski",2005,719985
"6137",604000,"Powiat hrubieszowski",2005,2090342
"6138",605000,"Powiat janowski",2005,400679
"6139",606000,"Powiat krasnostawski",2005,1009757
"6140",607000,"Powiat kraśnicki",2005,1246544
"6141",608000,"Powiat lubartowski",2005,984308
"6142",609000,"Powiat lubelski",2005,1016390
"6143",610000,"Powiat łęczyński",2005,1469078
"6144",611000,"Powiat łukowski",2005,1458351
"6145",612000,"Powiat opolski",2005,2106216
"6146",613000,"Powiat parczewski",2005,753536
"6147",614000,"Powiat puławski",2005,2565997
"6148",615000,"Powiat radzyński",2005,1526905
"6149",616000,"Powiat rycki",2005,944364
"6150",617000,"Powiat świdnicki",2005,1619219
"6151",618000,"Powiat tomaszowski",2005,1767251
"6152",619000,"Powiat włodawski",2005,977016
"6153",620000,"Powiat zamojski",2005,596025
"6154",661000,"Powiat m.Biała Podlaska",2005,3106415
"6155",662000,"Powiat m.Chełm",2005,3764102
"6156",663000,"Powiat m.Lublin",2005,19080382
"6157",664000,"Powiat m.Zamość",2005,6002590
"6158",801000,"Powiat gorzowski",2005,1611272
"6159",802000,"Powiat krośnieński",2005,2145485
"6160",803000,"Powiat międzyrzecki",2005,3027848
"6161",804000,"Powiat nowosolski",2005,4739422
"6162",805000,"Powiat słubicki",2005,1488028
"6163",806000,"Powiat strzelecko-drezdenecki",2005,1869609
"6164",807000,"Powiat sulęciński",2005,1185152
"6165",808000,"Powiat świebodziński",2005,1516696
"6166",809000,"Powiat zielonogórski",2005,2290260
"6167",810000,"Powiat żagański",2005,3831862
"6168",811000,"Powiat żarski",2005,4009456
"6169",812000,"Powiat wschowski",2005,1617594
"6170",861000,"Powiat m.Gorzów Wielkopolski",2005,8420301
"6171",862000,"Powiat m.Zielona Góra",2005,4457369
"6172",1001000,"Powiat bełchatowski",2005,3321645
"6173",1002000,"Powiat kutnowski",2005,4472146
"6174",1003000,"Powiat łaski",2005,1123245
"6175",1004000,"Powiat łęczycki",2005,1107176
"6176",1005000,"Powiat łowicki",2005,1227255
"6177",1006000,"Powiat łódzki wschodni",2005,733768
"6178",1007000,"Powiat opoczyński",2005,844073
"6179",1008000,"Powiat pabianicki",2005,2996345
"6180",1009000,"Powiat pajęczański",2005,270308
"6181",1010000,"Powiat piotrkowski",2005,430851
"6182",1011000,"Powiat poddębicki",2005,647452
"6183",1012000,"Powiat radomszczański",2005,2139786
"6184",1013000,"Powiat rawski",2005,1054773
"6185",1014000,"Powiat sieradzki",2005,3168947
"6186",1015000,"Powiat skierniewicki",2005,12123
"6187",1016000,"Powiat tomaszowski",2005,2532736
"6188",1017000,"Powiat wieluński",2005,1554633
"6189",1018000,"Powiat wieruszowski",2005,541379
"6190",1019000,"Powiat zduńskowolski",2005,2648609
"6191",1020000,"Powiat zgierski",2005,5390285
"6192",1021000,"Powiat brzeziński",2005,472025
"6193",1061000,"Powiat m.Łódź",2005,38176247
"6194",1062000,"Powiat m.Piotrków Trybunalski",2005,3436129
"6195",1063000,"Powiat m.Skierniewice",2005,1125345
"6196",1201000,"Powiat bocheński",2005,746599
"6197",1202000,"Powiat brzeski",2005,543389
"6198",1203000,"Powiat chrzanowski",2005,3617015
"6199",1204000,"Powiat dąbrowski",2005,339992
"6200",1205000,"Powiat gorlicki",2005,2155972
"6201",1206000,"Powiat krakowski",2005,1499118
"6202",1207000,"Powiat limanowski",2005,670663
"6203",1208000,"Powiat miechowski",2005,481380
"6204",1209000,"Powiat myślenicki",2005,355200
"6205",1210000,"Powiat nowosądecki",2005,1307117
"6206",1211000,"Powiat nowotarski",2005,1135369
"6207",1212000,"Powiat olkuski",2005,2779348
"6208",1213000,"Powiat oświęcimski",2005,3724599
"6209",1214000,"Powiat proszowicki",2005,454584
"6210",1215000,"Powiat suski",2005,187810
"6211",1216000,"Powiat tarnowski",2005,543642
"6212",1217000,"Powiat tatrzański",2005,1030482
"6213",1218000,"Powiat wadowicki",2005,2079470
"6214",1219000,"Powiat wielicki",2005,283294
"6215",1261000,"Powiat m.Kraków",2005,22750000
"6216",1262000,"Powiat m.Nowy Sącz",2005,3866360
"6217",1263000,"Powiat m.Tarnów",2005,5829892
"6218",1401000,"Powiat białobrzeski",2005,170627
"6219",1402000,"Powiat ciechanowski",2005,3825606
"6220",1403000,"Powiat garwoliński",2005,583110
"6221",1404000,"Powiat gostyniński",2005,1229987
"6222",1405000,"Powiat grodziski",2005,937532
"6223",1406000,"Powiat grójecki",2005,458428
"6224",1407000,"Powiat kozienicki",2005,710787
"6225",1408000,"Powiat legionowski",2005,1651071
"6226",1409000,"Powiat lipski",2005,342809
"6227",1410000,"Powiat łosicki",2005,433116
"6228",1411000,"Powiat makowski",2005,885499
"6229",1412000,"Powiat miński",2005,1190469
"6230",1413000,"Powiat mławski",2005,2144890
"6231",1414000,"Powiat nowodworski",2005,2092786
"6232",1415000,"Powiat ostrołęcki",2005,902053
"6233",1416000,"Powiat ostrowski",2005,1221658
"6234",1417000,"Powiat otwocki",2005,1384317
