"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_pierwotny_od_40_do_60_m2_zl"
"13543",2210000,"Powiat nowodworski",2015,5389
"13544",2211000,"Powiat pucki",2015,4602
"13545",2212000,"Powiat słupski",2015,3352
"13546",2213000,"Powiat starogardzki",2015,0
"13547",2214000,"Powiat tczewski",2015,3697
"13548",2215000,"Powiat wejherowski",2015,4240
"13549",2216000,"Powiat sztumski",2015,2718
"13550",2261000,"Powiat m.Gdańsk",2015,5467
"13551",2262000,"Powiat m.Gdynia",2015,6121
"13552",2263000,"Powiat m.Słupsk",2015,3688
"13553",2264000,"Powiat m.Sopot",2015,10829
"13554",2401000,"Powiat będziński",2015,2500
"13555",2402000,"Powiat bielski",2015,3104
"13556",2403000,"Powiat cieszyński",2015,3748
"13557",2404000,"Powiat częstochowski",2015,0
"13558",2405000,"Powiat gliwicki",2015,0
"13559",2406000,"Powiat kłobucki",2015,0
"13560",2407000,"Powiat lubliniecki",2015,3007
"13561",2408000,"Powiat mikołowski",2015,4171
"13562",2409000,"Powiat myszkowski",2015,0
"13563",2410000,"Powiat pszczyński",2015,3949
"13564",2411000,"Powiat raciborski",2015,0
"13565",2412000,"Powiat rybnicki",2015,0
"13566",2413000,"Powiat tarnogórski",2015,0
"13567",2414000,"Powiat bieruńsko-lędziński",2015,0
"13568",2415000,"Powiat wodzisławski",2015,0
"13569",2416000,"Powiat zawierciański",2015,0
"13570",2417000,"Powiat żywiecki",2015,0
"13571",2461000,"Powiat m.Bielsko-Biała",2015,4204
"13572",2462000,"Powiat m.Bytom",2015,2648
"13573",2463000,"Powiat m.Chorzów",2015,3235
"13574",2464000,"Powiat m.Częstochowa",2015,4105
"13575",2465000,"Powiat m.Dąbrowa Górnicza",2015,2587
"13576",2466000,"Powiat m.Gliwice",2015,4298
"13577",2467000,"Powiat m.Jastrzębie-Zdrój",2015,0
"13578",2468000,"Powiat m.Jaworzno",2015,3273
"13579",2469000,"Powiat m.Katowice",2015,3044
"13580",2470000,"Powiat m.Mysłowice",2015,3213
"13581",2471000,"Powiat m.Piekary Śląskie",2015,0
"13582",2472000,"Powiat m.Ruda Śląska",2015,3607
"13583",2473000,"Powiat m.Rybnik",2015,2821
"13584",2474000,"Powiat m.Siemianowice Śląskie",2015,2516
"13585",2475000,"Powiat m.Sosnowiec",2015,3496
"13586",2476000,"Powiat m.Świętochłowice",2015,2980
"13587",2477000,"Powiat m.Tychy",2015,4292
"13588",2478000,"Powiat m.Zabrze",2015,0
"13589",2479000,"Powiat m.Żory",2015,3298
"13590",2601000,"Powiat buski",2015,0
"13591",2602000,"Powiat jędrzejowski",2015,0
"13592",2603000,"Powiat kazimierski",2015,0
"13593",2604000,"Powiat kielecki",2015,0
"13594",2605000,"Powiat konecki",2015,0
"13595",2606000,"Powiat opatowski",2015,0
"13596",2607000,"Powiat ostrowiecki",2015,3336
"13597",2608000,"Powiat pińczowski",2015,0
"13598",2609000,"Powiat sandomierski",2015,0
"13599",2610000,"Powiat skarżyski",2015,0
"13600",2611000,"Powiat starachowicki",2015,3153
"13601",2612000,"Powiat staszowski",2015,0
"13602",2613000,"Powiat włoszczowski",2015,0
"13603",2661000,"Powiat m.Kielce",2015,4560
"13604",2801000,"Powiat bartoszycki",2015,0
"13605",2802000,"Powiat braniewski",2015,0
"13606",2803000,"Powiat działdowski",2015,3202
"13607",2804000,"Powiat elbląski",2015,2791
"13608",2805000,"Powiat ełcki",2015,3343
"13609",2806000,"Powiat giżycki",2015,3548
"13610",2807000,"Powiat iławski",2015,3247
"13611",2808000,"Powiat kętrzyński",2015,0
"13612",2809000,"Powiat lidzbarski",2015,0
"13613",2810000,"Powiat mrągowski",2015,3580
"13614",2811000,"Powiat nidzicki",2015,2755
"13615",2812000,"Powiat nowomiejski",2015,0
"13616",2813000,"Powiat olecki",2015,2991
"13617",2814000,"Powiat olsztyński",2015,4000
"13618",2815000,"Powiat ostródzki",2015,3451
"13619",2816000,"Powiat piski",2015,2806
"13620",2817000,"Powiat szczycieński",2015,2960
"13621",2818000,"Powiat gołdapski",2015,2778
"13622",2819000,"Powiat węgorzewski",2015,0
"13623",2861000,"Powiat m.Elbląg",2015,3787
"13624",2862000,"Powiat m.Olsztyn",2015,4617
"13625",3001000,"Powiat chodzieski",2015,0
"13626",3002000,"Powiat czarnkowsko-trzcianecki",2015,3430
"13627",3003000,"Powiat gnieźnieński",2015,3434
"13628",3004000,"Powiat gostyński",2015,3157
"13629",3005000,"Powiat grodziski",2015,3177
"13630",3006000,"Powiat jarociński",2015,2925
"13631",3007000,"Powiat kaliski",2015,0
"13632",3008000,"Powiat kępiński",2015,0
"13633",3009000,"Powiat kolski",2015,0
"13634",3010000,"Powiat koniński",2015,0
"13635",3011000,"Powiat kościański",2015,3390
"13636",3012000,"Powiat krotoszyński",2015,0
"13637",3013000,"Powiat leszczyński",2015,0
"13638",3014000,"Powiat międzychodzki",2015,2636
"13639",3015000,"Powiat nowotomyski",2015,0
"13640",3016000,"Powiat obornicki",2015,3592
"13641",3017000,"Powiat ostrowski",2015,2792
"13642",3018000,"Powiat ostrzeszowski",2015,3596
"13643",3019000,"Powiat pilski",2015,3848
"13644",3020000,"Powiat pleszewski",2015,0
"13645",3021000,"Powiat poznański",2015,4323
"13646",3022000,"Powiat rawicki",2015,3262
