"","Kod","Nazwa","rok","LASY_PRYWATNE_I_GMINNE_CTAB_lasy_ogolem_ha"
"8517",1808000,"Powiat leżajski",1998,5728.8
"8518",1809000,"Powiat lubaczowski",1998,10305.2
"8519",1810000,"Powiat łańcucki",1998,2324
"8520",1811000,"Powiat mielecki",1998,4029.1
"8521",1812000,"Powiat niżański",1998,10908.1
"8522",1813000,"Powiat przemyski",1998,5612.9
"8523",1814000,"Powiat przeworski",1998,2549.5
"8524",1815000,"Powiat ropczycko-sędziszowski",1998,6026.4
"8525",1816000,"Powiat rzeszowski",1998,6448.5
"8526",1817000,"Powiat sanocki",1998,7024.4
"8527",1818000,"Powiat stalowowolski",1998,8452.3
"8528",1819000,"Powiat strzyżowski",1998,6377.3
"8529",1820000,"Powiat tarnobrzeski",1998,1746
"8530",1821000,"Powiat leski",1998,NA
"8531",1861000,"Powiat m.Krosno",1998,24
"8532",1862000,"Powiat m.Przemyśl",1998,68.1
"8533",1863000,"Powiat m.Rzeszów",1998,6
"8534",1864000,"Powiat m.Tarnobrzeg",1998,202
"8535",2001000,"Powiat augustowski",1998,10317.7
"8536",2002000,"Powiat białostocki",1998,28794.4
"8537",2003000,"Powiat bielski",1998,15575.5
"8538",2004000,"Powiat grajewski",1998,7857.3
"8539",2005000,"Powiat hajnowski",1998,8322.6
"8540",2006000,"Powiat kolneński",1998,9890.5
"8541",2007000,"Powiat łomżyński",1998,16698.6
"8542",2008000,"Powiat moniecki",1998,12525.9
"8543",2009000,"Powiat sejneński",1998,4739.5
"8544",2010000,"Powiat siemiatycki",1998,20915
"8545",2011000,"Powiat sokólski",1998,14078.3
"8546",2012000,"Powiat suwalski",1998,6923.3
"8547",2013000,"Powiat wysokomazowiecki",1998,18747.3
"8548",2014000,"Powiat zambrowski",1998,9579.2
"8549",2061000,"Powiat m.Białystok",1998,340.3
"8550",2062000,"Powiat m.Łomża",1998,27.7
"8551",2063000,"Powiat m.Suwałki",1998,75.3
"8552",2201000,"Powiat bytowski",1998,10463.4
"8553",2202000,"Powiat chojnicki",1998,10935.9
"8554",2203000,"Powiat człuchowski",1998,644.4
"8555",2204000,"Powiat gdański",1998,716.2
"8556",2205000,"Powiat kartuski",1998,9997.5
"8557",2206000,"Powiat kościerski",1998,13393.7
"8558",2207000,"Powiat kwidzyński",1998,577.1
"8559",2208000,"Powiat lęborski",1998,617.9
"8560",2209000,"Powiat malborski",1998,576
"8561",2210000,"Powiat nowodworski",1998,44.9
"8562",2211000,"Powiat pucki",1998,1758.6
"8563",2212000,"Powiat słupski",1998,758.2
"8564",2213000,"Powiat starogardzki",1998,8022.6
"8565",2214000,"Powiat tczewski",1998,1114.7
"8566",2215000,"Powiat wejherowski",1998,6991.7
"8567",2216000,"Powiat sztumski",1998,NA
"8568",2261000,"Powiat m.Gdańsk",1998,1097.7
"8569",2262000,"Powiat m.Gdynia",1998,626.1
"8570",2263000,"Powiat m.Słupsk",1998,159.4
"8571",2264000,"Powiat m.Sopot",1998,198.8
"8572",2401000,"Powiat będziński",1998,2089.9
"8573",2402000,"Powiat bielski",1998,3077.2
"8574",2403000,"Powiat cieszyński",1998,7870.7
"8575",2404000,"Powiat częstochowski",1998,9653.4
"8576",2405000,"Powiat gliwicki",1998,842.8
"8577",2406000,"Powiat kłobucki",1998,4863.1
"8578",2407000,"Powiat lubliniecki",1998,2147.5
"8579",2408000,"Powiat mikołowski",1998,229
"8580",2409000,"Powiat myszkowski",1998,5362.4
"8581",2410000,"Powiat pszczyński",1998,550.4
"8582",2411000,"Powiat raciborski",1998,704.3
"8583",2412000,"Powiat rybnicki",1998,736
"8584",2413000,"Powiat tarnogórski",1998,1053.7
"8585",2414000,"Powiat bieruńsko-lędziński",1998,279.6
"8586",2415000,"Powiat wodzisławski",1998,856.5
"8587",2416000,"Powiat zawierciański",1998,14844.2
"8588",2417000,"Powiat żywiecki",1998,19004
"8589",2461000,"Powiat m.Bielsko-Biała",1998,886.9
"8590",2464000,"Powiat m.Częstochowa",1998,139
"8591",2465000,"Powiat m.Dąbrowa Górnicza",1998,1034
"8592",2466000,"Powiat m.Gliwice",1998,296.5
"8593",2467000,"Powiat m.Jastrzębie-Zdrój",1998,296
"8594",2468000,"Powiat m.Jaworzno",1998,774.8
"8595",2469000,"Powiat m.Katowice",1998,107.2
"8596",2470000,"Powiat m.Mysłowice",1998,22
"8597",2471000,"Powiat m.Piekary Śląskie",1998,8
"8598",2472000,"Powiat m.Ruda Śląska",1998,51
"8599",2473000,"Powiat m.Rybnik",1998,286
"8600",2475000,"Powiat m.Sosnowiec",1998,480.1
"8601",2477000,"Powiat m.Tychy",1998,111
"8602",2478000,"Powiat m.Zabrze",1998,462.2
"8603",2479000,"Powiat m.Żory",1998,225.3
"8604",2601000,"Powiat buski",1998,4273
