"","Kod","Nazwa","rok","Wydatki_powiatow_na_1_mieszkanca_ogolem_zl"
"230",2414000,"Powiat bieruńsko-lędziński",2002,296
"231",2415000,"Powiat wodzisławski",2002,453
"232",2416000,"Powiat zawierciański",2002,496
"233",2417000,"Powiat żywiecki",2002,503
"234",2601000,"Powiat buski",2002,629
"235",2602000,"Powiat jędrzejowski",2002,580
"236",2603000,"Powiat kazimierski",2002,669
"237",2604000,"Powiat kielecki",2002,276
"238",2605000,"Powiat konecki",2002,482
"239",2606000,"Powiat opatowski",2002,646
"240",2607000,"Powiat ostrowiecki",2002,586
"241",2608000,"Powiat pińczowski",2002,580
"242",2609000,"Powiat sandomierski",2002,562
"243",2610000,"Powiat skarżyski",2002,617
"244",2611000,"Powiat starachowicki",2002,652
"245",2612000,"Powiat staszowski",2002,477
"246",2613000,"Powiat włoszczowski",2002,473
"247",2801000,"Powiat bartoszycki",2002,653
"248",2802000,"Powiat braniewski",2002,699
"249",2803000,"Powiat działdowski",2002,499
"250",2804000,"Powiat elbląski",2002,590
"251",2805000,"Powiat ełcki",2002,672
"252",2806000,"Powiat giżycki",2002,667
"253",2807000,"Powiat iławski",2002,612
"254",2808000,"Powiat kętrzyński",2002,736
"255",2809000,"Powiat lidzbarski",2002,672
"256",2810000,"Powiat mrągowski",2002,614
"257",2811000,"Powiat nidzicki",2002,586
"258",2812000,"Powiat nowomiejski",2002,494
"259",2813000,"Powiat olecki",2002,843
"260",2814000,"Powiat olsztyński",2002,441
"261",2815000,"Powiat ostródzki",2002,664
"262",2816000,"Powiat piski",2002,557
"263",2817000,"Powiat szczycieński",2002,605
"264",2818000,"Powiat gołdapski",2002,575
"265",2819000,"Powiat węgorzewski",2002,900
"266",3001000,"Powiat chodzieski",2002,583
"267",3002000,"Powiat czarnkowsko-trzcianecki",2002,728
"268",3003000,"Powiat gnieźnieński",2002,590
"269",3004000,"Powiat gostyński",2002,615
"270",3005000,"Powiat grodziski",2002,411
"271",3006000,"Powiat jarociński",2002,531
"272",3007000,"Powiat kaliski",2002,229
"273",3008000,"Powiat kępiński",2002,514
"274",3009000,"Powiat kolski",2002,522
"275",3010000,"Powiat koniński",2002,245
"276",3011000,"Powiat kościański",2002,405
"277",3012000,"Powiat krotoszyński",2002,547
"278",3013000,"Powiat leszczyński",2002,259
"279",3014000,"Powiat międzychodzki",2002,719
"280",3015000,"Powiat nowotomyski",2002,430
"281",3016000,"Powiat obornicki",2002,534
"282",3017000,"Powiat ostrowski",2002,486
"283",3018000,"Powiat ostrzeszowski",2002,636
"284",3019000,"Powiat pilski",2002,649
"285",3020000,"Powiat pleszewski",2002,680
"286",3021000,"Powiat poznański",2002,250
"287",3022000,"Powiat rawicki",2002,508
"288",3023000,"Powiat słupecki",2002,644
"289",3024000,"Powiat szamotulski",2002,527
"290",3025000,"Powiat średzki",2002,505
"291",3026000,"Powiat śremski",2002,506
"292",3027000,"Powiat turecki",2002,502
"293",3028000,"Powiat wągrowiecki",2002,510
"294",3029000,"Powiat wolsztyński",2002,569
"295",3030000,"Powiat wrzesiński",2002,493
"296",3031000,"Powiat złotowski",2002,501
"297",3201000,"Powiat białogardzki",2002,918
"298",3202000,"Powiat choszczeński",2002,547
"299",3203000,"Powiat drawski",2002,554
"300",3204000,"Powiat goleniowski",2002,661
"301",3205000,"Powiat gryficki",2002,681
"302",3206000,"Powiat gryfiński",2002,626
"303",3207000,"Powiat kamieński",2002,613
"304",3208000,"Powiat kołobrzeski",2002,588
"305",3209000,"Powiat koszaliński",2002,579
"306",3210000,"Powiat myśliborski",2002,612
"307",3211000,"Powiat policki",2002,578
"308",3212000,"Powiat pyrzycki",2002,557
"309",3213000,"Powiat sławieński",2002,573
"310",3214000,"Powiat stargardzki",2002,546
"311",3215000,"Powiat szczecinecki",2002,683
"312",3216000,"Powiat świdwiński",2002,593
"313",3217000,"Powiat wałecki",2002,459
"314",3218000,"Powiat łobeski",2002,518
"315",201000,"Powiat bolesławiecki",2003,390
"316",202000,"Powiat dzierżoniowski",2003,539
"317",203000,"Powiat głogowski",2003,576
"318",204000,"Powiat górowski",2003,684
"319",205000,"Powiat jaworski",2003,524
"320",206000,"Powiat jeleniogórski",2003,616
"321",207000,"Powiat kamiennogórski",2003,574
"322",208000,"Powiat kłodzki",2003,583
"323",209000,"Powiat legnicki",2003,580
"324",210000,"Powiat lubański",2003,570
"325",211000,"Powiat lubiński",2003,376
"326",212000,"Powiat lwówecki",2003,596
"327",213000,"Powiat milicki",2003,912
"328",214000,"Powiat oleśnicki",2003,480
"329",215000,"Powiat oławski",2003,386
"330",216000,"Powiat polkowicki",2003,324
"331",217000,"Powiat strzeliński",2003,509
"332",218000,"Powiat średzki",2003,363
"333",219000,"Powiat świdnicki",2003,575
"334",220000,"Powiat trzebnicki",2003,402
"335",221000,"Powiat wałbrzyski",2003,487
"336",222000,"Powiat wołowski",2003,511
"337",223000,"Powiat wrocławski",2003,385
"338",224000,"Powiat ząbkowicki",2003,674
"339",225000,"Powiat zgorzelecki",2003,445
"340",226000,"Powiat złotoryjski",2003,540
"341",401000,"Powiat aleksandrowski",2003,483
"342",402000,"Powiat brodnicki",2003,403
"343",403000,"Powiat bydgoski",2003,339
"344",404000,"Powiat chełmiński",2003,530
"345",405000,"Powiat golubsko-dobrzyński",2003,490
"346",406000,"Powiat grudziądzki",2003,298
"347",407000,"Powiat inowrocławski",2003,464
"348",408000,"Powiat lipnowski",2003,418
"349",409000,"Powiat mogileński",2003,573
"350",410000,"Powiat nakielski",2003,397
"351",411000,"Powiat radziejowski",2003,521
"352",412000,"Powiat rypiński",2003,403
"353",413000,"Powiat sępoleński",2003,577
"354",414000,"Powiat świecki",2003,373
"355",415000,"Powiat toruński",2003,353
"356",416000,"Powiat tucholski",2003,605
"357",417000,"Powiat wąbrzeski",2003,490
"358",418000,"Powiat włocławski",2003,361
"359",419000,"Powiat żniński",2003,473
"360",601000,"Powiat bialski",2003,427
"361",602000,"Powiat biłgorajski",2003,514
"362",603000,"Powiat chełmski",2003,354
"363",604000,"Powiat hrubieszowski",2003,436
"364",605000,"Powiat janowski",2003,489
"365",606000,"Powiat krasnostawski",2003,577
"366",607000,"Powiat kraśnicki",2003,461
"367",608000,"Powiat lubartowski",2003,398
"368",609000,"Powiat lubelski",2003,364
"369",610000,"Powiat łęczyński",2003,414
"370",611000,"Powiat łukowski",2003,440
"371",612000,"Powiat opolski",2003,368
"372",613000,"Powiat parczewski",2003,522
"373",614000,"Powiat puławski",2003,424
"374",615000,"Powiat radzyński",2003,371
"375",616000,"Powiat rycki",2003,465
"376",617000,"Powiat świdnicki",2003,420
"377",618000,"Powiat tomaszowski",2003,493
"378",619000,"Powiat włodawski",2003,723
"379",620000,"Powiat zamojski",2003,254
"380",801000,"Powiat gorzowski",2003,408
"381",802000,"Powiat krośnieński",2003,418
"382",803000,"Powiat międzyrzecki",2003,553
"383",804000,"Powiat nowosolski",2003,480
"384",805000,"Powiat słubicki",2003,482
"385",806000,"Powiat strzelecko-drezdenecki",2003,485
"386",807000,"Powiat sulęciński",2003,625
"387",808000,"Powiat świebodziński",2003,679
"388",809000,"Powiat zielonogórski",2003,397
"389",810000,"Powiat żagański",2003,441
"390",811000,"Powiat żarski",2003,526
"391",812000,"Powiat wschowski",2003,594
"392",1001000,"Powiat bełchatowski",2003,453
"393",1002000,"Powiat kutnowski",2003,576
"394",1003000,"Powiat łaski",2003,462
"395",1004000,"Powiat łęczycki",2003,517
"396",1005000,"Powiat łowicki",2003,469
"397",1006000,"Powiat łódzki wschodni",2003,360
"398",1007000,"Powiat opoczyński",2003,379
"399",1008000,"Powiat pabianicki",2003,404
"400",1009000,"Powiat pajęczański",2003,343
"401",1010000,"Powiat piotrkowski",2003,335
"402",1011000,"Powiat poddębicki",2003,461
"403",1012000,"Powiat radomszczański",2003,551
"404",1013000,"Powiat rawski",2003,600
"405",1014000,"Powiat sieradzki",2003,489
"406",1015000,"Powiat skierniewicki",2003,248
"407",1016000,"Powiat tomaszowski",2003,449
"408",1017000,"Powiat wieluński",2003,459
"409",1018000,"Powiat wieruszowski",2003,509
"410",1019000,"Powiat zduńskowolski",2003,512
"411",1020000,"Powiat zgierski",2003,413
"412",1021000,"Powiat brzeziński",2003,476
"413",1201000,"Powiat bocheński",2003,418
"414",1202000,"Powiat brzeski",2003,380
"415",1203000,"Powiat chrzanowski",2003,366
"416",1204000,"Powiat dąbrowski",2003,414
"417",1205000,"Powiat gorlicki",2003,531
"418",1206000,"Powiat krakowski",2003,282
"419",1207000,"Powiat limanowski",2003,432
