"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_ogolem_od_60_do_80_m2_zl"
"5894",1803000,"Powiat dębicki",2015,3350
"5895",1804000,"Powiat jarosławski",2015,2790
"5896",1805000,"Powiat jasielski",2015,2193
"5897",1806000,"Powiat kolbuszowski",2015,0
"5898",1807000,"Powiat krośnieński",2015,1413
"5899",1808000,"Powiat leżajski",2015,1854
"5900",1809000,"Powiat lubaczowski",2015,1861
"5901",1810000,"Powiat łańcucki",2015,3329
"5902",1811000,"Powiat mielecki",2015,3000
"5903",1812000,"Powiat niżański",2015,2057
"5904",1813000,"Powiat przemyski",2015,2377
"5905",1814000,"Powiat przeworski",2015,1864
"5906",1815000,"Powiat ropczycko-sędziszowski",2015,2549
"5907",1816000,"Powiat rzeszowski",2015,3285
"5908",1817000,"Powiat sanocki",2015,2879
"5909",1818000,"Powiat stalowowolski",2015,2572
"5910",1819000,"Powiat strzyżowski",2015,2621
"5911",1820000,"Powiat tarnobrzeski",2015,1996
"5912",1821000,"Powiat leski",2015,1649
"5913",1861000,"Powiat m.Krosno",2015,3233
"5914",1862000,"Powiat m.Przemyśl",2015,2751
"5915",1863000,"Powiat m.Rzeszów",2015,4348
"5916",1864000,"Powiat m.Tarnobrzeg",2015,2904
"5917",2001000,"Powiat augustowski",2015,3852
"5918",2002000,"Powiat białostocki",2015,3966
"5919",2003000,"Powiat bielski",2015,0
"5920",2004000,"Powiat grajewski",2015,2519
"5921",2005000,"Powiat hajnowski",2015,1728
"5922",2006000,"Powiat kolneński",2015,2697
"5923",2007000,"Powiat łomżyński",2015,0
"5924",2008000,"Powiat moniecki",2015,2459
"5925",2009000,"Powiat sejneński",2015,2206
"5926",2010000,"Powiat siemiatycki",2015,0
"5927",2011000,"Powiat sokólski",2015,2897
"5928",2012000,"Powiat suwalski",2015,0
"5929",2013000,"Powiat wysokomazowiecki",2015,0
"5930",2014000,"Powiat zambrowski",2015,3055
"5931",2061000,"Powiat m.Białystok",2015,4371
"5932",2062000,"Powiat m.Łomża",2015,3297
"5933",2063000,"Powiat m.Suwałki",2015,2715
"5934",2201000,"Powiat bytowski",2015,2378
"5935",2202000,"Powiat chojnicki",2015,2633
"5936",2203000,"Powiat człuchowski",2015,1952
"5937",2204000,"Powiat gdański",2015,4144
"5938",2205000,"Powiat kartuski",2015,3400
"5939",2206000,"Powiat kościerski",2015,3867
"5940",2207000,"Powiat kwidzyński",2015,2243
"5941",2208000,"Powiat lęborski",2015,2624
"5942",2209000,"Powiat malborski",2015,2598
"5943",2210000,"Powiat nowodworski",2015,2737
"5944",2211000,"Powiat pucki",2015,4466
"5945",2212000,"Powiat słupski",2015,2804
"5946",2213000,"Powiat starogardzki",2015,2712
"5947",2214000,"Powiat tczewski",2015,3506
"5948",2215000,"Powiat wejherowski",2015,3947
"5949",2216000,"Powiat sztumski",2015,1720
"5950",2261000,"Powiat m.Gdańsk",2015,5204
"5951",2262000,"Powiat m.Gdynia",2015,5479
"5952",2263000,"Powiat m.Słupsk",2015,3179
"5953",2264000,"Powiat m.Sopot",2015,7800
"5954",2401000,"Powiat będziński",2015,2544
"5955",2402000,"Powiat bielski",2015,2799
"5956",2403000,"Powiat cieszyński",2015,2889
"5957",2404000,"Powiat częstochowski",2015,1736
"5958",2405000,"Powiat gliwicki",2015,2504
"5959",2406000,"Powiat kłobucki",2015,3407
"5960",2407000,"Powiat lubliniecki",2015,2523
"5961",2408000,"Powiat mikołowski",2015,3699
"5962",2409000,"Powiat myszkowski",2015,1866
"5963",2410000,"Powiat pszczyński",2015,2379
"5964",2411000,"Powiat raciborski",2015,2041
"5965",2412000,"Powiat rybnicki",2015,1787
"5966",2413000,"Powiat tarnogórski",2015,2616
"5967",2414000,"Powiat bieruńsko-lędziński",2015,2853
"5968",2415000,"Powiat wodzisławski",2015,1820
"5969",2416000,"Powiat zawierciański",2015,0
"5970",2417000,"Powiat żywiecki",2015,1860
"5971",2461000,"Powiat m.Bielsko-Biała",2015,3390
"5972",2462000,"Powiat m.Bytom",2015,1914
"5973",2463000,"Powiat m.Chorzów",2015,2793
"5974",2464000,"Powiat m.Częstochowa",2015,3172
"5975",2465000,"Powiat m.Dąbrowa Górnicza",2015,2442
"5976",2466000,"Powiat m.Gliwice",2015,3235
"5977",2467000,"Powiat m.Jastrzębie-Zdrój",2015,1814
"5978",2468000,"Powiat m.Jaworzno",2015,3155
"5979",2469000,"Powiat m.Katowice",2015,3198
"5980",2470000,"Powiat m.Mysłowice",2015,2735
"5981",2471000,"Powiat m.Piekary Śląskie",2015,2377
"5982",2472000,"Powiat m.Ruda Śląska",2015,3341
"5983",2473000,"Powiat m.Rybnik",2015,2414
"5984",2474000,"Powiat m.Siemianowice Śląskie",2015,2559
"5985",2475000,"Powiat m.Sosnowiec",2015,2623
"5986",2476000,"Powiat m.Świętochłowice",2015,3336
"5987",2477000,"Powiat m.Tychy",2015,3420
"5988",2478000,"Powiat m.Zabrze",2015,2386
"5989",2479000,"Powiat m.Żory",2015,2302
"5990",2601000,"Powiat buski",2015,2747
"5991",2602000,"Powiat jędrzejowski",2015,2568
"5992",2603000,"Powiat kazimierski",2015,0
"5993",2604000,"Powiat kielecki",2015,0
"5994",2605000,"Powiat konecki",2015,2635
"5995",2606000,"Powiat opatowski",2015,0
"5996",2607000,"Powiat ostrowiecki",2015,2355
"5997",2608000,"Powiat pińczowski",2015,1312
"5998",2609000,"Powiat sandomierski",2015,2170
"5999",2610000,"Powiat skarżyski",2015,2443
"6000",2611000,"Powiat starachowicki",2015,2388
"6001",2612000,"Powiat staszowski",2015,2394
"6002",2613000,"Powiat włoszczowski",2015,0
"6003",2661000,"Powiat m.Kielce",2015,4446
"6004",2801000,"Powiat bartoszycki",2015,1773
"6005",2802000,"Powiat braniewski",2015,2260
"6006",2803000,"Powiat działdowski",2015,2922
"6007",2804000,"Powiat elbląski",2015,2500
"6008",2805000,"Powiat ełcki",2015,2839
"6009",2806000,"Powiat giżycki",2015,2934
"6010",2807000,"Powiat iławski",2015,3051
"6011",2808000,"Powiat kętrzyński",2015,2023
"6012",2809000,"Powiat lidzbarski",2015,2119
"6013",2810000,"Powiat mrągowski",2015,2864
"6014",2811000,"Powiat nidzicki",2015,2381
"6015",2812000,"Powiat nowomiejski",2015,2280
"6016",2813000,"Powiat olecki",2015,2523
"6017",2814000,"Powiat olsztyński",2015,2802
"6018",2815000,"Powiat ostródzki",2015,2888
"6019",2816000,"Powiat piski",2015,1552
"6020",2817000,"Powiat szczycieński",2015,2385
"6021",2818000,"Powiat gołdapski",2015,1866
"6022",2819000,"Powiat węgorzewski",2015,2250
"6023",2861000,"Powiat m.Elbląg",2015,3014
"6024",2862000,"Powiat m.Olsztyn",2015,4406
"6025",3001000,"Powiat chodzieski",2015,2058
"6026",3002000,"Powiat czarnkowsko-trzcianecki",2015,2250
"6027",3003000,"Powiat gnieźnieński",2015,2208
"6028",3004000,"Powiat gostyński",2015,2553
"6029",3005000,"Powiat grodziski",2015,2550
"6030",3006000,"Powiat jarociński",2015,2883
"6031",3007000,"Powiat kaliski",2015,1389
"6032",3008000,"Powiat kępiński",2015,3263
"6033",3009000,"Powiat kolski",2015,1729
"6034",3010000,"Powiat koniński",2015,2363
"6035",3011000,"Powiat kościański",2015,2469
"6036",3012000,"Powiat krotoszyński",2015,2276
"6037",3013000,"Powiat leszczyński",2015,2524
"6038",3014000,"Powiat międzychodzki",2015,2480
"6039",3015000,"Powiat nowotomyski",2015,2362
"6040",3016000,"Powiat obornicki",2015,3448
"6041",3017000,"Powiat ostrowski",2015,2577
"6042",3018000,"Powiat ostrzeszowski",2015,1605
"6043",3019000,"Powiat pilski",2015,2725
"6044",3020000,"Powiat pleszewski",2015,3523
"6045",3021000,"Powiat poznański",2015,4027
"6046",3022000,"Powiat rawicki",2015,2510
"6047",3023000,"Powiat słupecki",2015,1821
"6048",3024000,"Powiat szamotulski",2015,1622
"6049",3025000,"Powiat średzki",2015,3088
"6050",3026000,"Powiat śremski",2015,2406
"6051",3027000,"Powiat turecki",2015,2338
"6052",3028000,"Powiat wągrowiecki",2015,3083
"6053",3029000,"Powiat wolsztyński",2015,2679
"6054",3030000,"Powiat wrzesiński",2015,3468
"6055",3031000,"Powiat złotowski",2015,2538
"6056",3061000,"Powiat m.Kalisz",2015,2903
"6057",3062000,"Powiat m.Konin",2015,3405
"6058",3063000,"Powiat m.Leszno",2015,3425
"6059",3064000,"Powiat m.Poznań",2015,5493
"6060",3201000,"Powiat białogardzki",2015,1705
"6061",3202000,"Powiat choszczeński",2015,2225
