"","Kod","Nazwa","rok","BEZROBOCIE_kobiety_w_proc_bezrobotnych_kobiet_proc"
"19548",1432000,"Powiat warszawski zachodni",2003,NA
"19549",1433000,"Powiat węgrowski",2003,NA
"19550",1434000,"Powiat wołomiński",2003,NA
"19551",1435000,"Powiat wyszkowski",2003,NA
"19552",1436000,"Powiat zwoleński",2003,NA
"19553",1437000,"Powiat żuromiński",2003,NA
"19554",1438000,"Powiat żyrardowski",2003,NA
"19555",1461000,"Powiat m.Ostrołęka",2003,NA
"19556",1462000,"Powiat m.Płock",2003,NA
"19557",1463000,"Powiat m.Radom",2003,NA
"19558",1464000,"Powiat m.Siedlce",2003,NA
"19559",1465000,"Powiat m. st. Warszawa",2003,NA
"19560",1601000,"Powiat brzeski",2003,NA
"19561",1602000,"Powiat głubczycki",2003,NA
"19562",1603000,"Powiat kędzierzyńsko-kozielski",2003,NA
"19563",1604000,"Powiat kluczborski",2003,NA
"19564",1605000,"Powiat krapkowicki",2003,NA
"19565",1606000,"Powiat namysłowski",2003,NA
"19566",1607000,"Powiat nyski",2003,NA
"19567",1608000,"Powiat oleski",2003,NA
"19568",1609000,"Powiat opolski",2003,NA
"19569",1610000,"Powiat prudnicki",2003,NA
"19570",1611000,"Powiat strzelecki",2003,NA
"19571",1661000,"Powiat m.Opole",2003,NA
"19572",1801000,"Powiat bieszczadzki",2003,NA
"19573",1802000,"Powiat brzozowski",2003,NA
"19574",1803000,"Powiat dębicki",2003,NA
"19575",1804000,"Powiat jarosławski",2003,NA
"19576",1805000,"Powiat jasielski",2003,NA
"19577",1806000,"Powiat kolbuszowski",2003,NA
"19578",1807000,"Powiat krośnieński",2003,NA
"19579",1808000,"Powiat leżajski",2003,NA
"19580",1809000,"Powiat lubaczowski",2003,NA
"19581",1810000,"Powiat łańcucki",2003,NA
"19582",1811000,"Powiat mielecki",2003,NA
"19583",1812000,"Powiat niżański",2003,NA
"19584",1813000,"Powiat przemyski",2003,NA
"19585",1814000,"Powiat przeworski",2003,NA
"19586",1815000,"Powiat ropczycko-sędziszowski",2003,NA
"19587",1816000,"Powiat rzeszowski",2003,NA
"19588",1817000,"Powiat sanocki",2003,NA
"19589",1818000,"Powiat stalowowolski",2003,NA
"19590",1819000,"Powiat strzyżowski",2003,NA
"19591",1820000,"Powiat tarnobrzeski",2003,NA
"19592",1821000,"Powiat leski",2003,NA
"19593",1861000,"Powiat m.Krosno",2003,NA
"19594",1862000,"Powiat m.Przemyśl",2003,NA
"19595",1863000,"Powiat m.Rzeszów",2003,NA
"19596",1864000,"Powiat m.Tarnobrzeg",2003,NA
"19597",2001000,"Powiat augustowski",2003,NA
"19598",2002000,"Powiat białostocki",2003,NA
"19599",2003000,"Powiat bielski",2003,NA
"19600",2004000,"Powiat grajewski",2003,NA
"19601",2005000,"Powiat hajnowski",2003,NA
"19602",2006000,"Powiat kolneński",2003,NA
"19603",2007000,"Powiat łomżyński",2003,NA
"19604",2008000,"Powiat moniecki",2003,NA
"19605",2009000,"Powiat sejneński",2003,NA
"19606",2010000,"Powiat siemiatycki",2003,NA
"19607",2011000,"Powiat sokólski",2003,NA
"19608",2012000,"Powiat suwalski",2003,NA
"19609",2013000,"Powiat wysokomazowiecki",2003,NA
"19610",2014000,"Powiat zambrowski",2003,NA
"19611",2061000,"Powiat m.Białystok",2003,NA
