"","Kod","Nazwa","rok","Rodziny_ktorym_na_podstawie_decyzji_przyznano_pomoc_wg_przyczyn_ubostwo"
"237",2204000,"Powiat gdański",2014,1729
"238",2205000,"Powiat kartuski",2014,2869
"239",2206000,"Powiat kościerski",2014,1916
"240",2207000,"Powiat kwidzyński",2014,3450
"241",2208000,"Powiat lęborski",2014,2506
"242",2209000,"Powiat malborski",2014,2181
"243",2210000,"Powiat nowodworski",2014,928
"244",2211000,"Powiat pucki",2014,1585
"245",2212000,"Powiat słupski",2014,3661
"246",2213000,"Powiat starogardzki",2014,3666
"247",2214000,"Powiat tczewski",2014,2796
"248",2215000,"Powiat wejherowski",2014,4530
"249",2216000,"Powiat sztumski",2014,1520
"250",2261000,"Powiat m.Gdańsk",2014,5021
"251",2262000,"Powiat m.Gdynia",2014,2708
"252",2263000,"Powiat m.Słupsk",2014,3332
"253",2264000,"Powiat m.Sopot",2014,601
"254",2401000,"Powiat będziński",2014,2420
"255",2402000,"Powiat bielski",2014,1641
"256",2403000,"Powiat cieszyński",2014,2168
"257",2404000,"Powiat częstochowski",2014,1831
"258",2405000,"Powiat gliwicki",2014,1114
"259",2406000,"Powiat kłobucki",2014,1147
"260",2407000,"Powiat lubliniecki",2014,1295
"261",2408000,"Powiat mikołowski",2014,554
"262",2409000,"Powiat myszkowski",2014,198
"263",2410000,"Powiat pszczyński",2014,1021
"264",2411000,"Powiat raciborski",2014,638
"265",2412000,"Powiat rybnicki",2014,944
"266",2413000,"Powiat tarnogórski",2014,1445
"267",2414000,"Powiat bieruńsko-lędziński",2014,527
"268",2415000,"Powiat wodzisławski",2014,831
"269",2416000,"Powiat zawierciański",2014,1532
"270",2417000,"Powiat żywiecki",2014,2247
"271",2461000,"Powiat m.Bielsko-Biała",2014,990
"272",2462000,"Powiat m.Bytom",2014,5260
"273",2463000,"Powiat m.Chorzów",2014,3045
"274",2464000,"Powiat m.Częstochowa",2014,5085
"275",2465000,"Powiat m.Dąbrowa Górnicza",2014,1641
"276",2466000,"Powiat m.Gliwice",2014,2199
