"","Kod","Nazwa","rok","Mieszkania_oddane_do_uzytkowania_ogolem_powierzchnia_uZytkowa_mieszkan_m2"
"9827",2465000,"Powiat m.Dąbrowa Górnicza",1995,8779
"9828",2466000,"Powiat m.Gliwice",1995,8377
"9829",2467000,"Powiat m.Jastrzębie-Zdrój",1995,6247
"9830",2468000,"Powiat m.Jaworzno",1995,6868
"9831",2469000,"Powiat m.Katowice",1995,16207
"9832",2470000,"Powiat m.Mysłowice",1995,3389
"9833",2471000,"Powiat m.Piekary Śląskie",1995,2934
"9834",2472000,"Powiat m.Ruda Śląska",1995,1949
"9835",2473000,"Powiat m.Rybnik",1995,18840
"9836",2474000,"Powiat m.Siemianowice Śląskie",1995,5844
"9837",2475000,"Powiat m.Sosnowiec",1995,11254
"9838",2476000,"Powiat m.Świętochłowice",1995,160
"9839",2477000,"Powiat m.Tychy",1995,7663
"9840",2478000,"Powiat m.Zabrze",1995,7745
"9841",2479000,"Powiat m.Żory",1995,7725
"9842",2601000,"Powiat buski",1995,17547
"9843",2602000,"Powiat jędrzejowski",1995,9686
"9844",2603000,"Powiat kazimierski",1995,4268
"9845",2604000,"Powiat kielecki",1995,32741
"9846",2605000,"Powiat konecki",1995,9138
"9847",2606000,"Powiat opatowski",1995,9943
"9848",2607000,"Powiat ostrowiecki",1995,12167
"9849",2608000,"Powiat pińczowski",1995,4690
"9850",2609000,"Powiat sandomierski",1995,14422
"9851",2610000,"Powiat skarżyski",1995,3932
"9852",2611000,"Powiat starachowicki",1995,7895
"9853",2612000,"Powiat staszowski",1995,14759
"9854",2613000,"Powiat włoszczowski",1995,7687
"9855",2661000,"Powiat m.Kielce",1995,50914
"9856",2801000,"Powiat bartoszycki",1995,8410
"9857",2802000,"Powiat braniewski",1995,4341
"9858",2803000,"Powiat działdowski",1995,8509
"9859",2804000,"Powiat elbląski",1995,6347
"9860",2805000,"Powiat ełcki",1995,11605
"9861",2806000,"Powiat giżycki",1995,7165
"9862",2807000,"Powiat iławski",1995,10538
"9863",2808000,"Powiat kętrzyński",1995,6467
"9864",2809000,"Powiat lidzbarski",1995,1638
"9865",2810000,"Powiat mrągowski",1995,10970
"9866",2811000,"Powiat nidzicki",1995,1881
"9867",2812000,"Powiat nowomiejski",1995,4805
"9868",2813000,"Powiat olecki",1995,4686
"9869",2814000,"Powiat olsztyński",1995,6954
"9870",2815000,"Powiat ostródzki",1995,12388
"9871",2816000,"Powiat piski",1995,5267
"9872",2817000,"Powiat szczycieński",1995,6511
"9873",2818000,"Powiat gołdapski",1995,NA
"9874",2819000,"Powiat węgorzewski",1995,NA
"9875",2861000,"Powiat m.Elbląg",1995,19403
"9876",2862000,"Powiat m.Olsztyn",1995,43798
"9877",3001000,"Powiat chodzieski",1995,5497
"9878",3002000,"Powiat czarnkowsko-trzcianecki",1995,6573
"9879",3003000,"Powiat gnieźnieński",1995,17945
"9880",3004000,"Powiat gostyński",1995,5761
"9881",3005000,"Powiat grodziski",1995,2295
"9882",3006000,"Powiat jarociński",1995,9223
"9883",3007000,"Powiat kaliski",1995,3210
"9884",3008000,"Powiat kępiński",1995,7877
"9885",3009000,"Powiat kolski",1995,13246
"9886",3010000,"Powiat koniński",1995,27608
"9887",3011000,"Powiat kościański",1995,6542
"9888",3012000,"Powiat krotoszyński",1995,8347
"9889",3013000,"Powiat leszczyński",1995,3231
"9890",3014000,"Powiat międzychodzki",1995,3660
"9891",3015000,"Powiat nowotomyski",1995,14706
"9892",3016000,"Powiat obornicki",1995,7864
"9893",3017000,"Powiat ostrowski",1995,12379
"9894",3018000,"Powiat ostrzeszowski",1995,9192
