"","Kod","Nazwa","rok","Wydatki_powiatow_ogolem_wydatki_majatkowe_inwestycyjne_zl"
"13437",2206000,"Powiat kościerski",1999,259237
"13438",2207000,"Powiat kwidzyński",1999,1455045
"13439",2208000,"Powiat lęborski",1999,369352
"13440",2209000,"Powiat malborski",1999,743315
"13441",2210000,"Powiat nowodworski",1999,544031
"13442",2211000,"Powiat pucki",1999,3482120
"13443",2212000,"Powiat słupski",1999,2200833
"13444",2213000,"Powiat starogardzki",1999,533617
"13445",2214000,"Powiat tczewski",1999,1231165
"13446",2215000,"Powiat wejherowski",1999,353473
"13447",2216000,"Powiat sztumski",1999,NA
"13448",2401000,"Powiat będziński",1999,847471
"13449",2402000,"Powiat bielski",1999,1755815
"13450",2403000,"Powiat cieszyński",1999,3165130
"13451",2404000,"Powiat częstochowski",1999,642664
"13452",2405000,"Powiat gliwicki",1999,619454
"13453",2406000,"Powiat kłobucki",1999,141747
"13454",2407000,"Powiat lubliniecki",1999,367921
"13455",2408000,"Powiat mikołowski",1999,118131
"13456",2409000,"Powiat myszkowski",1999,580846
"13457",2410000,"Powiat pszczyński",1999,734510
"13458",2411000,"Powiat raciborski",1999,11531888
"13459",2412000,"Powiat rybnicki",1999,123447
"13460",2413000,"Powiat tarnogórski",1999,1217008
"13461",2414000,"Powiat bieruńsko-lędziński",1999,37500
"13462",2415000,"Powiat wodzisławski",1999,924469
"13463",2416000,"Powiat zawierciański",1999,1769964
"13464",2417000,"Powiat żywiecki",1999,12019209
"13465",2601000,"Powiat buski",1999,1148038
"13466",2602000,"Powiat jędrzejowski",1999,2391138
"13467",2603000,"Powiat kazimierski",1999,241758
"13468",2604000,"Powiat kielecki",1999,1179420
"13469",2605000,"Powiat konecki",1999,58561
"13470",2606000,"Powiat opatowski",1999,6137370
"13471",2607000,"Powiat ostrowiecki",1999,829761
"13472",2608000,"Powiat pińczowski",1999,16079701
"13473",2609000,"Powiat sandomierski",1999,2009465
"13474",2610000,"Powiat skarżyski",1999,535959
"13475",2611000,"Powiat starachowicki",1999,22099997
"13476",2612000,"Powiat staszowski",1999,574670
"13477",2613000,"Powiat włoszczowski",1999,176466
"13478",2801000,"Powiat bartoszycki",1999,1346484
"13479",2802000,"Powiat braniewski",1999,163653
"13480",2803000,"Powiat działdowski",1999,587562
"13481",2804000,"Powiat elbląski",1999,1205622
"13482",2805000,"Powiat ełcki",1999,8718115
"13483",2806000,"Powiat giżycki",1999,985500
"13484",2807000,"Powiat iławski",1999,1137670
"13485",2808000,"Powiat kętrzyński",1999,771000
"13486",2809000,"Powiat lidzbarski",1999,270290
"13487",2810000,"Powiat mrągowski",1999,3006792
"13488",2811000,"Powiat nidzicki",1999,141747
"13489",2812000,"Powiat nowomiejski",1999,2057138
"13490",2813000,"Powiat olecki",1999,1007436
"13491",2814000,"Powiat olsztyński",1999,956678
"13492",2815000,"Powiat ostródzki",1999,1373610
"13493",2816000,"Powiat piski",1999,721870
"13494",2817000,"Powiat szczycieński",1999,1324426
"13495",2818000,"Powiat gołdapski",1999,NA
"13496",2819000,"Powiat węgorzewski",1999,NA
"13497",3001000,"Powiat chodzieski",1999,1182442
"13498",3002000,"Powiat czarnkowsko-trzcianecki",1999,1436287
"13499",3003000,"Powiat gnieźnieński",1999,1433052
"13500",3004000,"Powiat gostyński",1999,940050
"13501",3005000,"Powiat grodziski",1999,2763853
"13502",3006000,"Powiat jarociński",1999,908593
"13503",3007000,"Powiat kaliski",1999,833724
"13504",3008000,"Powiat kępiński",1999,575179
"13505",3009000,"Powiat kolski",1999,785676
"13506",3010000,"Powiat koniński",1999,1513324
"13507",3011000,"Powiat kościański",1999,449525
"13508",3012000,"Powiat krotoszyński",1999,2677719
"13509",3013000,"Powiat leszczyński",1999,205784
"13510",3014000,"Powiat międzychodzki",1999,198443
"13511",3015000,"Powiat nowotomyski",1999,260000
"13512",3016000,"Powiat obornicki",1999,3628524
"13513",3017000,"Powiat ostrowski",1999,3406132
"13514",3018000,"Powiat ostrzeszowski",1999,561151
"13515",3019000,"Powiat pilski",1999,322793
"13516",3020000,"Powiat pleszewski",1999,1092427
"13517",3021000,"Powiat poznański",1999,1128710
"13518",3022000,"Powiat rawicki",1999,290179
"13519",3023000,"Powiat słupecki",1999,1697056
"13520",3024000,"Powiat szamotulski",1999,574733
"13521",3025000,"Powiat średzki",1999,91113
"13522",3026000,"Powiat śremski",1999,148155
"13523",3027000,"Powiat turecki",1999,1596116
"13524",3028000,"Powiat wągrowiecki",1999,554355
"13525",3029000,"Powiat wolsztyński",1999,978391
