"","Kod","Nazwa","rok","Rodziny_ktorym_na_podstawie_decyzji_przyznano_pomoc_wg_przyczyn_bezrobocie"
"7962",3203000,"Powiat drawski",2014,1935
"7963",3204000,"Powiat goleniowski",2014,1280
"7964",3205000,"Powiat gryficki",2014,1493
"7965",3206000,"Powiat gryfiński",2014,1427
"7966",3207000,"Powiat kamieński",2014,937
"7967",3208000,"Powiat kołobrzeski",2014,1032
"7968",3209000,"Powiat koszaliński",2014,1811
"7969",3210000,"Powiat myśliborski",2014,1437
"7970",3211000,"Powiat policki",2014,1020
"7971",3212000,"Powiat pyrzycki",2014,1122
"7972",3213000,"Powiat sławieński",2014,1419
"7973",3214000,"Powiat stargardzki",2014,2467
"7974",3215000,"Powiat szczecinecki",2014,2228
"7975",3216000,"Powiat świdwiński",2014,2132
"7976",3217000,"Powiat wałecki",2014,1338
"7977",3218000,"Powiat łobeski",2014,1156
"7978",3261000,"Powiat m.Koszalin",2014,1612
"7979",3262000,"Powiat m.Szczecin",2014,5281
"7980",3263000,"Powiat m.Świnoujście",2014,336
"7981",201000,"Powiat bolesławiecki",2015,1057
"7982",202000,"Powiat dzierżoniowski",2015,1351
"7983",203000,"Powiat głogowski",2015,921
"7984",204000,"Powiat górowski",2015,1183
"7985",205000,"Powiat jaworski",2015,1135
"7986",206000,"Powiat jeleniogórski",2015,1381
"7987",207000,"Powiat kamiennogórski",2015,835
"7988",208000,"Powiat kłodzki",2015,3506
"7989",209000,"Powiat legnicki",2015,1167
"7990",210000,"Powiat lubański",2015,995
"7991",211000,"Powiat lubiński",2015,721
"7992",212000,"Powiat lwówecki",2015,1026
"7993",213000,"Powiat milicki",2015,594
"7994",214000,"Powiat oleśnicki",2015,1005
"7995",215000,"Powiat oławski",2015,615
"7996",216000,"Powiat polkowicki",2015,1161
"7997",217000,"Powiat strzeliński",2015,827
"7998",218000,"Powiat średzki",2015,447
"7999",219000,"Powiat świdnicki",2015,2643
"8000",220000,"Powiat trzebnicki",2015,839
"8001",221000,"Powiat wałbrzyski",2015,1241
"8002",222000,"Powiat wołowski",2015,883
"8003",223000,"Powiat wrocławski",2015,556
"8004",224000,"Powiat ząbkowicki",2015,1572
"8005",225000,"Powiat zgorzelecki",2015,1611
"8006",226000,"Powiat złotoryjski",2015,1348
"8007",261000,"Powiat m.Jelenia Góra",2015,1087
"8008",262000,"Powiat m.Legnica",2015,1308
"8009",264000,"Powiat m.Wrocław",2015,3179
"8010",265000,"Powiat m.Wałbrzych od 2013",2015,2669
"8011",401000,"Powiat aleksandrowski",2015,2106
"8012",402000,"Powiat brodnicki",2015,1730
"8013",403000,"Powiat bydgoski",2015,1574
"8014",404000,"Powiat chełmiński",2015,1625
"8015",405000,"Powiat golubsko-dobrzyński",2015,1367
"8016",406000,"Powiat grudziądzki",2015,1650
"8017",407000,"Powiat inowrocławski",2015,3982
"8018",408000,"Powiat lipnowski",2015,3813
"8019",409000,"Powiat mogileński",2015,996
"8020",410000,"Powiat nakielski",2015,2418
"8021",411000,"Powiat radziejowski",2015,1222
"8022",412000,"Powiat rypiński",2015,1468
"8023",413000,"Powiat sępoleński",2015,823
"8024",414000,"Powiat świecki",2015,2255
"8025",415000,"Powiat toruński",2015,2302
"8026",416000,"Powiat tucholski",2015,1096
"8027",417000,"Powiat wąbrzeski",2015,1011
"8028",418000,"Powiat włocławski",2015,3953
"8029",419000,"Powiat żniński",2015,2042
"8030",461000,"Powiat m.Bydgoszcz",2015,2965
"8031",462000,"Powiat m.Grudziądz",2015,3194
"8032",463000,"Powiat m.Toruń",2015,2673
"8033",464000,"Powiat m.Włocławek",2015,5455
"8034",601000,"Powiat bialski",2015,2180
"8035",602000,"Powiat biłgorajski",2015,1116
"8036",603000,"Powiat chełmski",2015,2076
"8037",604000,"Powiat hrubieszowski",2015,1381
"8038",605000,"Powiat janowski",2015,841
"8039",606000,"Powiat krasnostawski",2015,1545
"8040",607000,"Powiat kraśnicki",2015,1536
"8041",608000,"Powiat lubartowski",2015,1739
"8042",609000,"Powiat lubelski",2015,1641
"8043",610000,"Powiat łęczyński",2015,604
"8044",611000,"Powiat łukowski",2015,1093
"8045",612000,"Powiat opolski",2015,1018
"8046",613000,"Powiat parczewski",2015,962
"8047",614000,"Powiat puławski",2015,1398
"8048",615000,"Powiat radzyński",2015,1046
"8049",616000,"Powiat rycki",2015,900
"8050",617000,"Powiat świdnicki",2015,892
"8051",618000,"Powiat tomaszowski",2015,1659
"8052",619000,"Powiat włodawski",2015,1119
"8053",620000,"Powiat zamojski",2015,1826
"8054",661000,"Powiat m.Biała Podlaska",2015,661
"8055",662000,"Powiat m.Chełm",2015,1125
"8056",663000,"Powiat m.Lublin",2015,3572
"8057",664000,"Powiat m.Zamość",2015,1301
"8058",801000,"Powiat gorzowski",2015,1140
"8059",802000,"Powiat krośnieński",2015,1081
"8060",803000,"Powiat międzyrzecki",2015,1324
"8061",804000,"Powiat nowosolski",2015,1889
"8062",805000,"Powiat słubicki",2015,1033
"8063",806000,"Powiat strzelecko-drezdenecki",2015,1953
"8064",807000,"Powiat sulęciński",2015,1223
"8065",808000,"Powiat świebodziński",2015,917
"8066",809000,"Powiat zielonogórski",2015,1242
"8067",810000,"Powiat żagański",2015,2153
"8068",811000,"Powiat żarski",2015,2043
"8069",812000,"Powiat wschowski",2015,811
"8070",861000,"Powiat m.Gorzów Wielkopolski",2015,1491
"8071",862000,"Powiat m.Zielona Góra",2015,1305
"8072",1001000,"Powiat bełchatowski",2015,2160
"8073",1002000,"Powiat kutnowski",2015,2326
"8074",1003000,"Powiat łaski",2015,704
"8075",1004000,"Powiat łęczycki",2015,1343
"8076",1005000,"Powiat łowicki",2015,960
"8077",1006000,"Powiat łódzki wschodni",2015,841
"8078",1007000,"Powiat opoczyński",2015,1660
"8079",1008000,"Powiat pabianicki",2015,1522
"8080",1009000,"Powiat pajęczański",2015,698
"8081",1010000,"Powiat piotrkowski",2015,1325
"8082",1011000,"Powiat poddębicki",2015,780
"8083",1012000,"Powiat radomszczański",2015,2251
"8084",1013000,"Powiat rawski",2015,504
"8085",1014000,"Powiat sieradzki",2015,1808
"8086",1015000,"Powiat skierniewicki",2015,421
"8087",1016000,"Powiat tomaszowski",2015,2272
"8088",1017000,"Powiat wieluński",2015,897
"8089",1018000,"Powiat wieruszowski",2015,450
"8090",1019000,"Powiat zduńskowolski",2015,1184
"8091",1020000,"Powiat zgierski",2015,2869
"8092",1021000,"Powiat brzeziński",2015,509
"8093",1061000,"Powiat m.Łódź",2015,13703
"8094",1062000,"Powiat m.Piotrków Trybunalski",2015,2087
"8095",1063000,"Powiat m.Skierniewice",2015,593
"8096",1201000,"Powiat bocheński",2015,691
"8097",1202000,"Powiat brzeski",2015,821
"8098",1203000,"Powiat chrzanowski",2015,1769
"8099",1204000,"Powiat dąbrowski",2015,940
"8100",1205000,"Powiat gorlicki",2015,1513
"8101",1206000,"Powiat krakowski",2015,1356
"8102",1207000,"Powiat limanowski",2015,1859
"8103",1208000,"Powiat miechowski",2015,455
"8104",1209000,"Powiat myślenicki",2015,844
"8105",1210000,"Powiat nowosądecki",2015,2477
"8106",1211000,"Powiat nowotarski",2015,1101
"8107",1212000,"Powiat olkuski",2015,1262
"8108",1213000,"Powiat oświęcimski",2015,1245
"8109",1214000,"Powiat proszowicki",2015,339
"8110",1215000,"Powiat suski",2015,901
"8111",1216000,"Powiat tarnowski",2015,2099
"8112",1217000,"Powiat tatrzański",2015,470
"8113",1218000,"Powiat wadowicki",2015,1281
"8114",1219000,"Powiat wielicki",2015,891
"8115",1261000,"Powiat m.Kraków",2015,5452
"8116",1262000,"Powiat m.Nowy Sącz",2015,1207
"8117",1263000,"Powiat m.Tarnów",2015,1398
"8118",1401000,"Powiat białobrzeski",2015,633
"8119",1402000,"Powiat ciechanowski",2015,1595
"8120",1403000,"Powiat garwoliński",2015,1120
"8121",1404000,"Powiat gostyniński",2015,937
"8122",1405000,"Powiat grodziski",2015,781
"8123",1406000,"Powiat grójecki",2015,698
"8124",1407000,"Powiat kozienicki",2015,1142
"8125",1408000,"Powiat legionowski",2015,1141
"8126",1409000,"Powiat lipski",2015,816
"8127",1410000,"Powiat łosicki",2015,490
"8128",1411000,"Powiat makowski",2015,1116
"8129",1412000,"Powiat miński",2015,1315
"8130",1413000,"Powiat mławski",2015,1191
"8131",1414000,"Powiat nowodworski",2015,1195
"8132",1415000,"Powiat ostrołęcki",2015,1188
"8133",1416000,"Powiat ostrowski",2015,1207
"8134",1417000,"Powiat otwocki",2015,815
"8135",1418000,"Powiat piaseczyński",2015,1059
"8136",1419000,"Powiat płocki",2015,2249
"8137",1420000,"Powiat płoński",2015,1531
"8138",1421000,"Powiat pruszkowski",2015,782
"8139",1422000,"Powiat przasnyski",2015,1129
"8140",1423000,"Powiat przysuski",2015,797
"8141",1424000,"Powiat pułtuski",2015,1001
"8142",1425000,"Powiat radomski",2015,2913
"8143",1426000,"Powiat siedlecki",2015,917
