"","Kod","Nazwa","rok","ZASOBY_MIESZKANIOWE_przecietna_liczba_osob_na_1_mieszkanie"
"27713",3029000,"Powiat wolsztyński",2002,NA
"27714",3030000,"Powiat wrzesiński",2002,NA
"27715",3031000,"Powiat złotowski",2002,NA
"27716",3061000,"Powiat m.Kalisz",2002,NA
"27717",3062000,"Powiat m.Konin",2002,NA
"27718",3063000,"Powiat m.Leszno",2002,NA
"27719",3064000,"Powiat m.Poznań",2002,NA
"27720",3201000,"Powiat białogardzki",2002,NA
"27721",3202000,"Powiat choszczeński",2002,NA
"27722",3203000,"Powiat drawski",2002,NA
"27723",3204000,"Powiat goleniowski",2002,NA
"27724",3205000,"Powiat gryficki",2002,NA
"27725",3206000,"Powiat gryfiński",2002,NA
"27726",3207000,"Powiat kamieński",2002,NA
"27727",3208000,"Powiat kołobrzeski",2002,NA
"27728",3209000,"Powiat koszaliński",2002,NA
"27729",3210000,"Powiat myśliborski",2002,NA
"27730",3211000,"Powiat policki",2002,NA
"27731",3212000,"Powiat pyrzycki",2002,NA
"27732",3213000,"Powiat sławieński",2002,NA
"27733",3214000,"Powiat stargardzki",2002,NA
"27734",3215000,"Powiat szczecinecki",2002,NA
"27735",3216000,"Powiat świdwiński",2002,NA
"27736",3217000,"Powiat wałecki",2002,NA
"27737",3218000,"Powiat łobeski",2002,NA
"27738",3261000,"Powiat m.Koszalin",2002,NA
"27739",3262000,"Powiat m.Szczecin",2002,NA
"27740",3263000,"Powiat m.Świnoujście",2002,NA
"27741",201000,"Powiat bolesławiecki",2003,3.08
"27742",202000,"Powiat dzierżoniowski",2003,2.81
"27743",203000,"Powiat głogowski",2003,3.08
"27744",204000,"Powiat górowski",2003,3.23
"27745",205000,"Powiat jaworski",2003,3.1
"27746",206000,"Powiat jeleniogórski",2003,2.93
"27747",207000,"Powiat kamiennogórski",2003,2.91
"27748",208000,"Powiat kłodzki",2003,2.82
"27749",209000,"Powiat legnicki",2003,3.25
"27750",210000,"Powiat lubański",2003,2.97
"27751",211000,"Powiat lubiński",2003,2.99
"27752",212000,"Powiat lwówecki",2003,2.95
"27753",213000,"Powiat milicki",2003,3.53
"27754",214000,"Powiat oleśnicki",2003,3.36
"27755",215000,"Powiat oławski",2003,3.2
"27756",216000,"Powiat polkowicki",2003,3.2
"27757",217000,"Powiat strzeliński",2003,3.19
"27758",218000,"Powiat średzki",2003,3.35
"27759",219000,"Powiat świdnicki",2003,2.9
"27760",220000,"Powiat trzebnicki",2003,3.39
"27761",221000,"Powiat wałbrzyski",2003,2.64
"27762",222000,"Powiat wołowski",2003,3.07
"27763",223000,"Powiat wrocławski",2003,3.32
"27764",224000,"Powiat ząbkowicki",2003,3.03
"27765",225000,"Powiat zgorzelecki",2003,2.94
"27766",226000,"Powiat złotoryjski",2003,3.12
"27767",261000,"Powiat m.Jelenia Góra",2003,2.69
"27768",262000,"Powiat m.Legnica",2003,2.72
"27769",264000,"Powiat m.Wrocław",2003,2.62
"27770",265000,"Powiat m.Wałbrzych od 2013",2003,NA
"27771",401000,"Powiat aleksandrowski",2003,3.09
"27772",402000,"Powiat brodnicki",2003,3.37
"27773",403000,"Powiat bydgoski",2003,3.35
"27774",404000,"Powiat chełmiński",2003,3.36
"27775",405000,"Powiat golubsko-dobrzyński",2003,3.48
"27776",406000,"Powiat grudziądzki",2003,3.5
"27777",407000,"Powiat inowrocławski",2003,3.12
"27778",408000,"Powiat lipnowski",2003,3.56
"27779",409000,"Powiat mogileński",2003,3.43
"27780",410000,"Powiat nakielski",2003,3.5
"27781",411000,"Powiat radziejowski",2003,3.51
"27782",412000,"Powiat rypiński",2003,3.49
"27783",413000,"Powiat sępoleński",2003,3.56
"27784",414000,"Powiat świecki",2003,3.36
"27785",415000,"Powiat toruński",2003,3.61
"27786",416000,"Powiat tucholski",2003,3.54
"27787",417000,"Powiat wąbrzeski",2003,3.27
"27788",418000,"Powiat włocławski",2003,3.47
"27789",419000,"Powiat żniński",2003,3.47
"27790",461000,"Powiat m.Bydgoszcz",2003,2.74
"27791",462000,"Powiat m.Grudziądz",2003,2.86
"27792",463000,"Powiat m.Toruń",2003,2.76
"27793",464000,"Powiat m.Włocławek",2003,2.8
"27794",601000,"Powiat bialski",2003,3.25
"27795",602000,"Powiat biłgorajski",2003,3.54
