"","Kod","Nazwa","rok","Przestepstwa_stwierdzone_przez_Policje_w_zakonczonych_postepowaniach_przygotowawczych_przestepstwa_stwierdzone_przez_Policje_ogolem_na_mieszkancow"
"20859",3015000,"Powiat nowotomyski",2002,NA
"20860",3016000,"Powiat obornicki",2002,NA
"20861",3017000,"Powiat ostrowski",2002,NA
"20862",3018000,"Powiat ostrzeszowski",2002,NA
"20863",3019000,"Powiat pilski",2002,NA
"20864",3020000,"Powiat pleszewski",2002,NA
"20865",3021000,"Powiat poznański",2002,NA
"20866",3022000,"Powiat rawicki",2002,NA
"20867",3023000,"Powiat słupecki",2002,NA
"20868",3024000,"Powiat szamotulski",2002,NA
"20869",3025000,"Powiat średzki",2002,NA
"20870",3026000,"Powiat śremski",2002,NA
"20871",3027000,"Powiat turecki",2002,NA
"20872",3028000,"Powiat wągrowiecki",2002,NA
"20873",3029000,"Powiat wolsztyński",2002,NA
"20874",3030000,"Powiat wrzesiński",2002,NA
"20875",3031000,"Powiat złotowski",2002,NA
"20876",3061000,"Powiat m.Kalisz",2002,NA
"20877",3062000,"Powiat m.Konin",2002,NA
"20878",3063000,"Powiat m.Leszno",2002,NA
"20879",3064000,"Powiat m.Poznań",2002,NA
"20880",3201000,"Powiat białogardzki",2002,NA
"20881",3202000,"Powiat choszczeński",2002,NA
"20882",3203000,"Powiat drawski",2002,NA
"20883",3204000,"Powiat goleniowski",2002,NA
"20884",3205000,"Powiat gryficki",2002,NA
"20885",3206000,"Powiat gryfiński",2002,NA
"20886",3207000,"Powiat kamieński",2002,NA
"20887",3208000,"Powiat kołobrzeski",2002,NA
"20888",3209000,"Powiat koszaliński",2002,NA
"20889",3210000,"Powiat myśliborski",2002,NA
"20890",3211000,"Powiat policki",2002,NA
"20891",3212000,"Powiat pyrzycki",2002,NA
"20892",3213000,"Powiat sławieński",2002,NA
"20893",3214000,"Powiat stargardzki",2002,NA
"20894",3215000,"Powiat szczecinecki",2002,NA
"20895",3216000,"Powiat świdwiński",2002,NA
"20896",3217000,"Powiat wałecki",2002,NA
"20897",3218000,"Powiat łobeski",2002,NA
"20898",3261000,"Powiat m.Koszalin",2002,NA
"20899",3262000,"Powiat m.Szczecin",2002,NA
"20900",3263000,"Powiat m.Świnoujście",2002,NA
"20901",201000,"Powiat bolesławiecki",2003,NA
"20902",202000,"Powiat dzierżoniowski",2003,NA
"20903",203000,"Powiat głogowski",2003,NA
"20904",204000,"Powiat górowski",2003,NA
"20905",205000,"Powiat jaworski",2003,NA
"20906",206000,"Powiat jeleniogórski",2003,NA
"20907",207000,"Powiat kamiennogórski",2003,NA
"20908",208000,"Powiat kłodzki",2003,NA
"20909",209000,"Powiat legnicki",2003,NA
"20910",210000,"Powiat lubański",2003,NA
"20911",211000,"Powiat lubiński",2003,NA
"20912",212000,"Powiat lwówecki",2003,NA
"20913",213000,"Powiat milicki",2003,NA
"20914",214000,"Powiat oleśnicki",2003,NA
"20915",215000,"Powiat oławski",2003,NA
"20916",216000,"Powiat polkowicki",2003,NA
"20917",217000,"Powiat strzeliński",2003,NA
"20918",218000,"Powiat średzki",2003,NA
"20919",219000,"Powiat świdnicki",2003,NA
"20920",220000,"Powiat trzebnicki",2003,NA
"20921",221000,"Powiat wałbrzyski",2003,NA
"20922",222000,"Powiat wołowski",2003,NA
"20923",223000,"Powiat wrocławski",2003,NA
"20924",224000,"Powiat ząbkowicki",2003,NA
"20925",225000,"Powiat zgorzelecki",2003,NA
