"","Kod","Nazwa","rok","Muzea_zwiedzajacy_muzea_i_oddzialy_na_10_tys_mieszkancow_osoba"
"8550",2007000,"Powiat łomżyński",1995,NA
"8551",2009000,"Powiat sejneński",1995,NA
"8552",2010000,"Powiat siemiatycki",1995,NA
"8553",2011000,"Powiat sokólski",1995,NA
"8554",2013000,"Powiat wysokomazowiecki",1995,NA
"8555",2061000,"Powiat m.Białystok",1995,NA
"8556",2062000,"Powiat m.Łomża",1995,NA
"8557",2063000,"Powiat m.Suwałki",1995,NA
"8558",2201000,"Powiat bytowski",1995,NA
"8559",2202000,"Powiat chojnicki",1995,NA
"8560",2203000,"Powiat człuchowski",1995,NA
"8561",2205000,"Powiat kartuski",1995,NA
"8562",2206000,"Powiat kościerski",1995,NA
"8563",2207000,"Powiat kwidzyński",1995,NA
"8564",2208000,"Powiat lęborski",1995,NA
"8565",2209000,"Powiat malborski",1995,NA
"8566",2210000,"Powiat nowodworski",1995,NA
"8567",2211000,"Powiat pucki",1995,NA
"8568",2212000,"Powiat słupski",1995,NA
"8569",2213000,"Powiat starogardzki",1995,NA
"8570",2214000,"Powiat tczewski",1995,NA
"8571",2215000,"Powiat wejherowski",1995,NA
"8572",2216000,"Powiat sztumski",1995,NA
"8573",2261000,"Powiat m.Gdańsk",1995,NA
"8574",2262000,"Powiat m.Gdynia",1995,NA
"8575",2263000,"Powiat m.Słupsk",1995,NA
"8576",2264000,"Powiat m.Sopot",1995,NA
"8577",2401000,"Powiat będziński",1995,NA
"8578",2402000,"Powiat bielski",1995,NA
"8579",2403000,"Powiat cieszyński",1995,NA
"8580",2404000,"Powiat częstochowski",1995,NA
"8581",2405000,"Powiat gliwicki",1995,NA
"8582",2407000,"Powiat lubliniecki",1995,NA
"8583",2408000,"Powiat mikołowski",1995,NA
"8584",2410000,"Powiat pszczyński",1995,NA
"8585",2411000,"Powiat raciborski",1995,NA
"8586",2413000,"Powiat tarnogórski",1995,NA
"8587",2414000,"Powiat bieruńsko-lędziński",1995,NA
"8588",2415000,"Powiat wodzisławski",1995,NA
"8589",2417000,"Powiat żywiecki",1995,NA
"8590",2461000,"Powiat m.Bielsko-Biała",1995,NA
"8591",2462000,"Powiat m.Bytom",1995,NA
"8592",2463000,"Powiat m.Chorzów",1995,NA
"8593",2464000,"Powiat m.Częstochowa",1995,NA
"8594",2465000,"Powiat m.Dąbrowa Górnicza",1995,NA
"8595",2466000,"Powiat m.Gliwice",1995,NA
"8596",2468000,"Powiat m.Jaworzno",1995,NA
"8597",2469000,"Powiat m.Katowice",1995,NA
"8598",2470000,"Powiat m.Mysłowice",1995,NA
"8599",2472000,"Powiat m.Ruda Śląska",1995,NA
"8600",2473000,"Powiat m.Rybnik",1995,NA
"8601",2474000,"Powiat m.Siemianowice Śląskie",1995,NA
"8602",2475000,"Powiat m.Sosnowiec",1995,NA
"8603",2476000,"Powiat m.Świętochłowice",1995,NA
"8604",2477000,"Powiat m.Tychy",1995,NA
"8605",2478000,"Powiat m.Zabrze",1995,NA
"8606",2479000,"Powiat m.Żory",1995,NA
"8607",2601000,"Powiat buski",1995,NA
"8608",2602000,"Powiat jędrzejowski",1995,NA
"8609",2604000,"Powiat kielecki",1995,NA
"8610",2605000,"Powiat konecki",1995,NA
"8611",2606000,"Powiat opatowski",1995,NA
"8612",2607000,"Powiat ostrowiecki",1995,NA
"8613",2608000,"Powiat pińczowski",1995,NA
"8614",2609000,"Powiat sandomierski",1995,NA
"8615",2610000,"Powiat skarżyski",1995,NA
"8616",2611000,"Powiat starachowicki",1995,NA
"8617",2612000,"Powiat staszowski",1995,NA
"8618",2661000,"Powiat m.Kielce",1995,NA
"8619",2801000,"Powiat bartoszycki",1995,NA
"8620",2802000,"Powiat braniewski",1995,NA
"8621",2803000,"Powiat działdowski",1995,NA
"8622",2805000,"Powiat ełcki",1995,NA
"8623",2806000,"Powiat giżycki",1995,NA
"8624",2807000,"Powiat iławski",1995,NA
"8625",2808000,"Powiat kętrzyński",1995,NA
"8626",2809000,"Powiat lidzbarski",1995,NA
"8627",2810000,"Powiat mrągowski",1995,NA
"8628",2812000,"Powiat nowomiejski",1995,NA
"8629",2814000,"Powiat olsztyński",1995,NA
"8630",2815000,"Powiat ostródzki",1995,NA
"8631",2816000,"Powiat piski",1995,NA
"8632",2817000,"Powiat szczycieński",1995,NA
"8633",2819000,"Powiat węgorzewski",1995,NA
"8634",2861000,"Powiat m.Elbląg",1995,NA
"8635",2862000,"Powiat m.Olsztyn",1995,NA
"8636",3002000,"Powiat czarnkowsko-trzcianecki",1995,NA
"8637",3003000,"Powiat gnieźnieński",1995,NA
"8638",3004000,"Powiat gostyński",1995,NA
"8639",3005000,"Powiat grodziski",1995,NA
"8640",3006000,"Powiat jarociński",1995,NA
"8641",3007000,"Powiat kaliski",1995,NA
"8642",3008000,"Powiat kępiński",1995,NA
"8643",3009000,"Powiat kolski",1995,NA
"8644",3010000,"Powiat koniński",1995,NA
"8645",3011000,"Powiat kościański",1995,NA
"8646",3012000,"Powiat krotoszyński",1995,NA
"8647",3014000,"Powiat międzychodzki",1995,NA
"8648",3015000,"Powiat nowotomyski",1995,NA
"8649",3016000,"Powiat obornicki",1995,NA
"8650",3017000,"Powiat ostrowski",1995,NA
"8651",3018000,"Powiat ostrzeszowski",1995,NA
"8652",3019000,"Powiat pilski",1995,NA
"8653",3020000,"Powiat pleszewski",1995,NA
"8654",3021000,"Powiat poznański",1995,NA
"8655",3022000,"Powiat rawicki",1995,NA
"8656",3023000,"Powiat słupecki",1995,NA
"8657",3024000,"Powiat szamotulski",1995,NA
"8658",3025000,"Powiat średzki",1995,NA
"8659",3026000,"Powiat śremski",1995,NA
"8660",3027000,"Powiat turecki",1995,NA
"8661",3028000,"Powiat wągrowiecki",1995,NA
"8662",3029000,"Powiat wolsztyński",1995,NA
"8663",3030000,"Powiat wrzesiński",1995,NA
"8664",3031000,"Powiat złotowski",1995,NA
"8665",3061000,"Powiat m.Kalisz",1995,NA
"8666",3062000,"Powiat m.Konin",1995,NA
"8667",3063000,"Powiat m.Leszno",1995,NA
"8668",3064000,"Powiat m.Poznań",1995,NA
"8669",3201000,"Powiat białogardzki",1995,NA
"8670",3205000,"Powiat gryficki",1995,NA
"8671",3206000,"Powiat gryfiński",1995,NA
"8672",3207000,"Powiat kamieński",1995,NA
"8673",3208000,"Powiat kołobrzeski",1995,NA
"8674",3210000,"Powiat myśliborski",1995,NA
"8675",3211000,"Powiat policki",1995,NA
"8676",3213000,"Powiat sławieński",1995,NA
"8677",3214000,"Powiat stargardzki",1995,NA
"8678",3215000,"Powiat szczecinecki",1995,NA
"8679",3216000,"Powiat świdwiński",1995,NA
"8680",3217000,"Powiat wałecki",1995,NA
"8681",3218000,"Powiat łobeski",1995,NA
"8682",3261000,"Powiat m.Koszalin",1995,NA
"8683",3262000,"Powiat m.Szczecin",1995,NA
"8684",3263000,"Powiat m.Świnoujście",1995,NA
"8685",201000,"Powiat bolesławiecki",1996,NA
"8686",202000,"Powiat dzierżoniowski",1996,NA
"8687",203000,"Powiat głogowski",1996,NA
"8688",205000,"Powiat jaworski",1996,NA
"8689",206000,"Powiat jeleniogórski",1996,NA
"8690",207000,"Powiat kamiennogórski",1996,NA
"8691",208000,"Powiat kłodzki",1996,NA
"8692",209000,"Powiat legnicki",1996,NA
"8693",210000,"Powiat lubański",1996,NA
"8694",211000,"Powiat lubiński",1996,NA
"8695",212000,"Powiat lwówecki",1996,NA
"8696",214000,"Powiat oleśnicki",1996,NA
"8697",218000,"Powiat średzki",1996,NA
"8698",219000,"Powiat świdnicki",1996,NA
