"","Kod","Nazwa","rok","Kina_stale_wg_formy_wlasnosci_ogolem_seanse_ogolem"
"18341",2264000,"Powiat m.Sopot",1995,2270
"18342",2401000,"Powiat będziński",1995,753
"18343",2402000,"Powiat bielski",1995,1853
"18344",2403000,"Powiat cieszyński",1995,2806
"18345",2404000,"Powiat częstochowski",1995,59
"18346",2405000,"Powiat gliwicki",1995,0
"18347",2406000,"Powiat kłobucki",1995,64
"18348",2407000,"Powiat lubliniecki",1995,204
"18349",2408000,"Powiat mikołowski",1995,242
"18350",2409000,"Powiat myszkowski",1995,109
"18351",2410000,"Powiat pszczyński",1995,1120
"18352",2411000,"Powiat raciborski",1995,1478
"18353",2413000,"Powiat tarnogórski",1995,1609
"18354",2414000,"Powiat bieruńsko-lędziński",1995,19
"18355",2415000,"Powiat wodzisławski",1995,1049
"18356",2416000,"Powiat zawierciański",1995,343
"18357",2417000,"Powiat żywiecki",1995,950
"18358",2461000,"Powiat m.Bielsko-Biała",1995,3111
"18359",2462000,"Powiat m.Bytom",1995,1138
"18360",2463000,"Powiat m.Chorzów",1995,2437
"18361",2464000,"Powiat m.Częstochowa",1995,3058
"18362",2465000,"Powiat m.Dąbrowa Górnicza",1995,1153
"18363",2466000,"Powiat m.Gliwice",1995,4215
"18364",2467000,"Powiat m.Jastrzębie-Zdrój",1995,354
"18365",2468000,"Powiat m.Jaworzno",1995,719
"18366",2469000,"Powiat m.Katowice",1995,6816
"18367",2470000,"Powiat m.Mysłowice",1995,961
"18368",2471000,"Powiat m.Piekary Śląskie",1995,0
"18369",2472000,"Powiat m.Ruda Śląska",1995,0
"18370",2473000,"Powiat m.Rybnik",1995,1337
"18371",2474000,"Powiat m.Siemianowice Śląskie",1995,0
"18372",2475000,"Powiat m.Sosnowiec",1995,1852
"18373",2477000,"Powiat m.Tychy",1995,852
"18374",2478000,"Powiat m.Zabrze",1995,2624
"18375",2479000,"Powiat m.Żory",1995,0
"18376",2601000,"Powiat buski",1995,267
"18377",2602000,"Powiat jędrzejowski",1995,530
"18378",2603000,"Powiat kazimierski",1995,179
"18379",2604000,"Powiat kielecki",1995,61
"18380",2605000,"Powiat konecki",1995,349
"18381",2606000,"Powiat opatowski",1995,0
"18382",2607000,"Powiat ostrowiecki",1995,202
"18383",2608000,"Powiat pińczowski",1995,65
"18384",2609000,"Powiat sandomierski",1995,333
"18385",2610000,"Powiat skarżyski",1995,991
"18386",2611000,"Powiat starachowicki",1995,258
"18387",2612000,"Powiat staszowski",1995,140
"18388",2613000,"Powiat włoszczowski",1995,221
"18389",2661000,"Powiat m.Kielce",1995,3603
"18390",2801000,"Powiat bartoszycki",1995,46
"18391",2802000,"Powiat braniewski",1995,194
"18392",2803000,"Powiat działdowski",1995,436
"18393",2804000,"Powiat elbląski",1995,285
"18394",2805000,"Powiat ełcki",1995,865
"18395",2806000,"Powiat giżycki",1995,1150
"18396",2807000,"Powiat iławski",1995,1041
"18397",2808000,"Powiat kętrzyński",1995,765
"18398",2809000,"Powiat lidzbarski",1995,0
"18399",2810000,"Powiat mrągowski",1995,149
"18400",2811000,"Powiat nidzicki",1995,87
"18401",2812000,"Powiat nowomiejski",1995,323
"18402",2813000,"Powiat olecki",1995,298
"18403",2814000,"Powiat olsztyński",1995,549
"18404",2815000,"Powiat ostródzki",1995,1354
"18405",2816000,"Powiat piski",1995,509
"18406",2817000,"Powiat szczycieński",1995,750
"18407",2818000,"Powiat gołdapski",1995,NA
"18408",2819000,"Powiat węgorzewski",1995,NA
"18409",2861000,"Powiat m.Elbląg",1995,1532
"18410",2862000,"Powiat m.Olsztyn",1995,4479
"18411",3001000,"Powiat chodzieski",1995,363
"18412",3002000,"Powiat czarnkowsko-trzcianecki",1995,219
"18413",3003000,"Powiat gnieźnieński",1995,928
"18414",3004000,"Powiat gostyński",1995,436
"18415",3005000,"Powiat grodziski",1995,256
"18416",3006000,"Powiat jarociński",1995,0
"18417",3008000,"Powiat kępiński",1995,290
"18418",3009000,"Powiat kolski",1995,360
"18419",3010000,"Powiat koniński",1995,223
"18420",3011000,"Powiat kościański",1995,114
"18421",3012000,"Powiat krotoszyński",1995,719
"18422",3014000,"Powiat międzychodzki",1995,0
"18423",3015000,"Powiat nowotomyski",1995,1023
"18424",3017000,"Powiat ostrowski",1995,714
"18425",3018000,"Powiat ostrzeszowski",1995,353
"18426",3019000,"Powiat pilski",1995,1114
"18427",3020000,"Powiat pleszewski",1995,404
"18428",3021000,"Powiat poznański",1995,354
"18429",3022000,"Powiat rawicki",1995,586
"18430",3023000,"Powiat słupecki",1995,437
"18431",3024000,"Powiat szamotulski",1995,613
"18432",3025000,"Powiat średzki",1995,600
"18433",3026000,"Powiat śremski",1995,311
"18434",3027000,"Powiat turecki",1995,300
"18435",3028000,"Powiat wągrowiecki",1995,169
"18436",3029000,"Powiat wolsztyński",1995,154
"18437",3030000,"Powiat wrzesiński",1995,69
"18438",3031000,"Powiat złotowski",1995,321
"18439",3061000,"Powiat m.Kalisz",1995,1531
"18440",3062000,"Powiat m.Konin",1995,880
"18441",3063000,"Powiat m.Leszno",1995,967
"18442",3064000,"Powiat m.Poznań",1995,14142
"18443",3201000,"Powiat białogardzki",1995,0
"18444",3202000,"Powiat choszczeński",1995,99
"18445",3203000,"Powiat drawski",1995,348
"18446",3204000,"Powiat goleniowski",1995,405
"18447",3205000,"Powiat gryficki",1995,703
"18448",3206000,"Powiat gryfiński",1995,222
"18449",3207000,"Powiat kamieński",1995,513
"18450",3208000,"Powiat kołobrzeski",1995,1297
"18451",3209000,"Powiat koszaliński",1995,527
"18452",3210000,"Powiat myśliborski",1995,663
"18453",3211000,"Powiat policki",1995,25
"18454",3212000,"Powiat pyrzycki",1995,0
"18455",3213000,"Powiat sławieński",1995,284
"18456",3214000,"Powiat stargardzki",1995,758
"18457",3215000,"Powiat szczecinecki",1995,647
"18458",3216000,"Powiat świdwiński",1995,779
"18459",3217000,"Powiat wałecki",1995,714
"18460",3261000,"Powiat m.Koszalin",1995,1916
"18461",3262000,"Powiat m.Szczecin",1995,7250
"18462",3263000,"Powiat m.Świnoujście",1995,636
"18463",201000,"Powiat bolesławiecki",1996,1203
"18464",202000,"Powiat dzierżoniowski",1996,708
"18465",203000,"Powiat głogowski",1996,1268
"18466",204000,"Powiat górowski",1996,700
"18467",205000,"Powiat jaworski",1996,269
"18468",206000,"Powiat jeleniogórski",1996,266
"18469",207000,"Powiat kamiennogórski",1996,207
"18470",208000,"Powiat kłodzki",1996,1384
"18471",209000,"Powiat legnicki",1996,0
"18472",210000,"Powiat lubański",1996,370
"18473",211000,"Powiat lubiński",1996,0
"18474",212000,"Powiat lwówecki",1996,120
"18475",214000,"Powiat oleśnicki",1996,288
"18476",215000,"Powiat oławski",1996,662
"18477",216000,"Powiat polkowicki",1996,79
"18478",217000,"Powiat strzeliński",1996,176
"18479",218000,"Powiat średzki",1996,225
"18480",219000,"Powiat świdnicki",1996,1090
"18481",220000,"Powiat trzebnicki",1996,327
"18482",221000,"Powiat wałbrzyski",1996,100
"18483",222000,"Powiat wołowski",1996,87
"18484",223000,"Powiat wrocławski",1996,0
"18485",224000,"Powiat ząbkowicki",1996,184
"18486",225000,"Powiat zgorzelecki",1996,699
"18487",226000,"Powiat złotoryjski",1996,338
"18488",261000,"Powiat m.Jelenia Góra",1996,2078
"18489",262000,"Powiat m.Legnica",1996,1998
"18490",263000,"Powiat m.Wałbrzych do 2002",1996,2324
"18491",264000,"Powiat m.Wrocław",1996,15784
"18492",265000,"Powiat m.Wałbrzych od 2013",1996,NA
"18493",401000,"Powiat aleksandrowski",1996,555
"18494",402000,"Powiat brodnicki",1996,467
"18495",403000,"Powiat bydgoski",1996,0
"18496",404000,"Powiat chełmiński",1996,0
"18497",405000,"Powiat golubsko-dobrzyński",1996,0
"18498",406000,"Powiat grudziądzki",1996,54
"18499",407000,"Powiat inowrocławski",1996,1049
"18500",408000,"Powiat lipnowski",1996,230
"18501",409000,"Powiat mogileński",1996,198
"18502",410000,"Powiat nakielski",1996,479
"18503",411000,"Powiat radziejowski",1996,77
"18504",412000,"Powiat rypiński",1996,203
"18505",413000,"Powiat sępoleński",1996,204
"18506",414000,"Powiat świecki",1996,498
"18507",415000,"Powiat toruński",1996,46
"18508",416000,"Powiat tucholski",1996,213
"18509",417000,"Powiat wąbrzeski",1996,101
"18510",419000,"Powiat żniński",1996,237
"18511",461000,"Powiat m.Bydgoszcz",1996,4724
"18512",462000,"Powiat m.Grudziądz",1996,1080
"18513",463000,"Powiat m.Toruń",1996,2754
"18514",464000,"Powiat m.Włocławek",1996,1418
"18515",601000,"Powiat bialski",1996,329
"18516",602000,"Powiat biłgorajski",1996,445
"18517",604000,"Powiat hrubieszowski",1996,125
"18518",605000,"Powiat janowski",1996,112
"18519",606000,"Powiat krasnostawski",1996,428
"18520",607000,"Powiat kraśnicki",1996,339
"18521",608000,"Powiat lubartowski",1996,303
"18522",609000,"Powiat lubelski",1996,111
"18523",611000,"Powiat łukowski",1996,506
"18524",612000,"Powiat opolski",1996,275
"18525",613000,"Powiat parczewski",1996,108
"18526",614000,"Powiat puławski",1996,2031
"18527",615000,"Powiat radzyński",1996,210
"18528",616000,"Powiat rycki",1996,219
"18529",617000,"Powiat świdnicki",1996,565
"18530",618000,"Powiat tomaszowski",1996,340
"18531",619000,"Powiat włodawski",1996,431
"18532",620000,"Powiat zamojski",1996,0
"18533",661000,"Powiat m.Biała Podlaska",1996,1014
"18534",662000,"Powiat m.Chełm",1996,436
"18535",663000,"Powiat m.Lublin",1996,6785
"18536",664000,"Powiat m.Zamość",1996,961
"18537",802000,"Powiat krośnieński",1996,194
"18538",803000,"Powiat międzyrzecki",1996,344
"18539",804000,"Powiat nowosolski",1996,441
"18540",805000,"Powiat słubicki",1996,597
"18541",806000,"Powiat strzelecko-drezdenecki",1996,505
"18542",807000,"Powiat sulęciński",1996,417
"18543",808000,"Powiat świebodziński",1996,669
"18544",809000,"Powiat zielonogórski",1996,417
"18545",810000,"Powiat żagański",1996,52
"18546",811000,"Powiat żarski",1996,550
"18547",812000,"Powiat wschowski",1996,NA
"18548",861000,"Powiat m.Gorzów Wielkopolski",1996,2132
"18549",862000,"Powiat m.Zielona Góra",1996,2634
"18550",1001000,"Powiat bełchatowski",1996,736
"18551",1002000,"Powiat kutnowski",1996,398
"18552",1003000,"Powiat łaski",1996,92
"18553",1004000,"Powiat łęczycki",1996,288
"18554",1005000,"Powiat łowicki",1996,373
"18555",1006000,"Powiat łódzki wschodni",1996,450
"18556",1007000,"Powiat opoczyński",1996,86
"18557",1008000,"Powiat pabianicki",1996,740
