"","Kod","Nazwa","rok","EMISJA_ZANIECZYSZCZEN_POWIETRZA_Z_ZAKLADOW_SZCZEGOLNIE_UCIAZLIWYCH_CTAB_ogolem_tr"
"272",2463000,"Powiat m.Chorzów",1996,NA
"273",2464000,"Powiat m.Częstochowa",1996,NA
"274",2465000,"Powiat m.Dąbrowa Górnicza",1996,NA
"275",2466000,"Powiat m.Gliwice",1996,NA
"276",2467000,"Powiat m.Jastrzębie-Zdrój",1996,NA
"277",2468000,"Powiat m.Jaworzno",1996,NA
"278",2469000,"Powiat m.Katowice",1996,NA
"279",2470000,"Powiat m.Mysłowice",1996,NA
"280",2471000,"Powiat m.Piekary Śląskie",1996,NA
"281",2472000,"Powiat m.Ruda Śląska",1996,NA
"282",2473000,"Powiat m.Rybnik",1996,NA
"283",2474000,"Powiat m.Siemianowice Śląskie",1996,NA
"284",2475000,"Powiat m.Sosnowiec",1996,NA
"285",2476000,"Powiat m.Świętochłowice",1996,NA
"286",2477000,"Powiat m.Tychy",1996,NA
"287",2478000,"Powiat m.Zabrze",1996,NA
"288",2479000,"Powiat m.Żory",1996,NA
"289",2601000,"Powiat buski",1996,NA
"290",2602000,"Powiat jędrzejowski",1996,NA
"291",2603000,"Powiat kazimierski",1996,NA
"292",2604000,"Powiat kielecki",1996,NA
"293",2605000,"Powiat konecki",1996,NA
"294",2606000,"Powiat opatowski",1996,NA
"295",2607000,"Powiat ostrowiecki",1996,NA
"296",2608000,"Powiat pińczowski",1996,NA
"297",2609000,"Powiat sandomierski",1996,NA
"298",2610000,"Powiat skarżyski",1996,NA
"299",2611000,"Powiat starachowicki",1996,NA
"300",2612000,"Powiat staszowski",1996,NA
"301",2613000,"Powiat włoszczowski",1996,NA
"302",2661000,"Powiat m.Kielce",1996,NA
"303",2801000,"Powiat bartoszycki",1996,NA
"304",2802000,"Powiat braniewski",1996,NA
"305",2803000,"Powiat działdowski",1996,NA
"306",2804000,"Powiat elbląski",1996,NA
"307",2805000,"Powiat ełcki",1996,NA
"308",2806000,"Powiat giżycki",1996,NA
"309",2807000,"Powiat iławski",1996,NA
"310",2808000,"Powiat kętrzyński",1996,NA
"311",2809000,"Powiat lidzbarski",1996,NA
"312",2810000,"Powiat mrągowski",1996,NA
"313",2811000,"Powiat nidzicki",1996,NA
"314",2812000,"Powiat nowomiejski",1996,NA
"315",2813000,"Powiat olecki",1996,NA
"316",2814000,"Powiat olsztyński",1996,NA
"317",2815000,"Powiat ostródzki",1996,NA
"318",2816000,"Powiat piski",1996,NA
"319",2817000,"Powiat szczycieński",1996,NA
"320",2819000,"Powiat węgorzewski",1996,NA
"321",2861000,"Powiat m.Elbląg",1996,NA
"322",2862000,"Powiat m.Olsztyn",1996,NA
"323",3001000,"Powiat chodzieski",1996,NA
"324",3002000,"Powiat czarnkowsko-trzcianecki",1996,NA
"325",3003000,"Powiat gnieźnieński",1996,NA
"326",3004000,"Powiat gostyński",1996,NA
"327",3005000,"Powiat grodziski",1996,NA
"328",3006000,"Powiat jarociński",1996,NA
"329",3007000,"Powiat kaliski",1996,NA
"330",3008000,"Powiat kępiński",1996,NA
"331",3009000,"Powiat kolski",1996,NA
"332",3010000,"Powiat koniński",1996,NA
"333",3011000,"Powiat kościański",1996,NA
"334",3012000,"Powiat krotoszyński",1996,NA
"335",3013000,"Powiat leszczyński",1996,NA
"336",3014000,"Powiat międzychodzki",1996,NA
"337",3015000,"Powiat nowotomyski",1996,NA
"338",3017000,"Powiat ostrowski",1996,NA
"339",3018000,"Powiat ostrzeszowski",1996,NA
"340",3019000,"Powiat pilski",1996,NA
"341",3020000,"Powiat pleszewski",1996,NA
"342",3021000,"Powiat poznański",1996,NA
"343",3022000,"Powiat rawicki",1996,NA
"344",3023000,"Powiat słupecki",1996,NA
"345",3024000,"Powiat szamotulski",1996,NA
"346",3025000,"Powiat średzki",1996,NA
"347",3026000,"Powiat śremski",1996,NA
"348",3027000,"Powiat turecki",1996,NA
"349",3028000,"Powiat wągrowiecki",1996,NA
"350",3029000,"Powiat wolsztyński",1996,NA
"351",3030000,"Powiat wrzesiński",1996,NA
"352",3031000,"Powiat złotowski",1996,NA
"353",3061000,"Powiat m.Kalisz",1996,NA
"354",3062000,"Powiat m.Konin",1996,NA
"355",3063000,"Powiat m.Leszno",1996,NA
"356",3064000,"Powiat m.Poznań",1996,NA
"357",3201000,"Powiat białogardzki",1996,NA
"358",3202000,"Powiat choszczeński",1996,NA
"359",3203000,"Powiat drawski",1996,NA
"360",3204000,"Powiat goleniowski",1996,NA
"361",3205000,"Powiat gryficki",1996,NA
"362",3206000,"Powiat gryfiński",1996,NA
"363",3207000,"Powiat kamieński",1996,NA
"364",3208000,"Powiat kołobrzeski",1996,NA
"365",3209000,"Powiat koszaliński",1996,NA
"366",3210000,"Powiat myśliborski",1996,NA
"367",3211000,"Powiat policki",1996,NA
"368",3212000,"Powiat pyrzycki",1996,NA
"369",3213000,"Powiat sławieński",1996,NA
"370",3214000,"Powiat stargardzki",1996,NA
"371",3215000,"Powiat szczecinecki",1996,NA
"372",3216000,"Powiat świdwiński",1996,NA
"373",3217000,"Powiat wałecki",1996,NA
"374",3218000,"Powiat łobeski",1996,NA
"375",3261000,"Powiat m.Koszalin",1996,NA
"376",3262000,"Powiat m.Szczecin",1996,NA
"377",3263000,"Powiat m.Świnoujście",1996,NA
"378",201000,"Powiat bolesławiecki",1997,NA
"379",202000,"Powiat dzierżoniowski",1997,NA
"380",203000,"Powiat głogowski",1997,NA
"381",204000,"Powiat górowski",1997,NA
"382",205000,"Powiat jaworski",1997,NA
"383",206000,"Powiat jeleniogórski",1997,NA
"384",207000,"Powiat kamiennogórski",1997,NA
"385",208000,"Powiat kłodzki",1997,NA
"386",209000,"Powiat legnicki",1997,NA
"387",210000,"Powiat lubański",1997,NA
"388",211000,"Powiat lubiński",1997,NA
"389",212000,"Powiat lwówecki",1997,NA
"390",213000,"Powiat milicki",1997,NA
"391",214000,"Powiat oleśnicki",1997,NA
"392",215000,"Powiat oławski",1997,NA
"393",216000,"Powiat polkowicki",1997,NA
"394",217000,"Powiat strzeliński",1997,NA
"395",218000,"Powiat średzki",1997,NA
"396",219000,"Powiat świdnicki",1997,NA
"397",220000,"Powiat trzebnicki",1997,NA
"398",221000,"Powiat wałbrzyski",1997,NA
"399",222000,"Powiat wołowski",1997,NA
"400",223000,"Powiat wrocławski",1997,NA
"401",224000,"Powiat ząbkowicki",1997,NA
"402",225000,"Powiat zgorzelecki",1997,NA
"403",226000,"Powiat złotoryjski",1997,NA
"404",261000,"Powiat m.Jelenia Góra",1997,NA
"405",262000,"Powiat m.Legnica",1997,NA
"406",263000,"Powiat m.Wałbrzych do 2002",1997,NA
"407",264000,"Powiat m.Wrocław",1997,NA
"408",265000,"Powiat m.Wałbrzych od 2013",1997,NA
"409",401000,"Powiat aleksandrowski",1997,NA
"410",402000,"Powiat brodnicki",1997,NA
"411",403000,"Powiat bydgoski",1997,NA
"412",404000,"Powiat chełmiński",1997,NA
"413",405000,"Powiat golubsko-dobrzyński",1997,NA
"414",406000,"Powiat grudziądzki",1997,NA
"415",407000,"Powiat inowrocławski",1997,NA
"416",408000,"Powiat lipnowski",1997,NA
"417",409000,"Powiat mogileński",1997,NA
"418",410000,"Powiat nakielski",1997,NA
"419",411000,"Powiat radziejowski",1997,NA
"420",412000,"Powiat rypiński",1997,NA
"421",414000,"Powiat świecki",1997,NA
"422",415000,"Powiat toruński",1997,NA
"423",416000,"Powiat tucholski",1997,NA
"424",417000,"Powiat wąbrzeski",1997,NA
"425",418000,"Powiat włocławski",1997,NA
"426",419000,"Powiat żniński",1997,NA
"427",461000,"Powiat m.Bydgoszcz",1997,NA
"428",462000,"Powiat m.Grudziądz",1997,NA
"429",463000,"Powiat m.Toruń",1997,NA
"430",464000,"Powiat m.Włocławek",1997,NA
"431",601000,"Powiat bialski",1997,NA
"432",602000,"Powiat biłgorajski",1997,NA
"433",603000,"Powiat chełmski",1997,NA
"434",604000,"Powiat hrubieszowski",1997,NA
"435",605000,"Powiat janowski",1997,NA
"436",606000,"Powiat krasnostawski",1997,NA
"437",607000,"Powiat kraśnicki",1997,NA
"438",608000,"Powiat lubartowski",1997,NA
"439",609000,"Powiat lubelski",1997,NA
"440",610000,"Powiat łęczyński",1997,NA
"441",611000,"Powiat łukowski",1997,NA
"442",612000,"Powiat opolski",1997,NA
"443",613000,"Powiat parczewski",1997,NA
"444",614000,"Powiat puławski",1997,NA
"445",615000,"Powiat radzyński",1997,NA
"446",616000,"Powiat rycki",1997,NA
"447",617000,"Powiat świdnicki",1997,NA
"448",618000,"Powiat tomaszowski",1997,NA
"449",619000,"Powiat włodawski",1997,NA
"450",620000,"Powiat zamojski",1997,NA
"451",661000,"Powiat m.Biała Podlaska",1997,NA
"452",662000,"Powiat m.Chełm",1997,NA
"453",663000,"Powiat m.Lublin",1997,NA
"454",664000,"Powiat m.Zamość",1997,NA
"455",801000,"Powiat gorzowski",1997,NA
"456",802000,"Powiat krośnieński",1997,NA
"457",803000,"Powiat międzyrzecki",1997,NA
"458",804000,"Powiat nowosolski",1997,NA
"459",805000,"Powiat słubicki",1997,NA
"460",806000,"Powiat strzelecko-drezdenecki",1997,NA
"461",807000,"Powiat sulęciński",1997,NA
"462",808000,"Powiat świebodziński",1997,NA
"463",809000,"Powiat zielonogórski",1997,NA
"464",810000,"Powiat żagański",1997,NA
"465",811000,"Powiat żarski",1997,NA
"466",812000,"Powiat wschowski",1997,NA
"467",861000,"Powiat m.Gorzów Wielkopolski",1997,NA
"468",862000,"Powiat m.Zielona Góra",1997,NA
"469",1001000,"Powiat bełchatowski",1997,NA
"470",1002000,"Powiat kutnowski",1997,NA
"471",1003000,"Powiat łaski",1997,NA
"472",1004000,"Powiat łęczycki",1997,NA
"473",1005000,"Powiat łowicki",1997,NA
"474",1006000,"Powiat łódzki wschodni",1997,NA
"475",1007000,"Powiat opoczyński",1997,NA
"476",1008000,"Powiat pabianicki",1997,NA
"477",1009000,"Powiat pajęczański",1997,NA
"478",1010000,"Powiat piotrkowski",1997,NA
"479",1012000,"Powiat radomszczański",1997,NA
"480",1013000,"Powiat rawski",1997,NA
"481",1014000,"Powiat sieradzki",1997,NA
"482",1015000,"Powiat skierniewicki",1997,NA
"483",1016000,"Powiat tomaszowski",1997,NA
"484",1017000,"Powiat wieluński",1997,NA
"485",1018000,"Powiat wieruszowski",1997,NA
"486",1019000,"Powiat zduńskowolski",1997,NA
"487",1020000,"Powiat zgierski",1997,NA
"488",1021000,"Powiat brzeziński",1997,NA
"489",1061000,"Powiat m.Łódź",1997,NA
"490",1062000,"Powiat m.Piotrków Trybunalski",1997,NA
"491",1063000,"Powiat m.Skierniewice",1997,NA
"492",1201000,"Powiat bocheński",1997,NA
"493",1202000,"Powiat brzeski",1997,NA
"494",1203000,"Powiat chrzanowski",1997,NA
"495",1205000,"Powiat gorlicki",1997,NA
"496",1206000,"Powiat krakowski",1997,NA
"497",1207000,"Powiat limanowski",1997,NA
"498",1208000,"Powiat miechowski",1997,NA
"499",1209000,"Powiat myślenicki",1997,NA
"500",1210000,"Powiat nowosądecki",1997,NA
"501",1211000,"Powiat nowotarski",1997,NA
"502",1212000,"Powiat olkuski",1997,NA
"503",1213000,"Powiat oświęcimski",1997,NA
"504",1214000,"Powiat proszowicki",1997,NA
"505",1215000,"Powiat suski",1997,NA
"506",1216000,"Powiat tarnowski",1997,NA
"507",1217000,"Powiat tatrzański",1997,NA
"508",1218000,"Powiat wadowicki",1997,NA
"509",1219000,"Powiat wielicki",1997,NA
"510",1261000,"Powiat m.Kraków",1997,NA
"511",1262000,"Powiat m.Nowy Sącz",1997,NA
"512",1263000,"Powiat m.Tarnów",1997,NA
"513",1401000,"Powiat białobrzeski",1997,NA
"514",1402000,"Powiat ciechanowski",1997,NA
"515",1403000,"Powiat garwoliński",1997,NA
"516",1404000,"Powiat gostyniński",1997,NA
"517",1405000,"Powiat grodziski",1997,NA
"518",1406000,"Powiat grójecki",1997,NA
"519",1407000,"Powiat kozienicki",1997,NA
"520",1408000,"Powiat legionowski",1997,NA
"521",1409000,"Powiat lipski",1997,NA
"522",1410000,"Powiat łosicki",1997,NA
"523",1411000,"Powiat makowski",1997,NA
"524",1412000,"Powiat miński",1997,NA
"525",1413000,"Powiat mławski",1997,NA
"526",1414000,"Powiat nowodworski",1997,NA
"527",1415000,"Powiat ostrołęcki",1997,NA
"528",1416000,"Powiat ostrowski",1997,NA
"529",1417000,"Powiat otwocki",1997,NA
"530",1418000,"Powiat piaseczyński",1997,NA
"531",1419000,"Powiat płocki",1997,NA
"532",1420000,"Powiat płoński",1997,NA
"533",1421000,"Powiat pruszkowski",1997,NA
"534",1422000,"Powiat przasnyski",1997,NA
"535",1423000,"Powiat przysuski",1997,NA
"536",1424000,"Powiat pułtuski",1997,NA
"537",1425000,"Powiat radomski",1997,NA
"538",1426000,"Powiat siedlecki",1997,NA
