"","Kod","Nazwa","rok","WYPADKI_DROGOWE_CTAB_ofiary_smiertelne_na_100_tys_ludnosci_osoba"
"13859",1465000,"Powiat m. st. Warszawa",2002,NA
"13860",1601000,"Powiat brzeski",2002,NA
"13861",1602000,"Powiat głubczycki",2002,NA
"13862",1603000,"Powiat kędzierzyńsko-kozielski",2002,NA
"13863",1604000,"Powiat kluczborski",2002,NA
"13864",1605000,"Powiat krapkowicki",2002,NA
"13865",1606000,"Powiat namysłowski",2002,NA
"13866",1607000,"Powiat nyski",2002,NA
"13867",1608000,"Powiat oleski",2002,NA
"13868",1609000,"Powiat opolski",2002,NA
"13869",1610000,"Powiat prudnicki",2002,NA
"13870",1611000,"Powiat strzelecki",2002,NA
"13871",1661000,"Powiat m.Opole",2002,NA
"13872",1801000,"Powiat bieszczadzki",2002,NA
"13873",1802000,"Powiat brzozowski",2002,NA
"13874",1803000,"Powiat dębicki",2002,NA
"13875",1804000,"Powiat jarosławski",2002,NA
"13876",1805000,"Powiat jasielski",2002,NA
"13877",1806000,"Powiat kolbuszowski",2002,NA
"13878",1807000,"Powiat krośnieński",2002,NA
"13879",1808000,"Powiat leżajski",2002,NA
"13880",1809000,"Powiat lubaczowski",2002,NA
"13881",1810000,"Powiat łańcucki",2002,NA
"13882",1811000,"Powiat mielecki",2002,NA
"13883",1812000,"Powiat niżański",2002,NA
"13884",1813000,"Powiat przemyski",2002,NA
"13885",1814000,"Powiat przeworski",2002,NA
"13886",1815000,"Powiat ropczycko-sędziszowski",2002,NA
"13887",1816000,"Powiat rzeszowski",2002,NA
"13888",1817000,"Powiat sanocki",2002,NA
"13889",1818000,"Powiat stalowowolski",2002,NA
"13890",1819000,"Powiat strzyżowski",2002,NA
"13891",1820000,"Powiat tarnobrzeski",2002,NA
"13892",1821000,"Powiat leski",2002,NA
"13893",1861000,"Powiat m.Krosno",2002,NA
"13894",1862000,"Powiat m.Przemyśl",2002,NA
"13895",1863000,"Powiat m.Rzeszów",2002,NA
"13896",1864000,"Powiat m.Tarnobrzeg",2002,NA
"13897",2001000,"Powiat augustowski",2002,NA
"13898",2002000,"Powiat białostocki",2002,NA
"13899",2003000,"Powiat bielski",2002,NA
"13900",2004000,"Powiat grajewski",2002,NA
"13901",2005000,"Powiat hajnowski",2002,NA
"13902",2006000,"Powiat kolneński",2002,NA
"13903",2007000,"Powiat łomżyński",2002,NA
"13904",2008000,"Powiat moniecki",2002,NA
"13905",2009000,"Powiat sejneński",2002,NA
"13906",2010000,"Powiat siemiatycki",2002,NA
"13907",2011000,"Powiat sokólski",2002,NA
"13908",2012000,"Powiat suwalski",2002,NA
"13909",2013000,"Powiat wysokomazowiecki",2002,NA
"13910",2014000,"Powiat zambrowski",2002,NA
"13911",2061000,"Powiat m.Białystok",2002,NA
"13912",2062000,"Powiat m.Łomża",2002,NA
"13913",2063000,"Powiat m.Suwałki",2002,NA
"13914",2201000,"Powiat bytowski",2002,NA
"13915",2202000,"Powiat chojnicki",2002,NA
"13916",2203000,"Powiat człuchowski",2002,NA
"13917",2204000,"Powiat gdański",2002,NA
"13918",2205000,"Powiat kartuski",2002,NA
"13919",2206000,"Powiat kościerski",2002,NA
"13920",2207000,"Powiat kwidzyński",2002,NA
"13921",2208000,"Powiat lęborski",2002,NA
"13922",2209000,"Powiat malborski",2002,NA
"13923",2210000,"Powiat nowodworski",2002,NA
"13924",2211000,"Powiat pucki",2002,NA
"13925",2212000,"Powiat słupski",2002,NA
"13926",2213000,"Powiat starogardzki",2002,NA
"13927",2214000,"Powiat tczewski",2002,NA
"13928",2215000,"Powiat wejherowski",2002,NA
"13929",2216000,"Powiat sztumski",2002,NA
"13930",2261000,"Powiat m.Gdańsk",2002,NA
"13931",2262000,"Powiat m.Gdynia",2002,NA
"13932",2263000,"Powiat m.Słupsk",2002,NA
"13933",2264000,"Powiat m.Sopot",2002,NA
"13934",2401000,"Powiat będziński",2002,NA
"13935",2402000,"Powiat bielski",2002,NA
"13936",2403000,"Powiat cieszyński",2002,NA
"13937",2404000,"Powiat częstochowski",2002,NA
"13938",2405000,"Powiat gliwicki",2002,NA
"13939",2406000,"Powiat kłobucki",2002,NA
"13940",2407000,"Powiat lubliniecki",2002,NA
"13941",2408000,"Powiat mikołowski",2002,NA
"13942",2409000,"Powiat myszkowski",2002,NA
"13943",2410000,"Powiat pszczyński",2002,NA
"13944",2411000,"Powiat raciborski",2002,NA
"13945",2412000,"Powiat rybnicki",2002,NA
"13946",2413000,"Powiat tarnogórski",2002,NA
"13947",2414000,"Powiat bieruńsko-lędziński",2002,NA
"13948",2415000,"Powiat wodzisławski",2002,NA
"13949",2416000,"Powiat zawierciański",2002,NA
"13950",2417000,"Powiat żywiecki",2002,NA
"13951",2461000,"Powiat m.Bielsko-Biała",2002,NA
"13952",2462000,"Powiat m.Bytom",2002,NA
"13953",2463000,"Powiat m.Chorzów",2002,NA
"13954",2464000,"Powiat m.Częstochowa",2002,NA
"13955",2465000,"Powiat m.Dąbrowa Górnicza",2002,NA
"13956",2466000,"Powiat m.Gliwice",2002,NA
"13957",2467000,"Powiat m.Jastrzębie-Zdrój",2002,NA
"13958",2468000,"Powiat m.Jaworzno",2002,NA
"13959",2469000,"Powiat m.Katowice",2002,NA
"13960",2470000,"Powiat m.Mysłowice",2002,NA
"13961",2471000,"Powiat m.Piekary Śląskie",2002,NA
"13962",2472000,"Powiat m.Ruda Śląska",2002,NA
"13963",2473000,"Powiat m.Rybnik",2002,NA
"13964",2474000,"Powiat m.Siemianowice Śląskie",2002,NA
"13965",2475000,"Powiat m.Sosnowiec",2002,NA
"13966",2476000,"Powiat m.Świętochłowice",2002,NA
"13967",2477000,"Powiat m.Tychy",2002,NA
"13968",2478000,"Powiat m.Zabrze",2002,NA
"13969",2479000,"Powiat m.Żory",2002,NA
"13970",2601000,"Powiat buski",2002,NA
"13971",2602000,"Powiat jędrzejowski",2002,NA
"13972",2603000,"Powiat kazimierski",2002,NA
"13973",2604000,"Powiat kielecki",2002,NA
"13974",2605000,"Powiat konecki",2002,NA
"13975",2606000,"Powiat opatowski",2002,NA
"13976",2607000,"Powiat ostrowiecki",2002,NA
"13977",2608000,"Powiat pińczowski",2002,NA
"13978",2609000,"Powiat sandomierski",2002,NA
"13979",2610000,"Powiat skarżyski",2002,NA
"13980",2611000,"Powiat starachowicki",2002,NA
"13981",2612000,"Powiat staszowski",2002,NA
"13982",2613000,"Powiat włoszczowski",2002,NA
"13983",2661000,"Powiat m.Kielce",2002,NA
"13984",2801000,"Powiat bartoszycki",2002,NA
"13985",2802000,"Powiat braniewski",2002,NA
"13986",2803000,"Powiat działdowski",2002,NA
"13987",2804000,"Powiat elbląski",2002,NA
"13988",2805000,"Powiat ełcki",2002,NA
"13989",2806000,"Powiat giżycki",2002,NA
"13990",2807000,"Powiat iławski",2002,NA
"13991",2808000,"Powiat kętrzyński",2002,NA
"13992",2809000,"Powiat lidzbarski",2002,NA
"13993",2810000,"Powiat mrągowski",2002,NA
"13994",2811000,"Powiat nidzicki",2002,NA
"13995",2812000,"Powiat nowomiejski",2002,NA
"13996",2813000,"Powiat olecki",2002,NA
"13997",2814000,"Powiat olsztyński",2002,NA
"13998",2815000,"Powiat ostródzki",2002,NA
"13999",2816000,"Powiat piski",2002,NA
"14000",2817000,"Powiat szczycieński",2002,NA
"14001",2818000,"Powiat gołdapski",2002,NA
"14002",2819000,"Powiat węgorzewski",2002,NA
"14003",2861000,"Powiat m.Elbląg",2002,NA
"14004",2862000,"Powiat m.Olsztyn",2002,NA
"14005",3001000,"Powiat chodzieski",2002,NA
"14006",3002000,"Powiat czarnkowsko-trzcianecki",2002,NA
"14007",3003000,"Powiat gnieźnieński",2002,NA
"14008",3004000,"Powiat gostyński",2002,NA
"14009",3005000,"Powiat grodziski",2002,NA
"14010",3006000,"Powiat jarociński",2002,NA
"14011",3007000,"Powiat kaliski",2002,NA
"14012",3008000,"Powiat kępiński",2002,NA
"14013",3009000,"Powiat kolski",2002,NA
"14014",3010000,"Powiat koniński",2002,NA
"14015",3011000,"Powiat kościański",2002,NA
"14016",3012000,"Powiat krotoszyński",2002,NA
"14017",3013000,"Powiat leszczyński",2002,NA
"14018",3014000,"Powiat międzychodzki",2002,NA
"14019",3015000,"Powiat nowotomyski",2002,NA
"14020",3016000,"Powiat obornicki",2002,NA
"14021",3017000,"Powiat ostrowski",2002,NA
"14022",3018000,"Powiat ostrzeszowski",2002,NA
"14023",3019000,"Powiat pilski",2002,NA
"14024",3020000,"Powiat pleszewski",2002,NA
"14025",3021000,"Powiat poznański",2002,NA
"14026",3022000,"Powiat rawicki",2002,NA
"14027",3023000,"Powiat słupecki",2002,NA
"14028",3024000,"Powiat szamotulski",2002,NA
"14029",3025000,"Powiat średzki",2002,NA
"14030",3026000,"Powiat śremski",2002,NA
"14031",3027000,"Powiat turecki",2002,NA
"14032",3028000,"Powiat wągrowiecki",2002,NA
"14033",3029000,"Powiat wolsztyński",2002,NA
"14034",3030000,"Powiat wrzesiński",2002,NA
