"","Kod","Nazwa","rok","ZASOBY_MIESZKANIOWE_przecietna_liczba_osob_na_1_izbe"
"34542",3018000,"Powiat ostrzeszowski",2002,NA
"34543",3019000,"Powiat pilski",2002,NA
"34544",3020000,"Powiat pleszewski",2002,NA
"34545",3021000,"Powiat poznański",2002,NA
"34546",3022000,"Powiat rawicki",2002,NA
"34547",3023000,"Powiat słupecki",2002,NA
"34548",3024000,"Powiat szamotulski",2002,NA
"34549",3025000,"Powiat średzki",2002,NA
"34550",3026000,"Powiat śremski",2002,NA
"34551",3027000,"Powiat turecki",2002,NA
"34552",3028000,"Powiat wągrowiecki",2002,NA
"34553",3029000,"Powiat wolsztyński",2002,NA
"34554",3030000,"Powiat wrzesiński",2002,NA
"34555",3031000,"Powiat złotowski",2002,NA
"34556",3061000,"Powiat m.Kalisz",2002,NA
"34557",3062000,"Powiat m.Konin",2002,NA
"34558",3063000,"Powiat m.Leszno",2002,NA
"34559",3064000,"Powiat m.Poznań",2002,NA
"34560",3201000,"Powiat białogardzki",2002,NA
"34561",3202000,"Powiat choszczeński",2002,NA
"34562",3203000,"Powiat drawski",2002,NA
"34563",3204000,"Powiat goleniowski",2002,NA
"34564",3205000,"Powiat gryficki",2002,NA
"34565",3206000,"Powiat gryfiński",2002,NA
"34566",3207000,"Powiat kamieński",2002,NA
"34567",3208000,"Powiat kołobrzeski",2002,NA
"34568",3209000,"Powiat koszaliński",2002,NA
"34569",3210000,"Powiat myśliborski",2002,NA
"34570",3211000,"Powiat policki",2002,NA
"34571",3212000,"Powiat pyrzycki",2002,NA
"34572",3213000,"Powiat sławieński",2002,NA
"34573",3214000,"Powiat stargardzki",2002,NA
"34574",3215000,"Powiat szczecinecki",2002,NA
"34575",3216000,"Powiat świdwiński",2002,NA
"34576",3217000,"Powiat wałecki",2002,NA
"34577",3218000,"Powiat łobeski",2002,NA
"34578",3261000,"Powiat m.Koszalin",2002,NA
"34579",3262000,"Powiat m.Szczecin",2002,NA
"34580",3263000,"Powiat m.Świnoujście",2002,NA
"34581",201000,"Powiat bolesławiecki",2003,0.78
"34582",202000,"Powiat dzierżoniowski",2003,0.82
"34583",203000,"Powiat głogowski",2003,0.84
"34584",204000,"Powiat górowski",2003,0.84
"34585",205000,"Powiat jaworski",2003,0.82
"34586",206000,"Powiat jeleniogórski",2003,0.75
"34587",207000,"Powiat kamiennogórski",2003,0.89
"34588",208000,"Powiat kłodzki",2003,0.81
"34589",209000,"Powiat legnicki",2003,0.79
"34590",210000,"Powiat lubański",2003,0.78
"34591",211000,"Powiat lubiński",2003,0.82
"34592",212000,"Powiat lwówecki",2003,0.76
"34593",213000,"Powiat milicki",2003,0.88
"34594",214000,"Powiat oleśnicki",2003,0.87
"34595",215000,"Powiat oławski",2003,0.85
"34596",216000,"Powiat polkowicki",2003,0.84
"34597",217000,"Powiat strzeliński",2003,0.83
"34598",218000,"Powiat średzki",2003,0.83
"34599",219000,"Powiat świdnicki",2003,0.83
"34600",220000,"Powiat trzebnicki",2003,0.83
"34601",221000,"Powiat wałbrzyski",2003,0.84
"34602",222000,"Powiat wołowski",2003,0.81
"34603",223000,"Powiat wrocławski",2003,0.78
"34604",224000,"Powiat ząbkowicki",2003,0.81
"34605",225000,"Powiat zgorzelecki",2003,0.78
"34606",226000,"Powiat złotoryjski",2003,0.81
"34607",261000,"Powiat m.Jelenia Góra",2003,0.76
"34608",262000,"Powiat m.Legnica",2003,0.77
"34609",264000,"Powiat m.Wrocław",2003,0.78
"34610",265000,"Powiat m.Wałbrzych od 2013",2003,NA
"34611",401000,"Powiat aleksandrowski",2003,0.79
"34612",402000,"Powiat brodnicki",2003,0.88
"34613",403000,"Powiat bydgoski",2003,0.85
"34614",404000,"Powiat chełmiński",2003,0.92
"34615",405000,"Powiat golubsko-dobrzyński",2003,0.94
"34616",406000,"Powiat grudziądzki",2003,0.92
"34617",407000,"Powiat inowrocławski",2003,0.88
"34618",408000,"Powiat lipnowski",2003,0.96
"34619",409000,"Powiat mogileński",2003,0.89
"34620",410000,"Powiat nakielski",2003,0.94
"34621",411000,"Powiat radziejowski",2003,0.89
"34622",412000,"Powiat rypiński",2003,0.92
"34623",413000,"Powiat sępoleński",2003,0.91
"34624",414000,"Powiat świecki",2003,0.88
"34625",415000,"Powiat toruński",2003,0.93
"34626",416000,"Powiat tucholski",2003,0.85
"34627",417000,"Powiat wąbrzeski",2003,0.89
"34628",418000,"Powiat włocławski",2003,0.93
"34629",419000,"Powiat żniński",2003,0.91
"34630",461000,"Powiat m.Bydgoszcz",2003,0.8
"34631",462000,"Powiat m.Grudziądz",2003,0.83
"34632",463000,"Powiat m.Toruń",2003,0.8
"34633",464000,"Powiat m.Włocławek",2003,0.84
"34634",601000,"Powiat bialski",2003,0.83
"34635",602000,"Powiat biłgorajski",2003,0.9
"34636",603000,"Powiat chełmski",2003,0.89
"34637",604000,"Powiat hrubieszowski",2003,0.87
"34638",605000,"Powiat janowski",2003,0.98
"34639",606000,"Powiat krasnostawski",2003,0.83
"34640",607000,"Powiat kraśnicki",2003,0.89
"34641",608000,"Powiat lubartowski",2003,0.89
"34642",609000,"Powiat lubelski",2003,0.87
"34643",610000,"Powiat łęczyński",2003,0.92
"34644",611000,"Powiat łukowski",2003,0.95
"34645",612000,"Powiat opolski",2003,0.91
"34646",613000,"Powiat parczewski",2003,0.83
"34647",614000,"Powiat puławski",2003,0.82
"34648",615000,"Powiat radzyński",2003,0.86
"34649",616000,"Powiat rycki",2003,0.88
"34650",617000,"Powiat świdnicki",2003,0.87
"34651",618000,"Powiat tomaszowski",2003,0.87
"34652",619000,"Powiat włodawski",2003,0.8
"34653",620000,"Powiat zamojski",2003,0.88
"34654",661000,"Powiat m.Biała Podlaska",2003,0.78
"34655",662000,"Powiat m.Chełm",2003,0.81
"34656",663000,"Powiat m.Lublin",2003,0.78
"34657",664000,"Powiat m.Zamość",2003,0.82
"34658",801000,"Powiat gorzowski",2003,0.8
"34659",802000,"Powiat krośnieński",2003,0.82
"34660",803000,"Powiat międzyrzecki",2003,0.82
"34661",804000,"Powiat nowosolski",2003,0.84
"34662",805000,"Powiat słubicki",2003,0.84
"34663",806000,"Powiat strzelecko-drezdenecki",2003,0.83
"34664",807000,"Powiat sulęciński",2003,0.81
"34665",808000,"Powiat świebodziński",2003,0.85
"34666",809000,"Powiat zielonogórski",2003,0.82
"34667",810000,"Powiat żagański",2003,0.81
"34668",811000,"Powiat żarski",2003,0.8
"34669",812000,"Powiat wschowski",2003,0.86
"34670",861000,"Powiat m.Gorzów Wielkopolski",2003,0.78
"34671",862000,"Powiat m.Zielona Góra",2003,0.79
"34672",1001000,"Powiat bełchatowski",2003,0.8
"34673",1002000,"Powiat kutnowski",2003,0.83
"34674",1003000,"Powiat łaski",2003,0.78
"34675",1004000,"Powiat łęczycki",2003,0.88
"34676",1005000,"Powiat łowicki",2003,0.79
"34677",1006000,"Powiat łódzki wschodni",2003,0.75
"34678",1007000,"Powiat opoczyński",2003,0.89
"34679",1008000,"Powiat pabianicki",2003,0.75
"34680",1009000,"Powiat pajęczański",2003,0.82
"34681",1010000,"Powiat piotrkowski",2003,0.83
"34682",1011000,"Powiat poddębicki",2003,0.79
"34683",1012000,"Powiat radomszczański",2003,0.81
"34684",1013000,"Powiat rawski",2003,0.89
"34685",1014000,"Powiat sieradzki",2003,0.85
"34686",1015000,"Powiat skierniewicki",2003,0.87
"34687",1016000,"Powiat tomaszowski",2003,0.8
"34688",1017000,"Powiat wieluński",2003,0.81
"34689",1018000,"Powiat wieruszowski",2003,0.79
"34690",1019000,"Powiat zduńskowolski",2003,0.83
"34691",1020000,"Powiat zgierski",2003,0.76
"34692",1021000,"Powiat brzeziński",2003,0.81
"34693",1061000,"Powiat m.Łódź",2003,0.77
"34694",1062000,"Powiat m.Piotrków Trybunalski",2003,0.81
"34695",1063000,"Powiat m.Skierniewice",2003,0.75
"34696",1201000,"Powiat bocheński",2003,0.82
"34697",1202000,"Powiat brzeski",2003,0.88
"34698",1203000,"Powiat chrzanowski",2003,0.8
"34699",1204000,"Powiat dąbrowski",2003,0.97
"34700",1205000,"Powiat gorlicki",2003,0.93
"34701",1206000,"Powiat krakowski",2003,0.81
"34702",1207000,"Powiat limanowski",2003,1
"34703",1208000,"Powiat miechowski",2003,0.8
"34704",1209000,"Powiat myślenicki",2003,0.89
"34705",1210000,"Powiat nowosądecki",2003,1.03
"34706",1211000,"Powiat nowotarski",2003,0.86
"34707",1212000,"Powiat olkuski",2003,0.79
"34708",1213000,"Powiat oświęcimski",2003,0.81
"34709",1214000,"Powiat proszowicki",2003,0.86
"34710",1215000,"Powiat suski",2003,0.86
"34711",1216000,"Powiat tarnowski",2003,0.97
"34712",1217000,"Powiat tatrzański",2003,0.69
"34713",1218000,"Powiat wadowicki",2003,0.87
"34714",1219000,"Powiat wielicki",2003,0.78
"34715",1261000,"Powiat m.Kraków",2003,0.84
"34716",1262000,"Powiat m.Nowy Sącz",2003,0.84
"34717",1263000,"Powiat m.Tarnów",2003,0.84
"34718",1401000,"Powiat białobrzeski",2003,0.88
"34719",1402000,"Powiat ciechanowski",2003,0.86
"34720",1403000,"Powiat garwoliński",2003,0.92
"34721",1404000,"Powiat gostyniński",2003,0.86
"34722",1405000,"Powiat grodziski",2003,0.75
"34723",1406000,"Powiat grójecki",2003,0.84
"34724",1407000,"Powiat kozienicki",2003,0.85
"34725",1408000,"Powiat legionowski",2003,0.76
"34726",1409000,"Powiat lipski",2003,0.88
"34727",1410000,"Powiat łosicki",2003,0.8
"34728",1411000,"Powiat makowski",2003,0.86
"34729",1412000,"Powiat miński",2003,0.82
"34730",1413000,"Powiat mławski",2003,0.88
"34731",1414000,"Powiat nowodworski",2003,0.84
"34732",1415000,"Powiat ostrołęcki",2003,0.94
"34733",1416000,"Powiat ostrowski",2003,0.85
"34734",1417000,"Powiat otwocki",2003,0.79
"34735",1418000,"Powiat piaseczyński",2003,0.78
"34736",1419000,"Powiat płocki",2003,0.91
"34737",1420000,"Powiat płoński",2003,0.89
"34738",1421000,"Powiat pruszkowski",2003,0.71
"34739",1422000,"Powiat przasnyski",2003,0.91
"34740",1423000,"Powiat przysuski",2003,0.94
"34741",1424000,"Powiat pułtuski",2003,0.86
"34742",1425000,"Powiat radomski",2003,0.98
"34743",1426000,"Powiat siedlecki",2003,0.88
"34744",1427000,"Powiat sierpecki",2003,0.89
"34745",1428000,"Powiat sochaczewski",2003,0.84
"34746",1429000,"Powiat sokołowski",2003,0.78
