"","Kod","Nazwa","rok","TURYSTYCZNE_OBIEKTY_NOCLEGOWE_I_ICH_WYKORZYSTANIE_CTAB_udzielone_noclegi_turystom_zagranicznym_w_turystycznych_obiektach_noclegowych_na_10_tys_mieszkancow_ogolem"
"68760",1465000,"Powiat m. st. Warszawa",2002,6144
"68761",1601000,"Powiat brzeski",2002,189
"68762",1602000,"Powiat głubczycki",2002,696
"68763",1603000,"Powiat kędzierzyńsko-kozielski",2002,119
"68764",1604000,"Powiat kluczborski",2002,153
"68765",1605000,"Powiat krapkowicki",2002,630
"68766",1606000,"Powiat namysłowski",2002,128
"68767",1607000,"Powiat nyski",2002,599
"68768",1608000,"Powiat oleski",2002,229
"68769",1609000,"Powiat opolski",2002,214
"68770",1610000,"Powiat prudnicki",2002,170
"68771",1611000,"Powiat strzelecki",2002,333
"68772",1661000,"Powiat m.Opole",2002,1904
"68773",1801000,"Powiat bieszczadzki",2002,1128
"68774",1802000,"Powiat brzozowski",2002,15
"68775",1803000,"Powiat dębicki",2002,459
"68776",1804000,"Powiat jarosławski",2002,610
"68777",1805000,"Powiat jasielski",2002,252
"68778",1806000,"Powiat kolbuszowski",2002,17
"68779",1807000,"Powiat krośnieński",2002,169
"68780",1808000,"Powiat leżajski",2002,204
"68781",1809000,"Powiat lubaczowski",2002,172
"68782",1810000,"Powiat łańcucki",2002,516
"68783",1811000,"Powiat mielecki",2002,487
"68784",1812000,"Powiat niżański",2002,70
"68785",1813000,"Powiat przemyski",2002,715
"68786",1814000,"Powiat przeworski",2002,362
"68787",1815000,"Powiat ropczycko-sędziszowski",2002,125
"68788",1816000,"Powiat rzeszowski",2002,512
"68789",1817000,"Powiat sanocki",2002,269
"68790",1818000,"Powiat stalowowolski",2002,461
"68791",1819000,"Powiat strzyżowski",2002,11
"68792",1820000,"Powiat tarnobrzeski",2002,264
"68793",1821000,"Powiat leski",2002,2007
"68794",1861000,"Powiat m.Krosno",2002,393
"68795",1862000,"Powiat m.Przemyśl",2002,2845
"68796",1863000,"Powiat m.Rzeszów",2002,2823
"68797",1864000,"Powiat m.Tarnobrzeg",2002,227
"68798",2001000,"Powiat augustowski",2002,2128
"68799",2002000,"Powiat białostocki",2002,944
"68800",2003000,"Powiat bielski",2002,229
"68801",2004000,"Powiat grajewski",2002,185
"68802",2005000,"Powiat hajnowski",2002,1629
"68803",2006000,"Powiat kolneński",2002,5
"68804",2007000,"Powiat łomżyński",2002,946
"68805",2008000,"Powiat moniecki",2002,86
"68806",2009000,"Powiat sejneński",2002,198
"68807",2010000,"Powiat siemiatycki",2002,176
"68808",2011000,"Powiat sokólski",2002,64
"68809",2012000,"Powiat suwalski",2002,743
"68810",2013000,"Powiat wysokomazowiecki",2002,120
"68811",2014000,"Powiat zambrowski",2002,103
"68812",2061000,"Powiat m.Białystok",2002,2259
"68813",2062000,"Powiat m.Łomża",2002,623
"68814",2063000,"Powiat m.Suwałki",2002,1093
"68815",2201000,"Powiat bytowski",2002,811
"68816",2202000,"Powiat chojnicki",2002,232
"68817",2203000,"Powiat człuchowski",2002,121
"68818",2204000,"Powiat gdański",2002,431
"68819",2205000,"Powiat kartuski",2002,178
"68820",2206000,"Powiat kościerski",2002,316
"68821",2207000,"Powiat kwidzyński",2002,532
"68822",2208000,"Powiat lęborski",2002,3797
"68823",2209000,"Powiat malborski",2002,3658
"68824",2210000,"Powiat nowodworski",2002,1670
"68825",2211000,"Powiat pucki",2002,2388
"68826",2212000,"Powiat słupski",2002,2114
"68827",2213000,"Powiat starogardzki",2002,113
"68828",2214000,"Powiat tczewski",2002,299
"68829",2215000,"Powiat wejherowski",2002,460
"68830",2216000,"Powiat sztumski",2002,112
"68831",2261000,"Powiat m.Gdańsk",2002,6205
"68832",2262000,"Powiat m.Gdynia",2002,3119
"68833",2263000,"Powiat m.Słupsk",2002,1034
"68834",2264000,"Powiat m.Sopot",2002,12625
"68835",2401000,"Powiat będziński",2002,52
"68836",2402000,"Powiat bielski",2002,1152
"68837",2403000,"Powiat cieszyński",2002,3706
"68838",2404000,"Powiat częstochowski",2002,136
"68839",2405000,"Powiat gliwicki",2002,129
"68840",2406000,"Powiat kłobucki",2002,123
"68841",2407000,"Powiat lubliniecki",2002,106
"68842",2408000,"Powiat mikołowski",2002,194
"68843",2409000,"Powiat myszkowski",2002,144
"68844",2410000,"Powiat pszczyński",2002,273
"68845",2411000,"Powiat raciborski",2002,824
"68846",2412000,"Powiat rybnicki",2002,0
"68847",2413000,"Powiat tarnogórski",2002,128
"68848",2414000,"Powiat bieruńsko-lędziński",2002,74
"68849",2415000,"Powiat wodzisławski",2002,23
"68850",2416000,"Powiat zawierciański",2002,92
"68851",2417000,"Powiat żywiecki",2002,138
"68852",2461000,"Powiat m.Bielsko-Biała",2002,2047
"68853",2462000,"Powiat m.Bytom",2002,171
"68854",2463000,"Powiat m.Chorzów",2002,972
"68855",2464000,"Powiat m.Częstochowa",2002,1739
"68856",2465000,"Powiat m.Dąbrowa Górnicza",2002,94
"68857",2466000,"Powiat m.Gliwice",2002,921
"68858",2467000,"Powiat m.Jastrzębie-Zdrój",2002,117
"68859",2468000,"Powiat m.Jaworzno",2002,422
"68860",2469000,"Powiat m.Katowice",2002,1640
"68861",2470000,"Powiat m.Mysłowice",2002,312
"68862",2471000,"Powiat m.Piekary Śląskie",2002,149
"68863",2472000,"Powiat m.Ruda Śląska",2002,15
"68864",2473000,"Powiat m.Rybnik",2002,472
"68865",2474000,"Powiat m.Siemianowice Śląskie",2002,129
"68866",2475000,"Powiat m.Sosnowiec",2002,549
"68867",2476000,"Powiat m.Świętochłowice",2002,0
"68868",2477000,"Powiat m.Tychy",2002,267
"68869",2478000,"Powiat m.Zabrze",2002,421
"68870",2479000,"Powiat m.Żory",2002,355
"68871",2601000,"Powiat buski",2002,657
"68872",2602000,"Powiat jędrzejowski",2002,9
"68873",2603000,"Powiat kazimierski",2002,45
"68874",2604000,"Powiat kielecki",2002,374
"68875",2605000,"Powiat konecki",2002,125
"68876",2606000,"Powiat opatowski",2002,11
"68877",2607000,"Powiat ostrowiecki",2002,831
"68878",2608000,"Powiat pińczowski",2002,69
"68879",2609000,"Powiat sandomierski",2002,250
"68880",2610000,"Powiat skarżyski",2002,117
"68881",2611000,"Powiat starachowicki",2002,1050
"68882",2612000,"Powiat staszowski",2002,95
"68883",2613000,"Powiat włoszczowski",2002,0
"68884",2661000,"Powiat m.Kielce",2002,646
"68885",2801000,"Powiat bartoszycki",2002,197
"68886",2802000,"Powiat braniewski",2002,1589
"68887",2803000,"Powiat działdowski",2002,356
"68888",2804000,"Powiat elbląski",2002,519
"68889",2805000,"Powiat ełcki",2002,942
"68890",2806000,"Powiat giżycki",2002,8072
"68891",2807000,"Powiat iławski",2002,467
"68892",2808000,"Powiat kętrzyński",2002,1823
"68893",2809000,"Powiat lidzbarski",2002,489
"68894",2810000,"Powiat mrągowski",2002,46984
"68895",2811000,"Powiat nidzicki",2002,108
"68896",2812000,"Powiat nowomiejski",2002,145
"68897",2813000,"Powiat olecki",2002,346
"68898",2814000,"Powiat olsztyński",2002,1090
"68899",2815000,"Powiat ostródzki",2002,1936
"68900",2816000,"Powiat piski",2002,579
"68901",2817000,"Powiat szczycieński",2002,1907
"68902",2818000,"Powiat gołdapski",2002,984
"68903",2819000,"Powiat węgorzewski",2002,579
"68904",2861000,"Powiat m.Elbląg",2002,2310
"68905",2862000,"Powiat m.Olsztyn",2002,4180
"68906",3001000,"Powiat chodzieski",2002,663
"68907",3002000,"Powiat czarnkowsko-trzcianecki",2002,706
"68908",3003000,"Powiat gnieźnieński",2002,1389
"68909",3004000,"Powiat gostyński",2002,219
"68910",3005000,"Powiat grodziski",2002,185
"68911",3006000,"Powiat jarociński",2002,75
"68912",3007000,"Powiat kaliski",2002,129
"68913",3008000,"Powiat kępiński",2002,285
"68914",3009000,"Powiat kolski",2002,62
"68915",3010000,"Powiat koniński",2002,508
"68916",3011000,"Powiat kościański",2002,267
"68917",3012000,"Powiat krotoszyński",2002,97
"68918",3013000,"Powiat leszczyński",2002,670
"68919",3014000,"Powiat międzychodzki",2002,825
"68920",3015000,"Powiat nowotomyski",2002,738
"68921",3016000,"Powiat obornicki",2002,377
"68922",3017000,"Powiat ostrowski",2002,889
"68923",3018000,"Powiat ostrzeszowski",2002,934
"68924",3019000,"Powiat pilski",2002,1855
"68925",3020000,"Powiat pleszewski",2002,183
"68926",3021000,"Powiat poznański",2002,836
"68927",3022000,"Powiat rawicki",2002,60
"68928",3023000,"Powiat słupecki",2002,328
"68929",3024000,"Powiat szamotulski",2002,681
"68930",3025000,"Powiat średzki",2002,125
"68931",3026000,"Powiat śremski",2002,173
"68932",3027000,"Powiat turecki",2002,141
"68933",3028000,"Powiat wągrowiecki",2002,852
"68934",3029000,"Powiat wolsztyński",2002,189
"68935",3030000,"Powiat wrzesiński",2002,557
"68936",3031000,"Powiat złotowski",2002,273
"68937",3061000,"Powiat m.Kalisz",2002,765
"68938",3062000,"Powiat m.Konin",2002,1022
"68939",3063000,"Powiat m.Leszno",2002,886
"68940",3064000,"Powiat m.Poznań",2002,3880
