"","Kod","Nazwa","rok","Kluby_sportowe_lacznie_z_klubami_wyznaniowymi_i_UKS_cwiczacy_ogolem_osoba"
"9357",1821000,"Powiat leski",1999,NA
"9358",1861000,"Powiat m.Krosno",1999,NA
"9359",1862000,"Powiat m.Przemyśl",1999,NA
"9360",1863000,"Powiat m.Rzeszów",1999,NA
"9361",1864000,"Powiat m.Tarnobrzeg",1999,NA
"9362",2001000,"Powiat augustowski",1999,NA
"9363",2002000,"Powiat białostocki",1999,NA
"9364",2003000,"Powiat bielski",1999,NA
"9365",2004000,"Powiat grajewski",1999,NA
"9366",2005000,"Powiat hajnowski",1999,NA
"9367",2006000,"Powiat kolneński",1999,NA
"9368",2007000,"Powiat łomżyński",1999,NA
"9369",2008000,"Powiat moniecki",1999,NA
"9370",2009000,"Powiat sejneński",1999,NA
"9371",2010000,"Powiat siemiatycki",1999,NA
"9372",2011000,"Powiat sokólski",1999,NA
"9373",2012000,"Powiat suwalski",1999,NA
"9374",2013000,"Powiat wysokomazowiecki",1999,NA
"9375",2014000,"Powiat zambrowski",1999,NA
"9376",2061000,"Powiat m.Białystok",1999,NA
"9377",2062000,"Powiat m.Łomża",1999,NA
"9378",2063000,"Powiat m.Suwałki",1999,NA
"9379",2201000,"Powiat bytowski",1999,NA
"9380",2202000,"Powiat chojnicki",1999,NA
"9381",2203000,"Powiat człuchowski",1999,NA
"9382",2204000,"Powiat gdański",1999,NA
"9383",2205000,"Powiat kartuski",1999,NA
"9384",2206000,"Powiat kościerski",1999,NA
"9385",2207000,"Powiat kwidzyński",1999,NA
"9386",2208000,"Powiat lęborski",1999,NA
"9387",2209000,"Powiat malborski",1999,NA
"9388",2210000,"Powiat nowodworski",1999,NA
"9389",2211000,"Powiat pucki",1999,NA
"9390",2212000,"Powiat słupski",1999,NA
"9391",2213000,"Powiat starogardzki",1999,NA
"9392",2214000,"Powiat tczewski",1999,NA
"9393",2215000,"Powiat wejherowski",1999,NA
"9394",2216000,"Powiat sztumski",1999,NA
"9395",2261000,"Powiat m.Gdańsk",1999,NA
"9396",2262000,"Powiat m.Gdynia",1999,NA
"9397",2263000,"Powiat m.Słupsk",1999,NA
"9398",2264000,"Powiat m.Sopot",1999,NA
"9399",2401000,"Powiat będziński",1999,NA
"9400",2402000,"Powiat bielski",1999,NA
"9401",2403000,"Powiat cieszyński",1999,NA
"9402",2404000,"Powiat częstochowski",1999,NA
"9403",2405000,"Powiat gliwicki",1999,NA
"9404",2406000,"Powiat kłobucki",1999,NA
"9405",2407000,"Powiat lubliniecki",1999,NA
"9406",2408000,"Powiat mikołowski",1999,NA
"9407",2409000,"Powiat myszkowski",1999,NA
"9408",2410000,"Powiat pszczyński",1999,NA
"9409",2411000,"Powiat raciborski",1999,NA
"9410",2412000,"Powiat rybnicki",1999,NA
"9411",2413000,"Powiat tarnogórski",1999,NA
"9412",2414000,"Powiat bieruńsko-lędziński",1999,NA
"9413",2415000,"Powiat wodzisławski",1999,NA
