"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_wtorny_do_40_m2_zl"
"21132",2062000,"Powiat m.Łomża",2015,2803
"21133",2063000,"Powiat m.Suwałki",2015,3054
"21134",2201000,"Powiat bytowski",2015,2926
"21135",2202000,"Powiat chojnicki",2015,2873
"21136",2203000,"Powiat człuchowski",2015,2117
"21137",2204000,"Powiat gdański",2015,4167
"21138",2205000,"Powiat kartuski",2015,2801
"21139",2206000,"Powiat kościerski",2015,3099
"21140",2207000,"Powiat kwidzyński",2015,2432
"21141",2208000,"Powiat lęborski",2015,2258
"21142",2209000,"Powiat malborski",2015,2668
"21143",2210000,"Powiat nowodworski",2015,5159
"21144",2211000,"Powiat pucki",2015,4489
"21145",2212000,"Powiat słupski",2015,3472
"21146",2213000,"Powiat starogardzki",2015,2664
"21147",2214000,"Powiat tczewski",2015,3316
"21148",2215000,"Powiat wejherowski",2015,4091
"21149",2216000,"Powiat sztumski",2015,1955
"21150",2261000,"Powiat m.Gdańsk",2015,5336
"21151",2262000,"Powiat m.Gdynia",2015,5105
"21152",2263000,"Powiat m.Słupsk",2015,2948
"21153",2264000,"Powiat m.Sopot",2015,7123
"21154",2401000,"Powiat będziński",2015,2071
"21155",2402000,"Powiat bielski",2015,2500
"21156",2403000,"Powiat cieszyński",2015,2846
"21157",2404000,"Powiat częstochowski",2015,1882
"21158",2405000,"Powiat gliwicki",2015,2320
"21159",2406000,"Powiat kłobucki",2015,2286
"21160",2407000,"Powiat lubliniecki",2015,2240
"21161",2408000,"Powiat mikołowski",2015,1977
"21162",2409000,"Powiat myszkowski",2015,1758
"21163",2410000,"Powiat pszczyński",2015,2245
"21164",2411000,"Powiat raciborski",2015,1840
"21165",2412000,"Powiat rybnicki",2015,1981
"21166",2413000,"Powiat tarnogórski",2015,2316
"21167",2414000,"Powiat bieruńsko-lędziński",2015,2377
"21168",2415000,"Powiat wodzisławski",2015,1815
"21169",2416000,"Powiat zawierciański",2015,1250
"21170",2417000,"Powiat żywiecki",2015,3184
"21171",2461000,"Powiat m.Bielsko-Biała",2015,3111
"21172",2462000,"Powiat m.Bytom",2015,1773
"21173",2463000,"Powiat m.Chorzów",2015,2393
"21174",2464000,"Powiat m.Częstochowa",2015,2223
"21175",2465000,"Powiat m.Dąbrowa Górnicza",2015,2507
"21176",2466000,"Powiat m.Gliwice",2015,3013
"21177",2467000,"Powiat m.Jastrzębie-Zdrój",2015,2319
"21178",2468000,"Powiat m.Jaworzno",2015,2826
"21179",2469000,"Powiat m.Katowice",2015,3359
"21180",2470000,"Powiat m.Mysłowice",2015,2362
"21181",2471000,"Powiat m.Piekary Śląskie",2015,1925
"21182",2472000,"Powiat m.Ruda Śląska",2015,2053
"21183",2473000,"Powiat m.Rybnik",2015,2153
"21184",2474000,"Powiat m.Siemianowice Śląskie",2015,2549
"21185",2475000,"Powiat m.Sosnowiec",2015,2360
"21186",2476000,"Powiat m.Świętochłowice",2015,2054
"21187",2477000,"Powiat m.Tychy",2015,3068
"21188",2478000,"Powiat m.Zabrze",2015,2368
"21189",2479000,"Powiat m.Żory",2015,2682
"21190",2601000,"Powiat buski",2015,2925
"21191",2602000,"Powiat jędrzejowski",2015,2507
"21192",2603000,"Powiat kazimierski",2015,0
"21193",2604000,"Powiat kielecki",2015,0
"21194",2605000,"Powiat konecki",2015,2174
"21195",2606000,"Powiat opatowski",2015,2304
"21196",2607000,"Powiat ostrowiecki",2015,1917
"21197",2608000,"Powiat pińczowski",2015,2147
"21198",2609000,"Powiat sandomierski",2015,2516
"21199",2610000,"Powiat skarżyski",2015,2091
"21200",2611000,"Powiat starachowicki",2015,2069
"21201",2612000,"Powiat staszowski",2015,2060
"21202",2613000,"Powiat włoszczowski",2015,2560
"21203",2661000,"Powiat m.Kielce",2015,3586
"21204",2801000,"Powiat bartoszycki",2015,1782
"21205",2802000,"Powiat braniewski",2015,1956
"21206",2803000,"Powiat działdowski",2015,2600
"21207",2804000,"Powiat elbląski",2015,1826
"21208",2805000,"Powiat ełcki",2015,2632
"21209",2806000,"Powiat giżycki",2015,2776
"21210",2807000,"Powiat iławski",2015,3163
"21211",2808000,"Powiat kętrzyński",2015,1601
"21212",2809000,"Powiat lidzbarski",2015,2025
"21213",2810000,"Powiat mrągowski",2015,2164
"21214",2811000,"Powiat nidzicki",2015,1753
"21215",2812000,"Powiat nowomiejski",2015,2339
"21216",2813000,"Powiat olecki",2015,2879
"21217",2814000,"Powiat olsztyński",2015,2572
"21218",2815000,"Powiat ostródzki",2015,2391
"21219",2816000,"Powiat piski",2015,2128
"21220",2817000,"Powiat szczycieński",2015,2911
"21221",2818000,"Powiat gołdapski",2015,2003
"21222",2819000,"Powiat węgorzewski",2015,2154
"21223",2861000,"Powiat m.Elbląg",2015,2800
"21224",2862000,"Powiat m.Olsztyn",2015,4277
"21225",3001000,"Powiat chodzieski",2015,2639
"21226",3002000,"Powiat czarnkowsko-trzcianecki",2015,1988
"21227",3003000,"Powiat gnieźnieński",2015,2917
"21228",3004000,"Powiat gostyński",2015,2599
"21229",3005000,"Powiat grodziski",2015,2809
"21230",3006000,"Powiat jarociński",2015,0
"21231",3007000,"Powiat kaliski",2015,1697
"21232",3008000,"Powiat kępiński",2015,0
"21233",3009000,"Powiat kolski",2015,2800
"21234",3010000,"Powiat koniński",2015,2147
"21235",3011000,"Powiat kościański",2015,2503
"21236",3012000,"Powiat krotoszyński",2015,1989
"21237",3013000,"Powiat leszczyński",2015,3268
"21238",3014000,"Powiat międzychodzki",2015,2625
"21239",3015000,"Powiat nowotomyski",2015,2669
"21240",3016000,"Powiat obornicki",2015,2821
"21241",3017000,"Powiat ostrowski",2015,2157
"21242",3018000,"Powiat ostrzeszowski",2015,2657
"21243",3019000,"Powiat pilski",2015,2753
"21244",3020000,"Powiat pleszewski",2015,1898
"21245",3021000,"Powiat poznański",2015,4047
"21246",3022000,"Powiat rawicki",2015,2976
"21247",3023000,"Powiat słupecki",2015,2500
"21248",3024000,"Powiat szamotulski",2015,2317
"21249",3025000,"Powiat średzki",2015,3133
"21250",3026000,"Powiat śremski",2015,2544
"21251",3027000,"Powiat turecki",2015,2228
"21252",3028000,"Powiat wągrowiecki",2015,2979
"21253",3029000,"Powiat wolsztyński",2015,2130
"21254",3030000,"Powiat wrzesiński",2015,3261
"21255",3031000,"Powiat złotowski",2015,1991
"21256",3061000,"Powiat m.Kalisz",2015,2645
"21257",3062000,"Powiat m.Konin",2015,3005
"21258",3063000,"Powiat m.Leszno",2015,3116
"21259",3064000,"Powiat m.Poznań",2015,5343
"21260",3201000,"Powiat białogardzki",2015,1735
"21261",3202000,"Powiat choszczeński",2015,1957
"21262",3203000,"Powiat drawski",2015,2115
"21263",3204000,"Powiat goleniowski",2015,2593
"21264",3205000,"Powiat gryficki",2015,2369
"21265",3206000,"Powiat gryfiński",2015,1947
"21266",3207000,"Powiat kamieński",2015,3977
"21267",3208000,"Powiat kołobrzeski",2015,4409
"21268",3209000,"Powiat koszaliński",2015,2635
"21269",3210000,"Powiat myśliborski",2015,1849
"21270",3211000,"Powiat policki",2015,4321
"21271",3212000,"Powiat pyrzycki",2015,2487
