"","Kod","Nazwa","rok","Budynki_mieszkalne_podaaczone_do_infrastruktury_technicznej_w_proc_ogolu_budynkow_mieszkalnych_ogolem_kanalizacja_proc"
"1952",463000,"Powiat m.Toruń",2016,84.2
"1953",464000,"Powiat m.Włocławek",2016,79.5
"1954",601000,"Powiat bialski",2016,31.2
"1955",602000,"Powiat biłgorajski",2016,51.4
"1956",603000,"Powiat chełmski",2016,16.2
"1957",604000,"Powiat hrubieszowski",2016,21.5
"1958",605000,"Powiat janowski",2016,23
"1959",606000,"Powiat krasnostawski",2016,15.8
"1960",607000,"Powiat kraśnicki",2016,22.9
"1961",608000,"Powiat lubartowski",2016,37.6
"1962",609000,"Powiat lubelski",2016,13.1
"1963",610000,"Powiat łęczyński",2016,26.4
"1964",611000,"Powiat łukowski",2016,29.8
"1965",612000,"Powiat opolski",2016,14.5
"1966",613000,"Powiat parczewski",2016,36.3
"1967",614000,"Powiat puławski",2016,37.9
"1968",615000,"Powiat radzyński",2016,27.9
"1969",616000,"Powiat rycki",2016,21.9
"1970",617000,"Powiat świdnicki",2016,21.8
"1971",618000,"Powiat tomaszowski",2016,23.9
"1972",619000,"Powiat włodawski",2016,37
"1973",620000,"Powiat zamojski",2016,12.8
"1974",661000,"Powiat m.Biała Podlaska",2016,78
"1975",662000,"Powiat m.Chełm",2016,36.7
"1976",663000,"Powiat m.Lublin",2016,55.2
"1977",664000,"Powiat m.Zamość",2016,57.8
"1978",801000,"Powiat gorzowski",2016,50.9
"1979",802000,"Powiat krośnieński",2016,36.2
"1980",803000,"Powiat międzyrzecki",2016,51
"1981",804000,"Powiat nowosolski",2016,53.9
"1982",805000,"Powiat słubicki",2016,60.7
"1983",806000,"Powiat strzelecko-drezdenecki",2016,38.7
"1984",807000,"Powiat sulęciński",2016,48.2
"1985",808000,"Powiat świebodziński",2016,70.1
"1986",809000,"Powiat zielonogórski",2016,54.8
"1987",810000,"Powiat żagański",2016,53.4
"1988",811000,"Powiat żarski",2016,31.9
"1989",812000,"Powiat wschowski",2016,43.7
"1990",861000,"Powiat m.Gorzów Wielkopolski",2016,99.9
"1991",862000,"Powiat m.Zielona Góra",2016,48.7
"1992",1001000,"Powiat bełchatowski",2016,37.3
"1993",1002000,"Powiat kutnowski",2016,33
"1994",1003000,"Powiat łaski",2016,28.6
"1995",1004000,"Powiat łęczycki",2016,18
"1996",1005000,"Powiat łowicki",2016,26.1
"1997",1006000,"Powiat łódzki wschodni",2016,26.6
"1998",1007000,"Powiat opoczyński",2016,54.8
"1999",1008000,"Powiat pabianicki",2016,35.7
