"","Kod","Nazwa","rok","Liczba_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_wtorny_do_40_m2_szt"
"21225",3001000,"Powiat chodzieski",2015,7
"21226",3002000,"Powiat czarnkowsko-trzcianecki",2015,23
"21227",3003000,"Powiat gnieźnieński",2015,32
"21228",3004000,"Powiat gostyński",2015,9
"21229",3005000,"Powiat grodziski",2015,11
"21230",3006000,"Powiat jarociński",2015,0
"21231",3007000,"Powiat kaliski",2015,5
"21232",3008000,"Powiat kępiński",2015,0
"21233",3009000,"Powiat kolski",2015,11
"21234",3010000,"Powiat koniński",2015,12
"21235",3011000,"Powiat kościański",2015,11
"21236",3012000,"Powiat krotoszyński",2015,27
"21237",3013000,"Powiat leszczyński",2015,4
"21238",3014000,"Powiat międzychodzki",2015,21
"21239",3015000,"Powiat nowotomyski",2015,20
"21240",3016000,"Powiat obornicki",2015,9
"21241",3017000,"Powiat ostrowski",2015,16
"21242",3018000,"Powiat ostrzeszowski",2015,4
"21243",3019000,"Powiat pilski",2015,90
"21244",3020000,"Powiat pleszewski",2015,12
"21245",3021000,"Powiat poznański",2015,125
"21246",3022000,"Powiat rawicki",2015,16
"21247",3023000,"Powiat słupecki",2015,7
"21248",3024000,"Powiat szamotulski",2015,5
"21249",3025000,"Powiat średzki",2015,6
"21250",3026000,"Powiat śremski",2015,12
"21251",3027000,"Powiat turecki",2015,40
"21252",3028000,"Powiat wągrowiecki",2015,30
"21253",3029000,"Powiat wolsztyński",2015,5
"21254",3030000,"Powiat wrzesiński",2015,25
"21255",3031000,"Powiat złotowski",2015,36
"21256",3061000,"Powiat m.Kalisz",2015,66
"21257",3062000,"Powiat m.Konin",2015,100
"21258",3063000,"Powiat m.Leszno",2015,27
"21259",3064000,"Powiat m.Poznań",2015,712
"21260",3201000,"Powiat białogardzki",2015,35
"21261",3202000,"Powiat choszczeński",2015,25
"21262",3203000,"Powiat drawski",2015,26
"21263",3204000,"Powiat goleniowski",2015,69
"21264",3205000,"Powiat gryficki",2015,45
"21265",3206000,"Powiat gryfiński",2015,44
"21266",3207000,"Powiat kamieński",2015,41
"21267",3208000,"Powiat kołobrzeski",2015,119
"21268",3209000,"Powiat koszaliński",2015,34
"21269",3210000,"Powiat myśliborski",2015,33
"21270",3211000,"Powiat policki",2015,35
"21271",3212000,"Powiat pyrzycki",2015,26
"21272",3213000,"Powiat sławieński",2015,35
"21273",3214000,"Powiat stargardzki",2015,101
"21274",3215000,"Powiat szczecinecki",2015,68
"21275",3216000,"Powiat świdwiński",2015,25
"21276",3217000,"Powiat wałecki",2015,30
"21277",3218000,"Powiat łobeski",2015,19
"21278",3261000,"Powiat m.Koszalin",2015,148
"21279",3262000,"Powiat m.Szczecin",2015,459
"21280",3263000,"Powiat m.Świnoujście",2015,77
"21281",201000,"Powiat bolesławiecki",2016,121
"21282",202000,"Powiat dzierżoniowski",2016,110
"21283",203000,"Powiat głogowski",2016,85
"21284",204000,"Powiat górowski",2016,0
"21285",205000,"Powiat jaworski",2016,33
"21286",206000,"Powiat jeleniogórski",2016,49
"21287",207000,"Powiat kamiennogórski",2016,40
"21288",208000,"Powiat kłodzki",2016,141
"21289",209000,"Powiat legnicki",2016,27
"21290",210000,"Powiat lubański",2016,59
"21291",211000,"Powiat lubiński",2016,126
"21292",212000,"Powiat lwówecki",2016,21
"21293",213000,"Powiat milicki",2016,16
"21294",214000,"Powiat oleśnicki",2016,68
"21295",215000,"Powiat oławski",2016,58
"21296",216000,"Powiat polkowicki",2016,47
"21297",217000,"Powiat strzeliński",2016,29
"21298",218000,"Powiat średzki",2016,14
"21299",219000,"Powiat świdnicki",2016,165
"21300",220000,"Powiat trzebnicki",2016,50
"21301",221000,"Powiat wałbrzyski",2016,88
"21302",222000,"Powiat wołowski",2016,62
"21303",223000,"Powiat wrocławski",2016,59
"21304",224000,"Powiat ząbkowicki",2016,36
"21305",225000,"Powiat zgorzelecki",2016,34
"21306",226000,"Powiat złotoryjski",2016,33
"21307",261000,"Powiat m.Jelenia Góra",2016,189
"21308",262000,"Powiat m.Legnica",2016,119
"21309",264000,"Powiat m.Wrocław",2016,1145
"21310",265000,"Powiat m.Wałbrzych od 2013",2016,201
"21311",401000,"Powiat aleksandrowski",2016,41
"21312",402000,"Powiat brodnicki",2016,30
"21313",403000,"Powiat bydgoski",2016,19
"21314",404000,"Powiat chełmiński",2016,47
"21315",405000,"Powiat golubsko-dobrzyński",2016,18
"21316",406000,"Powiat grudziądzki",2016,7
"21317",407000,"Powiat inowrocławski",2016,156
"21318",408000,"Powiat lipnowski",2016,14
"21319",409000,"Powiat mogileński",2016,9
"21320",410000,"Powiat nakielski",2016,36
"21321",411000,"Powiat radziejowski",2016,8
"21322",412000,"Powiat rypiński",2016,16
"21323",413000,"Powiat sępoleński",2016,14
"21324",414000,"Powiat świecki",2016,37
"21325",415000,"Powiat toruński",2016,28
"21326",416000,"Powiat tucholski",2016,9
"21327",417000,"Powiat wąbrzeski",2016,19
"21328",418000,"Powiat włocławski",2016,18
"21329",419000,"Powiat żniński",2016,18
"21330",461000,"Powiat m.Bydgoszcz",2016,456
"21331",462000,"Powiat m.Grudziądz",2016,109
"21332",463000,"Powiat m.Toruń",2016,226
"21333",464000,"Powiat m.Włocławek",2016,92
"21334",601000,"Powiat bialski",2016,5
"21335",602000,"Powiat biłgorajski",2016,7
"21336",603000,"Powiat chełmski",2016,4
"21337",604000,"Powiat hrubieszowski",2016,26
