"","Kod","Nazwa","rok","BEZROBOCIE_w_proc_ludnosci_aktywnej_zawodowo_proc"
"26098",2405000,"Powiat gliwicki",2003,NA
"26099",2406000,"Powiat kłobucki",2003,NA
"26100",2407000,"Powiat lubliniecki",2003,NA
"26101",2408000,"Powiat mikołowski",2003,NA
"26102",2409000,"Powiat myszkowski",2003,NA
"26103",2410000,"Powiat pszczyński",2003,NA
"26104",2411000,"Powiat raciborski",2003,NA
"26105",2412000,"Powiat rybnicki",2003,NA
"26106",2413000,"Powiat tarnogórski",2003,NA
"26107",2414000,"Powiat bieruńsko-lędziński",2003,NA
"26108",2415000,"Powiat wodzisławski",2003,NA
"26109",2416000,"Powiat zawierciański",2003,NA
"26110",2417000,"Powiat żywiecki",2003,NA
"26111",2461000,"Powiat m.Bielsko-Biała",2003,NA
"26112",2462000,"Powiat m.Bytom",2003,NA
"26113",2463000,"Powiat m.Chorzów",2003,NA
"26114",2464000,"Powiat m.Częstochowa",2003,NA
"26115",2465000,"Powiat m.Dąbrowa Górnicza",2003,NA
"26116",2466000,"Powiat m.Gliwice",2003,NA
"26117",2467000,"Powiat m.Jastrzębie-Zdrój",2003,NA
"26118",2468000,"Powiat m.Jaworzno",2003,NA
"26119",2469000,"Powiat m.Katowice",2003,NA
"26120",2470000,"Powiat m.Mysłowice",2003,NA
"26121",2471000,"Powiat m.Piekary Śląskie",2003,NA
"26122",2472000,"Powiat m.Ruda Śląska",2003,NA
"26123",2473000,"Powiat m.Rybnik",2003,NA
"26124",2474000,"Powiat m.Siemianowice Śląskie",2003,NA
"26125",2475000,"Powiat m.Sosnowiec",2003,NA
"26126",2476000,"Powiat m.Świętochłowice",2003,NA
"26127",2477000,"Powiat m.Tychy",2003,NA
"26128",2478000,"Powiat m.Zabrze",2003,NA
"26129",2479000,"Powiat m.Żory",2003,NA
"26130",2601000,"Powiat buski",2003,NA
"26131",2602000,"Powiat jędrzejowski",2003,NA
"26132",2603000,"Powiat kazimierski",2003,NA
"26133",2604000,"Powiat kielecki",2003,NA
"26134",2605000,"Powiat konecki",2003,NA
"26135",2606000,"Powiat opatowski",2003,NA
"26136",2607000,"Powiat ostrowiecki",2003,NA
"26137",2608000,"Powiat pińczowski",2003,NA
"26138",2609000,"Powiat sandomierski",2003,NA
"26139",2610000,"Powiat skarżyski",2003,NA
"26140",2611000,"Powiat starachowicki",2003,NA
"26141",2612000,"Powiat staszowski",2003,NA
"26142",2613000,"Powiat włoszczowski",2003,NA
"26143",2661000,"Powiat m.Kielce",2003,NA
"26144",2801000,"Powiat bartoszycki",2003,NA
"26145",2802000,"Powiat braniewski",2003,NA
"26146",2803000,"Powiat działdowski",2003,NA
"26147",2804000,"Powiat elbląski",2003,NA
"26148",2805000,"Powiat ełcki",2003,NA
"26149",2806000,"Powiat giżycki",2003,NA
"26150",2807000,"Powiat iławski",2003,NA
"26151",2808000,"Powiat kętrzyński",2003,NA
"26152",2809000,"Powiat lidzbarski",2003,NA
"26153",2810000,"Powiat mrągowski",2003,NA
"26154",2811000,"Powiat nidzicki",2003,NA
"26155",2812000,"Powiat nowomiejski",2003,NA
"26156",2813000,"Powiat olecki",2003,NA
"26157",2814000,"Powiat olsztyński",2003,NA
"26158",2815000,"Powiat ostródzki",2003,NA
"26159",2816000,"Powiat piski",2003,NA
"26160",2817000,"Powiat szczycieński",2003,NA
"26161",2818000,"Powiat gołdapski",2003,NA
"26162",2819000,"Powiat węgorzewski",2003,NA
"26163",2861000,"Powiat m.Elbląg",2003,NA
"26164",2862000,"Powiat m.Olsztyn",2003,NA
"26165",3001000,"Powiat chodzieski",2003,NA
"26166",3002000,"Powiat czarnkowsko-trzcianecki",2003,NA
"26167",3003000,"Powiat gnieźnieński",2003,NA
"26168",3004000,"Powiat gostyński",2003,NA
"26169",3005000,"Powiat grodziski",2003,NA
"26170",3006000,"Powiat jarociński",2003,NA
"26171",3007000,"Powiat kaliski",2003,NA
"26172",3008000,"Powiat kępiński",2003,NA
"26173",3009000,"Powiat kolski",2003,NA
"26174",3010000,"Powiat koniński",2003,NA
"26175",3011000,"Powiat kościański",2003,NA
"26176",3012000,"Powiat krotoszyński",2003,NA
"26177",3013000,"Powiat leszczyński",2003,NA
"26178",3014000,"Powiat międzychodzki",2003,NA
"26179",3015000,"Powiat nowotomyski",2003,NA
"26180",3016000,"Powiat obornicki",2003,NA
"26181",3017000,"Powiat ostrowski",2003,NA
"26182",3018000,"Powiat ostrzeszowski",2003,NA
"26183",3019000,"Powiat pilski",2003,NA
"26184",3020000,"Powiat pleszewski",2003,NA
"26185",3021000,"Powiat poznański",2003,NA
"26186",3022000,"Powiat rawicki",2003,NA
"26187",3023000,"Powiat słupecki",2003,NA
"26188",3024000,"Powiat szamotulski",2003,NA
"26189",3025000,"Powiat średzki",2003,NA
"26190",3026000,"Powiat śremski",2003,NA
"26191",3027000,"Powiat turecki",2003,NA
"26192",3028000,"Powiat wągrowiecki",2003,NA
"26193",3029000,"Powiat wolsztyński",2003,NA
"26194",3030000,"Powiat wrzesiński",2003,NA
"26195",3031000,"Powiat złotowski",2003,NA
"26196",3061000,"Powiat m.Kalisz",2003,NA
"26197",3062000,"Powiat m.Konin",2003,NA
"26198",3063000,"Powiat m.Leszno",2003,NA
"26199",3064000,"Powiat m.Poznań",2003,NA
"26200",3201000,"Powiat białogardzki",2003,NA
"26201",3202000,"Powiat choszczeński",2003,NA
"26202",3203000,"Powiat drawski",2003,NA
"26203",3204000,"Powiat goleniowski",2003,NA
"26204",3205000,"Powiat gryficki",2003,NA
"26205",3206000,"Powiat gryfiński",2003,NA
"26206",3207000,"Powiat kamieński",2003,NA
"26207",3208000,"Powiat kołobrzeski",2003,NA
"26208",3209000,"Powiat koszaliński",2003,NA
"26209",3210000,"Powiat myśliborski",2003,NA
"26210",3211000,"Powiat policki",2003,NA
"26211",3212000,"Powiat pyrzycki",2003,NA
"26212",3213000,"Powiat sławieński",2003,NA
"26213",3214000,"Powiat stargardzki",2003,NA
"26214",3215000,"Powiat szczecinecki",2003,NA
"26215",3216000,"Powiat świdwiński",2003,NA
"26216",3217000,"Powiat wałecki",2003,NA
"26217",3218000,"Powiat łobeski",2003,NA
"26218",3261000,"Powiat m.Koszalin",2003,NA
"26219",3262000,"Powiat m.Szczecin",2003,NA
"26220",3263000,"Powiat m.Świnoujście",2003,NA
"26221",201000,"Powiat bolesławiecki",2004,NA
"26222",202000,"Powiat dzierżoniowski",2004,NA
"26223",203000,"Powiat głogowski",2004,NA
"26224",204000,"Powiat górowski",2004,NA
"26225",205000,"Powiat jaworski",2004,NA
"26226",206000,"Powiat jeleniogórski",2004,NA
"26227",207000,"Powiat kamiennogórski",2004,NA
"26228",208000,"Powiat kłodzki",2004,NA
"26229",209000,"Powiat legnicki",2004,NA
"26230",210000,"Powiat lubański",2004,NA
"26231",211000,"Powiat lubiński",2004,NA
"26232",212000,"Powiat lwówecki",2004,NA
"26233",213000,"Powiat milicki",2004,NA
"26234",214000,"Powiat oleśnicki",2004,NA
"26235",215000,"Powiat oławski",2004,NA
"26236",216000,"Powiat polkowicki",2004,NA
"26237",217000,"Powiat strzeliński",2004,NA
"26238",218000,"Powiat średzki",2004,NA
"26239",219000,"Powiat świdnicki",2004,NA
"26240",220000,"Powiat trzebnicki",2004,NA
"26241",221000,"Powiat wałbrzyski",2004,NA
"26242",222000,"Powiat wołowski",2004,NA
"26243",223000,"Powiat wrocławski",2004,NA
"26244",224000,"Powiat ząbkowicki",2004,NA
"26245",225000,"Powiat zgorzelecki",2004,NA
"26246",226000,"Powiat złotoryjski",2004,NA
"26247",261000,"Powiat m.Jelenia Góra",2004,NA
"26248",262000,"Powiat m.Legnica",2004,NA
"26249",264000,"Powiat m.Wrocław",2004,NA
"26250",265000,"Powiat m.Wałbrzych od 2013",2004,NA
"26251",401000,"Powiat aleksandrowski",2004,NA
"26252",402000,"Powiat brodnicki",2004,NA
"26253",403000,"Powiat bydgoski",2004,NA
"26254",404000,"Powiat chełmiński",2004,NA
"26255",405000,"Powiat golubsko-dobrzyński",2004,NA
"26256",406000,"Powiat grudziądzki",2004,NA
"26257",407000,"Powiat inowrocławski",2004,NA
"26258",408000,"Powiat lipnowski",2004,NA
"26259",409000,"Powiat mogileński",2004,NA
"26260",410000,"Powiat nakielski",2004,NA
"26261",411000,"Powiat radziejowski",2004,NA
"26262",412000,"Powiat rypiński",2004,NA
"26263",413000,"Powiat sępoleński",2004,NA
"26264",414000,"Powiat świecki",2004,NA
"26265",415000,"Powiat toruński",2004,NA
"26266",416000,"Powiat tucholski",2004,NA
"26267",417000,"Powiat wąbrzeski",2004,NA
"26268",418000,"Powiat włocławski",2004,NA
"26269",419000,"Powiat żniński",2004,NA
"26270",461000,"Powiat m.Bydgoszcz",2004,NA
"26271",462000,"Powiat m.Grudziądz",2004,NA
"26272",463000,"Powiat m.Toruń",2004,NA
"26273",464000,"Powiat m.Włocławek",2004,NA
"26274",601000,"Powiat bialski",2004,NA
"26275",602000,"Powiat biłgorajski",2004,NA
"26276",603000,"Powiat chełmski",2004,NA
"26277",604000,"Powiat hrubieszowski",2004,NA
"26278",605000,"Powiat janowski",2004,NA
"26279",606000,"Powiat krasnostawski",2004,NA
"26280",607000,"Powiat kraśnicki",2004,NA
"26281",608000,"Powiat lubartowski",2004,NA
"26282",609000,"Powiat lubelski",2004,NA
"26283",610000,"Powiat łęczyński",2004,NA
"26284",611000,"Powiat łukowski",2004,NA
"26285",612000,"Powiat opolski",2004,NA
"26286",613000,"Powiat parczewski",2004,NA
"26287",614000,"Powiat puławski",2004,NA
"26288",615000,"Powiat radzyński",2004,NA
"26289",616000,"Powiat rycki",2004,NA
"26290",617000,"Powiat świdnicki",2004,NA
"26291",618000,"Powiat tomaszowski",2004,NA
"26292",619000,"Powiat włodawski",2004,NA
"26293",620000,"Powiat zamojski",2004,NA
"26294",661000,"Powiat m.Biała Podlaska",2004,NA
"26295",662000,"Powiat m.Chełm",2004,NA
