"","Kod","Nazwa","rok","Liczba_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_pierwotny_ogolem_szt"
"9701",1810000,"Powiat łańcucki",2015,3
"9702",1811000,"Powiat mielecki",2015,28
"9703",1812000,"Powiat niżański",2015,0
"9704",1813000,"Powiat przemyski",2015,3
"9705",1814000,"Powiat przeworski",2015,0
"9706",1815000,"Powiat ropczycko-sędziszowski",2015,15
"9707",1816000,"Powiat rzeszowski",2015,32
"9708",1817000,"Powiat sanocki",2015,0
"9709",1818000,"Powiat stalowowolski",2015,5
"9710",1819000,"Powiat strzyżowski",2015,5
"9711",1820000,"Powiat tarnobrzeski",2015,0
"9712",1821000,"Powiat leski",2015,0
"9713",1861000,"Powiat m.Krosno",2015,28
"9714",1862000,"Powiat m.Przemyśl",2015,29
"9715",1863000,"Powiat m.Rzeszów",2015,1209
"9716",1864000,"Powiat m.Tarnobrzeg",2015,32
"9717",2001000,"Powiat augustowski",2015,8
"9718",2002000,"Powiat białostocki",2015,89
"9719",2003000,"Powiat bielski",2015,0
"9720",2004000,"Powiat grajewski",2015,21
"9721",2005000,"Powiat hajnowski",2015,0
"9722",2006000,"Powiat kolneński",2015,0
"9723",2007000,"Powiat łomżyński",2015,0
"9724",2008000,"Powiat moniecki",2015,0
"9725",2009000,"Powiat sejneński",2015,0
"9726",2010000,"Powiat siemiatycki",2015,0
"9727",2011000,"Powiat sokólski",2015,32
"9728",2012000,"Powiat suwalski",2015,5
"9729",2013000,"Powiat wysokomazowiecki",2015,0
"9730",2014000,"Powiat zambrowski",2015,52
"9731",2061000,"Powiat m.Białystok",2015,1308
"9732",2062000,"Powiat m.Łomża",2015,106
"9733",2063000,"Powiat m.Suwałki",2015,63
"9734",2201000,"Powiat bytowski",2015,3
"9735",2202000,"Powiat chojnicki",2015,5
"9736",2203000,"Powiat człuchowski",2015,0
"9737",2204000,"Powiat gdański",2015,384
"9738",2205000,"Powiat kartuski",2015,180
"9739",2206000,"Powiat kościerski",2015,71
"9740",2207000,"Powiat kwidzyński",2015,14
"9741",2208000,"Powiat lęborski",2015,37
"9742",2209000,"Powiat malborski",2015,87
"9743",2210000,"Powiat nowodworski",2015,59
"9744",2211000,"Powiat pucki",2015,379
"9745",2212000,"Powiat słupski",2015,82
"9746",2213000,"Powiat starogardzki",2015,10
"9747",2214000,"Powiat tczewski",2015,192
"9748",2215000,"Powiat wejherowski",2015,680
"9749",2216000,"Powiat sztumski",2015,7
"9750",2261000,"Powiat m.Gdańsk",2015,4024
"9751",2262000,"Powiat m.Gdynia",2015,878
"9752",2263000,"Powiat m.Słupsk",2015,152
"9753",2264000,"Powiat m.Sopot",2015,54
"9754",2401000,"Powiat będziński",2015,16
"9755",2402000,"Powiat bielski",2015,35
"9756",2403000,"Powiat cieszyński",2015,79
"9757",2404000,"Powiat częstochowski",2015,0
"9758",2405000,"Powiat gliwicki",2015,9
"9759",2406000,"Powiat kłobucki",2015,0
"9760",2407000,"Powiat lubliniecki",2015,13
"9761",2408000,"Powiat mikołowski",2015,52
