"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_ogolem_od_80_m2_zl"
"7792",1801000,"Powiat bieszczadzki",2015,0
"7793",1802000,"Powiat brzozowski",2015,0
"7794",1803000,"Powiat dębicki",2015,3368
"7795",1804000,"Powiat jarosławski",2015,2729
"7796",1805000,"Powiat jasielski",2015,1689
"7797",1806000,"Powiat kolbuszowski",2015,0
"7798",1807000,"Powiat krośnieński",2015,536
"7799",1808000,"Powiat leżajski",2015,0
"7800",1809000,"Powiat lubaczowski",2015,0
"7801",1810000,"Powiat łańcucki",2015,1587
"7802",1811000,"Powiat mielecki",2015,3141
"7803",1812000,"Powiat niżański",2015,0
"7804",1813000,"Powiat przemyski",2015,0
"7805",1814000,"Powiat przeworski",2015,0
"7806",1815000,"Powiat ropczycko-sędziszowski",2015,0
"7807",1816000,"Powiat rzeszowski",2015,2765
"7808",1817000,"Powiat sanocki",2015,1669
"7809",1818000,"Powiat stalowowolski",2015,3641
"7810",1819000,"Powiat strzyżowski",2015,1150
"7811",1820000,"Powiat tarnobrzeski",2015,1881
"7812",1821000,"Powiat leski",2015,3107
"7813",1861000,"Powiat m.Krosno",2015,2047
"7814",1862000,"Powiat m.Przemyśl",2015,2497
"7815",1863000,"Powiat m.Rzeszów",2015,3908
"7816",1864000,"Powiat m.Tarnobrzeg",2015,2777
"7817",2001000,"Powiat augustowski",2015,3903
"7818",2002000,"Powiat białostocki",2015,2857
"7819",2003000,"Powiat bielski",2015,0
"7820",2004000,"Powiat grajewski",2015,0
"7821",2005000,"Powiat hajnowski",2015,0
"7822",2006000,"Powiat kolneński",2015,0
"7823",2007000,"Powiat łomżyński",2015,0
"7824",2008000,"Powiat moniecki",2015,0
"7825",2009000,"Powiat sejneński",2015,0
"7826",2010000,"Powiat siemiatycki",2015,0
"7827",2011000,"Powiat sokólski",2015,0
"7828",2012000,"Powiat suwalski",2015,0
"7829",2013000,"Powiat wysokomazowiecki",2015,0
"7830",2014000,"Powiat zambrowski",2015,2844
"7831",2061000,"Powiat m.Białystok",2015,3989
"7832",2062000,"Powiat m.Łomża",2015,2804
"7833",2063000,"Powiat m.Suwałki",2015,3616
"7834",2201000,"Powiat bytowski",2015,1824
"7835",2202000,"Powiat chojnicki",2015,1732
"7836",2203000,"Powiat człuchowski",2015,1930
"7837",2204000,"Powiat gdański",2015,3858
"7838",2205000,"Powiat kartuski",2015,3250
"7839",2206000,"Powiat kościerski",2015,0
"7840",2207000,"Powiat kwidzyński",2015,1773
"7841",2208000,"Powiat lęborski",2015,2681
"7842",2209000,"Powiat malborski",2015,2637
"7843",2210000,"Powiat nowodworski",2015,0
"7844",2211000,"Powiat pucki",2015,3651
"7845",2212000,"Powiat słupski",2015,2491
"7846",2213000,"Powiat starogardzki",2015,2089
"7847",2214000,"Powiat tczewski",2015,2901
"7848",2215000,"Powiat wejherowski",2015,3459
"7849",2216000,"Powiat sztumski",2015,0
"7850",2261000,"Powiat m.Gdańsk",2015,5130
"7851",2262000,"Powiat m.Gdynia",2015,5511
"7852",2263000,"Powiat m.Słupsk",2015,2688
"7853",2264000,"Powiat m.Sopot",2015,7500
"7854",2401000,"Powiat będziński",2015,2032
"7855",2402000,"Powiat bielski",2015,2500
"7856",2403000,"Powiat cieszyński",2015,1620
"7857",2404000,"Powiat częstochowski",2015,0
"7858",2405000,"Powiat gliwicki",2015,2924
"7859",2406000,"Powiat kłobucki",2015,0
"7860",2407000,"Powiat lubliniecki",2015,2329
"7861",2408000,"Powiat mikołowski",2015,2953
"7862",2409000,"Powiat myszkowski",2015,0
"7863",2410000,"Powiat pszczyński",2015,2909
"7864",2411000,"Powiat raciborski",2015,1764
"7865",2412000,"Powiat rybnicki",2015,0
"7866",2413000,"Powiat tarnogórski",2015,1900
"7867",2414000,"Powiat bieruńsko-lędziński",2015,2405
"7868",2415000,"Powiat wodzisławski",2015,0
"7869",2416000,"Powiat zawierciański",2015,0
"7870",2417000,"Powiat żywiecki",2015,2624
"7871",2461000,"Powiat m.Bielsko-Biała",2015,2596
"7872",2462000,"Powiat m.Bytom",2015,1420
"7873",2463000,"Powiat m.Chorzów",2015,1759
"7874",2464000,"Powiat m.Częstochowa",2015,3864
"7875",2465000,"Powiat m.Dąbrowa Górnicza",2015,2647
"7876",2466000,"Powiat m.Gliwice",2015,2885
"7877",2467000,"Powiat m.Jastrzębie-Zdrój",2015,2755
"7878",2468000,"Powiat m.Jaworzno",2015,2896
"7879",2469000,"Powiat m.Katowice",2015,3326
"7880",2470000,"Powiat m.Mysłowice",2015,2708
"7881",2471000,"Powiat m.Piekary Śląskie",2015,1447
"7882",2472000,"Powiat m.Ruda Śląska",2015,3803
"7883",2473000,"Powiat m.Rybnik",2015,2171
"7884",2474000,"Powiat m.Siemianowice Śląskie",2015,2399
"7885",2475000,"Powiat m.Sosnowiec",2015,2577
"7886",2476000,"Powiat m.Świętochłowice",2015,3353
"7887",2477000,"Powiat m.Tychy",2015,3483
"7888",2478000,"Powiat m.Zabrze",2015,2182
"7889",2479000,"Powiat m.Żory",2015,2749
"7890",2601000,"Powiat buski",2015,0
"7891",2602000,"Powiat jędrzejowski",2015,2443
"7892",2603000,"Powiat kazimierski",2015,0
"7893",2604000,"Powiat kielecki",2015,0
"7894",2605000,"Powiat konecki",2015,0
"7895",2606000,"Powiat opatowski",2015,0
"7896",2607000,"Powiat ostrowiecki",2015,3507
"7897",2608000,"Powiat pińczowski",2015,0
"7898",2609000,"Powiat sandomierski",2015,0
"7899",2610000,"Powiat skarżyski",2015,1973
"7900",2611000,"Powiat starachowicki",2015,1667
"7901",2612000,"Powiat staszowski",2015,0
"7902",2613000,"Powiat włoszczowski",2015,0
"7903",2661000,"Powiat m.Kielce",2015,4040
"7904",2801000,"Powiat bartoszycki",2015,2036
"7905",2802000,"Powiat braniewski",2015,2071
"7906",2803000,"Powiat działdowski",2015,1902
"7907",2804000,"Powiat elbląski",2015,1455
"7908",2805000,"Powiat ełcki",2015,3396
"7909",2806000,"Powiat giżycki",2015,2028
"7910",2807000,"Powiat iławski",2015,1661
"7911",2808000,"Powiat kętrzyński",2015,928
"7912",2809000,"Powiat lidzbarski",2015,0
"7913",2810000,"Powiat mrągowski",2015,0
"7914",2811000,"Powiat nidzicki",2015,2749
"7915",2812000,"Powiat nowomiejski",2015,0
"7916",2813000,"Powiat olecki",2015,1651
"7917",2814000,"Powiat olsztyński",2015,2484
"7918",2815000,"Powiat ostródzki",2015,1949
"7919",2816000,"Powiat piski",2015,1337
"7920",2817000,"Powiat szczycieński",2015,0
"7921",2818000,"Powiat gołdapski",2015,1764
"7922",2819000,"Powiat węgorzewski",2015,0
"7923",2861000,"Powiat m.Elbląg",2015,3012
"7924",2862000,"Powiat m.Olsztyn",2015,4303
"7925",3001000,"Powiat chodzieski",2015,2796
"7926",3002000,"Powiat czarnkowsko-trzcianecki",2015,1385
"7927",3003000,"Powiat gnieźnieński",2015,2354
"7928",3004000,"Powiat gostyński",2015,2164
"7929",3005000,"Powiat grodziski",2015,0
"7930",3006000,"Powiat jarociński",2015,0
"7931",3007000,"Powiat kaliski",2015,814
"7932",3008000,"Powiat kępiński",2015,0
"7933",3009000,"Powiat kolski",2015,2116
"7934",3010000,"Powiat koniński",2015,2103
"7935",3011000,"Powiat kościański",2015,1102
"7936",3012000,"Powiat krotoszyński",2015,1917
"7937",3013000,"Powiat leszczyński",2015,1658
"7938",3014000,"Powiat międzychodzki",2015,1368
"7939",3015000,"Powiat nowotomyski",2015,1741
"7940",3016000,"Powiat obornicki",2015,1891
"7941",3017000,"Powiat ostrowski",2015,1799
"7942",3018000,"Powiat ostrzeszowski",2015,2297
"7943",3019000,"Powiat pilski",2015,3309
"7944",3020000,"Powiat pleszewski",2015,1432
"7945",3021000,"Powiat poznański",2015,3641
"7946",3022000,"Powiat rawicki",2015,1048
"7947",3023000,"Powiat słupecki",2015,0
"7948",3024000,"Powiat szamotulski",2015,2113
"7949",3025000,"Powiat średzki",2015,2715
"7950",3026000,"Powiat śremski",2015,1200
"7951",3027000,"Powiat turecki",2015,0
"7952",3028000,"Powiat wągrowiecki",2015,1952
"7953",3029000,"Powiat wolsztyński",2015,1498
"7954",3030000,"Powiat wrzesiński",2015,1816
"7955",3031000,"Powiat złotowski",2015,2007
"7956",3061000,"Powiat m.Kalisz",2015,1885
"7957",3062000,"Powiat m.Konin",2015,2710
"7958",3063000,"Powiat m.Leszno",2015,2919
"7959",3064000,"Powiat m.Poznań",2015,4588
"7960",3201000,"Powiat białogardzki",2015,1493
"7961",3202000,"Powiat choszczeński",2015,1830
"7962",3203000,"Powiat drawski",2015,1785
"7963",3204000,"Powiat goleniowski",2015,2291
"7964",3205000,"Powiat gryficki",2015,2635
"7965",3206000,"Powiat gryfiński",2015,1520
"7966",3207000,"Powiat kamieński",2015,2992
"7967",3208000,"Powiat kołobrzeski",2015,3768
"7968",3209000,"Powiat koszaliński",2015,2046
"7969",3210000,"Powiat myśliborski",2015,2039
"7970",3211000,"Powiat policki",2015,3900
