"","Kod","Nazwa","rok","POJAZDY_CTAB_samochody_cieZarowe_o_ladownosci_10_ton_i_wiekszej_szt"
"32204",1808000,"Powiat leżajski",1999,NA
"32205",1809000,"Powiat lubaczowski",1999,NA
"32206",1810000,"Powiat łańcucki",1999,NA
"32207",1811000,"Powiat mielecki",1999,NA
"32208",1812000,"Powiat niżański",1999,NA
"32209",1813000,"Powiat przemyski",1999,NA
"32210",1814000,"Powiat przeworski",1999,NA
"32211",1815000,"Powiat ropczycko-sędziszowski",1999,NA
"32212",1816000,"Powiat rzeszowski",1999,NA
"32213",1817000,"Powiat sanocki",1999,NA
"32214",1818000,"Powiat stalowowolski",1999,NA
"32215",1819000,"Powiat strzyżowski",1999,NA
"32216",1820000,"Powiat tarnobrzeski",1999,NA
"32217",1821000,"Powiat leski",1999,NA
"32218",1861000,"Powiat m.Krosno",1999,NA
"32219",1862000,"Powiat m.Przemyśl",1999,NA
"32220",1863000,"Powiat m.Rzeszów",1999,NA
"32221",1864000,"Powiat m.Tarnobrzeg",1999,NA
"32222",2001000,"Powiat augustowski",1999,NA
"32223",2002000,"Powiat białostocki",1999,NA
"32224",2003000,"Powiat bielski",1999,NA
"32225",2004000,"Powiat grajewski",1999,NA
"32226",2005000,"Powiat hajnowski",1999,NA
"32227",2006000,"Powiat kolneński",1999,NA
"32228",2007000,"Powiat łomżyński",1999,NA
"32229",2008000,"Powiat moniecki",1999,NA
"32230",2009000,"Powiat sejneński",1999,NA
"32231",2010000,"Powiat siemiatycki",1999,NA
"32232",2011000,"Powiat sokólski",1999,NA
"32233",2012000,"Powiat suwalski",1999,NA
"32234",2013000,"Powiat wysokomazowiecki",1999,NA
"32235",2014000,"Powiat zambrowski",1999,NA
"32236",2061000,"Powiat m.Białystok",1999,NA
"32237",2062000,"Powiat m.Łomża",1999,NA
"32238",2063000,"Powiat m.Suwałki",1999,NA
"32239",2201000,"Powiat bytowski",1999,NA
"32240",2202000,"Powiat chojnicki",1999,NA
"32241",2203000,"Powiat człuchowski",1999,NA
"32242",2204000,"Powiat gdański",1999,NA
"32243",2205000,"Powiat kartuski",1999,NA
"32244",2206000,"Powiat kościerski",1999,NA
"32245",2207000,"Powiat kwidzyński",1999,NA
"32246",2208000,"Powiat lęborski",1999,NA
"32247",2209000,"Powiat malborski",1999,NA
"32248",2210000,"Powiat nowodworski",1999,NA
"32249",2211000,"Powiat pucki",1999,NA
"32250",2212000,"Powiat słupski",1999,NA
"32251",2213000,"Powiat starogardzki",1999,NA
"32252",2214000,"Powiat tczewski",1999,NA
"32253",2215000,"Powiat wejherowski",1999,NA
"32254",2216000,"Powiat sztumski",1999,NA
"32255",2261000,"Powiat m.Gdańsk",1999,NA
"32256",2262000,"Powiat m.Gdynia",1999,NA
"32257",2263000,"Powiat m.Słupsk",1999,NA
"32258",2264000,"Powiat m.Sopot",1999,NA
"32259",2401000,"Powiat będziński",1999,NA
"32260",2402000,"Powiat bielski",1999,NA
"32261",2403000,"Powiat cieszyński",1999,NA
"32262",2404000,"Powiat częstochowski",1999,NA
"32263",2405000,"Powiat gliwicki",1999,NA
"32264",2406000,"Powiat kłobucki",1999,NA
"32265",2407000,"Powiat lubliniecki",1999,NA
"32266",2408000,"Powiat mikołowski",1999,NA
"32267",2409000,"Powiat myszkowski",1999,NA
"32268",2410000,"Powiat pszczyński",1999,NA
"32269",2411000,"Powiat raciborski",1999,NA
"32270",2412000,"Powiat rybnicki",1999,NA
"32271",2413000,"Powiat tarnogórski",1999,NA
"32272",2414000,"Powiat bieruńsko-lędziński",1999,NA
"32273",2415000,"Powiat wodzisławski",1999,NA
"32274",2416000,"Powiat zawierciański",1999,NA
"32275",2417000,"Powiat żywiecki",1999,NA
"32276",2461000,"Powiat m.Bielsko-Biała",1999,NA
"32277",2462000,"Powiat m.Bytom",1999,NA
"32278",2463000,"Powiat m.Chorzów",1999,NA
"32279",2464000,"Powiat m.Częstochowa",1999,NA
"32280",2465000,"Powiat m.Dąbrowa Górnicza",1999,NA
"32281",2466000,"Powiat m.Gliwice",1999,NA
"32282",2467000,"Powiat m.Jastrzębie-Zdrój",1999,NA
"32283",2468000,"Powiat m.Jaworzno",1999,NA
"32284",2469000,"Powiat m.Katowice",1999,NA
"32285",2470000,"Powiat m.Mysłowice",1999,NA
"32286",2471000,"Powiat m.Piekary Śląskie",1999,NA
"32287",2472000,"Powiat m.Ruda Śląska",1999,NA
"32288",2473000,"Powiat m.Rybnik",1999,NA
"32289",2474000,"Powiat m.Siemianowice Śląskie",1999,NA
"32290",2475000,"Powiat m.Sosnowiec",1999,NA
"32291",2476000,"Powiat m.Świętochłowice",1999,NA
"32292",2477000,"Powiat m.Tychy",1999,NA
"32293",2478000,"Powiat m.Zabrze",1999,NA
"32294",2479000,"Powiat m.Żory",1999,NA
"32295",2601000,"Powiat buski",1999,NA
"32296",2602000,"Powiat jędrzejowski",1999,NA
"32297",2603000,"Powiat kazimierski",1999,NA
"32298",2604000,"Powiat kielecki",1999,NA
"32299",2605000,"Powiat konecki",1999,NA
"32300",2606000,"Powiat opatowski",1999,NA
"32301",2607000,"Powiat ostrowiecki",1999,NA
"32302",2608000,"Powiat pińczowski",1999,NA
"32303",2609000,"Powiat sandomierski",1999,NA
"32304",2610000,"Powiat skarżyski",1999,NA
"32305",2611000,"Powiat starachowicki",1999,NA
"32306",2612000,"Powiat staszowski",1999,NA
"32307",2613000,"Powiat włoszczowski",1999,NA
"32308",2661000,"Powiat m.Kielce",1999,NA
"32309",2801000,"Powiat bartoszycki",1999,NA
"32310",2802000,"Powiat braniewski",1999,NA
"32311",2803000,"Powiat działdowski",1999,NA
"32312",2804000,"Powiat elbląski",1999,NA
"32313",2805000,"Powiat ełcki",1999,NA
"32314",2806000,"Powiat giżycki",1999,NA
"32315",2807000,"Powiat iławski",1999,NA
"32316",2808000,"Powiat kętrzyński",1999,NA
"32317",2809000,"Powiat lidzbarski",1999,NA
"32318",2810000,"Powiat mrągowski",1999,NA
"32319",2811000,"Powiat nidzicki",1999,NA
"32320",2812000,"Powiat nowomiejski",1999,NA
"32321",2813000,"Powiat olecki",1999,NA
"32322",2814000,"Powiat olsztyński",1999,NA
"32323",2815000,"Powiat ostródzki",1999,NA
"32324",2816000,"Powiat piski",1999,NA
"32325",2817000,"Powiat szczycieński",1999,NA
"32326",2818000,"Powiat gołdapski",1999,NA
"32327",2819000,"Powiat węgorzewski",1999,NA
"32328",2861000,"Powiat m.Elbląg",1999,NA
"32329",2862000,"Powiat m.Olsztyn",1999,NA
"32330",3001000,"Powiat chodzieski",1999,NA
"32331",3002000,"Powiat czarnkowsko-trzcianecki",1999,NA
"32332",3003000,"Powiat gnieźnieński",1999,NA
"32333",3004000,"Powiat gostyński",1999,NA
"32334",3005000,"Powiat grodziski",1999,NA
"32335",3006000,"Powiat jarociński",1999,NA
"32336",3007000,"Powiat kaliski",1999,NA
"32337",3008000,"Powiat kępiński",1999,NA
"32338",3009000,"Powiat kolski",1999,NA
"32339",3010000,"Powiat koniński",1999,NA
"32340",3011000,"Powiat kościański",1999,NA
"32341",3012000,"Powiat krotoszyński",1999,NA
"32342",3013000,"Powiat leszczyński",1999,NA
"32343",3014000,"Powiat międzychodzki",1999,NA
"32344",3015000,"Powiat nowotomyski",1999,NA
"32345",3016000,"Powiat obornicki",1999,NA
"32346",3017000,"Powiat ostrowski",1999,NA
"32347",3018000,"Powiat ostrzeszowski",1999,NA
"32348",3019000,"Powiat pilski",1999,NA
"32349",3020000,"Powiat pleszewski",1999,NA
"32350",3021000,"Powiat poznański",1999,NA
"32351",3022000,"Powiat rawicki",1999,NA
"32352",3023000,"Powiat słupecki",1999,NA
"32353",3024000,"Powiat szamotulski",1999,NA
"32354",3025000,"Powiat średzki",1999,NA
"32355",3026000,"Powiat śremski",1999,NA
"32356",3027000,"Powiat turecki",1999,NA
"32357",3028000,"Powiat wągrowiecki",1999,NA
"32358",3029000,"Powiat wolsztyński",1999,NA
"32359",3030000,"Powiat wrzesiński",1999,NA
"32360",3031000,"Powiat złotowski",1999,NA
"32361",3061000,"Powiat m.Kalisz",1999,NA
"32362",3062000,"Powiat m.Konin",1999,NA
"32363",3063000,"Powiat m.Leszno",1999,NA
"32364",3064000,"Powiat m.Poznań",1999,NA
"32365",3201000,"Powiat białogardzki",1999,NA
"32366",3202000,"Powiat choszczeński",1999,NA
"32367",3203000,"Powiat drawski",1999,NA
"32368",3204000,"Powiat goleniowski",1999,NA
"32369",3205000,"Powiat gryficki",1999,NA
"32370",3206000,"Powiat gryfiński",1999,NA
"32371",3207000,"Powiat kamieński",1999,NA
"32372",3208000,"Powiat kołobrzeski",1999,NA
"32373",3209000,"Powiat koszaliński",1999,NA
"32374",3210000,"Powiat myśliborski",1999,NA
"32375",3211000,"Powiat policki",1999,NA
"32376",3212000,"Powiat pyrzycki",1999,NA
"32377",3213000,"Powiat sławieński",1999,NA
"32378",3214000,"Powiat stargardzki",1999,NA
"32379",3215000,"Powiat szczecinecki",1999,NA
"32380",3216000,"Powiat świdwiński",1999,NA
"32381",3217000,"Powiat wałecki",1999,NA
"32382",3218000,"Powiat łobeski",1999,NA
"32383",3261000,"Powiat m.Koszalin",1999,NA
"32384",3262000,"Powiat m.Szczecin",1999,NA
"32385",3263000,"Powiat m.Świnoujście",1999,NA
"32386",201000,"Powiat bolesławiecki",2000,NA
"32387",202000,"Powiat dzierżoniowski",2000,NA
"32388",203000,"Powiat głogowski",2000,NA
"32389",204000,"Powiat górowski",2000,NA
"32390",205000,"Powiat jaworski",2000,NA
"32391",206000,"Powiat jeleniogórski",2000,NA
"32392",207000,"Powiat kamiennogórski",2000,NA
"32393",208000,"Powiat kłodzki",2000,NA
"32394",209000,"Powiat legnicki",2000,NA
"32395",210000,"Powiat lubański",2000,NA
"32396",211000,"Powiat lubiński",2000,NA
"32397",212000,"Powiat lwówecki",2000,NA
"32398",213000,"Powiat milicki",2000,NA
"32399",214000,"Powiat oleśnicki",2000,NA
"32400",215000,"Powiat oławski",2000,NA
"32401",216000,"Powiat polkowicki",2000,NA
"32402",217000,"Powiat strzeliński",2000,NA
"32403",218000,"Powiat średzki",2000,NA
"32404",219000,"Powiat świdnicki",2000,NA
"32405",220000,"Powiat trzebnicki",2000,NA
"32406",221000,"Powiat wałbrzyski",2000,NA
"32407",222000,"Powiat wołowski",2000,NA
"32408",223000,"Powiat wrocławski",2000,NA
"32409",224000,"Powiat ząbkowicki",2000,NA
"32410",225000,"Powiat zgorzelecki",2000,NA
"32411",226000,"Powiat złotoryjski",2000,NA
"32412",261000,"Powiat m.Jelenia Góra",2000,NA
"32413",262000,"Powiat m.Legnica",2000,NA
"32414",263000,"Powiat m.Wałbrzych do 2002",2000,NA
"32415",264000,"Powiat m.Wrocław",2000,NA
"32416",265000,"Powiat m.Wałbrzych od 2013",2000,NA
"32417",401000,"Powiat aleksandrowski",2000,NA
"32418",402000,"Powiat brodnicki",2000,NA
"32419",403000,"Powiat bydgoski",2000,NA
"32420",404000,"Powiat chełmiński",2000,NA
"32421",405000,"Powiat golubsko-dobrzyński",2000,NA
"32422",406000,"Powiat grudziądzki",2000,NA
"32423",407000,"Powiat inowrocławski",2000,NA
"32424",408000,"Powiat lipnowski",2000,NA
"32425",409000,"Powiat mogileński",2000,NA
"32426",410000,"Powiat nakielski",2000,NA
"32427",411000,"Powiat radziejowski",2000,NA
"32428",412000,"Powiat rypiński",2000,NA
"32429",413000,"Powiat sępoleński",2000,NA
"32430",414000,"Powiat świecki",2000,NA
"32431",415000,"Powiat toruński",2000,NA
"32432",416000,"Powiat tucholski",2000,NA
"32433",417000,"Powiat wąbrzeski",2000,NA
"32434",418000,"Powiat włocławski",2000,NA
"32435",419000,"Powiat żniński",2000,NA
"32436",461000,"Powiat m.Bydgoszcz",2000,NA
"32437",462000,"Powiat m.Grudziądz",2000,NA
"32438",463000,"Powiat m.Toruń",2000,NA
"32439",464000,"Powiat m.Włocławek",2000,NA
"32440",601000,"Powiat bialski",2000,NA
"32441",602000,"Powiat biłgorajski",2000,NA
"32442",603000,"Powiat chełmski",2000,NA
"32443",604000,"Powiat hrubieszowski",2000,NA
"32444",605000,"Powiat janowski",2000,NA
"32445",606000,"Powiat krasnostawski",2000,NA
"32446",607000,"Powiat kraśnicki",2000,NA
"32447",608000,"Powiat lubartowski",2000,NA
"32448",609000,"Powiat lubelski",2000,NA
"32449",610000,"Powiat łęczyński",2000,NA
"32450",611000,"Powiat łukowski",2000,NA
"32451",612000,"Powiat opolski",2000,NA
