"","Kod","Nazwa","rok","Liczba_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_ogolem_od_80_m2_szt"
"7813",1861000,"Powiat m.Krosno",2015,3
"7814",1862000,"Powiat m.Przemyśl",2015,15
"7815",1863000,"Powiat m.Rzeszów",2015,57
"7816",1864000,"Powiat m.Tarnobrzeg",2015,3
"7817",2001000,"Powiat augustowski",2015,7
"7818",2002000,"Powiat białostocki",2015,8
"7819",2003000,"Powiat bielski",2015,0
"7820",2004000,"Powiat grajewski",2015,0
"7821",2005000,"Powiat hajnowski",2015,0
"7822",2006000,"Powiat kolneński",2015,0
"7823",2007000,"Powiat łomżyński",2015,0
"7824",2008000,"Powiat moniecki",2015,0
"7825",2009000,"Powiat sejneński",2015,0
"7826",2010000,"Powiat siemiatycki",2015,0
"7827",2011000,"Powiat sokólski",2015,0
"7828",2012000,"Powiat suwalski",2015,0
"7829",2013000,"Powiat wysokomazowiecki",2015,0
"7830",2014000,"Powiat zambrowski",2015,3
"7831",2061000,"Powiat m.Białystok",2015,105
"7832",2062000,"Powiat m.Łomża",2015,13
"7833",2063000,"Powiat m.Suwałki",2015,7
"7834",2201000,"Powiat bytowski",2015,8
"7835",2202000,"Powiat chojnicki",2015,8
"7836",2203000,"Powiat człuchowski",2015,8
"7837",2204000,"Powiat gdański",2015,25
"7838",2205000,"Powiat kartuski",2015,42
"7839",2206000,"Powiat kościerski",2015,0
"7840",2207000,"Powiat kwidzyński",2015,18
"7841",2208000,"Powiat lęborski",2015,30
"7842",2209000,"Powiat malborski",2015,12
"7843",2210000,"Powiat nowodworski",2015,0
"7844",2211000,"Powiat pucki",2015,36
"7845",2212000,"Powiat słupski",2015,11
"7846",2213000,"Powiat starogardzki",2015,9
"7847",2214000,"Powiat tczewski",2015,41
"7848",2215000,"Powiat wejherowski",2015,66
"7849",2216000,"Powiat sztumski",2015,0
"7850",2261000,"Powiat m.Gdańsk",2015,476
"7851",2262000,"Powiat m.Gdynia",2015,262
"7852",2263000,"Powiat m.Słupsk",2015,60
"7853",2264000,"Powiat m.Sopot",2015,85
"7854",2401000,"Powiat będziński",2015,8
"7855",2402000,"Powiat bielski",2015,28
"7856",2403000,"Powiat cieszyński",2015,47
"7857",2404000,"Powiat częstochowski",2015,0
"7858",2405000,"Powiat gliwicki",2015,16
"7859",2406000,"Powiat kłobucki",2015,0
"7860",2407000,"Powiat lubliniecki",2015,8
"7861",2408000,"Powiat mikołowski",2015,13
"7862",2409000,"Powiat myszkowski",2015,0
"7863",2410000,"Powiat pszczyński",2015,15
"7864",2411000,"Powiat raciborski",2015,30
"7865",2412000,"Powiat rybnicki",2015,0
"7866",2413000,"Powiat tarnogórski",2015,18
"7867",2414000,"Powiat bieruńsko-lędziński",2015,3
"7868",2415000,"Powiat wodzisławski",2015,0
"7869",2416000,"Powiat zawierciański",2015,0
"7870",2417000,"Powiat żywiecki",2015,3
"7871",2461000,"Powiat m.Bielsko-Biała",2015,75
"7872",2462000,"Powiat m.Bytom",2015,80
"7873",2463000,"Powiat m.Chorzów",2015,28
"7874",2464000,"Powiat m.Częstochowa",2015,25
"7875",2465000,"Powiat m.Dąbrowa Górnicza",2015,6
"7876",2466000,"Powiat m.Gliwice",2015,117
