"","Kod","Nazwa","rok","Budownictwo_mieszkaniowe_wskazniki_mieszkania_na_10_tys_ludnosci"
"236",2202000,"Powiat chojnicki",2002,17.7
"237",2203000,"Powiat człuchowski",2002,9.5
"238",2204000,"Powiat gdański",2002,64.3
"239",2205000,"Powiat kartuski",2002,42.5
"240",2206000,"Powiat kościerski",2002,18.5
"241",2207000,"Powiat kwidzyński",2002,19.4
"242",2208000,"Powiat lęborski",2002,16.2
"243",2209000,"Powiat malborski",2002,19.3
"244",2210000,"Powiat nowodworski",2002,16.3
"245",2211000,"Powiat pucki",2002,52
"246",2212000,"Powiat słupski",2002,10.6
"247",2213000,"Powiat starogardzki",2002,34.6
"248",2214000,"Powiat tczewski",2002,7.2
"249",2215000,"Powiat wejherowski",2002,50.9
"250",2216000,"Powiat sztumski",2002,12.9
"251",2261000,"Powiat m.Gdańsk",2002,63.7
"252",2262000,"Powiat m.Gdynia",2002,52.6
"253",2263000,"Powiat m.Słupsk",2002,23.3
"254",2264000,"Powiat m.Sopot",2002,42.3
"255",2401000,"Powiat będziński",2002,10.1
"256",2402000,"Powiat bielski",2002,36.8
"257",2403000,"Powiat cieszyński",2002,54.8
"258",2404000,"Powiat częstochowski",2002,23.7
"259",2405000,"Powiat gliwicki",2002,7.5
"260",2406000,"Powiat kłobucki",2002,13.3
"261",2407000,"Powiat lubliniecki",2002,16.6
"262",2408000,"Powiat mikołowski",2002,29.8
"263",2409000,"Powiat myszkowski",2002,23
"264",2410000,"Powiat pszczyński",2002,27.4
"265",2411000,"Powiat raciborski",2002,10.5
"266",2412000,"Powiat rybnicki",2002,13.4
"267",2413000,"Powiat tarnogórski",2002,12.7
"268",2414000,"Powiat bieruńsko-lędziński",2002,18
"269",2415000,"Powiat wodzisławski",2002,16.2
"270",2416000,"Powiat zawierciański",2002,16.4
"271",2417000,"Powiat żywiecki",2002,27.3
"272",2461000,"Powiat m.Bielsko-Biała",2002,42.5
"273",2462000,"Powiat m.Bytom",2002,3.8
"274",2463000,"Powiat m.Chorzów",2002,2
"275",2464000,"Powiat m.Częstochowa",2002,20.7
"276",2465000,"Powiat m.Dąbrowa Górnicza",2002,6.1
"277",2466000,"Powiat m.Gliwice",2002,13
"278",2467000,"Powiat m.Jastrzębie-Zdrój",2002,19.9
"279",2468000,"Powiat m.Jaworzno",2002,14.9
"280",2469000,"Powiat m.Katowice",2002,8.8
"281",2470000,"Powiat m.Mysłowice",2002,9.5
"282",2471000,"Powiat m.Piekary Śląskie",2002,4.3
"283",2472000,"Powiat m.Ruda Śląska",2002,5.7
"284",2473000,"Powiat m.Rybnik",2002,11.8
"285",2474000,"Powiat m.Siemianowice Śląskie",2002,9.7
"286",2475000,"Powiat m.Sosnowiec",2002,3.5
"287",2476000,"Powiat m.Świętochłowice",2002,1.2
"288",2477000,"Powiat m.Tychy",2002,13.9
"289",2478000,"Powiat m.Zabrze",2002,3.5
"290",2479000,"Powiat m.Żory",2002,23.5
"291",2601000,"Powiat buski",2002,15.7
"292",2602000,"Powiat jędrzejowski",2002,8.9
"293",2603000,"Powiat kazimierski",2002,3.3
"294",2604000,"Powiat kielecki",2002,34.8
"295",2605000,"Powiat konecki",2002,15.4
"296",2606000,"Powiat opatowski",2002,20.8
"297",2607000,"Powiat ostrowiecki",2002,17.1
"298",2608000,"Powiat pińczowski",2002,8.1
"299",2609000,"Powiat sandomierski",2002,11.1
"300",2610000,"Powiat skarżyski",2002,14.5
"301",2611000,"Powiat starachowicki",2002,7.9
"302",2612000,"Powiat staszowski",2002,10.8
"303",2613000,"Powiat włoszczowski",2002,9.2
"304",2661000,"Powiat m.Kielce",2002,45.4
"305",2801000,"Powiat bartoszycki",2002,16
"306",2802000,"Powiat braniewski",2002,16.6
"307",2803000,"Powiat działdowski",2002,14.3
"308",2804000,"Powiat elbląski",2002,11
"309",2805000,"Powiat ełcki",2002,25.7
"310",2806000,"Powiat giżycki",2002,16.7
"311",2807000,"Powiat iławski",2002,18.6
"312",2808000,"Powiat kętrzyński",2002,10.5
"313",2809000,"Powiat lidzbarski",2002,4.8
"314",2810000,"Powiat mrągowski",2002,21.4
"315",2811000,"Powiat nidzicki",2002,11.5
"316",2812000,"Powiat nowomiejski",2002,18.7
"317",2813000,"Powiat olecki",2002,10.8
"318",2814000,"Powiat olsztyński",2002,20.3
"319",2815000,"Powiat ostródzki",2002,13.5
"320",2816000,"Powiat piski",2002,15.4
"321",2817000,"Powiat szczycieński",2002,15.4
"322",2818000,"Powiat gołdapski",2002,6.6
"323",2819000,"Powiat węgorzewski",2002,12.9
"324",2861000,"Powiat m.Elbląg",2002,18.4
"325",2862000,"Powiat m.Olsztyn",2002,52.7
"326",3001000,"Powiat chodzieski",2002,6.6
"327",3002000,"Powiat czarnkowsko-trzcianecki",2002,17.1
"328",3003000,"Powiat gnieźnieński",2002,19.4
"329",3004000,"Powiat gostyński",2002,1.7
"330",3005000,"Powiat grodziski",2002,19
"331",3006000,"Powiat jarociński",2002,16.6
"332",3007000,"Powiat kaliski",2002,15.2
"333",3008000,"Powiat kępiński",2002,20.4
"334",3009000,"Powiat kolski",2002,30.2
"335",3010000,"Powiat koniński",2002,17.6
"336",3011000,"Powiat kościański",2002,14.7
"337",3012000,"Powiat krotoszyński",2002,17
"338",3013000,"Powiat leszczyński",2002,10.5
"339",3014000,"Powiat międzychodzki",2002,19.6
"340",3015000,"Powiat nowotomyski",2002,16.5
"341",3016000,"Powiat obornicki",2002,18.3
"342",3017000,"Powiat ostrowski",2002,27.8
"343",3018000,"Powiat ostrzeszowski",2002,25.4
"344",3019000,"Powiat pilski",2002,23.9
"345",3020000,"Powiat pleszewski",2002,11.7
"346",3021000,"Powiat poznański",2002,70.7
"347",3022000,"Powiat rawicki",2002,12.9
"348",3023000,"Powiat słupecki",2002,18.6
"349",3024000,"Powiat szamotulski",2002,7.3
"350",3025000,"Powiat średzki",2002,5.9
"351",3026000,"Powiat śremski",2002,11.7
"352",3027000,"Powiat turecki",2002,14.8
"353",3028000,"Powiat wągrowiecki",2002,11.9
"354",3029000,"Powiat wolsztyński",2002,15.4
"355",3030000,"Powiat wrzesiński",2002,19.8
"356",3031000,"Powiat złotowski",2002,15
"357",3061000,"Powiat m.Kalisz",2002,37.5
"358",3062000,"Powiat m.Konin",2002,24.1
"359",3063000,"Powiat m.Leszno",2002,21.8
"360",3064000,"Powiat m.Poznań",2002,50
"361",3201000,"Powiat białogardzki",2002,12.4
"362",3202000,"Powiat choszczeński",2002,19.4
"363",3203000,"Powiat drawski",2002,6.5
"364",3204000,"Powiat goleniowski",2002,21.1
"365",3205000,"Powiat gryficki",2002,11.8
"366",3206000,"Powiat gryfiński",2002,11.8
"367",3207000,"Powiat kamieński",2002,31.2
"368",3208000,"Powiat kołobrzeski",2002,43.8
"369",3209000,"Powiat koszaliński",2002,6.7
"370",3210000,"Powiat myśliborski",2002,9.7
"371",3211000,"Powiat policki",2002,53.4
"372",3212000,"Powiat pyrzycki",2002,15.9
"373",3213000,"Powiat sławieński",2002,9.2
"374",3214000,"Powiat stargardzki",2002,16.9
"375",3215000,"Powiat szczecinecki",2002,3.5
"376",3216000,"Powiat świdwiński",2002,10.3
"377",3217000,"Powiat wałecki",2002,20.4
"378",3218000,"Powiat łobeski",2002,3.4
"379",3261000,"Powiat m.Koszalin",2002,53.5
"380",3262000,"Powiat m.Szczecin",2002,45.8
"381",3263000,"Powiat m.Świnoujście",2002,38.6
"382",201000,"Powiat bolesławiecki",2003,49.2
"383",202000,"Powiat dzierżoniowski",2003,26.9
"384",203000,"Powiat głogowski",2003,32.6
"385",204000,"Powiat górowski",2003,8.2
"386",205000,"Powiat jaworski",2003,14.9
"387",206000,"Powiat jeleniogórski",2003,22.8
"388",207000,"Powiat kamiennogórski",2003,24.6
"389",208000,"Powiat kłodzki",2003,19.2
"390",209000,"Powiat legnicki",2003,42.5
"391",210000,"Powiat lubański",2003,25.6
"392",211000,"Powiat lubiński",2003,33.1
"393",212000,"Powiat lwówecki",2003,35
"394",213000,"Powiat milicki",2003,33
"395",214000,"Powiat oleśnicki",2003,36.3
"396",215000,"Powiat oławski",2003,35.9
"397",216000,"Powiat polkowicki",2003,20.6
"398",217000,"Powiat strzeliński",2003,24.9
"399",218000,"Powiat średzki",2003,33
"400",219000,"Powiat świdnicki",2003,20.3
"401",220000,"Powiat trzebnicki",2003,64.2
