"","Kod","Nazwa","rok","Wydatki_powiatow_ogolem_ogolem_zl"
"227",2410000,"Powiat pszczyński",1999,1.46262319298649e-316
"228",2411000,"Powiat raciborski",1999,2.96381883204228e-316
"229",2412000,"Powiat rybnicki",1999,5.20802650551285e-317
"230",2413000,"Powiat tarnogórski",1999,3.22867304746748e-316
"231",2414000,"Powiat bieruńsko-lędziński",1999,4.22836152273749e-317
"232",2415000,"Powiat wodzisławski",1999,2.45124281915334e-316
"233",2416000,"Powiat zawierciański",1999,2.40801854740219e-316
"234",2417000,"Powiat żywiecki",1999,2.87697864270253e-316
"235",2601000,"Powiat buski",1999,1.80944052754166e-316
"236",2602000,"Powiat jędrzejowski",1999,1.85953157067153e-316
"237",2603000,"Powiat kazimierski",1999,8.13360855968563e-317
"238",2604000,"Powiat kielecki",1999,1.66996544987472e-316
"239",2605000,"Powiat konecki",1999,1.51056549521604e-316
"240",2606000,"Powiat opatowski",1999,1.50403928328699e-316
"241",2607000,"Powiat ostrowiecki",1999,2.54632980403378e-316
"242",2608000,"Powiat pińczowski",1999,1.65198897016392e-316
"243",2609000,"Powiat sandomierski",1999,1.76031933527457e-316
"244",2610000,"Powiat skarżyski",1999,2.00249756797229e-316
"245",2611000,"Powiat starachowicki",1999,2.81302021443175e-316
"246",2612000,"Powiat staszowski",1999,1.09207020370665e-316
"247",2613000,"Powiat włoszczowski",1999,8.27424088731482e-317
"248",2801000,"Powiat bartoszycki",1999,1.41793036050965e-316
"249",2802000,"Powiat braniewski",1999,1.09350417983714e-316
"250",2803000,"Powiat działdowski",1999,1.11432346386755e-316
"251",2804000,"Powiat elbląski",1999,9.92532280235953e-317
"252",2805000,"Powiat ełcki",1999,2.32207296272736e-316
"253",2806000,"Powiat giżycki",1999,2.12268955992143e-316
"254",2807000,"Powiat iławski",1999,1.70610981032753e-316
"255",2808000,"Powiat kętrzyński",1999,1.76061024112684e-316
"256",2809000,"Powiat lidzbarski",1999,1.04979389571018e-316
"257",2810000,"Powiat mrągowski",1999,1.25596912013636e-316
"258",2811000,"Powiat nidzicki",1999,6.88280232673518e-317
"259",2812000,"Powiat nowomiejski",1999,6.9242430709114e-317
"260",2813000,"Powiat olecki",1999,1.44671739180398e-316
"261",2814000,"Powiat olsztyński",1999,1.73639687432919e-316
"262",2815000,"Powiat ostródzki",1999,2.10828611355478e-316
"263",2816000,"Powiat piski",1999,1.11242462137089e-316
"264",2817000,"Powiat szczycieński",1999,1.35091440698958e-316
"265",2818000,"Powiat gołdapski",1999,0
"266",2819000,"Powiat węgorzewski",1999,0
"267",3001000,"Powiat chodzieski",1999,9.77528494703046e-317
"268",3002000,"Powiat czarnkowsko-trzcianecki",1999,1.85050538657453e-316
"269",3003000,"Powiat gnieźnieński",1999,2.83345891969517e-316
"270",3004000,"Powiat gostyński",1999,1.28106029336697e-316
"271",3005000,"Powiat grodziski",1999,6.7512267164599e-317
"272",3006000,"Powiat jarociński",1999,1.23018694669348e-316
"273",3007000,"Powiat kaliski",1999,6.07788045784353e-317
"274",3008000,"Powiat kępiński",1999,1.02444684588159e-316
"275",3009000,"Powiat kolski",1999,1.72002536686891e-316
"276",3010000,"Powiat koniński",1999,8.73796447964801e-317
"277",3011000,"Powiat kościański",1999,1.07756779599114e-316
"278",3012000,"Powiat krotoszyński",1999,1.58364867368017e-316
"279",3013000,"Powiat leszczyński",1999,4.39900636208896e-317
"280",3014000,"Powiat międzychodzki",1999,9.72355133325442e-317
"281",3015000,"Powiat nowotomyski",1999,1.03009786992559e-316
"282",3016000,"Powiat obornicki",1999,8.9116898183013e-317
"283",3017000,"Powiat ostrowski",1999,2.92950182278718e-316
"284",3018000,"Powiat ostrzeszowski",1999,1.281017853128e-316
"285",3019000,"Powiat pilski",1999,3.19558779327403e-316
"286",3020000,"Powiat pleszewski",1999,1.49685319728136e-316
"287",3021000,"Powiat poznański",1999,1.73906927540755e-316
"288",3022000,"Powiat rawicki",1999,1.07576406113131e-316
"289",3023000,"Powiat słupecki",1999,1.378256049237e-316
"290",3024000,"Powiat szamotulski",1999,1.59009469875489e-316
"291",3025000,"Powiat średzki",1999,8.88292383420348e-317
"292",3026000,"Powiat śremski",1999,1.11088244486396e-316
"293",3027000,"Powiat turecki",1999,1.52252954186291e-316
"294",3028000,"Powiat wągrowiecki",1999,1.21253160965247e-316
"295",3029000,"Powiat wolsztyński",1999,9.89003119921145e-317
"296",3030000,"Powiat wrzesiński",1999,1.24308640782762e-316
"297",3031000,"Powiat złotowski",1999,1.29952609569342e-316
"298",3201000,"Powiat białogardzki",1999,1.63180045974355e-316
"299",3202000,"Powiat choszczeński",1999,1.0466799975707e-316
"300",3203000,"Powiat drawski",1999,1.21691856674159e-316
"301",3204000,"Powiat goleniowski",1999,1.62164765775434e-316
"302",3205000,"Powiat gryficki",1999,1.82498546317645e-316
"303",3206000,"Powiat gryfiński",1999,1.86914979363194e-316
"304",3207000,"Powiat kamieński",1999,1.08112358644426e-316
"305",3208000,"Powiat kołobrzeski",1999,1.72093711561174e-316
"306",3209000,"Powiat koszaliński",1999,1.38383385275229e-316
"307",3210000,"Powiat myśliborski",1999,1.72961784900917e-316
"308",3211000,"Powiat policki",1999,1.29466498380399e-316
"309",3212000,"Powiat pyrzycki",1999,8.2929778328677e-317
"310",3213000,"Powiat sławieński",1999,1.2742145197782e-316
"311",3214000,"Powiat stargardzki",1999,3.20103338482249e-316
"312",3215000,"Powiat szczecinecki",1999,1.81952085010063e-316
"313",3216000,"Powiat świdwiński",1999,1.04865082543196e-316
"314",3217000,"Powiat wałecki",1999,9.78135009689881e-317
"315",3218000,"Powiat łobeski",1999,0
"316",201000,"Powiat bolesławiecki",2000,1.89323267769252e-316
"317",202000,"Powiat dzierżoniowski",2000,2.5810323821189e-316
"318",203000,"Powiat głogowski",2000,2.87246411786365e-316
"319",204000,"Powiat górowski",2000,1.07095532020033e-316
"320",205000,"Powiat jaworski",2000,1.72051399779264e-316
"321",206000,"Powiat jeleniogórski",2000,1.63262703156904e-316
"322",207000,"Powiat kamiennogórski",2000,1.18766326002813e-316
"323",208000,"Powiat kłodzki",2000,5.2209297215459e-316
"324",209000,"Powiat legnicki",2000,1.5751356755695e-316
"325",210000,"Powiat lubański",2000,1.62722343560048e-316
"326",211000,"Powiat lubiński",2000,2.43233388934914e-316
"327",212000,"Powiat lwówecki",2000,1.74034411299351e-316
"328",213000,"Powiat milicki",2000,2.05633041727094e-316
"329",214000,"Powiat oleśnicki",2000,2.67489927188693e-316
"330",215000,"Powiat oławski",2000,1.64243971876766e-316
"331",216000,"Powiat polkowicki",2000,1.18358736666963e-316
"332",217000,"Powiat strzeliński",2000,1.25721154701596e-316
"333",218000,"Powiat średzki",2000,1.10817086437989e-316
"334",219000,"Powiat świdnicki",2000,4.37404863598929e-316
"335",220000,"Powiat trzebnicki",2000,1.7798349282853e-316
"336",221000,"Powiat wałbrzyski",2000,9.21765775585174e-317
"337",222000,"Powiat wołowski",2000,1.42581846439146e-316
"338",223000,"Powiat wrocławski",2000,1.54383202209495e-316
"339",224000,"Powiat ząbkowicki",2000,2.41824086442777e-316
"340",225000,"Powiat zgorzelecki",2000,2.65021693797826e-316
"341",226000,"Powiat złotoryjski",2000,1.4204281093822e-316
"342",401000,"Powiat aleksandrowski",2000,1.49769671555851e-316
"343",402000,"Powiat brodnicki",2000,1.49901394397688e-316
"344",403000,"Powiat bydgoski",2000,1.14739809564962e-316
"345",404000,"Powiat chełmiński",2000,1.34233475942329e-316
"346",405000,"Powiat golubsko-dobrzyński",2000,1.00141133158362e-316
"347",406000,"Powiat grudziądzki",2000,5.92195778660685e-317
"348",407000,"Powiat inowrocławski",2000,4.36441317013783e-316
"349",408000,"Powiat lipnowski",2000,1.54624696556526e-316
"350",409000,"Powiat mogileński",2000,1.45095904418665e-316
"351",410000,"Powiat nakielski",2000,1.86085378915293e-316
"352",411000,"Powiat radziejowski",2000,1.15084489522127e-316
"353",412000,"Powiat rypiński",2000,1.06241949625683e-316
"354",413000,"Powiat sępoleński",2000,1.21462101326873e-316
"355",414000,"Powiat świecki",2000,1.8942629527838e-316
