"","Kod","Nazwa","rok","Liczba_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_ogolem_od_60_do_80_m2_szt"
"5833",1218000,"Powiat wadowicki",2015,11
"5834",1219000,"Powiat wielicki",2015,101
"5835",1261000,"Powiat m.Kraków",2015,1858
"5836",1262000,"Powiat m.Nowy Sącz",2015,66
"5837",1263000,"Powiat m.Tarnów",2015,45
"5838",1401000,"Powiat białobrzeski",2015,0
"5839",1402000,"Powiat ciechanowski",2015,50
"5840",1403000,"Powiat garwoliński",2015,0
"5841",1404000,"Powiat gostyniński",2015,10
"5842",1405000,"Powiat grodziski",2015,9
"5843",1406000,"Powiat grójecki",2015,3
"5844",1407000,"Powiat kozienicki",2015,7
"5845",1408000,"Powiat legionowski",2015,58
"5846",1409000,"Powiat lipski",2015,0
"5847",1410000,"Powiat łosicki",2015,5
"5848",1411000,"Powiat makowski",2015,0
"5849",1412000,"Powiat miński",2015,103
"5850",1413000,"Powiat mławski",2015,37
"5851",1414000,"Powiat nowodworski",2015,54
"5852",1415000,"Powiat ostrołęcki",2015,0
"5853",1416000,"Powiat ostrowski",2015,3
"5854",1417000,"Powiat otwocki",2015,36
"5855",1418000,"Powiat piaseczyński",2015,146
"5856",1419000,"Powiat płocki",2015,11
"5857",1420000,"Powiat płoński",2015,32
"5858",1421000,"Powiat pruszkowski",2015,146
"5859",1422000,"Powiat przasnyski",2015,29
"5860",1423000,"Powiat przysuski",2015,3
"5861",1424000,"Powiat pułtuski",2015,25
"5862",1425000,"Powiat radomski",2015,7
"5863",1426000,"Powiat siedlecki",2015,0
"5864",1427000,"Powiat sierpecki",2015,8
"5865",1428000,"Powiat sochaczewski",2015,20
"5866",1429000,"Powiat sokołowski",2015,22
"5867",1430000,"Powiat szydłowiecki",2015,3
"5868",1432000,"Powiat warszawski zachodni",2015,101
"5869",1433000,"Powiat węgrowski",2015,12
"5870",1434000,"Powiat wołomiński",2015,288
"5871",1435000,"Powiat wyszkowski",2015,10
"5872",1436000,"Powiat zwoleński",2015,0
"5873",1437000,"Powiat żuromiński",2015,3
"5874",1438000,"Powiat żyrardowski",2015,26
"5875",1461000,"Powiat m.Ostrołęka",2015,31
"5876",1462000,"Powiat m.Płock",2015,124
"5877",1463000,"Powiat m.Radom",2015,102
"5878",1464000,"Powiat m.Siedlce",2015,172
"5879",1465000,"Powiat m. st. Warszawa",2015,4240
"5880",1601000,"Powiat brzeski",2015,69
"5881",1602000,"Powiat głubczycki",2015,24
"5882",1603000,"Powiat kędzierzyńsko-kozielski",2015,49
"5883",1604000,"Powiat kluczborski",2015,57
"5884",1605000,"Powiat krapkowicki",2015,16
"5885",1606000,"Powiat namysłowski",2015,40
"5886",1607000,"Powiat nyski",2015,64
"5887",1608000,"Powiat oleski",2015,13
"5888",1609000,"Powiat opolski",2015,18
"5889",1610000,"Powiat prudnicki",2015,18
"5890",1611000,"Powiat strzelecki",2015,23
"5891",1661000,"Powiat m.Opole",2015,220
"5892",1801000,"Powiat bieszczadzki",2015,6
"5893",1802000,"Powiat brzozowski",2015,3
"5894",1803000,"Powiat dębicki",2015,34
"5895",1804000,"Powiat jarosławski",2015,22
"5896",1805000,"Powiat jasielski",2015,16
"5897",1806000,"Powiat kolbuszowski",2015,0
"5898",1807000,"Powiat krośnieński",2015,6
"5899",1808000,"Powiat leżajski",2015,4
"5900",1809000,"Powiat lubaczowski",2015,10
"5901",1810000,"Powiat łańcucki",2015,3
"5902",1811000,"Powiat mielecki",2015,21
"5903",1812000,"Powiat niżański",2015,8
"5904",1813000,"Powiat przemyski",2015,10
"5905",1814000,"Powiat przeworski",2015,7
"5906",1815000,"Powiat ropczycko-sędziszowski",2015,8
"5907",1816000,"Powiat rzeszowski",2015,26
"5908",1817000,"Powiat sanocki",2015,12
"5909",1818000,"Powiat stalowowolski",2015,54
"5910",1819000,"Powiat strzyżowski",2015,6
"5911",1820000,"Powiat tarnobrzeski",2015,14
"5912",1821000,"Powiat leski",2015,4
"5913",1861000,"Powiat m.Krosno",2015,38
"5914",1862000,"Powiat m.Przemyśl",2015,56
"5915",1863000,"Powiat m.Rzeszów",2015,318
"5916",1864000,"Powiat m.Tarnobrzeg",2015,34
"5917",2001000,"Powiat augustowski",2015,33
"5918",2002000,"Powiat białostocki",2015,37
"5919",2003000,"Powiat bielski",2015,0
"5920",2004000,"Powiat grajewski",2015,4
"5921",2005000,"Powiat hajnowski",2015,4
"5922",2006000,"Powiat kolneński",2015,4
"5923",2007000,"Powiat łomżyński",2015,0
"5924",2008000,"Powiat moniecki",2015,7
"5925",2009000,"Powiat sejneński",2015,5
"5926",2010000,"Powiat siemiatycki",2015,0
"5927",2011000,"Powiat sokólski",2015,14
"5928",2012000,"Powiat suwalski",2015,0
"5929",2013000,"Powiat wysokomazowiecki",2015,0
"5930",2014000,"Powiat zambrowski",2015,27
"5931",2061000,"Powiat m.Białystok",2015,383
"5932",2062000,"Powiat m.Łomża",2015,59
"5933",2063000,"Powiat m.Suwałki",2015,56
"5934",2201000,"Powiat bytowski",2015,24
"5935",2202000,"Powiat chojnicki",2015,46
"5936",2203000,"Powiat człuchowski",2015,47
"5937",2204000,"Powiat gdański",2015,127
"5938",2205000,"Powiat kartuski",2015,147
"5939",2206000,"Powiat kościerski",2015,23
"5940",2207000,"Powiat kwidzyński",2015,52
"5941",2208000,"Powiat lęborski",2015,72
"5942",2209000,"Powiat malborski",2015,35
"5943",2210000,"Powiat nowodworski",2015,16
"5944",2211000,"Powiat pucki",2015,103
"5945",2212000,"Powiat słupski",2015,57
"5946",2213000,"Powiat starogardzki",2015,33
"5947",2214000,"Powiat tczewski",2015,86
"5948",2215000,"Powiat wejherowski",2015,225
"5949",2216000,"Powiat sztumski",2015,18
"5950",2261000,"Powiat m.Gdańsk",2015,1396
"5951",2262000,"Powiat m.Gdynia",2015,542
"5952",2263000,"Powiat m.Słupsk",2015,114
"5953",2264000,"Powiat m.Sopot",2015,95
"5954",2401000,"Powiat będziński",2015,68
"5955",2402000,"Powiat bielski",2015,43
"5956",2403000,"Powiat cieszyński",2015,84
"5957",2404000,"Powiat częstochowski",2015,4
"5958",2405000,"Powiat gliwicki",2015,50
"5959",2406000,"Powiat kłobucki",2015,4
"5960",2407000,"Powiat lubliniecki",2015,12
"5961",2408000,"Powiat mikołowski",2015,48
"5962",2409000,"Powiat myszkowski",2015,5
"5963",2410000,"Powiat pszczyński",2015,32
"5964",2411000,"Powiat raciborski",2015,42
"5965",2412000,"Powiat rybnicki",2015,12
"5966",2413000,"Powiat tarnogórski",2015,62
"5967",2414000,"Powiat bieruńsko-lędziński",2015,19
"5968",2415000,"Powiat wodzisławski",2015,41
"5969",2416000,"Powiat zawierciański",2015,0
"5970",2417000,"Powiat żywiecki",2015,8
"5971",2461000,"Powiat m.Bielsko-Biała",2015,184
"5972",2462000,"Powiat m.Bytom",2015,139
"5973",2463000,"Powiat m.Chorzów",2015,51
"5974",2464000,"Powiat m.Częstochowa",2015,111
"5975",2465000,"Powiat m.Dąbrowa Górnicza",2015,80
"5976",2466000,"Powiat m.Gliwice",2015,224
"5977",2467000,"Powiat m.Jastrzębie-Zdrój",2015,29
"5978",2468000,"Powiat m.Jaworzno",2015,83
"5979",2469000,"Powiat m.Katowice",2015,236
"5980",2470000,"Powiat m.Mysłowice",2015,72
"5981",2471000,"Powiat m.Piekary Śląskie",2015,33
"5982",2472000,"Powiat m.Ruda Śląska",2015,96
"5983",2473000,"Powiat m.Rybnik",2015,34
"5984",2474000,"Powiat m.Siemianowice Śląskie",2015,58
"5985",2475000,"Powiat m.Sosnowiec",2015,101
"5986",2476000,"Powiat m.Świętochłowice",2015,101
"5987",2477000,"Powiat m.Tychy",2015,127
"5988",2478000,"Powiat m.Zabrze",2015,121
"5989",2479000,"Powiat m.Żory",2015,48
"5990",2601000,"Powiat buski",2015,3
"5991",2602000,"Powiat jędrzejowski",2015,13
"5992",2603000,"Powiat kazimierski",2015,0
"5993",2604000,"Powiat kielecki",2015,0
"5994",2605000,"Powiat konecki",2015,3
"5995",2606000,"Powiat opatowski",2015,0
"5996",2607000,"Powiat ostrowiecki",2015,6
"5997",2608000,"Powiat pińczowski",2015,4
"5998",2609000,"Powiat sandomierski",2015,8
"5999",2610000,"Powiat skarżyski",2015,23
"6000",2611000,"Powiat starachowicki",2015,23
"6001",2612000,"Powiat staszowski",2015,12
"6002",2613000,"Powiat włoszczowski",2015,0
"6003",2661000,"Powiat m.Kielce",2015,253
"6004",2801000,"Powiat bartoszycki",2015,32
"6005",2802000,"Powiat braniewski",2015,17
"6006",2803000,"Powiat działdowski",2015,23
"6007",2804000,"Powiat elbląski",2015,16
"6008",2805000,"Powiat ełcki",2015,103
"6009",2806000,"Powiat giżycki",2015,77
"6010",2807000,"Powiat iławski",2015,57
"6011",2808000,"Powiat kętrzyński",2015,49
"6012",2809000,"Powiat lidzbarski",2015,27
"6013",2810000,"Powiat mrągowski",2015,47
"6014",2811000,"Powiat nidzicki",2015,15
"6015",2812000,"Powiat nowomiejski",2015,9
"6016",2813000,"Powiat olecki",2015,30
"6017",2814000,"Powiat olsztyński",2015,78
"6018",2815000,"Powiat ostródzki",2015,75
"6019",2816000,"Powiat piski",2015,22
"6020",2817000,"Powiat szczycieński",2015,27
"6021",2818000,"Powiat gołdapski",2015,30
"6022",2819000,"Powiat węgorzewski",2015,12
"6023",2861000,"Powiat m.Elbląg",2015,111
"6024",2862000,"Powiat m.Olsztyn",2015,306
"6025",3001000,"Powiat chodzieski",2015,12
"6026",3002000,"Powiat czarnkowsko-trzcianecki",2015,50
"6027",3003000,"Powiat gnieźnieński",2015,40
"6028",3004000,"Powiat gostyński",2015,30
"6029",3005000,"Powiat grodziski",2015,29
"6030",3006000,"Powiat jarociński",2015,13
"6031",3007000,"Powiat kaliski",2015,3
"6032",3008000,"Powiat kępiński",2015,4
"6033",3009000,"Powiat kolski",2015,6
"6034",3010000,"Powiat koniński",2015,6
"6035",3011000,"Powiat kościański",2015,24
"6036",3012000,"Powiat krotoszyński",2015,41
"6037",3013000,"Powiat leszczyński",2015,8
"6038",3014000,"Powiat międzychodzki",2015,25
"6039",3015000,"Powiat nowotomyski",2015,36
"6040",3016000,"Powiat obornicki",2015,51
"6041",3017000,"Powiat ostrowski",2015,44
"6042",3018000,"Powiat ostrzeszowski",2015,3
"6043",3019000,"Powiat pilski",2015,77
"6044",3020000,"Powiat pleszewski",2015,20
"6045",3021000,"Powiat poznański",2015,686
"6046",3022000,"Powiat rawicki",2015,18
"6047",3023000,"Powiat słupecki",2015,4
"6048",3024000,"Powiat szamotulski",2015,12
"6049",3025000,"Powiat średzki",2015,22
"6050",3026000,"Powiat śremski",2015,17
"6051",3027000,"Powiat turecki",2015,9
"6052",3028000,"Powiat wągrowiecki",2015,24
"6053",3029000,"Powiat wolsztyński",2015,16
"6054",3030000,"Powiat wrzesiński",2015,64
"6055",3031000,"Powiat złotowski",2015,41
"6056",3061000,"Powiat m.Kalisz",2015,64
"6057",3062000,"Powiat m.Konin",2015,48
"6058",3063000,"Powiat m.Leszno",2015,89
"6059",3064000,"Powiat m.Poznań",2015,1034
"6060",3201000,"Powiat białogardzki",2015,32
"6061",3202000,"Powiat choszczeński",2015,33
"6062",3203000,"Powiat drawski",2015,32
"6063",3204000,"Powiat goleniowski",2015,50
"6064",3205000,"Powiat gryficki",2015,31
"6065",3206000,"Powiat gryfiński",2015,59
"6066",3207000,"Powiat kamieński",2015,29
"6067",3208000,"Powiat kołobrzeski",2015,83
"6068",3209000,"Powiat koszaliński",2015,37
"6069",3210000,"Powiat myśliborski",2015,35
"6070",3211000,"Powiat policki",2015,78
"6071",3212000,"Powiat pyrzycki",2015,26
"6072",3213000,"Powiat sławieński",2015,28
"6073",3214000,"Powiat stargardzki",2015,112
"6074",3215000,"Powiat szczecinecki",2015,76
"6075",3216000,"Powiat świdwiński",2015,33
"6076",3217000,"Powiat wałecki",2015,38
"6077",3218000,"Powiat łobeski",2015,29
"6078",3261000,"Powiat m.Koszalin",2015,67
"6079",3262000,"Powiat m.Szczecin",2015,529
"6080",3263000,"Powiat m.Świnoujście",2015,41
"6081",201000,"Powiat bolesławiecki",2016,159
"6082",202000,"Powiat dzierżoniowski",2016,62
"6083",203000,"Powiat głogowski",2016,125
"6084",204000,"Powiat górowski",2016,3
"6085",205000,"Powiat jaworski",2016,30
"6086",206000,"Powiat jeleniogórski",2016,37
"6087",207000,"Powiat kamiennogórski",2016,21
"6088",208000,"Powiat kłodzki",2016,87
"6089",209000,"Powiat legnicki",2016,31
"6090",210000,"Powiat lubański",2016,36
"6091",211000,"Powiat lubiński",2016,163
"6092",212000,"Powiat lwówecki",2016,12
"6093",213000,"Powiat milicki",2016,31
"6094",214000,"Powiat oleśnicki",2016,77
"6095",215000,"Powiat oławski",2016,78
"6096",216000,"Powiat polkowicki",2016,41
"6097",217000,"Powiat strzeliński",2016,20
"6098",218000,"Powiat średzki",2016,24
"6099",219000,"Powiat świdnicki",2016,176
"6100",220000,"Powiat trzebnicki",2016,101
"6101",221000,"Powiat wałbrzyski",2016,44
"6102",222000,"Powiat wołowski",2016,50
"6103",223000,"Powiat wrocławski",2016,357
"6104",224000,"Powiat ząbkowicki",2016,41
"6105",225000,"Powiat zgorzelecki",2016,22
"6106",226000,"Powiat złotoryjski",2016,27
"6107",261000,"Powiat m.Jelenia Góra",2016,180
"6108",262000,"Powiat m.Legnica",2016,163
"6109",264000,"Powiat m.Wrocław",2016,2697
"6110",265000,"Powiat m.Wałbrzych od 2013",2016,89
"6111",401000,"Powiat aleksandrowski",2016,26
"6112",402000,"Powiat brodnicki",2016,59
"6113",403000,"Powiat bydgoski",2016,44
"6114",404000,"Powiat chełmiński",2016,25
"6115",405000,"Powiat golubsko-dobrzyński",2016,7
"6116",406000,"Powiat grudziądzki",2016,10
"6117",407000,"Powiat inowrocławski",2016,106
"6118",408000,"Powiat lipnowski",2016,14
"6119",409000,"Powiat mogileński",2016,13
"6120",410000,"Powiat nakielski",2016,35
"6121",411000,"Powiat radziejowski",2016,12
"6122",412000,"Powiat rypiński",2016,19
"6123",413000,"Powiat sępoleński",2016,19
"6124",414000,"Powiat świecki",2016,30
"6125",415000,"Powiat toruński",2016,19
"6126",416000,"Powiat tucholski",2016,8
"6127",417000,"Powiat wąbrzeski",2016,12
"6128",418000,"Powiat włocławski",2016,8
"6129",419000,"Powiat żniński",2016,16
"6130",461000,"Powiat m.Bydgoszcz",2016,543
"6131",462000,"Powiat m.Grudziądz",2016,86
"6132",463000,"Powiat m.Toruń",2016,119
"6133",464000,"Powiat m.Włocławek",2016,58
"6134",601000,"Powiat bialski",2016,3
"6135",602000,"Powiat biłgorajski",2016,13
"6136",603000,"Powiat chełmski",2016,7
"6137",604000,"Powiat hrubieszowski",2016,20
"6138",605000,"Powiat janowski",2016,3
"6139",606000,"Powiat krasnostawski",2016,5
"6140",607000,"Powiat kraśnicki",2016,22
"6141",608000,"Powiat lubartowski",2016,10
"6142",609000,"Powiat lubelski",2016,22
"6143",610000,"Powiat łęczyński",2016,28
"6144",611000,"Powiat łukowski",2016,10
"6145",612000,"Powiat opolski",2016,12
"6146",613000,"Powiat parczewski",2016,4
"6147",614000,"Powiat puławski",2016,66
"6148",615000,"Powiat radzyński",2016,25
"6149",616000,"Powiat rycki",2016,8
"6150",617000,"Powiat świdnicki",2016,11
"6151",618000,"Powiat tomaszowski",2016,21
"6152",619000,"Powiat włodawski",2016,9
"6153",620000,"Powiat zamojski",2016,4
"6154",661000,"Powiat m.Biała Podlaska",2016,42
"6155",662000,"Powiat m.Chełm",2016,58
"6156",663000,"Powiat m.Lublin",2016,686
"6157",664000,"Powiat m.Zamość",2016,72
"6158",801000,"Powiat gorzowski",2016,47
"6159",802000,"Powiat krośnieński",2016,49
"6160",803000,"Powiat międzyrzecki",2016,54
"6161",804000,"Powiat nowosolski",2016,35
"6162",805000,"Powiat słubicki",2016,89
"6163",806000,"Powiat strzelecko-drezdenecki",2016,32
"6164",807000,"Powiat sulęciński",2016,33
"6165",808000,"Powiat świebodziński",2016,63
"6166",809000,"Powiat zielonogórski",2016,44
"6167",810000,"Powiat żagański",2016,58
"6168",811000,"Powiat żarski",2016,78
"6169",812000,"Powiat wschowski",2016,8
"6170",861000,"Powiat m.Gorzów Wielkopolski",2016,261
"6171",862000,"Powiat m.Zielona Góra",2016,211
"6172",1001000,"Powiat bełchatowski",2016,109
"6173",1002000,"Powiat kutnowski",2016,10
"6174",1003000,"Powiat łaski",2016,10
"6175",1004000,"Powiat łęczycki",2016,4
"6176",1005000,"Powiat łowicki",2016,20
"6177",1006000,"Powiat łódzki wschodni",2016,0
"6178",1007000,"Powiat opoczyński",2016,6
"6179",1008000,"Powiat pabianicki",2016,58
