"","Kod","Nazwa","rok","Liczba_ludnosci_na_1_miejsce_w_kinach_stalych_ogolem_osoba"
"305",2801000,"Powiat bartoszycki",2002,312
"306",2802000,"Powiat braniewski",2002,372
"307",2803000,"Powiat działdowski",2002,263
"308",2804000,"Powiat elbląski",2002,321
"309",2805000,"Powiat ełcki",2002,154
"310",2806000,"Powiat giżycki",2002,102
"311",2807000,"Powiat iławski",2002,296
"312",2808000,"Powiat kętrzyński",2002,237
"313",2809000,"Powiat lidzbarski",2002,145
"314",2810000,"Powiat mrągowski",2002,394
"315",2811000,"Powiat nidzicki",2002,98
"316",2812000,"Powiat nowomiejski",2002,181
"317",2813000,"Powiat olecki",2002,100
"318",2814000,"Powiat olsztyński",2002,174
"319",2815000,"Powiat ostródzki",2002,284
"320",2816000,"Powiat piski",2002,0
"321",2817000,"Powiat szczycieński",2002,156
"322",2818000,"Powiat gołdapski",2002,0
"323",2819000,"Powiat węgorzewski",2002,171
"324",2861000,"Powiat m.Elbląg",2002,128
"325",2862000,"Powiat m.Olsztyn",2002,116
"326",3001000,"Powiat chodzieski",2002,84
"327",3002000,"Powiat czarnkowsko-trzcianecki",2002,146
"328",3003000,"Powiat gnieźnieński",2002,644
"329",3004000,"Powiat gostyński",2002,168
"330",3005000,"Powiat grodziski",2002,0
"331",3006000,"Powiat jarociński",2002,363
"332",3007000,"Powiat kaliski",2002,0
"333",3008000,"Powiat kępiński",2002,237
"334",3009000,"Powiat kolski",2002,157
"335",3010000,"Powiat koniński",2002,725
"336",3011000,"Powiat kościański",2002,503
"337",3012000,"Powiat krotoszyński",2002,102
"338",3013000,"Powiat leszczyński",2002,0
"339",3014000,"Powiat międzychodzki",2002,0
"340",3015000,"Powiat nowotomyski",2002,185
"341",3016000,"Powiat obornicki",2002,0
"342",3017000,"Powiat ostrowski",2002,396
"343",3018000,"Powiat ostrzeszowski",2002,181
"344",3019000,"Powiat pilski",2002,126
"345",3020000,"Powiat pleszewski",2002,281
"346",3021000,"Powiat poznański",2002,1247
"347",3022000,"Powiat rawicki",2002,488
"348",3023000,"Powiat słupecki",2002,142
"349",3024000,"Powiat szamotulski",2002,200
"350",3025000,"Powiat średzki",2002,201
"351",3026000,"Powiat śremski",2002,353
"352",3027000,"Powiat turecki",2002,279
"353",3028000,"Powiat wągrowiecki",2002,224
"354",3029000,"Powiat wolsztyński",2002,0
"355",3030000,"Powiat wrzesiński",2002,318
"356",3031000,"Powiat złotowski",2002,129
"357",3061000,"Powiat m.Kalisz",2002,143
"358",3062000,"Powiat m.Konin",2002,97
"359",3063000,"Powiat m.Leszno",2002,137
"360",3064000,"Powiat m.Poznań",2002,49
"361",3201000,"Powiat białogardzki",2002,140
"362",3202000,"Powiat choszczeński",2002,280
"363",3203000,"Powiat drawski",2002,111
"364",3204000,"Powiat goleniowski",2002,132
"365",3205000,"Powiat gryficki",2002,63
"366",3206000,"Powiat gryfiński",2002,599
"367",3207000,"Powiat kamieński",2002,160
"368",3208000,"Powiat kołobrzeski",2002,182
"369",3209000,"Powiat koszaliński",2002,124
"370",3210000,"Powiat myśliborski",2002,0
"371",3211000,"Powiat policki",2002,240
"372",3212000,"Powiat pyrzycki",2002,0
"373",3213000,"Powiat sławieński",2002,110
"374",3214000,"Powiat stargardzki",2002,404
"375",3215000,"Powiat szczecinecki",2002,247
"376",3216000,"Powiat świdwiński",2002,142
"377",3217000,"Powiat wałecki",2002,133
"378",3218000,"Powiat łobeski",2002,0
"379",3261000,"Powiat m.Koszalin",2002,137
"380",3262000,"Powiat m.Szczecin",2002,205
"381",3263000,"Powiat m.Świnoujście",2002,111
"382",201000,"Powiat bolesławiecki",2003,151
"383",202000,"Powiat dzierżoniowski",2003,530
"384",203000,"Powiat głogowski",2003,174
"385",204000,"Powiat górowski",2003,0
"386",205000,"Powiat jaworski",2003,105
"387",206000,"Powiat jeleniogórski",2003,104
"388",207000,"Powiat kamiennogórski",2003,135
"389",208000,"Powiat kłodzki",2003,106
"390",209000,"Powiat legnicki",2003,0
"391",210000,"Powiat lubański",2003,87
"392",211000,"Powiat lubiński",2003,261
"393",212000,"Powiat lwówecki",2003,0
"394",213000,"Powiat milicki",2003,0
"395",214000,"Powiat oleśnicki",2003,382
"396",215000,"Powiat oławski",2003,116
"397",216000,"Powiat polkowicki",2003,205
"398",217000,"Powiat strzeliński",2003,0
"399",218000,"Powiat średzki",2003,700
"400",219000,"Powiat świdnicki",2003,120
"401",220000,"Powiat trzebnicki",2003,111
"402",221000,"Powiat wałbrzyski",2003,120
"403",222000,"Powiat wołowski",2003,0
"404",223000,"Powiat wrocławski",2003,0
"405",224000,"Powiat ząbkowicki",2003,175
"406",225000,"Powiat zgorzelecki",2003,116
"407",226000,"Powiat złotoryjski",2003,131
"408",261000,"Powiat m.Jelenia Góra",2003,71
"409",262000,"Powiat m.Legnica",2003,144
"410",263000,"Powiat m.Wałbrzych do 2002",2003,NA
"411",264000,"Powiat m.Wrocław",2003,101
"412",265000,"Powiat m.Wałbrzych od 2013",2003,NA
"413",401000,"Powiat aleksandrowski",2003,158
"414",402000,"Powiat brodnicki",2003,345
"415",403000,"Powiat bydgoski",2003,317
"416",404000,"Powiat chełmiński",2003,0
"417",405000,"Powiat golubsko-dobrzyński",2003,177
"418",406000,"Powiat grudziądzki",2003,0
"419",407000,"Powiat inowrocławski",2003,438
"420",408000,"Powiat lipnowski",2003,265
"421",409000,"Powiat mogileński",2003,173
"422",410000,"Powiat nakielski",2003,211
"423",411000,"Powiat radziejowski",2003,0
"424",412000,"Powiat rypiński",2003,131
"425",413000,"Powiat sępoleński",2003,72
"426",414000,"Powiat świecki",2003,264
"427",415000,"Powiat toruński",2003,0
"428",416000,"Powiat tucholski",2003,0
"429",417000,"Powiat wąbrzeski",2003,105
"430",418000,"Powiat włocławski",2003,0
"431",419000,"Powiat żniński",2003,184
"432",461000,"Powiat m.Bydgoszcz",2003,124
"433",462000,"Powiat m.Grudziądz",2003,147
"434",463000,"Powiat m.Toruń",2003,182
"435",464000,"Powiat m.Włocławek",2003,345
"436",601000,"Powiat bialski",2003,230
"437",602000,"Powiat biłgorajski",2003,345
"438",603000,"Powiat chełmski",2003,0
"439",604000,"Powiat hrubieszowski",2003,175
"440",605000,"Powiat janowski",2003,209
"441",606000,"Powiat krasnostawski",2003,365
"442",607000,"Powiat kraśnicki",2003,203
"443",608000,"Powiat lubartowski",2003,466
"444",609000,"Powiat lubelski",2003,581
"445",610000,"Powiat łęczyński",2003,0
"446",611000,"Powiat łukowski",2003,512
"447",612000,"Powiat opolski",2003,154
"448",613000,"Powiat parczewski",2003,0
"449",614000,"Powiat puławski",2003,90
"450",615000,"Powiat radzyński",2003,310
"451",616000,"Powiat rycki",2003,82
"452",617000,"Powiat świdnicki",2003,145
"453",618000,"Powiat tomaszowski",2003,264
"454",619000,"Powiat włodawski",2003,135
"455",620000,"Powiat zamojski",2003,687
"456",661000,"Powiat m.Biała Podlaska",2003,161
"457",662000,"Powiat m.Chełm",2003,324
"458",663000,"Powiat m.Lublin",2003,154
"459",664000,"Powiat m.Zamość",2003,201
"460",801000,"Powiat gorzowski",2003,0
"461",802000,"Powiat krośnieński",2003,0
"462",803000,"Powiat międzyrzecki",2003,109
"463",804000,"Powiat nowosolski",2003,192
"464",805000,"Powiat słubicki",2003,130
"465",806000,"Powiat strzelecko-drezdenecki",2003,305
"466",807000,"Powiat sulęciński",2003,123
"467",808000,"Powiat świebodziński",2003,102
"468",809000,"Powiat zielonogórski",2003,523
"469",810000,"Powiat żagański",2003,398
"470",811000,"Powiat żarski",2003,158
"471",812000,"Powiat wschowski",2003,199
"472",861000,"Powiat m.Gorzów Wielkopolski",2003,200
"473",862000,"Powiat m.Zielona Góra",2003,123
"474",1001000,"Powiat bełchatowski",2003,462
"475",1002000,"Powiat kutnowski",2003,267
"476",1003000,"Powiat łaski",2003,0
"477",1004000,"Powiat łęczycki",2003,145
"478",1005000,"Powiat łowicki",2003,245
"479",1006000,"Powiat łódzki wschodni",2003,507
"480",1007000,"Powiat opoczyński",2003,209
"481",1008000,"Powiat pabianicki",2003,342
"482",1009000,"Powiat pajęczański",2003,139
"483",1010000,"Powiat piotrkowski",2003,322
"484",1011000,"Powiat poddębicki",2003,179
"485",1012000,"Powiat radomszczański",2003,118
"486",1013000,"Powiat rawski",2003,79
"487",1014000,"Powiat sieradzki",2003,0
"488",1015000,"Powiat skierniewicki",2003,0
"489",1016000,"Powiat tomaszowski",2003,199
"490",1017000,"Powiat wieluński",2003,136
"491",1018000,"Powiat wieruszowski",2003,328
"492",1019000,"Powiat zduńskowolski",2003,206
"493",1020000,"Powiat zgierski",2003,391
"494",1021000,"Powiat brzeziński",2003,0
"495",1061000,"Powiat m.Łódź",2003,167
"496",1062000,"Powiat m.Piotrków Trybunalski",2003,192
"497",1063000,"Powiat m.Skierniewice",2003,147
"498",1201000,"Powiat bocheński",2003,827
"499",1202000,"Powiat brzeski",2003,227
"500",1203000,"Powiat chrzanowski",2003,218
"501",1204000,"Powiat dąbrowski",2003,289
"502",1205000,"Powiat gorlicki",2003,187
"503",1206000,"Powiat krakowski",2003,670
"504",1207000,"Powiat limanowski",2003,300
"505",1208000,"Powiat miechowski",2003,0
"506",1209000,"Powiat myślenicki",2003,285
"507",1210000,"Powiat nowosądecki",2003,202
"508",1211000,"Powiat nowotarski",2003,331
"509",1212000,"Powiat olkuski",2003,104
"510",1213000,"Powiat oświęcimski",2003,136
"511",1214000,"Powiat proszowicki",2003,138
"512",1215000,"Powiat suski",2003,0
"513",1216000,"Powiat tarnowski",2003,657
"514",1217000,"Powiat tatrzański",2003,85
"515",1218000,"Powiat wadowicki",2003,350
"516",1219000,"Powiat wielicki",2003,0
"517",1261000,"Powiat m.Kraków",2003,71
"518",1262000,"Powiat m.Nowy Sącz",2003,130
"519",1263000,"Powiat m.Tarnów",2003,128
"520",1401000,"Powiat białobrzeski",2003,0
"521",1402000,"Powiat ciechanowski",2003,238
"522",1403000,"Powiat garwoliński",2003,350
"523",1404000,"Powiat gostyniński",2003,122
"524",1405000,"Powiat grodziski",2003,233
"525",1406000,"Powiat grójecki",2003,187
"526",1407000,"Powiat kozienicki",2003,0
"527",1408000,"Powiat legionowski",2003,0
"528",1409000,"Powiat lipski",2003,177
"529",1410000,"Powiat łosicki",2003,130
"530",1411000,"Powiat makowski",2003,181
"531",1412000,"Powiat miński",2003,252
"532",1413000,"Powiat mławski",2003,215
"533",1414000,"Powiat nowodworski",2003,471
"534",1415000,"Powiat ostrołęcki",2003,0
"535",1416000,"Powiat ostrowski",2003,380
"536",1417000,"Powiat otwocki",2003,595
"537",1418000,"Powiat piaseczyński",2003,477
"538",1419000,"Powiat płocki",2003,0
"539",1420000,"Powiat płoński",2003,201
"540",1421000,"Powiat pruszkowski",2003,63
"541",1422000,"Powiat przasnyski",2003,0
"542",1423000,"Powiat przysuski",2003,183
"543",1424000,"Powiat pułtuski",2003,221
"544",1425000,"Powiat radomski",2003,0
"545",1426000,"Powiat siedlecki",2003,0
"546",1427000,"Powiat sierpecki",2003,0
"547",1428000,"Powiat sochaczewski",2003,149
"548",1429000,"Powiat sokołowski",2003,160
"549",1430000,"Powiat szydłowiecki",2003,0
"550",1432000,"Powiat warszawski zachodni",2003,0
"551",1433000,"Powiat węgrowski",2003,230
"552",1434000,"Powiat wołomiński",2003,469
"553",1435000,"Powiat wyszkowski",2003,357
"554",1436000,"Powiat zwoleński",2003,0
"555",1437000,"Powiat żuromiński",2003,203
"556",1438000,"Powiat żyrardowski",2003,0
"557",1461000,"Powiat m.Ostrołęka",2003,141
"558",1462000,"Powiat m.Płock",2003,151
"559",1463000,"Powiat m.Radom",2003,330
"560",1464000,"Powiat m.Siedlce",2003,175
"561",1465000,"Powiat m. st. Warszawa",2003,60
"562",1601000,"Powiat brzeski",2003,420
"563",1602000,"Powiat głubczycki",2003,160
"564",1603000,"Powiat kędzierzyńsko-kozielski",2003,345
"565",1604000,"Powiat kluczborski",2003,128
"566",1605000,"Powiat krapkowicki",2003,117
"567",1606000,"Powiat namysłowski",2003,0
"568",1607000,"Powiat nyski",2003,164
"569",1608000,"Powiat oleski",2003,127
"570",1609000,"Powiat opolski",2003,271
"571",1610000,"Powiat prudnicki",2003,0
"572",1611000,"Powiat strzelecki",2003,223
"573",1661000,"Powiat m.Opole",2003,72
"574",1801000,"Powiat bieszczadzki",2003,92
"575",1802000,"Powiat brzozowski",2003,221
"576",1803000,"Powiat dębicki",2003,248
"577",1804000,"Powiat jarosławski",2003,254
"578",1805000,"Powiat jasielski",2003,583
"579",1806000,"Powiat kolbuszowski",2003,456
"580",1807000,"Powiat krośnieński",2003,212
"581",1808000,"Powiat leżajski",2003,96
"582",1809000,"Powiat lubaczowski",2003,141
"583",1810000,"Powiat łańcucki",2003,193
"584",1811000,"Powiat mielecki",2003,465
"585",1812000,"Powiat niżański",2003,111
"586",1813000,"Powiat przemyski",2003,318
"587",1814000,"Powiat przeworski",2003,177
"588",1815000,"Powiat ropczycko-sędziszowski",2003,159
"589",1816000,"Powiat rzeszowski",2003,1181
"590",1817000,"Powiat sanocki",2003,315
"591",1818000,"Powiat stalowowolski",2003,99
"592",1819000,"Powiat strzyżowski",2003,202
"593",1820000,"Powiat tarnobrzeski",2003,245
"594",1821000,"Powiat leski",2003,71
"595",1861000,"Powiat m.Krosno",2003,62
"596",1862000,"Powiat m.Przemyśl",2003,118
"597",1863000,"Powiat m.Rzeszów",2003,77
