"","Kod","Nazwa","rok","SKOLARYZACJA_CTAB_wspolczynnik_skolaryzacji_netto_gimnazja_proc"
"18414",1438000,"Powiat żyrardowski",2003,94.67
"18415",1461000,"Powiat m.Ostrołęka",2003,106.83
"18416",1462000,"Powiat m.Płock",2003,102.21
"18417",1463000,"Powiat m.Radom",2003,101.79
"18418",1464000,"Powiat m.Siedlce",2003,103.75
"18419",1465000,"Powiat m. st. Warszawa",2003,95.14
"18420",1601000,"Powiat brzeski",2003,93.65
"18421",1602000,"Powiat głubczycki",2003,90.04
"18422",1603000,"Powiat kędzierzyńsko-kozielski",2003,85.9
"18423",1604000,"Powiat kluczborski",2003,91.51
"18424",1605000,"Powiat krapkowicki",2003,86.86
"18425",1606000,"Powiat namysłowski",2003,93.32
"18426",1607000,"Powiat nyski",2003,93.37
"18427",1608000,"Powiat oleski",2003,89.72
"18428",1609000,"Powiat opolski",2003,82.57
"18429",1610000,"Powiat prudnicki",2003,91.95
"18430",1611000,"Powiat strzelecki",2003,85.21
"18431",1661000,"Powiat m.Opole",2003,94.42
"18432",1801000,"Powiat bieszczadzki",2003,94.77
"18433",1802000,"Powiat brzozowski",2003,96.58
"18434",1803000,"Powiat dębicki",2003,96.66
"18435",1804000,"Powiat jarosławski",2003,95.9
"18436",1805000,"Powiat jasielski",2003,96.76
"18437",1806000,"Powiat kolbuszowski",2003,93.97
"18438",1807000,"Powiat krośnieński",2003,93.47
"18439",1808000,"Powiat leżajski",2003,93.82
"18440",1809000,"Powiat lubaczowski",2003,96.5
"18441",1810000,"Powiat łańcucki",2003,97.1
"18442",1811000,"Powiat mielecki",2003,95.44
"18443",1812000,"Powiat niżański",2003,92.8
"18444",1813000,"Powiat przemyski",2003,90.17
"18445",1814000,"Powiat przeworski",2003,98.71
"18446",1815000,"Powiat ropczycko-sędziszowski",2003,96.27
"18447",1816000,"Powiat rzeszowski",2003,92.13
"18448",1817000,"Powiat sanocki",2003,95.61
"18449",1818000,"Powiat stalowowolski",2003,96.09
"18450",1819000,"Powiat strzyżowski",2003,95.88
"18451",1820000,"Powiat tarnobrzeski",2003,94.3
"18452",1821000,"Powiat leski",2003,100.76
"18453",1861000,"Powiat m.Krosno",2003,110.28
"18454",1862000,"Powiat m.Przemyśl",2003,102.92
"18455",1863000,"Powiat m.Rzeszów",2003,102.48
"18456",1864000,"Powiat m.Tarnobrzeg",2003,97.68
"18457",2001000,"Powiat augustowski",2003,95.27
"18458",2002000,"Powiat białostocki",2003,87.66
"18459",2003000,"Powiat bielski",2003,95.68
"18460",2004000,"Powiat grajewski",2003,95.26
"18461",2005000,"Powiat hajnowski",2003,97.15
"18462",2006000,"Powiat kolneński",2003,95.92
"18463",2007000,"Powiat łomżyński",2003,73.17
"18464",2008000,"Powiat moniecki",2003,93.84
"18465",2009000,"Powiat sejneński",2003,98.58
"18466",2010000,"Powiat siemiatycki",2003,97.37
"18467",2011000,"Powiat sokólski",2003,96.16
"18468",2012000,"Powiat suwalski",2003,77.51
"18469",2013000,"Powiat wysokomazowiecki",2003,96.11
"18470",2014000,"Powiat zambrowski",2003,91.19
"18471",2061000,"Powiat m.Białystok",2003,100.01
"18472",2062000,"Powiat m.Łomża",2003,110.41
"18473",2063000,"Powiat m.Suwałki",2003,105.09
"18474",2201000,"Powiat bytowski",2003,92.57
"18475",2202000,"Powiat chojnicki",2003,98.1
"18476",2203000,"Powiat człuchowski",2003,93.89
"18477",2204000,"Powiat gdański",2003,92.91
"18478",2205000,"Powiat kartuski",2003,95.97
"18479",2206000,"Powiat kościerski",2003,97.43
"18480",2207000,"Powiat kwidzyński",2003,93.44
"18481",2208000,"Powiat lęborski",2003,95.38
"18482",2209000,"Powiat malborski",2003,96.54
"18483",2210000,"Powiat nowodworski",2003,93.06
"18484",2211000,"Powiat pucki",2003,90.43
"18485",2212000,"Powiat słupski",2003,89.77
"18486",2213000,"Powiat starogardzki",2003,95.7
"18487",2214000,"Powiat tczewski",2003,92.24
"18488",2215000,"Powiat wejherowski",2003,95.12
"18489",2216000,"Powiat sztumski",2003,90.6
"18490",2261000,"Powiat m.Gdańsk",2003,95.8
"18491",2262000,"Powiat m.Gdynia",2003,98.88
"18492",2263000,"Powiat m.Słupsk",2003,100.44
"18493",2264000,"Powiat m.Sopot",2003,86.42
"18494",2401000,"Powiat będziński",2003,92.2
"18495",2402000,"Powiat bielski",2003,94.84
"18496",2403000,"Powiat cieszyński",2003,96.45
"18497",2404000,"Powiat częstochowski",2003,94.39
"18498",2405000,"Powiat gliwicki",2003,92.29
"18499",2406000,"Powiat kłobucki",2003,97.17
"18500",2407000,"Powiat lubliniecki",2003,91.94
"18501",2408000,"Powiat mikołowski",2003,93.89
"18502",2409000,"Powiat myszkowski",2003,98.43
"18503",2410000,"Powiat pszczyński",2003,96.21
"18504",2411000,"Powiat raciborski",2003,88.23
"18505",2412000,"Powiat rybnicki",2003,97.37
"18506",2413000,"Powiat tarnogórski",2003,90.79
"18507",2414000,"Powiat bieruńsko-lędziński",2003,95.17
"18508",2415000,"Powiat wodzisławski",2003,94.13
"18509",2416000,"Powiat zawierciański",2003,97.54
"18510",2417000,"Powiat żywiecki",2003,98.13
"18511",2461000,"Powiat m.Bielsko-Biała",2003,96.4
"18512",2462000,"Powiat m.Bytom",2003,87.1
"18513",2463000,"Powiat m.Chorzów",2003,98.96
"18514",2464000,"Powiat m.Częstochowa",2003,97.22
"18515",2465000,"Powiat m.Dąbrowa Górnicza",2003,96.54
"18516",2466000,"Powiat m.Gliwice",2003,92.74
"18517",2467000,"Powiat m.Jastrzębie-Zdrój",2003,95.18
"18518",2468000,"Powiat m.Jaworzno",2003,94.83
"18519",2469000,"Powiat m.Katowice",2003,93.69
"18520",2470000,"Powiat m.Mysłowice",2003,96.89
"18521",2471000,"Powiat m.Piekary Śląskie",2003,88.3
"18522",2472000,"Powiat m.Ruda Śląska",2003,90.79
"18523",2473000,"Powiat m.Rybnik",2003,95.67
"18524",2474000,"Powiat m.Siemianowice Śląskie",2003,90.78
"18525",2475000,"Powiat m.Sosnowiec",2003,96.32
"18526",2476000,"Powiat m.Świętochłowice",2003,91.91
"18527",2477000,"Powiat m.Tychy",2003,93.08
"18528",2478000,"Powiat m.Zabrze",2003,85.82
"18529",2479000,"Powiat m.Żory",2003,96.39
"18530",2601000,"Powiat buski",2003,98.17
"18531",2602000,"Powiat jędrzejowski",2003,95.98
"18532",2603000,"Powiat kazimierski",2003,93.64
"18533",2604000,"Powiat kielecki",2003,95.34
"18534",2605000,"Powiat konecki",2003,97.64
"18535",2606000,"Powiat opatowski",2003,99.04
"18536",2607000,"Powiat ostrowiecki",2003,96.83
"18537",2608000,"Powiat pińczowski",2003,97.18
"18538",2609000,"Powiat sandomierski",2003,95.83
"18539",2610000,"Powiat skarżyski",2003,95.69
"18540",2611000,"Powiat starachowicki",2003,97.26
"18541",2612000,"Powiat staszowski",2003,97.84
"18542",2613000,"Powiat włoszczowski",2003,97.93
"18543",2661000,"Powiat m.Kielce",2003,98.91
"18544",2801000,"Powiat bartoszycki",2003,94.89
"18545",2802000,"Powiat braniewski",2003,93.82
"18546",2803000,"Powiat działdowski",2003,98.71
"18547",2804000,"Powiat elbląski",2003,86.96
"18548",2805000,"Powiat ełcki",2003,92.25
"18549",2806000,"Powiat giżycki",2003,95.72
"18550",2807000,"Powiat iławski",2003,95.04
"18551",2808000,"Powiat kętrzyński",2003,95.67
"18552",2809000,"Powiat lidzbarski",2003,96.45
"18553",2810000,"Powiat mrągowski",2003,94.32
"18554",2811000,"Powiat nidzicki",2003,94.21
"18555",2812000,"Powiat nowomiejski",2003,91.99
"18556",2813000,"Powiat olecki",2003,93.3
"18557",2814000,"Powiat olsztyński",2003,85.36
"18558",2815000,"Powiat ostródzki",2003,94.16
"18559",2816000,"Powiat piski",2003,93.79
"18560",2817000,"Powiat szczycieński",2003,95.9
"18561",2818000,"Powiat gołdapski",2003,91.51
"18562",2819000,"Powiat węgorzewski",2003,92.4
"18563",2861000,"Powiat m.Elbląg",2003,95.86
"18564",2862000,"Powiat m.Olsztyn",2003,102.31
"18565",3001000,"Powiat chodzieski",2003,98.28
"18566",3002000,"Powiat czarnkowsko-trzcianecki",2003,96.97
"18567",3003000,"Powiat gnieźnieński",2003,97.49
"18568",3004000,"Powiat gostyński",2003,98.91
"18569",3005000,"Powiat grodziski",2003,95.98
"18570",3006000,"Powiat jarociński",2003,98.6
"18571",3007000,"Powiat kaliski",2003,94.77
"18572",3008000,"Powiat kępiński",2003,97.47
"18573",3009000,"Powiat kolski",2003,97.26
"18574",3010000,"Powiat koniński",2003,94.58
"18575",3011000,"Powiat kościański",2003,97.43
"18576",3012000,"Powiat krotoszyński",2003,96.07
"18577",3013000,"Powiat leszczyński",2003,93.5
"18578",3014000,"Powiat międzychodzki",2003,97.32
"18579",3015000,"Powiat nowotomyski",2003,97.99
"18580",3016000,"Powiat obornicki",2003,96.27
"18581",3017000,"Powiat ostrowski",2003,98.75
"18582",3018000,"Powiat ostrzeszowski",2003,96.93
"18583",3019000,"Powiat pilski",2003,96.36
"18584",3020000,"Powiat pleszewski",2003,96.35
"18585",3021000,"Powiat poznański",2003,93.41
"18586",3022000,"Powiat rawicki",2003,97.35
"18587",3023000,"Powiat słupecki",2003,96.91
"18588",3024000,"Powiat szamotulski",2003,96
"18589",3025000,"Powiat średzki",2003,97.55
"18590",3026000,"Powiat śremski",2003,97.32
"18591",3027000,"Powiat turecki",2003,98.24
"18592",3028000,"Powiat wągrowiecki",2003,96.58
"18593",3029000,"Powiat wolsztyński",2003,97.14
"18594",3030000,"Powiat wrzesiński",2003,98.71
"18595",3031000,"Powiat złotowski",2003,92.73
"18596",3061000,"Powiat m.Kalisz",2003,99.55
"18597",3062000,"Powiat m.Konin",2003,101.28
"18598",3063000,"Powiat m.Leszno",2003,105.04
"18599",3064000,"Powiat m.Poznań",2003,98.8
"18600",3201000,"Powiat białogardzki",2003,95.47
"18601",3202000,"Powiat choszczeński",2003,95.52
"18602",3203000,"Powiat drawski",2003,94.95
"18603",3204000,"Powiat goleniowski",2003,94.72
"18604",3205000,"Powiat gryficki",2003,93.75
"18605",3206000,"Powiat gryfiński",2003,93.07
"18606",3207000,"Powiat kamieński",2003,91.53
"18607",3208000,"Powiat kołobrzeski",2003,100.12
"18608",3209000,"Powiat koszaliński",2003,80.62
"18609",3210000,"Powiat myśliborski",2003,95.58
"18610",3211000,"Powiat policki",2003,81.11
"18611",3212000,"Powiat pyrzycki",2003,94.38
"18612",3213000,"Powiat sławieński",2003,95.03
"18613",3214000,"Powiat stargardzki",2003,96.14
"18614",3215000,"Powiat szczecinecki",2003,94.33
"18615",3216000,"Powiat świdwiński",2003,94.91
"18616",3217000,"Powiat wałecki",2003,95.94
"18617",3218000,"Powiat łobeski",2003,92.32
"18618",3261000,"Powiat m.Koszalin",2003,105.07
"18619",3262000,"Powiat m.Szczecin",2003,99.24
"18620",3263000,"Powiat m.Świnoujście",2003,95.66
"18621",201000,"Powiat bolesławiecki",2004,98.37
"18622",202000,"Powiat dzierżoniowski",2004,94.03
"18623",203000,"Powiat głogowski",2004,97.23
"18624",204000,"Powiat górowski",2004,95.42
"18625",205000,"Powiat jaworski",2004,95.72
"18626",206000,"Powiat jeleniogórski",2004,82.01
"18627",207000,"Powiat kamiennogórski",2004,96.58
"18628",208000,"Powiat kłodzki",2004,93.54
"18629",209000,"Powiat legnicki",2004,89.95
"18630",210000,"Powiat lubański",2004,97.8
"18631",211000,"Powiat lubiński",2004,97.56
"18632",212000,"Powiat lwówecki",2004,95.1
