"","Kod","Nazwa","rok","Lozka_w_szpitalach_ogolnych_wskazniki_loZka_w_szpitalach_ogolnych"
"303",2815000,"Powiat ostródzki",2005,304
"304",2816000,"Powiat piski",2005,182
"305",2817000,"Powiat szczycieński",2005,152
"306",2818000,"Powiat gołdapski",2005,66
"307",2819000,"Powiat węgorzewski",2005,96
"308",2861000,"Powiat m.Elbląg",2005,982
"309",2862000,"Powiat m.Olsztyn",2005,1257
"310",3001000,"Powiat chodzieski",2005,347
"311",3002000,"Powiat czarnkowsko-trzcianecki",2005,273
"312",3003000,"Powiat gnieźnieński",2005,356
"313",3004000,"Powiat gostyński",2005,212
"314",3005000,"Powiat grodziski",2005,104
"315",3006000,"Powiat jarociński",2005,161
"316",3007000,"Powiat kaliski",2005,134
"317",3008000,"Powiat kępiński",2005,230
"318",3009000,"Powiat kolski",2005,261
"319",3011000,"Powiat kościański",2005,261
"320",3012000,"Powiat krotoszyński",2005,241
"321",3013000,"Powiat leszczyński",2005,80
"322",3014000,"Powiat międzychodzki",2005,143
"323",3015000,"Powiat nowotomyski",2005,126
"324",3016000,"Powiat obornicki",2005,399
"325",3017000,"Powiat ostrowski",2005,500
"326",3018000,"Powiat ostrzeszowski",2005,165
"327",3019000,"Powiat pilski",2005,831
"328",3020000,"Powiat pleszewski",2005,228
"329",3021000,"Powiat poznański",2005,619
"330",3022000,"Powiat rawicki",2005,141
"331",3023000,"Powiat słupecki",2005,223
"332",3024000,"Powiat szamotulski",2005,221
"333",3025000,"Powiat średzki",2005,135
"334",3026000,"Powiat śremski",2005,446
"335",3027000,"Powiat turecki",2005,211
"336",3028000,"Powiat wągrowiecki",2005,207
"337",3029000,"Powiat wolsztyński",2005,171
"338",3030000,"Powiat wrzesiński",2005,169
"339",3031000,"Powiat złotowski",2005,281
"340",3061000,"Powiat m.Kalisz",2005,1019
"341",3062000,"Powiat m.Konin",2005,846
"342",3063000,"Powiat m.Leszno",2005,473
"343",3064000,"Powiat m.Poznań",2005,5484
"344",3201000,"Powiat białogardzki",2005,196
"345",3202000,"Powiat choszczeński",2005,334
"346",3203000,"Powiat drawski",2005,155
"347",3204000,"Powiat goleniowski",2005,237
"348",3205000,"Powiat gryficki",2005,455
"349",3206000,"Powiat gryfiński",2005,86
"350",3207000,"Powiat kamieński",2005,83
"351",3208000,"Powiat kołobrzeski",2005,398
"352",3210000,"Powiat myśliborski",2005,266
"353",3211000,"Powiat policki",2005,160
"354",3212000,"Powiat pyrzycki",2005,118
"355",3213000,"Powiat sławieński",2005,176
"356",3214000,"Powiat stargardzki",2005,325
"357",3215000,"Powiat szczecinecki",2005,173
"358",3216000,"Powiat świdwiński",2005,124
"359",3217000,"Powiat wałecki",2005,147
"360",3218000,"Powiat łobeski",2005,54
"361",3261000,"Powiat m.Koszalin",2005,730
"362",3262000,"Powiat m.Szczecin",2005,3502
"363",3263000,"Powiat m.Świnoujście",2005,113
"364",201000,"Powiat bolesławiecki",2006,221
"365",202000,"Powiat dzierżoniowski",2006,238
"366",203000,"Powiat głogowski",2006,283
"367",204000,"Powiat górowski",2006,120
"368",205000,"Powiat jaworski",2006,104
"369",206000,"Powiat jeleniogórski",2006,741
"370",207000,"Powiat kamiennogórski",2006,462
"371",208000,"Powiat kłodzki",2006,799
"372",210000,"Powiat lubański",2006,214
"373",211000,"Powiat lubiński",2006,588
"374",212000,"Powiat lwówecki",2006,283
"375",213000,"Powiat milicki",2006,186
"376",214000,"Powiat oleśnicki",2006,266
"377",215000,"Powiat oławski",2006,236
"378",217000,"Powiat strzeliński",2006,105
"379",218000,"Powiat średzki",2006,147
"380",219000,"Powiat świdnicki",2006,441
"381",220000,"Powiat trzebnicki",2006,506
"382",221000,"Powiat wałbrzyski",2006,795
"383",222000,"Powiat wołowski",2006,145
"384",223000,"Powiat wrocławski",2006,0
"385",224000,"Powiat ząbkowicki",2006,85
"386",225000,"Powiat zgorzelecki",2006,525
"387",226000,"Powiat złotoryjski",2006,260
"388",261000,"Powiat m.Jelenia Góra",2006,475
"389",262000,"Powiat m.Legnica",2006,556
"390",264000,"Powiat m.Wrocław",2006,4797
"391",265000,"Powiat m.Wałbrzych od 2013",2006,NA
"392",401000,"Powiat aleksandrowski",2006,206
"393",402000,"Powiat brodnicki",2006,156
"394",403000,"Powiat bydgoski",2006,0
"395",404000,"Powiat chełmiński",2006,165
"396",405000,"Powiat golubsko-dobrzyński",2006,205
"397",406000,"Powiat grudziądzki",2006,43
"398",407000,"Powiat inowrocławski",2006,519
"399",408000,"Powiat lipnowski",2006,334
"400",409000,"Powiat mogileński",2006,154
"401",410000,"Powiat nakielski",2006,272
"402",411000,"Powiat radziejowski",2006,253
"403",412000,"Powiat rypiński",2006,153
"404",413000,"Powiat sępoleński",2006,139
"405",414000,"Powiat świecki",2006,284
"406",415000,"Powiat toruński",2006,107
"407",416000,"Powiat tucholski",2006,126
"408",417000,"Powiat wąbrzeski",2006,102
"409",419000,"Powiat żniński",2006,155
"410",461000,"Powiat m.Bydgoszcz",2006,2909
"411",462000,"Powiat m.Grudziądz",2006,628
"412",463000,"Powiat m.Toruń",2006,1219
"413",464000,"Powiat m.Włocławek",2006,642
"414",601000,"Powiat bialski",2006,120
"415",602000,"Powiat biłgorajski",2006,399
"416",603000,"Powiat chełmski",2006,0
"417",604000,"Powiat hrubieszowski",2006,352
"418",605000,"Powiat janowski",2006,276
"419",606000,"Powiat krasnostawski",2006,349
"420",607000,"Powiat kraśnicki",2006,346
"421",608000,"Powiat lubartowski",2006,329
