"","Kod","Nazwa","rok","Ludnosc_wg_grup_wieku_i_plci_ogolem_ogolem_osoba"
"196",1803000,"Powiat dębicki",1995,131219
"197",1804000,"Powiat jarosławski",1995,122655
"198",1805000,"Powiat jasielski",1995,123202
"199",1806000,"Powiat kolbuszowski",1995,59703
"200",1807000,"Powiat krośnieński",1995,107538
"201",1808000,"Powiat leżajski",1995,68764
"202",1809000,"Powiat lubaczowski",1995,58507
"203",1810000,"Powiat łańcucki",1995,76412
"204",1811000,"Powiat mielecki",1995,134099
"205",1812000,"Powiat niżański",1995,66516
"206",1813000,"Powiat przemyski",1995,71351
"207",1814000,"Powiat przeworski",1995,79795
"208",1815000,"Powiat ropczycko-sędziszowski",1995,70184
"209",1816000,"Powiat rzeszowski",1995,163238
"210",1817000,"Powiat sanocki",1995,95156
"211",1818000,"Powiat stalowowolski",1995,114983
"212",1819000,"Powiat strzyżowski",1995,62057
"213",1820000,"Powiat tarnobrzeski",1995,55279
"214",1821000,"Powiat leski",1995,NA
"215",1861000,"Powiat m.Krosno",1995,49277
"216",1862000,"Powiat m.Przemyśl",1995,68789
"217",1863000,"Powiat m.Rzeszów",1995,160271
"218",1864000,"Powiat m.Tarnobrzeg",1995,50699
"219",2001000,"Powiat augustowski",1995,60732
"220",2002000,"Powiat białostocki",1995,138905
"221",2003000,"Powiat bielski",1995,65335
"222",2004000,"Powiat grajewski",1995,51767
"223",2005000,"Powiat hajnowski",1995,55405
"224",2006000,"Powiat kolneński",1995,41684
"225",2007000,"Powiat łomżyński",1995,51799
"226",2008000,"Powiat moniecki",1995,46528
"227",2009000,"Powiat sejneński",1995,22218
"228",2010000,"Powiat siemiatycki",1995,52913
"229",2011000,"Powiat sokólski",1995,80506
"230",2012000,"Powiat suwalski",1995,35927
"231",2013000,"Powiat wysokomazowiecki",1995,63166
"232",2014000,"Powiat zambrowski",1995,46541
"233",2061000,"Powiat m.Białystok",1995,278489
"234",2062000,"Powiat m.Łomża",1995,63338
"235",2063000,"Powiat m.Suwałki",1995,66624
"236",2201000,"Powiat bytowski",1995,76072
"237",2202000,"Powiat chojnicki",1995,89686
"238",2203000,"Powiat człuchowski",1995,58230
"239",2204000,"Powiat gdański",1995,73251
"240",2205000,"Powiat kartuski",1995,95522
"241",2206000,"Powiat kościerski",1995,64044
"242",2207000,"Powiat kwidzyński",1995,81873
"243",2208000,"Powiat lęborski",1995,64429
"244",2209000,"Powiat malborski",1995,108274
"245",2210000,"Powiat nowodworski",1995,36230
"246",2211000,"Powiat pucki",1995,69070
"247",2212000,"Powiat słupski",1995,92426
"248",2213000,"Powiat starogardzki",1995,119835
"249",2214000,"Powiat tczewski",1995,112576
"250",2215000,"Powiat wejherowski",1995,163344
"251",2216000,"Powiat sztumski",1995,NA
"252",2261000,"Powiat m.Gdańsk",1995,463019
"253",2262000,"Powiat m.Gdynia",1995,251631
"254",2263000,"Powiat m.Słupsk",1995,102596
"255",2264000,"Powiat m.Sopot",1995,43576
"256",2401000,"Powiat będziński",1995,152165
"257",2402000,"Powiat bielski",1995,142834
